用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Anprosia,2024-12-22 13:38:57,上海,5星,9,演员演的很好。
不姨妈的大白色,2024-12-20 20:57:29,上海,4星,16,Women Herstory
基瑞尔,2024-12-23 20:54:19,四川,2星,4,非常棒的原型故事，读完资料后会觉得交由更加合适的人（排除白人导演的话，比如Ava DuVernay、George C. Wolfe...）来负责的话；有通向《隐藏人物》高度的可能，或者至多是“无聊的冲奖作文”。但看到Tyler Perry的名字，已经觉得可以冷静一下。最终的成品，女人们的英勇事迹和让她们应该被记住的讲述都被滑向一幕幕拙劣的种族冲突对峙和无来由的大哭大笑；而前半段花相当篇幅表达对挚爱的怀念和痛苦，这种写法也好像和“《高山》/胡歌”有着异曲同工之（差）。Kerry Washington太吓人了，不知道是很久没作太关键的演出还是什么；又把“Olivia Pope式演法”带进来了。
andarta,2024-12-24 09:46:18,法国,4星,13,2024年了这样的真实故事才拍出来。好晚，真的很晚。片中女主说因为身份她们从生下来那天就在战斗……很唏嘘。那种白人至上的压迫感看的很气愤……故事结尾说她们从欧洲回到us之后，遭到了更差的待遇……等到奥巴马时期才改变……女性群像，为电影多加一颗🌟。
huyouyou,2025-01-04 19:21:49,江苏,4星,0,是一个好故事，但是前面那部分完全没有说好，主角应该是Charity Adams，而不是那个哭哭啼啼的小黑女。好在故事本身很感人，所以最后车站那幕还是升华了本剧。#20250104
🤔 Spencer玄子,2024-12-27 21:28:51,湖南,5星,2,24.12.27 像极了我们的工作，摄像这个岗位地位低于编导和达人，甚至是后期，不被重视，待遇也差，好不容易做点事，拍点TVC出来，还不被认可，费力不讨好！这部电影聚焦人种歧视，也关注战争问题，真实事件改编，很不错！
老珂,2024-12-29 21:00:51,广东,3星,2,剧情相对寡淡了一些，不过也的确难以写出一个很多噱头的本子。更大的意义在于把这段历史以影视形式呈现并记录起来，这几百号有色人种女兵的确应该被尊重并铭记。
？,2024-12-29 02:32:08,重庆,2星,3,这么正确的片才这么几分，真的烂到家了
张咏轩Wayne®,2024-12-21 17:58:34,内蒙古,1星,12,关于种族和肤色，想说的太多，但啥也没讲明，爱情线也处理的极其生硬，这种清汤寡水的样板戏，两个小时太冗长了
momo,2024-12-21 21:24:54,新加坡,3星,10,题材很不错，但感觉想讲的东西没有讲到点子上，拍那么多谈恋爱的戏份干嘛呢，我真正想看的是这支队伍怎么具体解决邮件问题的，对种族矛盾的处理也不是很高明，毕竟netflix网大凑合着看。
Fernfin,2025-02-11 04:25:52,赞比亚,4星,0,跟大小宝一起看的电影，本来俩宝在拼图后来都安静下来跟我一起看到最后。再来亿点，这样可以给女孩子看的电影，让女孩子因女性的坚韧和尊严感动且自豪。（本来我也想质疑黑人效率如此这会不会是自我感动，但确实三个月完成六个月目标让人无话可说。怎么办，我们女的就这么厉害。）多重泪目。
莳玖,2025-01-11 11:55:31,印度,4星,0,我希望有一天，这里的人为个人和团体的正义与权利抗争的故事也能被讲述出来。
EEEEEEvan,2025-01-03 01:51:52,浙江,3星,3,好故事，但是拍得一般
蒙大拿,2024-12-22 23:35:12,江苏,未评分,5,烽火连三月 家书抵万金
逍遥乐,2024-12-21 20:25:32,辽宁,3星,5,真实事件值三星：没有邮件，就没有士气！与苏珊·萨兰登没啥关系……“首先我们必须反对种族隔离，其次是战争，第三是男人。”因为她们曾“不被允许在与其他女性人员和士兵相同的设施中睡觉、洗澡或吃饭”。
桑下,2024-12-22 23:04:06,英国,5星,2,看到最后为有色人种女性艰难万倍才能获得一些认可的处境而哭泣、太难了😭
