用户名,评论时间,IP属地,评论分数,有用数量,短评内容
sesame,2024-12-31 17:14:22,北京,3星,1708,唉，骗骗喜欢你这种在剧本上烂得一塌糊涂的商业片，狡猾就狡猾在于商业制作上太成熟了 ，以至于东拼西凑缝缝补补也能让整部电影显得特别像电影。当你毫无期待嚼了两口发现满是糖油混合物的时候已经来不及了，因为它作为垃圾食品还蛮好吃的。
壹安²,2024-12-31 14:57:42,北京,4星,493,每个笑点都太活人了……不er，孙阳就真的真的不能来玩弄一下我的感情吗？？
Mr. Infamous,2024-12-26 23:58:31,北京,4星,345,孙阳这种世所罕见的银幕守护神，在公在私我都肯定会大力支持。很欣慰又能看他在大银幕当一回男主角，更欣慰的是，这电影即便没有他的加成，我也非常喜欢。看了几个月贴片广告，只觉摸不着头脑，但没料到，这部电影的喜剧风格是这么鬼畜，这么放飞，精神状态美丽到让我恍惚到一同迷醉。孙阳、金晨、李雪琴，本是各有各的喜爱，在片中讨喜不在话下，剩余的要员里，王耀庆则让我路转粉，太羊了，太可爱了。几乎全员，都能在多一份肥腻，少一分抠地的把握中，很对味地吃住了喜剧意思。朋友们，咱是好人的话，永远不要觉得自己有问题，这是要比坏人觉得自己没问题还要可怕的。结束时泡泡五彩斑斓地涌在影院，明白了本片用以跨年的仪式感。映后见到全员精神状态同样美丽，希望走进影院看这部电影的朋友，快乐不输他们。
判官,2024-12-28 20:27:17,湖北,4星,271,是怀旧无厘头风格的喜剧，抽象到极致反而呈现出了前所未有的喜剧效果，很符合当代年轻人的精神状态，骗感情可以，骗钱，真的不行。孙阳的美貌得到了最大化呈现，美到让人很难不多加一星。
酱桑,2024-12-30 14:58:43,广东,4星,227,喜剧的节奏处理地非常不错，从“观感”而言有感受到整个主创团队在用心地通过本土化和结合当下的梗，直播带货，电信诈骗等，情感杀猪盘，去讲一个“骗子骗真心”的故事。主线剧情和反转其实猜得到，但过程所引发的喜剧感是超出意料的搞笑，电影院笑声此起彼伏就证明了本片喜剧元素是用心地且不落俗的。李雪琴第二个彩蛋在电影院笑得我鸭叫。
蚂蚁没问题,2024-12-29 15:53:03,河北,3星,691,意外的还可以！有笑点有剧情，本土化做得不错，在国产小鸡片普遍尴尬垃圾不能看的情况下，这已经算挺不错的了，比泰国原版给我的感觉更好。关键还是，我再度爱上孙阳！骗人的孙阳，开车的孙阳，跳舞的孙阳，小狗眼可怜兮兮的孙阳！爱了！
巧克力工厂厂长,2024-12-31 15:23:33,北京,3星,420,还行，能笑。P.S. 澳门不叫澳门，叫澳港。咱大陆电影，连喜剧都听不到真实地名了吗？
20个小明≯,2024-12-31 20:13:20,福建,2星,397,散发着为了收割热度生拉硬攒的粗糙仓促之感，太过投机取巧…
大海里的针,2024-12-31 15:12:52,北京,4星,250,很颠很好笑的一部爱情喜剧，骗子组团和渣男极限拉扯。整体轻松搞笑，不费脑子，反转不算难猜。金晨孙阳的CP感毋庸置疑，“定情信物”创可贴恰到嗑处，几位配角的表现也不错，每个人都有爆笑名场面。
女神的秋裤,2024-12-31 15:15:35,山东,4星,226,骗子+纯爱的搞笑轻喜剧，笑点密集讽刺满点，看似“危险”的话题下是正能量的内核：好人不该觉得自己有问题，而是应该站起来夺回属于自己的利益；坏人也有重新做人的机会，我们都不该失掉重来一次的信心。反转剧情那一段不仅是对骗骗cp彼此的考验，更是自我进化的转折点。
HENRICIS,2024-12-31 17:43:28,广东,4星,114,真正的成长是不再向外寻找寄托，林晴朗就是自己人生的大女主！
小哆啦,2024-12-31 16:48:16,江苏,4星,159,在工作之余看到一部这样甜甜的爱情喜剧真是令人极度舒适又放松，电影里每个人都是惊喜，太有趣了！全程很轻松且毫无尿点，节奏太完美了，从选角到背景音乐都很棒，而且金晨孙阳真的太好磕了。大鹏真的太懂观众了。适合跨年去看哦！
老羊,2024-12-29 13:15:24,四川,4星,140,影片整体看着很轻松幽默，不算是传统意义上的爱情喜剧片，中间好几处反转简直绝了，冷不丁就给观众来个大惊喜，那感觉就像拆盲盒拆出隐藏款一样爽。反正就是比我预想的要好看太多，喊上家里人或者朋友一块来看，一准儿特欢乐。对了，女孩子们可千万得留个心眼儿，渣男都离得远远的，还有那些诈骗的套路，可别上当！
WUU,2025-01-04 18:42:40,北京,3星,203,很难说好看，有的点也能笑出来，但又有点坐不住
连城易脆,2024-12-28 16:51:02,江苏,4星,98,在这个贺岁档风头不再的当下，《“骗骗”喜欢你》少见的贺岁档气氛就显得异常稀有和珍贵，怪不得可以提前大半年就定档！而且本身爱情轻喜剧的风格也在国产电影中比较少见，特别适合节假日。而且孙阳和金晨的确有银幕CP感，他们完全可以继续合作下去，构建一个CP宇宙。特别是孙阳真的太帅了，再加上他线下的状态，确实让人颇具好感度。另外，看影院经理群的反馈，大家看完点映后反馈都还不错，主要是在那么多苦大仇深的严肃题材下，这种轻松诙谐的电影看起来确实会相对愉快许多。期待这部电影可以助力一起推高跨年档的票房吧。
遥,2024-12-20 22:04:34,福建,3星,266,跨年独一档爱情题材。预期放得够低，意外地还可以。看了片头才发现是大鹏监制，正片里也藏了些《年会》的彩蛋。整体依旧是熟悉的国产爱情喜剧风格，喜剧的占比更重，感情戏倒是点到即止，除了口水哥的段子真的太恶了之外算正常发挥。结尾也是该抓的抓该判的判，白色字幕就是你我正道的光。隔着屏幕的倒计时让人提前感受到了跨年的气息，有跨年刚需的朋友进场娱乐下也无妨。第一次在大银幕上看金晨和孙阳，颜值还是比较在线的。李雪琴的角色跟《保你平安》《热辣滚烫》《爆款好人》里的几乎没有分别，基本已经定型了。王耀庆出场比较晚，戏份不是很多，主要用来蹭点浪姐披哥和舅舅梗。其他如任贤齐、柳岩等客串都是常规操作了，演员方面惊喜不多吧。
李逵艾,2024-12-31 15:18:33,天津,4星,110,真心诚意的相爱固然好磕，但烂人真心、浪子回头、骗骗拉扯才是我磕cp的终极奥义！你被渣男骗，我帮你骗渣男，但过程中我也骗了你：你流泪说悲惨过往的时候，我在想如何让你信任我，但也同时觉得你流泪的样子好美，假意和真心掺半，到最后，谁能分清？我只记得，你坐在我车里吹风大笑的样子令人难忘，让我能忘记自己是个骗子，甘愿告诉你真实姓名，也甘愿自投罗网。以上，孙阳在影片里的内心独白，由我补足，这谁能不磕？！
金玉其中,2024-12-31 16:52:45,湖北,5星,613,四个戏精一台戏，看完好像大脑到外星球出走了一会儿
知足常乐,2025-01-04 00:42:48,陕西,4星,39,有剧透。。。。结局停在男主告诉女主名字非常好。淡淡的欣喜，即将绽放的爱情，即将重来的人生，不需费口舌解释，所有美好的值得期待的一切包含在他向她袒露名字的那一刻。
同志亦凡人中文站,2025-01-05 00:00:45,四川,3星,125,剧情漏洞百出，但很愉快地按摩了我的大脑皮层。再次验证了CP可以冷门但不可以邪门，谁能想到降智反诈宣传片“孤注一掷”都还能有售后呢？
🍥,2024-12-31 14:51:58,吉林,3星,77,剧情发展的有点咯噔文学，一个骗子怎么就轻易听了女主的话
掉线,2024-12-31 16:30:04,北京,4星,114,作为爱情片笑点和梗却出人意料的多，还有不少和演员本人相关（看到两个主角穿一个雨衣笑死过去），看到导演是大鹏御用编剧一下就明白了，难怪对类型片架构拿捏的如此熟练，诈骗+恋爱的组合技很适合，毕竟成年人的恋爱本就是互相试探中点点暴露真心，最后孙阳太适合演骗子了，魅力值拉满
晓晓.,2024-12-21 02:24:10,山东,2星,324,玩尬的是吧？庸俗的桥段，无聊的烂梗，配上十几年前的搞笑港片拍摄手法？
武侠小王子,2024-12-31 15:11:15,江苏,4星,148,"看片名本以为是纯爱片，没想到是搞笑片，包袱一个接一个，梗非常密集，笑点十足！金晨孙阳《孤注一掷》后二搭诈骗cp，化学反应太强了，粉红泡泡拉满，还弥补了上次be的遗憾。二人反诈反渣两手抓，“狼羊”极限拉扯充满了戏剧张力，反转一个接着一个，爽感十足，跨年解压必看！同时，影片也不仅仅局限于女性对渣男的复仇，更是传达出了对于生活态度的正解，“比起坏人觉得自己没问题，更离谱的是好人觉得自己有问题，所以以后咱们活的自信一点！"""
高尚的阿龙,2025-01-02 14:55:11,北京,2星,125,对于一个烂故事来说有点好，对于一个好电影来说太烂了。。。中国商业片的思路还是太把观众当傻子了，有些地方没必要这么敷衍吧
风蚀蘑菇,2024-12-31 19:39:13,云南,4星,57,因为《灿烂的风与海》对孙阳上头，走进电影院看了平时绝对不会看的名字可疑的国产爱情片，没想到意外的还不错？！看得很乐呵，有几幕我爆笑得都不好意思了，感觉开分有7.5分。电影无缝衔接灿烂，同款澳门取景，同款中分长发，还有梦回过春天的港仔花衬衫，致敬孤注一掷的挥手，大鹏你真的很爱他😂孙阳在里面的妆造真的太好看了！百变造型，双手插袋，走路带风。从西装职业装，到港仔花衬衫，还有那套涩到离谱的牛郎装酒红深v衬衫+银色长链+黑色小皮衣+闪亮单边耳钉，漂亮到不像话。他很会演帅哥，大鹏也把他拍得很好看，带点嘚瑟和少年气的小帅哥太在舒适区了，作为孙阳颜粉表示看得很开心。就是加那段童年创伤+舅舅卖腐是干啥😂 除了给ao3增加更多的背德泥塑外没有任何作用喂！
U 兔,2024-12-31 15:14:36,山东,4星,132,太适合岁末了，欢乐温馨又爽快。看之前还担心笑料太网感来着，结果非常适度，梗跟剧情、人物也很适配，“治愈系”这一类的谐音梗用得很灵，可以放心大笑。节奏快，剪辑很现代，后期的一些小特效既融合流行短视频的元素，又推动了叙事和人物塑造，看得出是当代人做喜剧的方式。不要太看重反转啥的，而是把它当个当代都市青年处理感情和生存问题的现实片儿也挺好的。金晨超级可爱，演纯爱战士和有勇有谋都很有样，这个角色也实现了完整的成长，确立了自我的主体性。孙阳的笑容直击我的心巴，几次我出乎意料的笑喷都是因为遇到那样的情况按常理我们就知难而退了，但他愣是自信地迎难而上——做骗子最重要的就是自信啊！而且他还有善良的底色，善良的男生才有光！！原本对舅舅这演员不熟，但他那蜜汁围笑太日式喜感了，扒车自信的样子笑喷我，这回可认识了。
嘟嘟熊之父,2024-12-31 15:18:27,北京,1星,449,笨蛋美女流泪，渣男洗心革面，枯竭的剧作，滥俗的笑点。片如其名，趁着行业还没毁灭能骗一次是一次，连翻拍都要挑这种烂剧本，感觉我国电影院是什么垃圾回收站。
西楼尘,2024-12-24 23:34:29,江苏,未评分,51,撞坏的车尾灯是他被亲情哄骗的证据，撕开的衬衫袖是她被爱情诈骗的伤口。只有一件黄雨衣也可保护两个傻瓜，只有一枚创可贴也可以愈合两个伤口。撬不开的爱情锁擦擦字就掉了，还有什么天长地久的存单不能退订。是哪只羊会蠢到跟骗子合作，又是哪只狼自信到动了真心，他的车开得再慢，还是想赴铁塔之约。
桃桃林林,2025-01-05 22:12:11,北京,3星,24,虽然老套，但看热闹还是够的。不过口水哥那段真是恶心到我了。
爱在银河漩涡,2025-01-01 16:44:51,日本,2星,130,点映看了 二星 看孤注一掷磕cp的可以看 不磕的快跑
闵思嘉,2024-12-28 10:38:03,北京,4星,107,如果说骗局是给人制造幻梦，尤其是杀猪盘骗局，那是不是爱情本身也是一场幻梦或者骗局呢？本片当然是明白这一点的，所以对于金晨和孙阳的角色之间的爱意都是点到为止。这是它很当下的一部分，包括我想这也是片名用了“喜欢”而不是“爱”的原因。在爱情片失效的当下，这个故事其实是解构爱情的。很多喜剧桥段都很大鹏，尤其是里面对各个时代、不同方言经典爱情歌曲的化用。它的喜剧表达、骗局表达都风格鲜明，快、碎片、抽象、多反转、夸张无厘头、有种自嘲的节奏。这是它很当下的另一部分。
福雷斯特冈普,2024-12-25 22:11:43,北京,4星,38,7.2.爱情喜剧和盗抢奇观的出色结合。本片无论是剧本、剪辑、表演、笑点甚至反转都展现了一流的工业化水平，考虑到中国当下的电影产业水平，这绝对不是坏事。大鹏带出来的这批人（包括导演苏彪）还是很有潜力的，剧情虽然大致符合预期但是骗局的具体展开还是不乏巧思，后半段《骗中骗》式（甚至《碟中谍》式）反转固然略显乏力，但在此类影片中还算上乘。金晨孙阳作为男女主中规中矩（没太利用好这对《孤注一掷》搭档，都是讲诈骗的），反倒是奥斯卡精神得主李雪琴（戏里哈）和扒车贱萌舅舅王耀庆更加出彩，碰瓷的部分和舅舅飙歌实在是没忍住。小齐哥客串好评。作为跨年喜剧虽然不可能跟去年《年会不能停！》相提并论，但市场潜力不可低估。
把噗,2024-12-31 13:35:05,北京,4星,115,很舒服、成功的喜剧。为爱所骗，又在回骗中收获爱情，典型的手撕渣男爽文路数，成就一部轻松愉悦的爱情小品。连环骗局对编剧要求很高，完成得不错，影院里笑声此起彼伏，跨年夜不二之选。
？,2024-12-31 13:16:07,重庆,1星,355,谐音梗片名🟰烂片
翟天临,2024-12-31 15:38:03,海南,5星,179,骗局有套路，爱情要真心，最后晴朗和欧阳谁也没有随便说爱，成为更好的自己后再相聚是最打动我的点
龙叔,2024-12-31 15:11:27,湖南,4星,11,冲着苏彪去看的。苏彪编剧了很多部喜剧作品，口碑都很好，这部电影作为“喜剧片”在搞笑方面确实没有让人失望，观影过程中，周围人笑声一片，剧情解压又轻松。不得不说，李雪琴真的是天生的喜剧圣体，表演自然又放松，看到她的脸就想笑，上次有这种效果还是在沈腾身上。在喜剧之外，这部电影里的爱情其实很现实。爱情&诈骗，一个美好，一个残酷，电影用搞笑的外壳包裹着一个“严肃”的内核，在诈骗和反诈的情节上，层层推进的剧情让人完全沉浸其中，另外女生还能增加一些防渣男和防诈骗的技能。
基瑞尔,2024-12-22 22:37:44,四川,3星,70,每年跨年档一定会有的“大势影视剧CP售后”，从《三十而已》到《想见你》再到《一闪一闪亮星星》；最大的不同是它基于此前电影的配对组合，并有翻拍案例在前。当这里不再是“安娜”和“阿才”，属于角色相遇在那样惊恐环境的“宿命感”和危险而引人联想的性张力消失得一干二净；反而在各种不正经和嬉笑间有不小心沦为“（微）海王”和“（40%）油后”的对决。即使乐见孙阳有他领衔的机会，电影也尽最大可能收录近两年各路热梗逗人发笑；但还是会逃不出给人懒惰、小品的质感，只能说是好笑的。[P.S. 但最大的笑点是李雪琴在里面的造型秒上身reaction天后纪丹迪，靠着联想我从头笑到尾...]
李小丢,2024-12-31 13:18:47,辽宁,4星,15,平安夜吃到的一颗饭后小甜点，轻松欢快的跨年喜剧，全程把我吊成翘嘴了。金晨孙阳这对在《孤注一掷》里令人意难平的CP有了最强售后，两个成年人之间一百八十个心眼子的互相“算计”和暧昧拉扯实在好嗑。在这个“以骗克渣”的故事里，“阿才”的魅力在欧阳晖身上升级了，让人觉得爱上他是件轻而易举的事。代入女主林晴朗的视角则更爽了，短短几天时间里就手撕了欺骗自己真心和金钱的渣男，不仅拿回了自己的钱，还让改邪归正的帅哥被自己迷得找不到北，最后抽到演唱会 VIP 门票……拜托让我2025年也这么爽一把吧！
刘炅然,2024-12-27 22:37:59,重庆,3星,40,行骗天下中国恋爱.ver，本来可以手松点但是恋爱部分真的真的有点尴尬。。。还有演唱会那里也很尴尬。。。。。
oozy,2025-01-04 16:28:46,广东,4星,21,没想到居然还不错，翻拍还能拍得比原版好，可见导演的本土化程度做得有多好，这部电影的整体思维还是很短视频的，包括节奏跟视听，各路网梗的集合免不了小品式的拼凑感，但好在节奏流畅，笑料有效，更重要的是骗骗四人级各有各的魅力，孙阳这个角色太适合他了，连片尾几行中国特色的黑底字都符合人物个性，彩蛋也很友好，非常可爱；而骗中骗的剧作其实还挺难写的骗与被骗者来回博弈，同时促进人物关系的推进，虽然最后的反转我也猜到，但整个过程起码设计得合理和有趣，虽然没什么大的野心，但总体还是看得挺开心。好人不需要觉得自己有问题，爱自己永远是最重要的。7.5
