用户名,评论时间,IP属地,评论分数,有用数量,短评内容
aeuzdzj,2024-12-25 22:19:32,湖北,5星,54,"哭死我了呜呜呜，简直是悲喜交加的一次圣诞特辑。Audrey对在战争里生死未卜的儿子的担忧与爱并联在一个形单影只的受伤的狐狸，细腻而动人的侧写，人与动物的善意联结永远是《万物生灵》的底色命题。当Audrey通过儿子的朋友得知生还的几率极为渺小立马出门掩饰哭泣的时候跟着哭了，在最后电话声传来“Happy Christmas, Ma”的时候，又瞬间跟着Audrey开心地哭了，《万物生灵》永远都在给我们传递着希望与爱"
夏之城,2024-12-26 13:39:01,上海,4星,35,聚焦在Ms.H身上的一集 最后众人围坐在楼梯上揉揉她的肩 真的是有效的治愈 如同冬日热可可和毛毯一般
二二です,2024-12-26 21:16:24,河南,4星,19,虚惊一场也许算得上人生一大幸事，明年圣诞见
赵大宝,2024-12-26 18:23:41,辽宁,5星,31,就让我沉浸在美好的乌托邦里不要醒来
冬叶,2025-01-02 23:56:48,上海,4星,1,有笑有泪的一集 一大家子人在一起过圣诞真是太暖了 虽然有战争的阴霾
啊么吸溜,2025-02-01 19:47:38,广东,4星,0,甜甜又暖暖🥰
蜉蝣渡海,2024-12-27 19:20:01,山东,5星,18,1941年圣诞节，物资短缺，战舰沉没，但是还好这是圣诞节，他们是主角，主角的圣诞节总会有奇迹，虚惊一场是世界上最美好的事情，哭了，干了这杯圣诞热饮，暖一暖，现生继续风雪中赶路。
冰糖葫芦娃,2024-12-25 22:35:35,江苏,5星,30,难得一部田园牧歌式的剧集对战争的表现如此深刻，Merry Christmas!
阿子,2024-12-29 13:43:49,北京,5星,16,编剧太厉害了……战争阴影下的日常生活，与大时代息息相关的悲欢离合一点都不狗血，还有很多幽默，一边暴哭一边笑。
小悬子,2025-01-12 10:28:18,上海,4星,0,2025.01.11小狐狸很可爱！
水水,2024-12-30 21:52:51,北京,3星,0,敲可耐的小狐狸~
雨夜飞行,2024-12-27 16:00:05,北京,5星,19,虽然生活并没有非常如意，但新年将至也值得庆祝我们新拥有的，以及还未失去的一切
小飞侠,2024-12-25 23:14:27,广东,5星,12,在猜着电影名的游戏中落幕，屋外飘着雪花，却是幸福的颜色。世事难料，相信一切都会变好的。祝大家平安快乐。又重温了一遍repulse这个单词（浅水湾的来源）。
白亦桃,2024-12-28 23:08:43,上海,5星,6,差点以为又要虐Mrs.Hall，好在结局是好的！Merry Christmas，Ma，真是瞬间飙泪…再加上一起为小baby庆生，还能有比这个更适合圣诞看的节目吗。
🍉kira,2024-12-29 18:25:43,湖北,5星,6,这是我的新•年终传统了
AshtrayGem,2025-01-06 04:07:15,英国,5星,4,楼梯上大家都围着Mrs. H并且还有狗子Jessie的那段...太好哭了...去儿子战友的那个地方是Skipton！乘72路就能到Grassington！每年一如既往的圣诞热饮，日子再艰辛，还是要坐在一起吃顿好的...
西米子,2024-12-29 16:48:25,上海,5星,3,为Mrs Hall开心，演的太好了。再次感谢5台让我一直能看到西叔的西叔。
枕小路,2025-01-28 14:34:42,广东,5星,1,真好，又是一个幸福美满的节日。Mrs Hall其实才是这个家的灵魂人物……
聿子狸。,2024-12-27 00:21:25,上海,4星,1,圣诞快乐！
