用户名,评论时间,IP属地,评论分数,有用数量,短评内容
吃瓜牙,2024-10-26 11:24:26,河北,1星,9178,又是一个打着女性题材却丝毫不以女性角度为实际出发点的一部烂片
菌烙,2024-10-26 13:58:58,北京,2星,6783,乔妍屁大点的心事
whling,2024-10-26 21:11:05,河北,3星,2870,整部电影就是，辛芷蕾“我才是乔妍！”，黄觉“把合同签喽”，老舅“给我一千万”，赵丽颖成宿睡不着觉，点起一根烟“不是，都干啥啊？”，乔妍没啥心事，都是烦心事。
赤迩儿,2024-10-26 11:01:16,北京,2星,7644,悬浮 莫名其妙 大可不必
Goodnight,2024-10-26 13:03:34,重庆,3星,1509,赵丽颖好美……剧情其实很简单，但拍的故弄玄虚，开头吊足了我的胃口，然而看到中间就大概猜出剧情了毫无悬念。  以及，我真的不理解辛芷蕾的行为动机，妹妹成了大明星然后要1000万和垃圾老公回去过苦日子是什么心理……  以及以及，最后结尾是否过于草率，看得我满脑子问号
xxxxxxxxxxx,2024-10-26 22:22:10,湖南,3星,1331,不够好，又不够烂。
嘟嘟熊之父,2024-10-26 12:32:33,北京,2星,4981,撇去那些浮于表面的人物情绪紊乱与线索隐藏诡计，叙事的驱动力仅剩下对所谓上流圈层的窥探。双女主的身份-情感错位无法从内部给予故事足够的戏剧张力，只能依靠脸谱化的外部刺激不断推翻重写，实在儿戏。当乔妍与姐姐的对话从一种刻意为之的欲盖弥彰转向突如其来的推心置腹，便注定了影片崩坏的下半场，闪回童年的部分更是灾难。另外，不只是难看那么简单，真正让人难受的还是影片无处不在的投机感，似乎能窥见剧组各方的吹捧、算计与利用。既不为作者的真诚表达，也不为观众的观赏乐趣，那种既要逼格又要下沉的拧巴心理展露无遗。类似的观感已经不是一次两次了，国内文艺片似乎陷入了一种以攒局为核心策略、以诈骗式宣发为必备技能、以首周票房为终极目标的畸形创作观，到头来，受伤的只有观众。
桔梗,2024-10-31 15:22:08,上海,3星,705,女主是不是搞反了？明明是赵丽颖适合演美貌土气的大乔，辛芷蕾更适合时髦的都市丽人。
비,2024-10-26 19:33:21,中国香港,3星,353,最后一幕像是女性们组成了一个小小的母系氏族
西瓜,2024-10-26 23:38:23,福建,3星,316,1.里面的男性角色没有任何优点。2.赵的演技和声音都有点尴尬。3.有些镜头表现完全没有必要，没有必要用女性的裸露肌肤来表现。
教娃做作业真累,2024-10-26 12:48:48,广东,1星,6476,赵丽颖的土气和那像盲人一样的眼神，真的撑不起一个星光闪闪的大明星，而且所谓的爆发戏也很没劲儿，把电影当的跟电视剧那样演，然后辛芷蕾，因为我对她的印象，还停留在那个风情万种的李李，看她演农村人也有点出戏，我觉得这俩应该把角色互换一下。然后，对比赵丽颖差劲的演技和眼神来讲，剧情节奏虽然有问题，但已经不算最大的问题了
贝克街卢平🏃,2024-11-14 11:05:19,吉林,3星,116,探讨的问题都浅尝辄止，让我误以为在电影院看的是删减版。
吃吃吃吃吃吃,2024-10-26 11:48:42,重庆,1星,5018,一星给辛芷蕾吧，整部影片故弄玄虚，不好看。
小刀大神,2024-11-02 21:00:59,浙江,3星,97,如果不是辛芷蕾和赵丽颖，我能骂死这片子，两人的表演状态是符合这么疯癫设定的。
不理解不尊重,2024-10-26 11:23:10,陕西,5星,6048,一部真正的女性题材的电影 边陲小镇长大的乔妍打拼多年之后成为了一名知名演员 摸爬滚打得进入演艺圈 一条匿名的勒索消息 让一段不愿回首的过往事浸入心底 同时多年前失联的姐姐突然现身……她作为被凝视的客体 人们奉她于高台 寻她于各处 但是乔妍真正的心事 又有何人得知?在这场唯独不属于她的狂欢里 指向了过往逼仄潮湿的现实 过往的回忆扑面而来，将她带回到儿时狂风席卷着纷飞的大雪 她拼命奔跑 想为自己而活 聚光灯下午夜梦回 转身却发现已没有退路 两姐妹之间是敌对还是相互救赎? 整部电影看的人很投入 心里感受其实很复杂 用言语很难描述出来 国内少有的女性题材能拍的这么好太值了 另外演员赵丽颖演的很棒 很喜欢她的表演 辛芷蕾也稳定发挥很不错 （片尾曲两姐妹一起唱的给我听哭了）乔妍的心事很值 推荐去看
已注销,2024-10-26 11:57:23,上海,2星,3986,戏演的不怎么样，戏外的营销真是精彩，把心思放在好好琢磨演戏上吧，成天搞那些劣质营销无脑尬夸。
Norbulingkas,2024-11-02 10:41:25,河南,3星,79,能看出导演编剧想讲一个符合当下潮流的女性主义故事，但是失败了，太想走捷径讨巧，没有深入，没有共鸣，甚至没有带给观众太多的情绪。两个女儿，一个身份，本可以讲得更好。结局潦草至极。
认识你谁啊你,2024-10-26 13:49:17,湖南,1星,3885,某人能拿电视奖已经是匪夷所思了…….还是不要演电影了，表演层次全无，另外辛芷蕾为什么会选这样的一个剧本呢？剧情真的太烂了…
-,2024-10-26 19:28:38,北京,2星,1748,大概90min的时候莫名其妙出了一下片名什么意思
阿西,2024-10-26 17:37:12,河北,2星,1888,本来只有乔研有心事，现在我也有心事了……
酱桑,2024-10-26 14:38:49,广东,1星,3120,【3】过分好笑。在影院笑到脸抽筋，电影烂到令人发神经。导演陶醉在自己营造的假高级框架和摄影中，双姝姐妹的设定自以为是在拍高级，悬疑的《七月与安生》，实则是复刻喜剧升级郭敬明的《小时代》之南湘，顾里撕逼名场面。就是一个“冒名顶替”，男人都是烂渣，姐妹情深的简单故事，已经通过人物对白反复提及，刻意的描绘还不够，还要强行用童年闪回交代补充，硬生生割接出两部调性不一致的电影。对娱乐圈女演员困境，就是担心公司捧新人被取代和遇上极其油腻的老板。赵丽颖和辛芷蕾真的尽力了，赵德胤把她们当吴可熙使用，但过分水土不服。她们演的再好，遇上一个烂到抽象，空有悬浮姿态的剧本，摊上一个陶醉于缅甸往事，而能凭空嫁起“内娱”和“缅甸”的导演，真是天才。
不留痕迹,2024-10-26 11:02:31,湖北,4星,6244,看到是赵德胤以为是《七月与安生》式的文艺片，结果是个悬疑类型片，叙事还是挺完整的，双姝的表演也充满惊喜。
哈哈哈啊啊啊,2024-10-26 11:01:22,广西,5星,6440,我C，一开场大荧幕上好完美好牛B的一张脸！！！市场上少有的女性题材片子，特喜欢片尾曲的意境，一下就能触动心灵。迫不及待今儿赶了个早场，原生家庭的因，生出各种复杂的情感纠葛，这对主演的表演要求是很高的，是的，我可太喜欢赵丽颖了，实力演员就是不一样啊，分分钟能抓住观众的心，让你沉浸在她们的“心事”之中，编剧很会讲故事，导演很会拍，演员不是演，你会觉得她们就是大乔小乔。血缘亲情没有什么矛盾过不去，自省现实中我心里埋怨妈妈几十年的不公好像也不是不可以化解，放下执念，珍惜所有。我觉得我必得和闺蜜再看一遍。心事感人，镜头很美。
贝贝的媒婆痣,2024-10-26 11:33:49,北京,4星,3992,悬疑感做得不错，是那种剧情和节奏都比较好的文艺片。
邢早早,2024-10-26 18:37:27,上海,1星,2204,男导演试图讨好女观众，拍摄了这部女性情谊意淫大作！缅甸春深锁二乔，黄觉不会以为自己是他妈的曹操吧？太闹心了，看完我都有心事了！
李小丢,2024-10-26 11:42:44,辽宁,5星,5344,赵丽颖再一次给了我惊喜，她每一步都稳扎稳打，可以永远相信她选剧本的眼光。乔妍这个角色由她来诠释十分有说服力，一个普通女孩靠着自己努力一步步走来，逆风成长为大明星，她就是乔妍本妍。 还有国产片终于开始讨论身份问题了，虽然还在起步阶段，但也是本片最深的叙事动力。妹妹或姐姐只有一个能获得乔妍这个身份，这是遗留的户籍问题，也是残酷的女性宿命。女明星这个身份最有戏剧张力，看似光鲜亮丽，但资本的剥削、个体的自由都在这个身份上得以集中表达。 此外，戏里戏外姐妹的怀孕也有一定互构性，双生的感情最终相互救赎，美中不足的是没有足够的篇幅回忆俩人儿时的情感，欠缺了一些女性身份的觉醒和人物行为动机的深层挖掘。
CoralSeaBreeze,2024-10-30 18:09:41,北京,1星,822,很久没看过这么难看的电影了…
东门捷径小V,2024-10-26 14:40:13,湖南,5星,4109,质感细腻的女性视角现实主义电影，人物塑造、故事节奏、表演都相当在线。女性困境、姐妹间的爱恨羁绊、女明星的生活展示和名利场攀爬轨迹，都用高效、贴切且分寸得宜的冲突戏表现出来，使得全片都笼罩在一种情绪十足但引而未发的张力中。乔妍们从出生到对未来满怀期冀再到情感幻灭；从抓住每个机会到成名再到追求自由，都是努力突破一个个无形笼子、拼尽全力向外寻求生长空气的自我救赎。作为不被看见的存在，从小神往从外太空唯一能被看见的地球伟业，但看过之后才明白，她们更喜欢自在地坐在街边的阳光里。
搬砖侠,2024-10-26 15:09:05,江苏,4星,3032,“你是我最大的威胁，也是我最深的牵绊。”很标准的赵德胤式电影，融合犯罪、奇情、伦理等类型元素，对聚光灯名利场的审视，不变的缅甸底层边缘群像刻画。惊喜的是贡献了近年华语片中最复杂也最动人的女性形象塑造，姐妹之间的相爱相杀、极限拉扯的纠结关系将戏剧张力拉满。前半段的赵丽颖冷漠麻木、辛芷蕾绵里藏针，后半段两人性格却又反过来，姐妹之间一直是镜像共存却又矛盾对立的关系。内心都敏感脆弱、各自背负绝望的情感枷锁、渴望摆脱被控制的命运而不得，只能被迫扮演疏离冷漠。视听层面很出色，戏中戏的嵌套式结构增强了心理悬疑色彩，压抑平静的氛围中暗流涌动，尤其编导触及到了一些女性困境，两位“乔妍”的遭遇都很让人共情，中式古典风格的深宅大院本身就是女性被压迫的隐喻。
米豆,2024-10-29 00:38:55,四川,2星,628,怎么不找大小S来演啊 真实的疯批姐妹才带感啊 现实里也是生女儿 姐妹先联手弑父再合谋杀夫这片子就有看头了 现在这剧情跟闹着玩儿似的🙄
丽丽里里哩,2024-10-26 11:00:40,江西,5星,5729,中国人独有的亲情，恨不彻底爱不彻底，一生的羁绊，姐妹之间的拉扯真的看的人好揪心，互相猜忌 防备 利用，却又互相依靠取暖，赵丽颖辛芷蕾演的真不错，黄觉好像个bt真吓人，总之。这部电影很对我胃口，好看的，推荐
易时,2024-10-26 15:39:19,天津,2星,1333,预告片超级诈骗啊。。。。我还以为主题是姐妹对手戏，结果不是主角雪天🚬写真，就是那个一出场就感觉隔着屏幕被性骚扰了的经纪人。。。。换个身份证到底算什么悬疑。。。剧情太混乱太莫名其妙了，一点姐妹感都没有
爱怎么地怎么地,2024-10-29 14:55:39,湖北,1星,1079,赵丽颖又土又木，眼神像盲人，居然演个大明星？简直笑话，一个双眼空洞毫无演技的古偶咖非要来电影圈掺和，浪费我的时间和票钱！
