用户名,评论时间,IP属地,评论分数,有用数量,短评内容
обломов,2024-12-03 09:51:52,江苏,3星,2,燃烧的雨林，无声的哭泣
oh la la,2024-12-02 16:00:02,北京,3星,5,中规中矩的韩式喜剧片，利用引以为傲的射箭运动去亚马逊找资源这招也就棒子能想到了，好在最后如意算盘没有达成给了个happyend。基本合格的喜剧片，柳承龙演技加分，感觉大哥可以去给炸鸡做代言了，怎么他现在离不开炸鸡了吗？
可风,2024-12-09 15:42:57,北京,3星,1,柳承龙逐渐套路
宝宝金水,2024-12-07 00:56:44,北京,2星,0,最大的问题是不搞笑。韩国混搭亚马逊丛林弓箭手，反差大部分都是城市丛林人生活差异，但是没有很好笑
Azeril,2024-12-18 15:27:11,浙江,3星,0,野人军团横扫韩国. 笑点方面 如果融入些千里马超市那帮子家伙的桥段 包括土著和现代文明碰撞的情节 估计能来得更好玩.. 剧本还是略为粗糙了些.
m89,2024-12-03 19:49:38,黑龙江,1星,5,想说这些年的大环境，已经很少有电影人涉足这种容易引起争议的题材（自带天命人属性的好莱坞鹰酱除外），结果拍得比KCTV的보도还政治正确，真尼玛无语。
路飞的latte,2024-12-04 22:15:06,山东,3星,2,有点蠢，不过挺欢乐的
不动如山,2024-12-18 16:28:12,山东,2星,0,还不错，最后拿了个第三名。看结局还有拍第二部的意思，其实完全没必要，运动和喜剧融合，现代和原始融合，说到底套路都一个样，拍不出新意只会越来越垃圾。
livkim,2025-01-25 18:33:18,韩国,3星,0,没意思，真没意思，值得看的就只有演员们的演技，但是故事太没意思了
purelan,2024-12-10 18:42:59,湖南,3星,0,无脑看看，都是熟面孔，好笑也没有特别好笑，但也还行。爱的迫降亚马逊版。
мυrρнy.,2024-12-28 21:07:57,北京,2星,0,卖蠢的那类喜剧片
janes,2024-12-10 23:20:14,北京,3星,0,情节比较套路，情感还算赤诚。
烟落嗓,2024-12-05 10:14:09,陕西,5星,1,希望更多的人能看到这部电影
正北偏北,2024-12-02 22:55:30,中国香港,3星,1,挺好玩的
e|理智型神经病,2024-11-03 22:54:39,韩国,2星,2,挺难看的，想表达的太多，结果四不像，多给柳承龙一颗星
7amb,2024-12-05 23:01:16,陕西,3星,2,挺不错的合家欢
危地马拉食蚁兽,2024-12-04 09:15:59,上海,3星,1,三星给三个老外。
笨zhu,2024-12-09 21:55:35,韩国,2星,0,非常弱智
张翔森,2024-11-18 22:20:40,韩国,1星,4,诸如此类的题材模式化非常严重，只不过换了个体育项目而已，与《国家代表》、《梦想》等等电影有什么区别？
秋本桜,2024-12-01 22:03:52,北京,2星,3,尬，感觉各种努力想要复刻极限职业
君心可晴,2024-11-09 17:01:53,韩国,4星,2,偶遇路演，看见了导演和一众主演。……电影本身还不错，喜剧体育题材。……歪果仁主演那帅气的外表和忧郁的眼神加分。……片尾彩蛋是蒙古骑射，如果热卖可能会有续集。
马耳东风,2024-12-01 20:17:49,山东,2星,1,如果放在四十年前算是勉强能看的商业电影，放在今天属实有点💩
专业非认真刷片,2024-12-09 21:39:18,上海,2星,0,不太好笑的喜剧片
산의 나무.,2024-12-03 22:18:02,天津,3星,0,"有槽点 也有笑点,图一乐还凑合,卡司不错 加一星~"
四十,2024-12-05 19:23:14,广东,3星,0,还挺好笑的～
