用户名,评论时间,IP属地,评论分数,有用数量,短评内容
刘浪,2024-03-05 00:10:36,广东,4星,3,很舒服，以记录的方式阅读，于是整体是阅读阅读本身，两部书作交替，并将镜头从情境中剥离开，赋予他们单字的语义，连贯的镜头组表意被拆解，犹如从词句中抽出单字，重新造词，语言与视听一同生成了。
Parity,2024-02-28 16:16:39,天津,3星,13,#74. Berlinale Encounters3+建立了词汇与影像直接映射关系的语言学电影，并用剪辑完成词汇的组接，即造句。影像质感其实在类似电影中常见。母语者观看会有更直接的反应
seamouse,2024-04-04 13:46:55,中国香港,1星,1,何止私影像，简直就是古希腊沉思录学习心得，还要把个人碎片笔记公开表达出来催眠。好吧，我承认对我是催眠，对他人可能是阿芙洛狄忒泡沫的灵性启发。反正不属于彻底排斥诗歌和身心灵的我
藍色大門,2024-11-29 23:46:12,江苏,4星,4,语言的目光。
圆首的秘书,2024-03-03 23:05:32,北京,5星,13,很厉害。古希腊似乎从来就是以一种碎片的形式呈现在世人面前，无论是残破的雕塑还是诗句，但这并不妨碍它以断章的形式流传和被观看和阅读。皮涅罗用影像片段与词语碎片的对位效仿这种残破，制造出超出文学的迷人诗意。但更重要的是，影像可以直接跨越文字勾起爱欲：眼前每个毫不相关的事物都会让深陷爱欲的人想起ta的对象，哪怕词语早已脱落——抑或如结尾所昭示的那样，于爱而言，影像从来就是先于词语？一种极其个人但极富创造性的联想。
把噗,2025-02-02 11:42:49,浙江,4星,2,更自由的电影形态
黑桃生,2024-04-04 13:45:54,中国香港,1星,0,#HKIFF# 多邻国语言学习重复大法，我今天学会了：Para mi mi la miel mi la abeja.
胤祥,2024-02-21 08:34:45,德国,3星,12,#10319. 74th Berlinale-奇遇。7分。本片的一些尝试很有语言学和电影符号学想法，比如尝试通过将声音能指与（无关的）运动影像（短时长的单镜头）连接起来，重复三遍再抽去声音，而赋予该影像以某种”不在的能指“；在打破能指所指链条之后，再进行新的蒙太奇组装（这个玩法挺有意思的）；同时又将记录声音能指的单词的图像带进画面序列当中（主要是本片基于的两本书，尤其是萨福的诗作残稿），并以多种媒材来进行声画方面的组合实验。做得很有创意，挺适合搞电影理论的学院派写论文的……
Pincent,2024-02-21 23:08:17,湖北,4星,3,7.8 在叙述和剪辑上都有所尝试，很久没有看过这么令人舒服的胶片影像了。
bloom,2024-02-27 18:49:07,葡萄牙,4星,1,Pavese在都灵，萨福在海边。小清新斯特劳布。在南欧玩了一小圈之后，很难不觉得每一处都这么灵巧而可爱。
Qtn,2024-04-05 00:33:02,中国香港,4星,2,角色扮演和词语-画面的对应中有些奇妙的游戏感
Rosine*＊,2024-02-21 23:40:39,湖北,3星,3,+
Mr. Lei,2024-03-29 16:03:43,中国香港,未评分,0,#HKIFF48#
迷宫中的站起来,2024-02-27 13:29:11,浙江,3星,0,+
罗宾汉,2024-04-06 00:16:48,广东,3星,2,【香港国际电影节】与其说是电影，还不如说是一种实验影像，各种停格、重放、声画错位，均让人倍感迷惑，更像是导演对这位意大利作家的影像化阅读报告。喜欢挑战传统叙事片的影迷不妨一看。
Orpheus+,2024-12-27 10:58:19,北京,4星,0,7.0。借助散失的文本碎片，音畫分離實驗有效地重新建構了語詞的所指與能指。
Kinyuan,2024-02-21 07:46:26,德国,未评分,0,@Berlinale2024
Cardinal,2024-07-21 20:23:19,意大利,3星,0,【C+】
DeckardYang,2025-02-07 08:39:32,四川,3星,0,【3】w/c
海纳百川,2025-02-07 06:05:15,安徽,3星,0,《你燃烧了我》全民阅读 文字与影像
Ada的B计划,2024-02-22 14:07:24,广东,4星,0,3.5
下落不明,2024-03-30 01:00:54,中国香港,4星,2,【HKIFF48 香港藝術中心古天樂電影院】【個人開鑼】重复、失语，元素逐渐褪下，声音消失，颜色不见。纸质书籍、图片的独特感觉，笔在纸上摩擦，文字在影像的帮助下不再凝固，碎片变得连贯。
本位,2024-04-06 20:03:53,上海,4星,1,一开始还以为会是和西科拉克斯类似，会从确定的几重阅读的视角转向扮演的不可知，可惜后面落脚点只是到了图像-语言基本的关系之上，相比之下是弱了些
