用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Nebula,2024-12-07 19:59:12,辽宁,4星,18,其实近三年肉眼可见的趋势是欧美世界电影产业对性少数群体的态度大幅紧缩，这种独立影片应该得到更宽容和支持的态度，否则以后只会越来越难…
roomfordawn,2024-11-29 20:44:46,北京,未评分,14,导演每年冬天稳定输出一部happy ending🎄
装老阿姨的少年,2024-12-05 15:35:09,辽宁,2星,10,还是很佩服导演一年一部地拍，在圣诞季传递了一种温暖。拉拉爱情电影需要有一席之地，哪怕是一种甜水电影。
◻,2024-12-03 01:49:36,福建,4星,25,导演让我们每年圣诞都能看到这样一部都市青年拉拉爱情喜剧，功德无量。
CC的猫,2024-12-15 22:17:35,河北,5星,7,又给自己找了个好看的女演员演情侣哟，新女主的眼睛也太好看了吧，从知道Bailey分手那一刻，Sam的蓝眼睛亮的像小猫，最后才在一起可急死我了。Alex的电影一直都很细腻，请每年都来一部甜蜜浪漫喜剧，让Alex姬片成为圣诞传统。她有自己的缪斯类型，前女友那个演员都跟十四天和春天里的女主长得很像，开始我都认错了，以为是一个人。
mm豆,2024-12-03 01:54:36,四川,3星,2,可以说吗，期待越多失望越多，每年一部虽然很不容易，但是导演拍摄和演技没什么进步，剧本也越来越无聊
祝,2024-12-11 23:13:30,天津,4星,7,一定要坚持拍下去啊导演！
Daaaaantje,2024-12-10 15:50:12,天津,3星,0,有了个推拉的
Leslie.W,2024-12-01 22:46:49,山东,3星,2,演技还是尬尬的哈哈哈哈哈哈 but Sam is a cutie pie！
睿,2024-12-01 14:53:14,北京,3星,0,导演的演技还是老样子。😅另一位女主好眼熟，一定是看过她另一部姬片。
58494,2024-12-24 22:41:34,广东,3星,2,导演的水平很稳定哈哈哈哈……但舍不得打2星，毕竟导演还坚持在拍中学时的玛丽苏梦。导演这次选的女主角好灵哦，像个小精灵一样。
笙泪俱下,2024-12-06 00:19:01,浙江,4星,8,还是要谢谢导演一年一部姬片，以一己之力扩充圣诞姛马拉松片单，Sam真的很漂亮天惹，导演选自己戏里女友的眼光挺不错
上世纪老人家🍦,2024-11-28 14:28:00,中国香港,3星,4,sam is cute
冈崎真一,2024-12-06 21:30:27,韩国,3星,0,暖暖的 可能因为我喜欢吃蛋糕和面包吧！
木兰芽品三口,2024-12-18 20:22:16,北京,3星,1,果然我只适合看她前两年拍的租个女友回家过年的土狗爱情… 无聊的剧情平到看了两周才拖完。做的小蛋糕看起来也不是很好吃，不过作为学术蝗虫我今晚居然吃了三个赛百味，贴冬膘简直离谱呜呜呜。不好看的片子只会令人烦躁的食欲大开呜呜呜，还是要及时止损。但是每年自导自演的精神值得学习和鼓励嗷。
Robin Robinson,2024-12-22 12:28:16,吉林,5星,1,本来就是那种看完没什么印象的轻松假日电影，还非得这么复杂。出了几个情侣已经数不清了，俩人都单身还都来电也抓不住个机会。很talky的电影，甜点确实让电影甜度上升
多余冰川水,2024-12-25 20:21:50,云南,2星,0,没有演出感情的推拉，看完毫无触动。评分也太宽容了吧。
u,2025-01-22 02:10:24,河北,5星,0,Merry Christmas!
路人甲,2025-01-09 12:39:51,河北,4星,2,这个没那么尬了喜大普奔 fight club这是什么鬼电影club。。。。。of all the movies。。looking for her at least picked gone with the wind (not that it’s a good pick either)
和光同尘,2024-12-24 00:39:42,福建,4星,1,主打一个姛的圣诞传统，特别喜欢圣诞这种温馨的节日氛围（这个女主也太漂亮了……）
N0n53n53,2025-01-11 19:26:35,上海,4星,1,挺好的。对圣诞爆米花电影不需要什么期待。但女同性恋也需要自己的假日爆米花电影…就这么简单
喝咖啡不加糖,2024-12-19 16:04:56,浙江,3星,0,匆匆忙忙看的，没什么印象深刻的。一直错过的话，大概只有电影才会大圆满吧。
verapoo,2024-12-27 07:49:19,越南,3星,0,圣诞就要看女同快乐小甜饼
英吹斯停,2024-11-30 16:40:58,宁夏,3星,0,还是姐
咸浣熊,2025-01-29 00:34:18,重庆,4星,0,很可爱啦。sam真的好美，神态里面那种羞怯，直视人的那种帅气。“我很珍视你和我们的友谊”，“我不想毁了我们的友谊”，但是挑电影都是挑那种朋友变爱人的，还选最好的位置，ost是“我知道我不该和朋友搞”，讲好做朋友但还是吃醋闹别扭，呵呵，诡计多端的女同。
原来名字可以起那么长啊啊啊啊啊,2025-01-29 20:45:54,上海,4星,0,friends become lover的暧昧最美好
用电影燃尽欲望,2024-12-16 23:50:31,陕西,4星,0,3星   对题材打4星。女导演加油呀，说不定可以成为另一个“文学创作”上的伍迪·艾伦。因为爱而小心翼翼，不敢触碰，生怕破碎。
小白,2024-12-15 20:11:37,北京,4星,0,剧情挺平的，也并没有被俩人的感情打动。但挺适合当作假日片来看的，烘焙店、唱片店和家里都装饰的很漂亮。多出来的星是给吃吃喝喝的。
Jacky,2025-01-24 21:19:31,重庆,5星,0,只是给题材，片就还好。
Faith Yang,2024-12-16 00:06:10,湖北,5星,1,无条件支持了
八字猫,2024-12-05 14:22:55,北京,3星,0,好尴尬纯情眼神拉丝的性张力，导演和女主演都长得好眼熟啊，，
Girlsunknown,2024-12-30 00:27:47,天津,3星,0,比起之前拍的，这部感觉很一般
桶裝豆腐,2024-11-30 00:13:44,海南,4星,4,前天看的，可愛的片子！喜歡兩個人在大空間裡對視的感覺，即使身處人海中，視線對上的時候我就知道我們是同頻的。想到Frances Ha。
