用户名,评论时间,IP属地,评论分数,有用数量,短评内容
豆瓣路人己,2025-01-10 20:28:39,北京,2星,121,最好笑的事情是不让突出贾冰是导演
赫奇帕柠,2025-01-10 19:41:17,吉林,3星,102,假爸爸真感情，有部分确实挺搞笑的，但是挺非东北人硬说东北话真的太别扭了。其实我能理解贾冰想拍出来的那种感情，其实还行。
恨自由俑,2025-01-12 21:44:20,湖北,4星,174,徐峥那段过于真实了，真的演活了，太像了！电影梗不落地，还很接地气，可以说是从头笑到尾！
逆旅夜行,2025-01-10 23:11:48,北京,3星,62,整体水平还可以。贾冰一人分饰两角，一个古板低情商过气音乐家，和一个小老板模仿秀混饭。尹正演他崽。假爹真儿子一路演出骗钱，最好笑的部分是澡堂子里被人追杀的裸奔片段，大有《食神》里李兆基那段吃完爆浆撒尿牛丸的癫狂，不过是东北式的。后面也没太狗血煽情，满头插针搞针灸太搞了。近期几个喜剧里，这部算相对能看的。
女神的秋裤,2025-01-10 21:53:50,山东,2星,100,5/10故事是个有很大发挥空间的故事，但剧本、导演以及表演都很平庸。剧本上没有太大矛盾冲突和起伏，笑点比较低也比较硬，情感的处理更加寡淡，双父子的环状解构并没有什么化学反应。剪辑和衔接上都有些问题，不太连贯。贾冰表演还过得去，裸奔都用上了，很卖力。尹正演技和剧本一样没什么起伏。整体上说中规中矩都差一点。
STC！,2025-01-10 23:31:11,江苏,3星,12,演员阵容还可以，情节就那样，贾冰的观众缘挺抗造。
布拉德很皮,2025-01-10 22:15:07,山东,2星,80,挺喜欢贾冰的，但给它个及格分吧，感觉在骗他。
云图,2025-02-02 20:08:29,湖北,3星,3,不是烂片，没那么糟糕，结局好玩
周扒皮,2025-01-11 17:36:39,广东,3星,11,3.5公路喜剧片配乐优秀，制景道具很有水平好笑不low的段子流畅完整的故事倪虹洁真美
桃桃林林,2025-01-11 20:33:14,北京,2星,43,带着去看烂片笑话的心态去看的，其实没有预想那么糟糕。你能看出剧本是有诉求的，两代人的彼此理解，以公路片的方式来加深感情，包括多维的父子情。当然，也仅限于此了，剧本问题确实一大堆，感觉可以改的地方确实太多，表演与喜剧部分也基本都是玩尬的。有个有趣的地方是，影片加入了非常多动作，感觉是不想太多语言梗搞得像小品，加入动作可以更电影一些，只是，这动作全是硬加，太多的毫无必要。不过，里面有些土话还挺亲切的，另外，那首歌还挺好听的，很能带来童年回忆。
晓思丽英,2025-02-02 09:56:10,河北,3星,2,徐峥客串38
Longnel,2025-01-12 21:40:50,广东,3星,2,贾冰一唱歌，笑S人了
FY7,2025-02-02 17:36:40,湖南,3星,0,剧情一般，笑点还行。
惘然,2025-01-15 19:14:03,江苏,2星,43,这部电影告诉我们：东亚父子之间可供挖掘的东西确实太多了！但，不能指望爹来挖掘。
没有去过沙漠,2025-01-10 20:23:18,江苏,1星,191,每年一月份都有一堆不好笑的喜剧片上映，这仿佛已经成了内地电影市场的规律。
刹那。,2025-02-02 20:38:42,辽宁,2星,26,一定要错位吗 就亲父子来一场公路旅行一边为自己赚医药费一边修复父子关系有什么问题
新大学联盟,2025-01-10 20:06:35,黑龙江,3星,9,不会是跨年吧有文本跟着，及格应该没问题，冲一下7（恶意差评可能会掉一到一星半）第一次导拍成这样挺不错了，有过多少不眠的夜晚呀！
Lazy Captain,2025-01-14 21:41:26,河南,2星,19,差剧本加新导演加匠气表演怎么可能不灾难，挺boring的小品电影，很难忍受硬怼演员面孔的特写镜头，尤其是尹正从生硬装狠的表演和油头姨态的造型，都让人不适，很平淡不搞笑不煽情还好没有尬到极点的剧情，打两星足以。
咖啡只喝速溶,2025-02-04 02:29:55,辽宁,3星,1,沈阳拍摄，虽然建筑换了logo，商店改了名字，但还是一眼能够辨认出大部分场景。可惜剧组拍摄时出现了一些负面新闻，没有起到好的宣传效果。电影中规中矩，说教味道太浓。
小张是我321,2025-01-10 19:36:42,北京,5星,45,贾冰尹正演父子很好笑
韩先生的电影,2025-02-03 09:17:34,山东,3星,0,反正在沈阳选的景都挺好的。
弓谷所長,2025-02-03 14:18:01,江西,3星,0,假爸爸原来导演是贾爸爸，故事老套了点，凑合看看吧。
null,2025-02-02 20:24:33,广东,3星,0,尬
九月七,2025-01-12 21:38:37,湖南,5星,3,挺搞笑的，贾冰的实力还是在的，在搞笑的同时也给人传输正能量。
拔剑四顾心茫然,2025-01-10 20:45:35,河北,1星,116,没苦硬煽的典型，没喜尬笑的模范，贾冰的导演天赋和尹正的演技水准不分伯仲，他们已经很努力了，但结果依然像个屁。假爸爸和假儿子通过对方的回忆和名气互相救赎，最后换回了真爸爸和真儿子的原谅，多少年无法和解的关系用90分钟公路喜剧（段子拼盘）就完全春暖花开了？照这么说全国的心理医生都应该下岗，让那些父子关系紧张的原生家庭携手走进电影院吧，合唱一曲《人间第一情》，互相骂几句王八犊子，出来再光屁股跑几圈，哈哈一笑，除了脑血栓更严重之外其他一切都好。一会儿碰见故人，一会儿来个情人，一会儿来帮敌人，一会儿想起家人，最后都是好人，这种大杂烩一锅出式的喜剧编排几乎已经成了公路喜剧的八股文，是个人拿过来就写，太烂了。贾冰老师要真想写下岗潮，可以先看几遍《漫长的季节》。另外，尹正如果模仿年轻时的成龙，扮相会很不错。
时光旅人,2025-01-12 23:49:07,江西,2星,4,#电影院  贾冰确实是个优秀的喜剧演员，但……整部影片还有王家卫的镜头杂糅进去表现啥也不像。有几处电影语言用的还不错
夫名,2025-02-06 02:44:05,安徽,3星,0,其实还行…
非魚,2025-02-03 18:58:05,浙江,2星,3,不知道下一个出来自导自演的是谁~
朝阳区妻夫木聪,2025-01-14 19:49:04,北京,1星,61,老钟男人热衷做的四件事：认人做爹、给人当爹、酒桌话当年、父子假和解。
梦里诗书,2025-01-10 22:28:56,湖北,1星,55,首次自导自演的贾冰，在《假爸爸》这部喜剧电影中，未能展现自己所谓的天赋，相反更为加深了对其只能拍小品，难以演好电影的刻板印象。而《假爸爸》这个故事本身，也本就是一个小品的体量，却硬是被生硬地拉拼凑，强行撑起了一部电影的骨架，隔靴挠痒的笑，啼笑皆非。
豆友209640492,2025-01-10 22:58:29,黑龙江,1星,55,看了将近一个小时，一个笑点都没有，实在看不下去，没看完，离席而去了。
？,2025-01-14 12:54:29,重庆,1星,25,大过年给观众喂史是吧，2024票房还是不够烂，2025再接再烂
WIKI魏,2025-02-04 12:49:12,北京,2星,0,本子有想表达的东西，一场公里旅行+遇到各种人，2对父子如何和解。主线老父亲这条的和解交代比较清晰，父亲最后的道歉来得顺理成章。假爸爸这边稍弱一些。比预期好。
обломов,2025-02-04 13:43:01,江苏,2星,0,没有太滥情已经算成功了
わかば,2025-01-11 15:56:13,河北,1星,38,浩良也应该跟贾冰说一句：你没这个天赋，别导了。
玉弓,2025-02-03 13:13:08,河北,3星,0,像《天下第一情》一样老旧。
旅途人生,2025-02-04 17:40:46,北京,3星,0,还凑合的喜剧，为了给曾经是歌星的父亲治病，十月遇到了冒充自己父亲唱歌的骗子王春生，威逼利诱开始了唱歌之路！在这个过程中发现自己作为儿子还没有一个歌迷更了解自己的父亲。逐步和父亲和解。而王春生也通过和偶像儿子的相处，弥补了曾经对儿子的亏欠。总体来说还是很不错的
福雷斯特冈普,2025-01-12 18:47:32,北京,3星,0,6.6.正常小品喜剧吧。看点主要在于贾冰自导自演和分饰两角，而且两个角色反差还不小，笑点主要在他身上，尤其是从澡堂出来以后那段，确实是爆笑水平。尹正就充当一个不高兴的作用，两个人的公路旅程基本就是全片了。煽情和贾冰的部分小品一样很生硬，不过两对父子之间的关系还是有必要，只不过限于导演能力不够动人。基础功能完成的还是很好的，贾冰第一次当导演值得鼓励，以后就按这水平拍会有应得的市场反馈的。不过非东北人学东北话还是不够地道，听着别扭。
Véra知彼不知己,2025-02-06 14:53:52,江苏,3星,0,合格的冰式小品 笑点不三俗挺好的 但是幽默但不搞笑 中间有段逃跑逻辑我都没理清 剧本不行啊
