用户名,评论时间,IP属地,评论分数,有用数量,短评内容
kinder23,2024-12-21 20:12:14,中国香港,3星,42,CG还是很酷炫，黑色刺猬显然比蓝色更帅气，索尼克用上绿宝石也差点打不赢夏特，最终拯救地球的也是反派团队，除了中间略有些无聊，其余还是娱乐性十足。金·凯瑞不玩了，干脆送大礼，一人分饰两角，玩个痛快。
20个小明≯,2025-01-05 20:13:15,北京,2星,40,闪电耗子终于回日本老家了，还在晴空树上致敬了一把《阿基拉》23333，这个系列最大的看点已经沦为每部解锁的新人物，彩蛋预示还会有续集，所以即便是垃圾，只要坚持拍下去也会收获一批死忠！搞创作一定要有信念+不放弃+脸皮厚…虽说每代人都有自己要领的鸡蛋，但无论如何也没想到竟然真有在首映礼发生鸡蛋的，还是两颗（比当年《火星救援》发生土豆更抽象…
桃桃林林,2024-12-26 23:07:34,广东,3星,35,金凯瑞也有点时代的眼泪了，很复古的搞笑方式。整体还凑合，就是稍微有点长
饮歌,2025-01-07 07:02:37,加拿大,2星,53,我也不知道自己为什么要看这电影，要低幼不够低幼，要成熟也不够成熟。Jim Carrey一大把年纪还在使劲扭动身躯制造笑点，我看得挺心酸的，真的不是贬义，就纯粹心酸。
Verloreneseelen,2024-12-21 10:24:44,美国,4星,55,没玩过游戏也没看过前两部though 但是还不错 真的很死宅向 感觉全场宅男都沸腾了（非贬义）索尼克吐槽役太deadpool了 两个doc实在鬼畜啊啊啊笑死 中规中矩经典套路剧本冷热笑点都还挺多 shadow这个人设太好了 就爱看臭着脸把全世界给纯爱了的。。差点福瑞控又发作（
瑞鸡,2025-01-11 10:54:08,广东,3星,32,想看基努里维斯，结果没注意他只是给刺猬配音，然后我看的是国语版😂 另，《龙珠》的影响力太大了，两个超级赛亚人打得火热。
张咏轩Wayne®,2025-01-10 17:30:05,内蒙古,2星,26,故事一塌糊涂的硬扯，但节奏如闪电般起飞，全程激光超速大战没停歇，从头打到尾，运镜超一流，可惜排片全是小厅国配，小银幕损失了很多细节和威慑力，新登场的反派夏特shadow与基努里维斯的声音太贴合，这个有血有肉的刺猬超英居然是个念旧与痴情的情感派，与索尼克从敌对阵营变成拯救破碎世界的惺惺相惜，金凯瑞一人分饰两角相爱相杀贡献出相当多的黑色笑料，派拉蒙的后期制作还是拿出诚意的水准之上，上天入地华丽酷炫，但IP故事的空间肉眼可见的被压榨所剩无几，一直引用新角色的登场来拓展故事线，可依旧无法避免文本幼稚主题说教的毛病，一边是穿梭于城市街道与旷野山头的闪电大战，一边是血脉同亲的马戏团小丑表演，同场小孩们看的很开心，彩蛋新角色粉色刺猬登场，但真的可以不要再拍了…★★☆
Damnson,2024-12-24 18:44:51,美国,3星,53,比2稍微紧凑些，但是这剧情也太低幼了，真的是18岁以上禁止观看了，导演就不能学学隔壁inside out让成年人也能跟着enjoy吗？
HatcherZ,2025-01-12 15:55:55,广东,3星,7,虽然和上一部一样幼稚，但好看了不少，可能是有借鉴死侍的风格，添加了些彩蛋和吐槽，加上打斗场面也大了不少，总体是更好看了一点，有情怀或者童真的看看无所谓。有点希望更搞怪一点，彩蛋也没那么多，东京的场景有点少。所以真的是一部一个新角色啊，蛋蛋博士是真的好难杀，这都当了多少部反派了，这系列还能拍下一部再次世嘉感叹太有钱。福瑞控看到银幕上的毛茸茸还是忍不住觉得好可爱，新角色黑红配色好好看。#cinity led
沈精病,2025-01-24 17:00:36,浙江,3星,3,还是要继续看的，而且在经过前两把的探索和打磨之后，这次算是把故事和特效结合的比较好了，就是主角团这部太吵了，男女主+索尼克+塔尔斯+再加个傲娇的纳克鲁斯也被带坏了，嘴巴一直巴拉巴拉说不停，这么一对比黑刺猬夏特可就太帅了
宁缺✨毋滥,2025-01-12 12:55:12,江西,4星,12,太帅啦！完全高出预期，不再像前两部一样无聊，制作水准也是高了一个档次，明显的经费充足。蛋头博士这次真的没了，还是有点忧伤的，少了蛋头，谁还让我喜笑颜开。新角色的强度超出了我的预期，索尼克的爆发力也挺惊人。这一部也玩出了许多电影梗，哥斯拉、大侦探皮卡丘、最后的激情、绿灯侠以及碟中谍。总之，妥妥的合格的爆米花爽片。
在JFK没等到你,2024-12-22 07:03:34,美国,5星,42,超音鼠不相信基督山伯爵的复仇论
飓风H2,2024-12-30 23:08:05,广西,3星,6,01:50:17，好看
обломов,2025-02-02 14:06:18,江苏,3星,0,“很高兴认识你，邦邦” 懂的都哭了
天鹏,2025-01-11 01:38:53,广东,3星,1,有点像七龙珠
Puff,2024-12-28 14:09:58,中国台湾,4星,33,4.25首集起源故事過於簡單，續集尋寶冒險故事節奏拖太長，拍到第三集總算將1和2的缺點進行中合改良，毫無疑問是系列最佳，節奏、故事、動作場面、情感核心都安排的面面俱到，夏特的登場貢獻了龍珠式的戰鬥場面，以及作為索尼克的成長反面，其黑暗又陰鬱的復仇之旅為本片帶來紮實的情感鋪墊。金凱瑞再次回歸蛋頭先生，且是以Double身份回歸，在爺孫共舞的分飾兩角下，也將金式浮誇喜劇演繹推向系列巔峰，在近年早已半退休的狀態下，只有本系列的劇組珍惜著金凱瑞的好，一次又一次邀請他回歸，此次蛋頭先生在情感面上的動人犧牲，觀影過程感慨萬千，在金式喜劇幾乎已快消失的20世代，這真的是最後一次看金凱瑞出現在本系列了嗎？希望不是。「即使星星消失了，星光依舊閃耀著」，拍到第三部主創們這回真交出了令人全方位滿意的電玩改編之作。
cliosong,2025-01-10 21:50:40,天津,2星,3,孩子们也值得看更好的吧。
一贫,2025-02-10 18:24:32,广西,3星,0,这是要壮大刺猬联盟啊，每集收编一个外星小动物。PS：既然夏特都没事，那蛋头博士应该也没事吧，不然下一部就不好玩了。╮(╯▽╰)╭
囍弗斯,2025-01-25 22:05:27,辽宁,3星,0,10岁以上不推荐，金凯瑞激光舞还行。
豆瓣路人己,2025-01-05 20:11:08,北京,2星,9,一直在想这个系列为什么能不断拍，看到结局以为系列完结了，结果彩蛋一出，还有第四部啊
Anything Goes!,2025-01-10 18:02:47,福建,2星,2,一直坐到彩蛋都播完才走，跟看漫威似的
Nathanael,2025-02-02 13:42:11,广西,4星,0,“暗影计划”！！！！！
半日光辉,2025-01-16 18:01:45,辽宁,3星,0,最后二人决战还行，很像龙珠的那种打斗。而且确实是变成金色了。
Crazy Ivan,2025-01-10 17:23:05,广西,4星,7,新梦  伐木累！无脑好看，低幼科幻温情搞笑超英片，梗还不少，最后两个彩蛋。
metaphor17,2025-01-11 13:30:15,广东,3星,1,全看金·凯瑞
浆糊骗子,2025-01-14 00:13:19,北京,3星,1,新知识：蛋头防射线！
MUCCHA GAME,2025-01-06 18:27:16,中国香港,4星,16,故事结构比第二部好 但情节大致上还是像第二部 基努的配音过于适合美强惨的人设 双蛋头的部分胡闹但跟有趣不太沾边....
荒林,2025-01-12 14:41:36,广东,3星,1,打的好激烈但还是很催眠，只有金凯瑞贡献了几个笑点稍微让人激灵了下
一條魚佔滿了河,2025-01-06 00:37:58,北京,3星,2,雖然依舊略顯低幼，至少能勉強及格，已經是系列最佳了。相比於第一部的故事羸弱、第二部的話癆冗長，這一部至少並不會讓我太不耐煩，即便從故事到彩蛋已經明顯的超英化了，故事的完成度和合理性甚至超過了近兩年的大多數超英片，高潮的動作戲設計得也可圈可點，甚至連笑話都不那麼讓人想翻白眼了。故事令人意外的純愛，索尼克與湯姆、夏特與瑪麗亞、蛋頭博士與石頭，每一對都有點小甜，還加了頗多迷影致敬，並且還有我一貫吃的弒父情結。但凡前兩部能有這一部的質量，我可能就不會一想起這個系列來就想罵髒話了。
空语因明,2025-01-30 15:39:21,河南,2星,0,5分。故事陈旧，画面陈旧
FY7,2025-01-31 18:27:19,湖南,2星,0,剧情更低龄了一点，不如上部。
谢谢你们的鱼,2025-01-12 16:17:01,北京,4星,14,龙珠化了，很赏心悦目的特效大片，场面戏非常出色，金凯瑞也是拼了。
1984频道,2024-12-24 04:55:26,美国,3星,13,这个系列终于找到了自己的方向，刺猬萌宠类的形象没什么卖点，要加重动作段落。本片得节奏设计也算明快，一环扣一环的动作和歌舞设置，一气呵成，把动作设计成了龙珠式的毁天灭地，一拳从地球揍到月球，这都是日漫的想象力，也蛮好的。金凯瑞时不时飞起来的表演是我看这个系列的原动力，这部金凯瑞也算是演爽了，尤其爷孙红外线跳舞实在可爱，这类独属于金凯瑞表演时刻，就且看且珍惜吧。现如今好多子供向合家欢电影里面尽量避免死亡和牺牲的环节，我觉得完全没必要，本片这一点做得挺好，起码影片里面有三个正面角色是以逝去为结局，先不管最后彩蛋是个什么意思，这个有牺牲有死亡有离别的情绪，是一部电影应该包容的元素。影片结束大家给予了稀稀拉拉的掌声，圣诞档期里这部应该表现不错。
🔒NANIMONO🔒,2025-01-11 20:36:56,江西,3星,2,比第二部还缝缝补补，世嘉和派拉蒙已经完全形成一种路径依赖了，也证明当年该建模确实是个正确的选择。虽然有强捧夏特削索尼克战力之嫌，但看在结尾用了Live&Learn上还是可以的
Keith Lee,2025-01-07 21:22:24,泰国,3星,3,芭提雅Central Pattaya，SFX Cinema，4DX体验太棒了，前半段不行，很低龄化很幼稚，中段开始发力，shadow+两个蛋头博士看点十足，结尾更是爽翻天，把整个月球削了1/3！片尾彩蛋女版索尼克登场！（不知道她叫啥名字，但是看着很眼熟就对了，肯定有第四部）
亦则,2025-01-31 23:35:56,辽宁,3星,0,延续了前作的创作路数，情节套路得四平八稳且简单粗暴的大IP科幻游改儿童爆米花。三部曲看下来，索尼克和他的小伙伴们着实有着单刷复联的实力，印证了《一拳超人》的画风定律：角色的画风越卡通/抽象，实力越BUG。金·凯瑞这次一人分饰爷孙两角，依旧人保戏。打戏令人联想到《钢铁之躯》，索尼克和夏特双抗弑星炮，这场面也挺像《高斯剧场版》的。当你觉得一部影片的配乐是最大亮点时，着实可以说明该片的其他方面有多么的乏善可陈。大概因为电影本身的乏味，也可能缘于我确实已经过了看这类电影的岁数了。
大宝魚,2025-01-11 22:59:07,浙江,3星,2,看几个可爱的小家伙拯救世界还是蛮有意思的，当然还有金凯瑞的蛋头博士，只是编这个故事真的需要三个编剧吗。
李格非,2025-02-09 08:31:43,新疆,3星,0,人物太可爱了。剧情没什么意思。
猪Q,2025-01-10 23:09:31,河南,3星,3,可能抱期待值低，也可能因为没看过前两部压根没有任何预期，我还挺喜欢的，低幼感特别适合上了一天班的我，去电影院，因为可爱的角色和傻乎乎的剧情而笑出来。
失去梦想的柴犬,2025-01-03 11:54:08,美国,5星,24,观望了一阵，还是看了，虽然依旧儿童片但是系列确实是越来越好了，另外这次突然想看还是wokie抵制，人和刺猬单纯friendship就破防creepy😅，但是成年男stalked未成年女就ship，Mary sue，Grace randolph这帮沟槽的出生，，既然wokie抵制了，那只好无条件支持了🤣
理易封,2025-01-29 21:16:24,辽宁,2星,0,剧本同质化已经不能算什么缺点了，大家都这么拍，那就看故事能不能顺下来了，但这片是啥啥都没法看，低幼弱智，而且基础核心的速度实在成迷，一口一个小队，结果单打独斗完了还得靠其他人擦屁股……俩彩蛋应该是最近看到最差的，莫名其妙
一只特特呦,2025-01-12 00:36:13,北京,3星,0,"注意片尾双彩蛋，字幕后还有一个。小坏蛋+好坏蛋一起打大坏蛋拯救地球，只有爷爷受伤的世界，月球：我呢？这离谱程度超过了柯南剧场版所有大爆炸。动画毛发质感看起来不错，面部表情的情绪变化做的感觉很业余。金凯瑞这夸张的演出也太羞耻了😂一直以为夏特（杀神配音是吧…）强化后是粉毛，结果看片尾是金毛带红吗？现在我们有两个赛亚人了。Knuckles：Tails确实很像皮卡丘啊~彩蛋粉毛雷神托尔还有续集{(°△°; ""}!"
理紀,2025-01-05 16:12:23,上海,5星,14,shadow激推 为什么最后良心发现了 领了便当又退回去太好笑了 wouldn't it be nice 第三部融了SW世界观和设定反正气死狗迪乃世嘉毕生任务w 尤其是黑暗面和做选择 光明正大的玩梗 喜翻儿 +又一部迫害涩谷成功✔️ 不过米日都在怀念70s80s90s 这就对了
落木Lin,2025-01-27 12:01:15,福建,3星,0,没想到《刺猬索尼克》系列能走到第三部，甚至第四部已经定档。这个系列口碑平平但是仍能取得好的票房成绩，和索尼克、金凯瑞的个人IP有很大关系。但更重要的是主创对系列的定位很明确，就是走偏子供向爆米花路线，纯燃纯爽再讲点司空见惯的大道理，一部老少咸宜的合家欢电影就诞生了。而且主创也很听劝，前期筹划流出的索尼克建模图丑人一脸被喷回后改成了现在这一版，看得就明显顺眼多了。这一部也取了前两部精华并弃掷糟粕，压缩时长加快节奏，观众爱看金凯瑞这次直接演爷孙两个一次看到捧腹，场面越做越大，特效越磨越好，已然达到了合格爆米花片的门槛，全球票房小爆也不奇怪了。可惜的是把蛋头博士写死了，希望下一部能以另一种方式回归吧。
KLY,2024-12-21 00:51:43,中国香港,3星,2,20/12/2024 @ K11 Art House。今集冇咁似打機，但變左行合家歡向 // shadow係東京被圍捕時搞到好似John Wick咁
