用户名,评论时间,IP属地,评论分数,有用数量,短评内容
süden,2008-12-31 18:37:11,,4星,5990,情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。看到有公众号截屏引用这个十一年前短评做庸俗群众代表我很荣幸。权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。文艺青年批评我追求真相庸俗，只有追求概念正义才高贵。可是我认为，法律和人权，都不应该成为知识分子自恋的工具，无论概念有多好，只要结果不能实现对被害人的公平公正，就不是完美的应用。其实法律上，陪审员可以利用分歧制度使案件失审而不是匆匆结案，可以保留补充侦查择日再审的机会。现实的程序正义是互相牵制互为补充的各种条款制度，而不是单一概念无限运用
Q。,2011-07-18 02:03:48,,5星,5013,“我们会来这里，不是来吵架的。我们肩负着重责大任。我一直觉得这就是民主社会的优点。我们收到信，被通知要来这里，决定一个跟我们素昧平生的人到底有没有罪，不论做出什么样的判决，我们都拿不到好处，也没有损失，那就是我们的国家能这么强大的原因。”精采！剧本、导演、演员个个出色★★★★★
一湄,2010-11-07 01:12:20,,5星,3931,偏见，合理的怀疑。任何时候都要保持怀疑的能力。最后，当意见终于统一，每个人默默地穿上外套，离开，桌子上是刚刚一个半小时内发生的巨大震荡留下的痕迹，烟灰缸，纸团，凌乱的纸张，笔，还有那把刀。经过这些震荡后的十二个男人，不管之前是多么的抱着偏见不放，此刻都闪着光。这是人类进步的光芒。
NullPointer,2013-07-18 01:49:47,,5星,3572,投票不管用，意见领袖也没用，你得让每个人都说个够。然后明智的共识才会产生。
kissdemon,2010-04-17 18:42:19,,5星,3597,知道这是一部牛片，只是没想到居然这么牛。
根,2017-04-01 22:32:00,,5星,2717,看着五十年代的饮水机电风扇和豪华厕所只想感叹“万恶的资本主义”！
bornfreeyolo,2017-03-25 23:51:47,,4星,897,法学狗看了真的深有体会，什么是民主什么是正义，一环扣一环，你心中会有自己的答案。
省登宇,2010-11-09 09:27:49,,4星,337,这就是美国强大的原因。美国爱国教育片，建议本朝以二会为背景拍一个，意义深远。
亚比煞,2010-05-29 22:24:31,,5星,1626,人是说谎者，人是连自己也会欺骗的说谎者。因为冷漠，成见，因为麻木，可笑的自尊，或者甚至不需要任何理由的去坚持一个谎言。一个没有理智的社会，往往同时也是一个没有感情的社会。强烈推荐，精采绝伦。
狷介有乌青,2012-08-19 01:17:52,,5星,1476,美国之所以能够标榜民主，正是因为这种陪审团制度所映射出来的倾听每一个声音，尊重每一个个体。提出你的“合理怀疑”，大家来讨论，来表决，来投票。但是，并不是每一个陪审团里都有这样一个8号陪审员，而偏见永远存在
solate,2009-09-19 11:49:45,,5星,2097,罗生门，只有阐释，没有真相
艾小柯,2006-06-16 01:24:39,,5星,1539,精湛的表演，恰到好处的对话与矛盾设计。
jiyun,2009-09-07 09:42:22,,5星,1193,一个人在与11个人持对立观点的情况下如何一一说服众人并反败为胜！
鱼丸粗面,2007-04-18 20:09:08,,5星,1283,民主、人性、理智、原则。合理怀疑。
扭腰客,2010-04-03 14:55:31,,5星,1074,意见领袖在电影中的上佳诠释
10beans,2023-03-12 18:49:50,美国,5星,546,老人理解老人，矮子理解矮子，贫民窟理解贫民窟，父子不合理解父子不合，甚至天气都可以影响到人对生死的决定…人在理解他人时都会先从自身经历出发。子非鱼，所以需要陪审团去尽可能拼凑出defendant更完整的画面。说到最后其实也只是有一半not guilty的可能，不代表绝对无罪，但人性的善良和对人权的尊重让陪审团选择从无，看到最后很感动。学到了很多，thanks a lot
米粒,2011-07-21 04:38:27,,5星,826,抽丝剥茧，各个击破，非常牛逼……感到非常非常大的压迫感。气氛竟然还跟一场雨融合得那么好。
暖鱼,2008-09-15 02:00:48,,5星,623,除开日出日落外，又一部以对话为主的电影。有张力，也有法律的基础常识、以及如何说服人和群体决策等要素。
小A,2010-10-29 06:08:06,,5星,457,人类电影精华。天气随着讨论的进行由闷热、大雨到平静。Lumet的调度和运镜是殿堂级的，或者是摄影机被技巧高超的剧本和表演所带领，编和导的完美配合，给出这部紧张感从头保持到尾的神作。一个悬念，多个波澜，故事的设置和表达都已入化境。你黑泽明拍7个人，我Lumet就拍12个！哈哈。
冰红深蓝,2014-11-06 02:37:05,,5星,317,西德尼·吕美特的长片处女作。随着剧情发展，焦距逐渐加长，而长焦镜头使空间显得愈加狭窄，似乎身后的墙壁都在不断收紧对角色们的包围圈；影片前1/3的镜头高度在视平线以上，中间1/3与人眼视线相同，而后1/3则在低于视平线的高度取景，角色的重要性、统治力和热情愈加增进，而观众愈加臣服于角色。
清醒梦.,2021-01-09 00:10:44,,5星,292,我们听到的一切都是一个观点，不是事实，我们看到的一切都是一个视角，不是真相。《沉思录》
胤祥,2012-07-16 02:10:37,,5星,231,封闭空间室内剧的典范。推理部分很有趣也很有效。难能可贵地是几乎每个陪审团成员性格和立场都很鲜明。节奏调节上今天看来略嫌刻意。人物特写造型光过分漂亮了……
kitten诶,2021-04-14 23:17:24,,5星,161,这是什么成本的制作？就这一个房间？能拍出这么紧张丰满层层递进的情节？respect。排名第一的短评太牛逼，借用一下：其意义不在于“无罪”的结果，而在于整个辩论过程，那是关于人类和世界的哲学大命题，借助12陪审团之辩，对个人和集体，个人和社会，真相和怀疑，等级和尊严，意见和理解，理性和情绪，坚持和盲从，法律和良心，激情和冷静，大胆假设和小心求证等命题，进行交流和探讨，那是火花四溅的碰撞，直指人心。
戛剑生,2010-04-05 16:45:30,,5星,253,民主的暴政，偏见的通天塔，闷热潮湿的逼仄密闭空间的人性悸动
巴喆,2011-12-31 23:42:09,,5星,153,要么你能证实，要么你能证伪，既不能证实，也不能证伪，那么只能是存疑，在无效的直接证明之前，不能说有罪。“当人群在做一个集体决定的时候，我们往往会忽略这个做决定的过程本身，而这个过程很可能导致结果的走向。”就哲学、法律和伦理来看，一个极其严肃的审判，更关怀的是人心大哉问，这里是严谨的逻辑，理性的自觉，公正的自主，内怀的慈悲，整个辩论过程充满人道主义。这是一部伟大的电影！
嗦罗蜜,2022-03-26 14:44:10,,5星,105,至上经典，后来的翻拍者只能说初具皮毛而已。俄罗斯版，加入了车臣战争，宗教元素等，最后男主甚至还祭出慈悲高于法律的偏执旗帜，然后领养了疑犯男孩，把十二怒汉拍成十二圣人好了；国产版十二公民，在国产电影里就算是佳作了，只是少不了煽情，闪回，非常不单纯，更关注于陪审团每个人的个体遭遇和成长，一场讨论下来，人人都自赎了，都和解了。这个初衷不说立意高低，就是过于一厢情愿了。天底下有从此就过上幸福生活的结界之面吗。本片最NB的地方就是最终并没有给出确切的结论，陪审团的使命就是基于对生命权力的尊重，对现有证据链提出合理的质疑，真相是什么，需要坚实的证明，而不是似是而非的推论。片中也提到了这是我们国家之所以强大的原因，民主的优越等，那是50年代，作为全球的标榜，老美没毛病。12怒汉，树立了密闭空间叙事的典范。
秦诺诺,2010-06-14 04:56:26,,4星,197,像12怒汉这样的电影不经典是不可能的，故事写的太好了，对白更是无懈可击，而演员的表演不管是剧中的哪个演员都演得近乎完美，主题很简单也很深刻，作为一个人如何去对待另一个人的生与死。
离净语,2013-02-11 07:13:55,,2星,187,明确的美利坚民主制度的科教宣传片，告诉陪审团的人你们要好好思考的责任，告诉外国人我们不会乱杀一个好人……以故事来看，为什么要把断案、推理和维权的责任全部交给陪审团的人呢？无罪推定竟然要靠一个英雄男人的努力和坚持，哪里体现了民主国家人民的素质？
绿皮火车,2022-07-20 12:21:33,,5星,121,最后4个反对的人印象很深刻。一个不想动脑子只想着球赛，一个从头到尾都在搞身份政治，一个需要被推翻所有合理证据，而最后那个则有私心想要审判（其实是私刑的一种）。之所以成为经典是因为虽然拍了12个人物，但是你不需要知道谁是谁，你也不需要知道立场，你只需要听对白，对白里涵盖了所有的立场和人物性格刻画，这是影像艺术的最大魅力。另外，我仍然认为程序正义可能会在一段时间内带来不正义的结果，但最终一定会通向更高层次的结果正义，或许也是一种否定之否定。
欢乐分裂,2012-01-29 18:09:52,,5星,90,2024-12-15重看；异常生动的群戏，12个人高度个性化，法庭辩论与个人隐私交汇，案情讨论与每个人的经历深度关联，使得剧情转折和顺延都高度自洽，也使得“有罪”“无罪”阵营的互相倒戈拥有立论基础——陪审团由人构成，而个人的过往、经验和境况无法抽离于判断之外。诸多细节遥相呼应，密闭空间内调度灵活，剪辑之精妙堪比内心意识的外化，台词机锋无比，层层抽丝剥茧地深入案情，高潮迭起与相对回落之节奏把握得炉火纯青，看这样的电影真是享受！“合理怀疑”不仅是法制系统的进步，也特别适合现时的舆论环境——我们不能人云亦云、粗暴结论，而需要清醒的审视、独立的思考。
MRanderson,2014-10-26 00:16:36,,2星,29,不冤枉一个好人，还是不放过一个坏人，陪审团选择了前者。
朝暮雪,2013-01-20 13:05:05,,5星,185,偏见总是遮蔽了真相。
Tangent,2019-07-23 07:37:25,,5星,98,一张桌子众生相。1.群众主持人 2.好奇秃顶-引话 3.take it personal有心理阴影的偏见者 4.相信证据的理性人 5.贫民窟出身的不自信群众-制止10 6.朴素正义的群众-制止3 7.赶时间的自私人 8.合理怀疑的正义骑士-回应4 9.智慧老人-回应4 10. 偏执仇贫的racist 11. 讲究细节的钟表匠-制止7 12. 浮夸墙头草 何时转变立场以及debate的对手非常体现人物性格。偏见者藏在多数之中很嚣张，一旦少数就会怂，但一开始能够提出合理怀疑的8号实在太少了。
转,2011-02-15 22:14:25,,5星,211,真理掌握在少数人手中。
耳朵。,2008-03-24 00:55:38,,5星,153,居然对着英文字幕看得津津有味
琴酒,2011-11-12 05:07:11,,5星,68,美国的陪审制度从某种程度上实现了民主和精英的共存，他建立在这样一个很康德的基础之上，就是人类具有理性，所以可以被启蒙，可以根据事实判断。但是这个例子却不适合推广，因为作为陪审的客观决定的是他人的利益，而在公共事务中却是对利益的冲突进行决策。不管怎么说，一等一的好片，剧情张力表演。
A-sun*,2012-03-02 03:39:45,,5星,123,场面调度太棒了，台词掷地有声，恰到好处的节奏控制，演员连面部运动的皱褶都刻着演技。电影本身的表现已经足够沸腾，简直超越了关于人性与偏见的讨论。
[未注销],2020-04-13 19:28:59,,4星,87,❶无罪不是重点更不是必要的结果，强调的是“合理的怀疑”。正如9号所说：“这位先生一直独自对抗我们。他并没有说那孩子无罪，他只是无法确定。要独自对抗别人的嘲讽并不容易，所以他赌了一把、争取支持，我支持了他，我尊重他的动机。那个受审的孩子或许有罪，但我想听到更多。”❷慵懒的法官、闷热的天气、个性鲜明的陪审员，不出几个表演，就传达出了诸多信息。至于各人态度的摇摆则是草蛇灰线。
掉线,2013-06-02 16:26:01,,4星,78,【A-】其实最后也无法证明被告是无罪的啊，顶多只能说是证据不足……当然这应该也并不是影片想表达的意思。从质量上来说，十二个人个性鲜明，电影逻辑性严密，紧张不拖沓，群戏演技佳，好评哦亲。
蛮爷,2009-02-10 21:46:19,,3星,247,这就叫典型的剧情片
momo,2023-09-25 08:10:02,辽宁,5星,44,最喜欢的一幕出现了：男主在洗手间里被质问：假设说你说服了所有人他无罪，但那个男孩真的谋杀了自己的父亲，你又会怎么样？ 接着镜头一转，一个人给另外两个人变戏法，他抛起一个小纸团让其中一个人猜在左手还是右手，然后松开那只手，是空的，这时候另一个人点了点他的另一只手，他松开，竟然也是空的。 前后的呼应让我有一种兴奋起来的感觉。
迷途小书童,2021-09-05 17:58:52,,5星,56,抛开偏见，独立思考真不是一件容易的事。有勇气去做还能坚持，是一件了不起的事。
西楼尘,2013-08-21 21:52:51,,4星,56,新闻写作老师点名必看的老片，耐心看完颇有收获。
汪三水,2024-01-12 13:29:10,山东,5星,77,你就唠吧，一唠一个not guilty
のっ,2021-10-08 00:03:46,,5星,62,一想到你我的生命有可能仅仅由于一个人想要去看棒球比赛而草草被决定，不禁令人不寒而栗
汪金卫,2011-06-25 14:34:29,,5星,51,影片98%的部分都是发生在一个会议室里。甚至连庭审的部分都直接略过，通过辩论来一点一点向观众讲述案件的各种细节。不仅不会昏昏欲睡。反而越看越有味道。12个不同人物的性格在电影里都得到了表现。剧本实在强大！导演运用多个绝妙的长镜头，使得场景一点也不显狭小。推荐之！//20150602资料馆大银幕
