用户名,评论时间,IP属地,评论分数,有用数量,短评内容
zing,2008-03-07 14:00:22,,5星,15528,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊"
*^RNK5HGU6OY@,2006-10-12 16:19:42,,5星,18177,不努力工作会变成猪
小波福娃,2007-09-18 17:22:12,,3星,1813,内个白龙好像塔矢亮！其实这是个爱丽丝漫游奇遇记的东方版呢！
░▒▓██,2009-11-25 16:42:47,,5星,12470,曾发生过的事请不可能忘记 只不过是你想不起罢了
Yolanda,2007-01-22 00:13:32,,5星,10684,十年后重看只想大哭，其实我们都明白这个结局。
mon babe,2008-12-22 22:28:54,,4星,5184,有那么那么经典吗？还是我老了？
薇羅尼卡,2006-03-27 15:13:36,,5星,7822,自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。
根,2019-06-21 23:32:07,,5星,4389,隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。
小晗要当锦鲤,2018-01-27 22:34:59,,4星,2033,宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象
影志,2006-02-04 06:21:11,,5星,5376,“有些事情是不可能忘记的，只是一时想不起来。” 忘了怎么打动我的了…好像不是打动，而是震撼。
闲潭影,2009-12-19 22:57:35,,5星,6035,最好的宫崎骏，最好的久石让。
暖鱼,2006-12-04 18:07:23,,4星,3061,一个寻找自我或者自我复苏的过程
bekey,2018-03-09 11:15:17,,5星,3329,欲望无限，就会让你失去自己，进而痛失所爱；在残酷的环境下，只有努力去适应并寻求改变，才能有突破的可能；成功路人，伯乐很重要，一定要记得感恩；奋斗途中，会有妖魔鬼怪，也有可爱温暖的无脸男和小白。节制欲望、不断进阶、知世故而不世故、做个善良有温度的人。千寻，你是最棒的！
Mono,2018-01-28 06:19:27,,4星,1729,不是所有人都能够在误入迷踪时得遇白龙 也不是所有的长辈都能一如锅炉爷爷在夜里给你盖好棉被、还有嘴硬心软的玲、离开汤屋就回归善良的无脸人…很多变化都是不可逆的。。。
唐喜乐,2007-04-08 14:39:09,,5星,4206,你忘了吗?往下飞的时候眼泪是往上流的.
老鸡｜扶立,2008-01-10 16:32:20,,5星,4391,莫贪吃！贪吃变成猪！
taki zhang,2008-01-07 10:48:34,,5星,1941,有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）
米姐起飞,2007-02-21 20:26:35,,5星,2528,我与猪都认可的片儿。
隆咚锵,2009-11-27 09:51:15,,5星,1416,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧
