用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Agent阿神,2024-09-16 16:19:42,北京,5星,1092,阿丽塔的角色成长线简直是打工人觉醒之路，笃信领导，坚守规则，相信努力就会被上级认可，渴望得到上位者的赏识，得知真相后顿悟，可以当牛马，但别真以为自己是牛马。
拂绿,2024-09-15 17:14:54,江西,5星,597,好好看，甚至吃到了EC代餐！你救我我救你，朋友变敌人，甚至还有EC名场面一炮（硬币）穿心！！为了报仇却不小心重伤了好友！甚至还有那句经典的“你背叛了我”！！！甚至（说累了都）还有一样的桥段打败了相方又放他走……同人女的世界需要更多不会伤害相方性命的擎天柱和X教授！
看电影逃避现实,2024-09-30 22:28:01,北京,4星,2344,村子里一对单纯的不锈钢兄弟，误打误撞进了趟城，突然发现村长竟然吃里扒外，变卖集体财产。哥俩立志要改变家乡面貌，团结一致斗地主。就在他们成功赶走地主后，分歧却来了。一个要走资本主义路线，一个要走社会主义路线。最终，两兄弟还是分道扬镳了。
张华弥,2024-09-27 20:41:29,上海,4星,1642,换了领导模块后嗓音也换了，所以领导模块是个声卡。
自由之翼,2024-09-27 20:51:41,陕西,4星,850,塞伯坦的共产主义宣言，斯大林和托洛茨基的分道扬镳，美中不足是稍幼稚、粗暴、直给和匆忙了。事实上，现实世界不会有无限能源，人不能把希望寄托于一个完美领袖的出现，苦逼挖矿才更接近现实。
迷恋折耳猫ॐ,2024-09-15 16:26:54,上海,5星,667,这才是真正的变形金刚，这才是真正的起源。不愧是斯皮尔伯格制片
跳舞鞋,2024-12-13 22:56:06,日本,1星,1,看完了 无语了
Sgt.Arcade,2024-09-16 15:51:03,山东,3星,1464,工人阶级革命路径的不同选择。
同志亦凡人中文站,2024-09-07 17:13:55,新西兰,4星,876,卖拷贝把真人版搞成了一坨坨大便，动画只能另起炉灶，从不能变形的变形金刚拍起。起源是假的，看年轻擎天柱和威震天相爱相杀才是真的。所以柱哥没戴口罩前是这么欢脱的性格，完了滤镜碎掉后有点想脱粉...
维恩B,2024-09-15 16:59:07,福建,3星,1267,整体还行。信仰崩塌的处理挺儿戏的，前一秒还是天真叛逆青少年，下一秒就已经是稳重可靠/怨念极强的中年人了，过于割裂了。
总有蓝天,2024-09-15 18:22:30,山东,2星,259,不知道为什么我对电影还有点预期，但看完之后失望大于惊喜，就算是把它当成一部美式爆米花样板戏也难以满足。影片主创就像赶鸭子上架一样把剧情从一个节点赶向下一个，在转折点上的情节都经不起推敲。人物化身编剧的提线木偶，生拉硬套就是为了接轨正传中那些人物关系，执行得不好就会给人一种先射箭再画靶子的感觉；从头到尾我都没看出来柱子哥开头的那一股莽劲是什么时候转化成领导力的，大概编剧写样板戏的能力也和本部柱子哥的智商一样令人小脑萎缩。高潮段落不仅继承了上文所述的刻意感，并且在机械降神的那一刻发扬光大，不过这样的段落连一点想象力都没有就有点过分了，还停留在“锣鼓喧天，难舍难分”这样的初级版本，在那些该燃的地方我甚至想打哈欠。
小旗,2024-09-15 16:57:55,天津,2星,152,文本的低龄化和对路人观众的逢迎过于明显，相当粗糙的直给，有效人物极少，作为主角的奥利安和D16在只顾着面向年轻观众演示啥叫浮夸的同时完全缺位了有效的塑造，结果前期冒进的后期反变圣母，前期中庸而被动的后期又黑化得草率而强行，同时大量高人气角色被篡改性格乃至严重扁平化工具化甚至打酱油，塞星的生态景观呈现也是浮皮潦草全无机械星球的记忆点，再加上作为BOSS无论性格还是能力全被编剧写成废渣的御天敌更是让高潮彻底泄了气，总之作为一部挣快钱的TF电影可说是相当敷衍的，剧情和角色的魅力厚度与同为动画的08版甚至领证差的都不是一星半点——这真不是什么TF电影不易还要啥自行车的事，在我看来本片无异于在TF题材宝库里的一次放肆挥霍，此刻作为老粉儿的心就像被从天而降的排炮迎头拍中的大力神一样，直接沉入地心！
纯绒皮卡丘,2024-09-15 17:30:17,湖北,3星,541,擎天柱和威震天相爱相杀，最后广场离婚的故事。剧情比较中规中矩，整体节奏倒是挺快的，以至于威震天黑化的速度比丧尸变异还快。最好看的还是汽车人变形的时刻，机甲就是TM的浪漫！
女神的秋裤,2024-09-21 18:11:22,山东,4星,432,少有的能让人起鸡皮疙瘩的电影。没有人类戏之后果然无比丝滑。前半段是充满奇观的奇趣冒险，让人梦回遥远神秘的赛博坦，终于填补上擎天柱口中每每念想的赛博坦星。后半段则是恢宏的宿命史诗，填补上赛博坦口口相传的那段传奇历史。角色的成长和变化都在不经意间，真诚和背叛、反抗与疯狂、朋友与宿敌，都在一念之间。一位在坠落中觉醒，一位在崛起中堕落，变形金刚中两位最传奇的角色就此诞生，太喜欢了。
[未注销],2024-09-15 17:30:40,江苏,4星,407,过年，都回来了！久违的史诗感，纯粹。恩怨情仇，一气呵成。一元复始，ONE象更新。领导模块重现赛博坦，新的能量注入变形金刚系列，复兴。
野树,2024-09-15 16:32:10,北京,4星,350,颠覆了对变形金刚的印象，其实讲的是机器人世界的一个神话。机器的特点是什么？机器似乎不会受到伤害，或者说他似乎是没有痛觉的，从物理上更加强壮强大。但是变形金刚又是通人性的、有社会的。整个故事是工人阶级的反叛故事。一个严格等级制的社会背后的秘密，而这个秘密是关于能量永恒的神话，从科学来看是不可能的，但又似乎映射着美国的科技霸权主义，认为能源会是永恒的。变形金刚反映了对于强大、对于力量感的一种斐勒斯式的男权/机器审美，从这个意义上来说，变形金刚的确是一种美国文化，象征着追逐力量的肌肉男，追逐个人主义魅力，打破领袖和神话，打破一切迷信，但悖论的是，当谈到一个种族的起源时，总是要归结到元始天尊有某些创世的力量，甚至神力可以让整个世界成为永动机。历史的尽头，还是神话？或者说，现代社会的神话是变形金刚？
WIKI魏,2024-09-16 11:33:54,北京,4星,287,本质是一个擎天柱和威震天兄弟反目成仇的前传起源故事，最终形成后来博派、狂派对峙的局面。从观众的人类视角来看，这个故事再熟悉不过，从底层互相扶持的两兄弟，本来感情深厚，却在拥有变形能力实现阶级跃升后，欲望膨胀产生不可调和的分歧，一步步演变为此后汽车人和霸天虎的势不两立。不得不说，对很多看真人版入坑的观众，这是一次很好的补课，也能第一次欣赏到塞博坦星内外的样子和风貌，还是大银幕爽感加倍
在JFK没等到你,2024-09-15 05:53:35,美国,5星,530,原本只想安分守己的麦加登对柯柏文说： “我们只是矿工，不能变形，别折腾了好嘛！？” 没想到是自己崇拜的的英雄早已向五面怪效忠，把自己搞成无法变形。恼羞成怒，堕入魔道
20个小明≯,2024-09-15 18:51:56,北京,4星,210,激光IMAX3D，视觉效果拉满！太炫目太“好看”了！主线清晰紧凑，虽然比较简单但符合本片的商业定位，没有旁枝末节一爽到底⋯最喜欢黑寡妇的设计，涡轮飞机变形实在太酷炫了2333
张蛋饺,2024-09-30 16:49:40,北京,3星,188,为啥这些至高守卫这么乖 让来就来让走就走哦
夜无汐,2024-10-01 14:03:43,四川,5星,385,连机器人，变形金刚们都受不了996起来造反了，我更觉得我们这些牛马是多苦逼
Dodos 🐰♥,2024-10-04 20:28:00,陕西,5星,305,"擎天柱挡住的那一枪并不是为了御天敌，而是为了威震天，挡那一枪是擎天柱避免威震天的双手沾上鲜血做的最后努力，跟威震天攻击的是谁无关，因为他知道一旦威震天动了手一切就都改变再也无法回头，他对威震天的在乎在那一刻展露无遗，掉下悬崖前，他喊的那声”No”不是在乞求威震天不要松手，而是在对威震天呼喊「千万不要选择错误的路」，那一刻的他也根本没有在乎自己是生或是死，只是想告诉威震天 “No, don’t, D, don’t transform in the wrong way.”"
