用户名,评论时间,IP属地,评论分数,有用数量,短评内容
晴蘭,2024-04-13 21:34:45,日本,4星,1589,传统柯学+函馆旅游宣传片。冲着这段话给个四星吧，非常平次式的真挚告白。“人做事情都是有动机的，杀人的动机、实现梦想的动机、或是爱上某人的动机……身为一名侦探，我无法解释这种动机，可我就是深深地喜欢着某人……我是说你呀，和叶！”
戴安娜普林斯,2024-04-12 11:47:37,日本,3星,1725,滑板走钢丝是吧，太柯学了
韦斯安徒生,2024-08-16 14:00:27,北京,3星,1528,案件只是无足轻重的背景板，这部的重点就是各种排列组合CP大杂烩大卖特卖，腐也卖，姬也卖，男男女女全都卖。
CC弗斯,2024-08-16 11:30:12,上海,4星,1262,服部的表白！我身后的小朋友看到了都“呃…”😂😂😂最磕快斗和青子，快斗变装成警卫在icu外看岳父醒了再走……磕晕我了
双莓可可派,2024-08-16 22:43:29,福建,4星,962,基德偷偷看青子的时候特别戳我，，别太帅了
⑨拯救世界,2024-04-12 16:04:02,日本,4星,634,还可以比去年好看，看得我全程嘴角好难压，全明星阵容关西组➕少年侦探团（冷笑话虽迟但到）➕一家三口➕基德（甚至还有俩爹），如果把军火贩子改成黑衣组织就真是全明星了，日本风小曲bgm还得是日本人写得好啊，黑鸡问小兰这地儿比大本钟还要牛掰吗真的笑死我了，我都以为黑鸡告白有望成功了按耐不住小小鼓了一下掌结果红叶真的是不干人事儿啊，（稚内好看的但是谁会去稚内告白啊…）推理要素不是很多，函馆街头飙车（摩托车加电驴）枪战➕经典寻宝小环节➕服部为爱空中对决，价值观就是好图灵跟坏图灵（邪恶批判版模仿游戏），基德好帅好帅好帅……为岳父抹一把辛酸泪的地方好好看，青子真的好可爱啊！最后结局大家都是亲戚，我都有点嗑俩爹了，确实黑羽和工藤都是K 。北海道民首映当日几乎满座，三次元函馆夜景出现的时候有点小感动到我了
右京,2024-04-12 14:47:56,日本,3星,1136,大家是不是都忘了件事情：服部平次的初吻被扮成他女友远山和叶样子的黑羽快斗给拿走了。还有件重要的事情：这应该也是黑羽快斗本人的初吻…吧。73认证的平快，你们还等什么呢。
kakakarl,2024-04-27 14:01:59,日本,2星,712,看了这么多年的柯南，还是会被它离谱的情节震惊到啊……缆车绳，飞机翼……汤姆克鲁斯都不敢这么搞吧？！还有黑羽快斗和工藤新一的关系也是被创到了，青子和小兰也很像，73你还想咋搞？！
Kumilynn🧀,2024-04-12 21:25:24,日本,3星,894,论柯哀是怎么在只有一句对白的戏份下展现老夫老妻感的www（怎么剧场版里还有这么多作画崩坏，去年的钱赚谁口袋了
Itomra,2024-04-12 09:26:59,日本,4星,371,合格爆米花，这次少年侦探团的出场很少，节奏一下子就紧起来了。本次舞台设置在了北海道，因为之前有去旅游过，所以每每看到曾去过的景点时都会忍不住记忆闪回，毕竟我也是姑且欣赏过这价值百万美刀夜景的人。槽点也是一如既往的功夫足球，以前在摩天轮上决斗算什么，这次直接突破物理极限，站在飞机上对决。最后我只想说，平次没去过夏威夷真是太可惜了。
kyantei,2024-08-16 20:08:05,山东,3星,881,真的很无语 告白这事是不是还得再拍一百集啊 想不出新剧情了靠这个水剧情嘛 以及有希子跟工藤优作结婚十几年了还不知道自己老公有个双胞胎兄弟 这合理么？
Elenore,2024-08-17 19:28:44,北京,4星,238,爹比儿子帅，在名柯宇宙是个真理。
明太子蓮根,2024-04-12 14:56:04,日本,4星,232,完全变动作片，函馆山缆车线路上的柯南和直升机剑道大战的平次真的笑出声（其实非常喜欢每年这种无视物理学的动作戏）不加推理也很好，毕竟这几年都没有每一分钟都铺满的剧场版了。至于基德最大的秘密，期待73怎么圆回来。以及我还想大泉洋客串这么就配这么一个角色，结果！
喵驼酱°,2024-08-16 21:29:30,重庆,4星,218,我们全场唯一直球妹宝青子终于登场了！！！！夏天就应该看纯爱小情侣们谈恋爱！！中间有一段所有长一样脸的角色一起登场感觉是我杂食的报应
歐茶特,2024-07-11 22:01:23,中国香港,3星,844,在好帅、卧槽、有病吧、什么东西、磕死我了、哦、wtf 、脚趾扣地这几种情绪间来回切换😇 不过HK首场IMAX气氛还是很足的，坐后排中间体验超好
