用户名,评论时间,IP属地,评论分数,有用数量,短评内容
一粒煞白,2010-05-30 20:39:40,,5星,14422,目前为止觉得哈尔是宫崎骏作品里最帅的男角
小耳朵图吗,2007-08-17 19:11:24,,4星,8596,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。
同志亦凡人中文站,2012-04-25 20:17:50,,4星,6500,人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...
影志,2006-02-12 21:56:47,,4星,4692,腾空徒步的那一段，最浪漫
💎🐑,2006-01-18 12:01:31,,5星,9650,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。
爱幻想的小孩,2014-06-06 20:30:30,,4星,2150,看了这么多遍我还是不知道在讲什么，感觉有点野心大，又想把战争啊救赎啊什么的都说好结果就是有点没有重心。画面美爆了，也只有宫崎骏能这么有耐心吧
伍德与夏洛蒂,2011-03-16 20:55:33,,5星,6137,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。
A L E X,2017-01-01 22:38:17,,5星,5684,染发剂事件之后，形象崩塌暴露屁孩本质萌到吐血！哈尔一定是宫崎骏作品最帅男主了，配音还是木 村 拓 哉，简直不给活路
littletwo,2007-11-09 22:56:14,,5星,5495,你的头发染上了星光的颜色……爱的颜色……
肖恩恩恩恩肖,2016-06-11 01:08:01,,5星,4014,因为有爱的能力和欲望，我们才年轻。如果太自卑与屈服现实，会像苏菲一样瞬间苍老。
王老虎,2008-06-19 20:08:55,,5星,4856,宫老唯一采用的美男主~~千年一见
笒庐主人,2009-07-30 15:46:22,,5星,4822,爱，就是替爱人找回自己的心。
mon babe,2008-11-21 22:08:29,,5星,3199,爱给了苏菲勇气，哈尔爱苏菲的勇气。
Gabriel,2021-12-05 22:40:32,,5星,1517,其实诅咒不是衰老，而是容貌会随着心理年龄而不断变化。所以当她不敢去对抗既定命运时，当她爱上了哈尔却很自卑时她就是满脸皱纹的老妇，可当她在王宫里神采飞扬的为哈尔争辩当她牵着哈尔的手走在秘密花园，她又一点一点变回了少女。而哈尔也有对应的两面性，他是温柔俊美能保护自己心爱女子的完美情人，也是因为头发变色而大发脾气说着不漂亮还活着干嘛的幼稚小孩。所以，他既是苏菲的儿子又是苏菲的情人。苏菲没法直面自己的内心，哈尔也一直在逃避，他用移动的城堡来躲避战乱和国王的征召。后来他们相遇，苏菲告诉哈尔他们可以一起承担，她为他去了王宫。哈尔在敌军空袭时对苏菲说不能再逃了，他已经有了要守护的人。从来好的感情都是为了彼此成为了更好的自己。看这部电影的过程温柔平静，人性的美好和纯真无处不在，看完整个人都很温暖。
大鲤鱼（丹AI）,2016-05-30 21:36:30,,5星,1870,这是一个关于爱与拯救的故事，从最初喜欢你超高的颜值、酷炫的技能、王子一般的出场，到最后爱你内心孤独又傲娇、脆弱又勇敢、蠢萌又理想主义的小男孩。爱就是逐渐靠近、了解、懂得，接纳你真实的样子，依然不离不弃。
根,2012-07-18 21:50:33,,5星,2602,木村拓哉的声音真是亚萨西啊……
寂地,2006-01-01 17:57:35,,5星,2106,"比起宫爷爷以前的电影,这电影的主题更轻松.但是依然有一如既往的温暖.另外,哈尔那种小屁孩的性格实在太可爱了!"
匡轶歌,2009-03-30 01:01:02,,5星,629,激动之下，把日、英、台三个配音版本全看了。一生不羁放纵爱自由，用生锈的城堡充当坚硬的壳，随时处于“逃逃逃”模式，企图回避乱世与责任的魔法师；明明有一颗勇敢、豁达、坚韧的心，却总自卑于外貌的”老少女”；解除了彼此身上的诅咒与封印，相互守望、救赎的故事。当两个“躲避幸福”的人向对方交付灵魂的一刻，迸发了摧枯拉朽、扭转世界的力量。我护卫你心中的火苗，你重启我年轻的容颜。爱，才是真正的魔法。【老早蹲抢了首日的预售票，却只有日语场，直接打电话去影院要求增排国语版，如愿以偿。必须说，于适的哈尔贴脸度百分之百，入股不亏。可惜啊，拖着酸痛的老腰、哄着不争气的屁股、抱着靠垫奋斗在第一线，轻伤都不肯病退，却什么周边、票根都没抢到，我要爆炸了！
roucy猫与风太,2009-12-15 19:14:10,,5星,1060,木村的哈尔~
沉歌,2007-10-14 15:51:49,,5星,711,欧式小镇，美少年，少女，女巫，城堡，魔法……还有比这更对胃口的了吗？
饥饿艺术家,2010-07-25 00:22:44,,4星,1719,1，哈尔变身之后的造型就是折了翼的天使。2，王后是女同，看上苏菲了。3，每个宫崎骏都要有老巫婆，善良女，宠物狗，无语怪。还有各种帅男！
子 。非年,2011-05-28 15:05:48,,1星,220,圣母，而且，不知所云，真不懂这种片为什么会获奖无数，成为无数老外争相追捧的电影，好电影却总被掩埋，这个世界是病了，还是我格格不入
litanerr,2022-05-08 15:44:47,,4星,595,以前一直认为《哈尔的移动城堡》是我最爱的宫崎骏作品，再看时却很难接受故事的半成品感，一方面很难捕捉苏菲和哈尔的感情线，另一方面战争线则更加毫无逻辑章法。更是由于里面的角色都塑造的非常精彩，遗憾就更为严重，如晨间剧女主角般善良坚定的苏菲，亦正亦邪勇敢也懦弱的哈尔，荒地女巫、莎莉曼夫人、卡西法、马鲁克，还有被施了魔法的稻草人王子也都十分可爱。我最喜欢《哈尔》的一点，是被清晰反映在海报上的，被施了魔法变成老婆婆的女主角设定。年轻的苏菲自卑而犹豫，但苏菲婆婆则总是充满行动力，按她自己的说法“上了年纪的好处…是可以失去的东西变少了”。正如作品中苏菲在不同场景和行动下自由变幻的外貌，魔法更像是一种幻象，让苏菲得以换个角度看自身和世界，她也因此获得重生。
我是大皮哥,2013-07-22 19:35:13,,3星,6856,"赞这句 ""勇敢面对自己的时候是美丽的少女，退缩时就会变成风烛残年的老妇。"" 的评论"
穗花山奈,2023-04-22 10:32:00,重庆,5星,304,突然觉得，宫崎骏的电影，最大特点是丰饶。什么都漫山遍野盛放着。人们的心留有如此多的余地，毫不费力就可以容纳一切，原谅一切。天真在这里坚不可摧，我指它们可以作为铠甲，保护一切，而非需要被保护的对象。而我感到我在里面如此强大，仿佛爱也变成一件完全甜蜜的事情。
寄意寒星,2006-12-31 22:22:37,,4星,494,这个……其实我没怎么看明白，14年的宫崎骏粉丝就这么秀逗了。……（后来千和我说她也不懂，少许有点心理安慰……）
多比,2020-12-30 14:41:26,,1星,143,看不懂，无法理解整个故事到底要说什么，看了影评分析才能让人窥探动画想表达的意趣，叙事兜不清、道不明，这算哪门子好作品？看完一头雾水的都不是好动画，哪怕画风再精美都是徒劳，宫崎骏作品里最被过誉的ㄧ部，虚高的分数和奖项，有时候只是众人附庸风雅罢了。最讽刺的是问那些给高分的人到底好看在哪？十有八九说不出，再离谱一点的跟你扯审美，好像白天不懂夜的黑，彷佛他们从没看过影评和剧情详解似的？呵。
Kratos,2024-05-01 15:54:43,北京,1星,82,这绝对是我看过最没逻辑的豆瓣高分电影，所有角色的不知道有什么目的，感觉就是打着善良和纯真的旗号随便玩了一个半小时主要困惑如下* 相爱：男女主为什么互相喜欢？这喜欢的也太随便了吧* 女主变老：为什么会在年轻和老年之间反复横跳？* 女巫：为什么她对男主的心脏耿耿于怀（但后来被女主哄了一句就放弃了）？为什么要带着变成老太太的她住进房子？* 男主魔法：男主的原型是什么？在什么情况下会变身？为什么伤心的时候会变成泥？为什么能让飞机隐身？为什么能给女主变个小房子？* 反战：给了很多镜头男主变身鸟跟着战斗机一起飞，他这样能对阻止战斗起到实质作用吗？* 戒指：为什么后来消失了？为什么消失后女主还穿越了？这跟它本身的指路作用有任何关系吗？* 国王：说打仗就打仗，说停战就停战？没有任何决策过程？
-,2021-05-09 07:51:18,,1星,92,隐喻的前提是有故事性，有故事性的前提是自洽的设定，然而影片毫无规则，随心所欲，只是一个碎片般的世界，华而不实，空虚无物，什么都承载不了。夸耀隐喻，皇帝新衣。
Kecalm,2022-04-29 15:52:56,,3星,783,一般，很多东西都没有交代清楚，故事线超级混乱，看得我一头雾水，只知道有一个反战的思想在里面。我不知道为什么女主要留下荒野女巫，为什么女主要留下那条狗，为什么哈尔忽然喜欢上了苏菲，为什么哈尔看到追杀他的女巫后还可以把她和狗当成一家人，为什么稻草人忽然对苏菲表白，为什么老师忽然决定停止战争等等。画面是很美，城堡的设定也很吸引人，如果我还在读小学的话我可能会很想要住进哈尔的移动城堡，可是我长大了，除了设定之外更吸引我的是好的故事。
欣欣向荣,2018-02-21 09:05:06,,4星,628,看过很多次，印象最深居然是里面的好吃的，煎鸡蛋和培根，还有吃鸡蛋壳的恶魔，很好看。
宋阿慕,2008-04-24 12:02:13,,4星,412,行吧，那个接吻的镜头把我雷倒了。
徐若风,2013-02-17 13:55:14,,5星,129,2012首刷：宫崎骏最难解读的电影。// 2024二刷：它真正要讲的是：国家是国家，而我是我。哈尔是被国家机器裹挟的个体，但他的内心极度厌恶战争。向即将坠亡的流星许愿，换得一种孤独漂泊、但至少可以独立于世的生活。然而，个人在庞大的战争面前微不足道，这就是残酷的现实。电影里有太多看似突兀的故事情节、符号设定，但在宫崎骏的反战观念下，在他创造的世界观里，一切又都是可以自洽的，只要反复勾连二战的现实境况。
[己注销],2010-12-31 00:07:55,,4星,126,（８／１０）当年第一次看这片时，总觉得苏菲头发变成白色后更漂亮了，但无法明白为什么会这么觉得，后来我明白了，这是因为：中国人均白毛控……中国人狂热爱白毛是从先秦时代就有的基因，这是难以抗拒的，而我——是——中——国——人！
米粒,2015-09-05 13:42:03,,4星,135,故事说到后面很飘忽，但还是好看的。可能要找机会再重看捋一下细节什么的...
厄庇墨透斯,2024-05-01 17:38:36,北京,4星,79,看的太晚也就不那么动心。这世界是由帅男在胡作的，是老太婆在维系的。宫式反战云云大可休矣，不如少女母亲更重要。但总比《你要活什么人生》好一些。
猛汉世雄,2008-02-08 12:08:24,,3星,538,觉得这感情太畸形...就火堆是最大的萌点...= =
阿柴,2021-02-15 22:13:22,,5星,196,宫崎骏老师说，不要觉得自己不漂亮噢，觉得自己不漂亮，少女也会变成暗淡的老婆婆，觉得自己漂亮，老婆婆也会光彩照人。他还说，爱他就亲吻他的脸，爱了就会活过来。
Sophie  Z,2008-06-28 12:41:06,,4星,114,苏菲被哈尔从天上带到集市里的那段圆舞曲。我记得看这片的时候正好是月考后的家长会，我边看边焦虑得想哭。
Tuna Bento,2010-09-13 21:51:17,,4星,160,真是个大帅哥啊【啊哈哈最喜欢那个巫婆睁着纯真的大眼睛讲这句贱得要死的话了
🌙🌙,2016-11-03 18:18:50,,5星,349,哈尔太帅了 看的我少女心泛滥 哈哈哈 歌曲也超级好听 我看的很表面 看完之后有想很多 但是现在都忘了差不多了 就记得哈尔好帅啊！！！！！！！！！
抱抱龙韩越,2024-05-03 13:12:55,安徽,5星,188,苏菲在刚变老的时候自言自语要冷静，一晚上过去就想好要离开，一路上碎碎念给自己加油…没有人能不爱她
Comel,2011-07-11 22:30:28,,3星,351,【2】前半段不错，城堡和火焰的设定都让人欣喜；后半段乱七八糟，语焉不详，更理解不到男女主角的关系是如何建立的，女主太作，让人喜欢不起来。
江河湖海浪,2024-04-30 19:06:49,河北,3星,196,很久没有因为一部电影的剧情而坐立难安到想离场了。对苏菲和哈尔的爱情理解不能，不如让我看稻草人蹦跶两个小时，到时候我的评价都要比现在高不少，真不知道荒野女巫和那条老狗在后续剧情里出现的作用究竟是什么，这个逻辑不通动机不明的故事真的让我失去了解读各种隐喻和符号的兴趣了，不管是反战还是什么别的东西，前提是讲好一个故事吧。
你在百花深处,2018-02-13 11:22:26,,4星,206,百看不厌的一部日本动画，被小火堆萌到了(*^▽^)/★*☆
朝暮雪,2012-08-18 13:58:32,,4星,71,竟然只是奥斯卡最佳动画长片“提名”。
fateface,2011-01-30 09:15:52,,3星,309,一流美工，九流剧情。女主的设定为什么这么“圣母”啊，受不了。
皮革业,2011-07-07 14:45:11,,3星,197,宫崎骏对老婆的要求就是做好家务吧。
jingle,2018-02-01 08:24:56,,2星,479,女主为何恢复年轻这个关键点没有交代清楚、还有其他一些重要点也没有解释或逻辑不通（如为何把房子拆了建、为何躲着女法师还要留她的狗、女主妈妈怎么认出她的也没问变老原因等），可以说剧情处于半混乱状态（为了看明白还要补原著吗？）。不理解为啥同样混乱的国产片分数不超过5，这个画的好就高分。
