用户名,评论时间,IP属地,评论分数,有用数量,短评内容
momo,2024-08-16 23:21:15,海南,5星,13684,别让陈思诚看到这部片！
克洛马蒂斯,2024-07-25 13:08:37,上海,3星,5524,一直想问为什么因果报应也要妻子女儿承担？不能报应在自身就完了？
AAA-渔经理୧⍤⃝💖,2024-07-23 14:07:51,山东,4星,7351,只能说坏人就是坏人，他会对自己家人好，但他还是人品低劣。好人就是好人，就算不是自己生的，还是会用正义和善良去对待，前边节奏太慢了，后边揭开一切，让人唏嘘，女孩子很坚强，警察比较有趣，虽然贪财，但真的办事
苏南痕,2024-09-10 22:39:29,福建,4星,5958,警监收钱他是真的办事啊！
窗边的小豆豆,2024-08-17 23:20:43,湖南,5星,8491,强奸镜头里没有受害者，有的是施害者的可恶嘴脸；最后女孩面对施害者，勇敢而坚定地说：“我不会崩溃的，我会忘了这件事……不是你对我慈悲，是我对你慈悲，饶你一命，你可以活下去……”，真的很强大，很感动！！！当然，整部电影的剧情、拍摄手法以及配乐，浑然一体，好精彩！很久没看到这么棒的一部电影了，很满足，非常开心！爽！翻演员表还发现导演和编剧是一个人，一个名不见经传的大神！
毛豆,2024-08-11 23:42:15,江西,5星,5575,陈思诚又有电影可以翻拍了。其实看到三分之一的时候，我大概知道了是属于哪种叙事手法，只是结局还是惊艳到了我。
张小思,2024-08-31 17:01:37,新加坡,5星,4952,首先这个短评有剧透，不想被剧透，请火速划走。很多评论说“不喜欢报应在女儿身上”，但是私以为结尾处的台词彰显了导演的另一种视角。渣滓说自己习惯了肉体上的疼痛，但是他带给主角的伤害，主角却要承担一辈子的痛苦。所以导演的看法是只给渣滓肉体上的疼痛，算不得什么报应，但正因为他觉得女性被“糟蹋”是一辈子的污点，他才会因为“伤害”自己的女儿承受相应的报应；走到渣滓的价值观去给他相应的惩罚。然后再说回来，这里的另一重映照是坚强的女儿，渣滓不因生理痛而承受持久伤害，女性也不应因为“强奸”这一生理伤害而蒙受一辈子的阴影。所以恰恰相反，我觉得这不是“报应在你女儿身上”的叙事，而是另一种正视女性是人，正面对刚“贞洁”的叙事。
起云,2024-08-13 22:26:49,四川,4星,4330,一部由叙述性诡计辅以巧妙剪辑手法精心打磨的犯罪悬疑片，除了男主过于神威勇猛之外，所有逻辑点基本都能自圆其说，曹保平应该向它学习如何拍复仇片，同时千万不能被陈思成看到，否则又要糟蹋一个好剧本
蔕,2024-08-11 14:04:48,湖北,4星,3458,编导有些功底，这故事如果按正常时间序不会达到这种效果，编导打乱了时间线，再通过反转一个个揭开，到最后还原真相，让人不胜唏嘘。警察最后的反转很有点出乎意料，结局也契合了片名，虽然不该由无辜女孩来承担，但对于恶人来说，还真是，因果报应
某J。624,2024-08-10 17:20:35,泰国,4星,2278,短评区不知道为什么被好些牛鬼蛇神占据（惨遭新ID刷评）。译名极佳的同时也严重剧透，但结尾的冲击力依旧强劲，尽管导演的叙事对脸盲患者来说很灾难，本子的严谨却挽回一切。吐槽为什么警察随便一查的案子要这么折腾的就是典型的“想当然”，电影里反复都在强调这是个”连生命没有了都伸张不了正义”的地方。最好评的是，这次没有受害者羞耻——永远都在承受伤害的女性哪怕遍体鳞伤也不惧直面坏人。
