用户名,评论时间,IP属地,评论分数,有用数量,短评内容
青棠,2024-12-14 18:33:55,宁夏,3星,37,三星是我对老公最后的宠爱。
甄子,2024-12-15 13:04:14,北京,2星,52,献礼片也没必要非拍的这么难看吧？理解一定得把港珠澳大桥融进去，但是是不是可以用点儿别的办法？20年的跨度，除了给强安了个工作，人生中就没点儿别的变化？我可以看20岁人的生活，也可以看40岁人的生活，但是不想看20岁人假装成40岁人的生活
豆瓣路人己,2024-12-14 18:44:18,上海,1星,100,能不能立法没有演技的富二代别出来演戏，以及此沙不适合这个戏路。
女神的秋裤,2024-12-14 22:16:13,山东,4星,36,片子节奏很好，情节推进紧凑。虽然说是爱情题材的电影，但也不乏幽默。跨越20年的爱情故事，让人在初冬感受到温暖与浪漫。真正的有缘人是不会被时间和距离给冲散的，跨过那座桥吧，我们终会再度相遇。
喵喵酱,2024-12-14 17:26:15,江西,3星,22,男主路好过来看一眼，剧情也不抱什么希望。我发现此沙更适合演大开大合的戏，这种需要更加细腻感情表达的纯爱片反而不行，话说他以前剧里的亲密戏也演得一塌糊涂。实在不行去谈个恋爱吧，不能一路做打星吧，天天剧组酒店两点一线人都演麻木了。台词还得练，口音比以前好多了但是断句重音还是有问题。刚出道还能理解，现在也演了六七年戏了吧。
Mr. Infamous,2024-12-14 12:49:29,北京,1星,43,《骨妹》导演哎……找来两个好眼缘的人，竟然只是为了用长达二十年的失真纯爱进行宣传……讽刺的便是，两个工具人相逢、再遇，都是灾难场面。但爸爸形象很好，台词也着了心力。一星半。20241211
泥塑大法好,2024-12-14 12:09:51,四川,5星,51,节奏舒服，温馨，一部写给澳门的情书
我也想问,2024-12-14 16:36:17,北京,2星,42,"整体无聊，也不咋般配，曾志伟还可以，让两个三十左右的人演高中生大学生合适吗？演技也一般，而且跨越了20年两个人完全没变啊，开头也不像99年，也没交代女主是学生，突然穿校服说要报志愿震惊了，下雨的戏衣服不湿啥意思。女主有几个左上方的镜头有一点点像阿娇，其他时候很普。女二太漂亮性格太可爱了，男主有任何理由不选她吗，都不知道爱女主什么，搜了下才一万粉，真的输在了羊水上。为了让女主选男主变得更合理，竟然让黄宗泽叠加离异有女儿邋遢赌博这么多buff，但即便这样还是很有魅力啊…第一次见面车爆炸了，还以为后面有伏笔结果没有就纯为让他俩相遇wtf,第二次因为大洪水相遇，第三次约见面爸爸死了，这么瘟对方瘟无辜的人还是别在一起了，编剧咋想的…男主映后挺有活力的没花钱也不多骂了不过我是何超莲的话我也想进娱乐圈"
掉线,2024-12-18 12:09:09,北京,未评分,21,【C-】白天给资本家打工，晚上花钱看资本家演戏。
开平彭于晏,2024-12-15 17:38:24,广东,2星,28,【147】这是礼吗你就献？爱情部分老套又无趣，摄影美术配乐跟着一起拉，最讨喜的原来是曾志伟。只有父女线是好看的，不如单拎出来写回归前后的家庭史更有意思。★★｜多想和你再见一面
夏羡农,2024-12-14 15:15:56,广东,3星,21,开头是标准粉红泡泡爱情片，中间的主题变成了时代的变迁，夹在其中的人越来越现实和无力，尽管结尾男女主相见又回归浪漫，但其实中间提到的两地分居，男女主职业选择的矛盾问题始终没有解决，感觉是纸面上的完满，所以还是差一口气。我朋友说别担心，现实中的土木狗终将失业，失业之后陪老婆卖牛杂逆袭成小老板获得澳门身份证每年享受zf派钱，是很具现实意义的happy ending，我笑着笑着就哭了，好一曲土木人的悲歌😂
JoeyLu陆柏宇,2024-12-15 23:35:18,江苏,3星,8,蛮俗套的
