用户名,评论时间,IP属地,评论分数,有用数量,短评内容
已注销,2024-11-29 19:22:28,广东,1星,46,豆瓣都是刷评论的吧，尬的一批
Zohar,2024-11-09 11:48:25,广西,3星,40,比预想的好看，拍出了抗日战争的惨烈，可想而知当初现实艰难的抗战。把其中一些降智片段剪掉就更好了，突围生娃实在没想明白这段剧情意义何在
扶风花落晴川,2024-11-29 07:53:55,山东,1星,62,又一批新人来谈恋爱了
画圆的人,2024-11-29 11:40:49,浙江,1星,29,演员全是熟脸，影片质量不如很多抗战电视剧，片尾小片都给了大学生群演镜头，很难想象这种成片质量是集山东省大投资的结果。电影院的保洁大爷看得比我认真。
我是可爱小仓鼠,2024-11-29 14:12:18,广西,2星,58,男主角的发型那么fashion，这是战士的外型吗？还有一幕也挺无语，一堆战士逃命需要跨过这片湖水，女主角来月经不能走然后男主角背她…为啥要强行cpdd啊？都逃命了来月经了还想着让人背，这哪里是战士，这是公主来玩战争游戏。不看了，撤退了，bye～
霄子,2024-11-27 22:00:42,山东,3星,22,尴尬➕无语，整体还行吧只能勉强及格分。
小金,2024-11-29 22:39:14,北京,3星,13,几名实力派演员完成度不错，看得出来学生群演们是真的嗨，松弛感拉满了，反倒有种很贴合青春年少真实还原抗大学生的感觉。整体故事节奏近似最基础的舞台剧一样，通过塑造一个典型的人物搭配一个牺牲名场面造就一段小高潮，然后靠这十几段小高潮接连不断拼成整体故事，优缺点都很明显，优点自然是基础的故事性不错有看头，主角穿插其中贯穿始终也有很明显的成长性，缺点就还是有些段落过于刻意以至于显得很抽象、离谱、不真实……
神豚,2024-11-30 00:00:54,广东,4星,13,看完了，感觉还不错~太惨烈了😭开头见男主女对上眼，还有点担心要谈情说爱，结果还好。男主苏凡作为那个年代那群热血青年的代表，目睹同胞被戮、河山染血，从富家少爷成长为真正的战士。苏凡是平凡的，并不是什么天降神人，他在前面大部分时间起到一个见证人的作用，见证那段血腥而残酷的历史，并无突出的表现。苏凡是非凡的，他在最后用自己的特长和勇气，跟同学们一起拿下了关键的电台，改写了战役的结局。女主是激励男主成长的一个因素。真正感人的爱情在狗头老高，哦不，杜教官跟桂芝~特别是最后💔狗头老高还是牛B，一人就是千军万马✊还有姐妹剧团敲锣打鼓吸引敌人，那张飘落的婚纱照底片💔周校长戏份还行，不过感人的戏不在他身上~
时光Serene,2024-11-29 20:34:07,北京,4星,12,看到片尾字幕里的26000名群演大学生的名字，感觉更加心潮澎湃了。勇毅拼搏，无私奉献的精神竟以电影这样的形式进行了传递。
网红强国,2024-12-04 08:36:23,贵州,1星,5,抗日偶像神剧搬上大荧幕
CottonGarcía,2024-12-03 23:56:57,浙江,4星,3,恐怖是真的恐怖，要是没有他们的牺牲，怎么会有现在的我们，去好好看看。
北风其凉,2024-10-30 17:12:30,山东,4星,12,还可以，不尬
一剑凌云,2024-11-29 12:06:38,北京,4星,11,影片选取了抗日大学在大青山突围的事迹，讲述了一段与众不同的抗日故事。影片开头风格很活泼，彰显了抗大的同学们也有着与我们相同的青春和梦想，本来我还想着是不是有点过于活泼了，但看到后面我才知道，由于抗大根据地遭到大量日军围困，后面的剧情比较悲壮，可以说煽情了，但并不刻意。结尾处千军万马那段可谓是一夫当关，万夫莫开，场面不小，令人动容。影片大胆的选用了2.6万大学生作为群演，他们很年轻，也很努力，可以说让他们来参演这段历史非常合适。总的来说，这是一部黑马之作，虽然有的地方稍显稚嫩，但依然令人感动。
MiyaYu,2024-12-27 10:18:27,北京,3星,0,20241226首都电影院金融街店。支部活动，王劲松老师真帅！男女主也挺好看。剧情就那么回事。。。
鹿逸斯安妠,2024-12-30 23:53:42,上海,3星,0,在不解和感动之间反复横跳。为大义献身的精神令人钦佩。但——为什么赤膊战之后不拿枪呢?
歪病枝,2024-10-28 16:20:27,陕西,4星,7,平铺直叙的惨烈战争和令人动容的插叙回忆
姮Joyce,2024-11-29 14:59:34,上海,4星,3,讲述了抗日大学的学生们在大青山突围的惊心动魄的一段往事，大学生群演演的很用心，影片完成度很高，呈现的画面质感很棒。
思旅者,2024-11-30 12:29:29,天津,3星,0,电影讲述了一场鲜为人知的突围故事，为观众介绍了一段波澜壮阔的抗大历史，一群正值青春的少年为了祖国舍身忘死，他们的爱情，亲情，友情令人动容。
快活过神仙,2024-11-28 21:53:27,北京,5星,25,不错，整体质感可以，拍出了团结作战的必要性，突围的主导性，战争年代战士的凄凉，儿女情长英雄气短，袁姗姗敲锣打鼓那段泪目了，我在想现在这样的生活来之不易，能在工作日的晚上看这么一部抗日战争片！第一分校师生你们永远最棒！还有参演的大学生你们也是最好的！
爱电影这场梦,2025-01-29 21:49:24,北京,3星,0,一部毁在制片人手里的好项目
Dipper,2024-12-04 20:02:02,北京,1星,7,应该叫大学生过家家和大逃杀吧
劉圍觀,2024-11-30 20:20:22,辽宁,5星,14,捐躯赴国难，视死忽如归。大青山突围战，电影基本还原历史，战争场面无比真实。想起看过的一个老红军采访，说机枪一扫，就像被风吹过的芦苇荡一样倒下，他们当年打仗，就是为了现在我们能有好的生活。抗大薪火相传，革命火种不灭，革命烈士永垂不朽！
豆豆熊猫,2024-11-29 17:11:13,北京,4星,5,这部电影是用了多少大学生群演啊！片尾花絮和字幕起码滚了5分钟过万人吧……印象最深刻就是年轻的演员基本全是素人，虽然没觉得有啥演技但又感觉透着年轻清澈的憨憨气，倒也不假……片名大突围实际上一路也是被追着打，贡献了很多看了让人叹息的牺牲场面，那个年代的精英青年就这样殒命，让人感伤不已。不过片尾提到抗大培养了2.4万革命军官和4位开国功臣，这部纪念抗大的电影还是有一定意义的。
Lmoung,2024-11-30 20:35:04,吉林,5星,4,《大突围》以紧张刺激的情节呈现突围之战，战火纷飞中尽显战士英勇无畏。画面极具冲击力，让观众仿若置身硝烟战场。其对人性与家国情怀的刻画细腻深刻，是一部震撼人心、彰显热血与信念的佳作。
Rain Watcher,2024-11-29 12:07:30,北京,4星,3,大突围这部电影以不同的角度展现了，抗日战场上我们八路军抗大一分院在日军重重火力炮轰下惨烈突围的过程。跟以往的抗日战争片不同，这部电影的角度可谓是单方面被日军侵略的，也许这才是最真实的抗日战争，在抗战中死去的无数普通人看的我感同身受，他们也是刚上大学的孩子，在敌军机枪围堵下，根本来不及恐惧就要面临死亡。看完之后我更不敢忘记历史。另外，这部电影启用了三万名大学生群演来拍摄，真的非常有新意。
毛丫头,2024-11-30 12:42:06,上海,5星,5,之前看到是一群大学生参演的，片尾长长的名字十分令人感动，跟大多数抗日电影差不多，画面也很不错，每次看到这种类型的，就非常讨厌鬼子，我们先辈们太不容易了！给先辈们送花点赞！😭 💐💐💐
余生有你真好,2024-11-29 19:43:31,山东,5星,5,很经典的红色回忆影片..以老一辈自述、羊群被狼墨追赶开篇…..讲述了沂蒙山抗大大突围的故事..战斗场面相当惨烈.全篇节奏先缓后紧张至炸裂…..两万名大学生参加演出，听过沂蒙山小调这首歌，今天也是终于看到了沂蒙山的历史故事，抗大的战士们誓死捍卫阻击敌人，掩护抗大的学生们撤离。黄小蕾、艾米、敖子逸及众多大学生们等在里面均有精彩表现…每个角色都饰演得很到位...很精彩，看完心情久久不能平复...另：片尾曲很好听...最后千万别错过！
why,2024-12-28 08:40:33,上海,1星,0,给一个真实的评分
青隹,2024-11-29 19:00:27,上海,2星,60,多一星给千万群演大学生。好可怕，表现女人参与战争的方式是生理期借男人衣服里的棉花，让男人背着过河，在等待一个七八年不见的男人，甚至在战场上生孩子。“生了生了，是个男孩。”转头孕妇大出血，他们想都没想，就只把孩子抱走了，产妇永远留在了那个大坑。
风车车,2024-11-29 11:52:45,四川,4星,2,看了《大突围》，心潮澎湃呀，那紧张刺激的突围情节，战士们的英勇无畏，仿佛把我拉回那段热血岁月。画面震撼，故事紧凑，深刻展现了先辈们的坚韧，让我们有幸福的今天。
琥珀川的河神,2024-12-08 22:29:14,广东,未评分,4,晚上单位组织看的，好难受啊
残花,2024-11-30 09:48:59,浙江,2星,10,除了战争戏，其他就别看了，最讨厌非时装剧还戴美瞳的！很出戏导演知道吗！明明是大逃亡却叫大突围，这个村长哪里冒出来的？方圆都被炸遍了，还出来看看什么情况，既然这样为啥部队不往村长地方跑？撤离过程主角经常会突然出现在其他场景，剧情结束又出现在大部队里。但是，战争场面真的花费了心思，虽然不能用宏大来形容，但绝对的惨烈！或者说怎么惨怎么拍！就说这个孕妇，是个观众都猜到要在战场上生了，结果生出来没多久被小日本丢悬崖了……惨！群演也辛苦，好多的爆炸点都是近身爆炸、穿着火焰长时间拍摄，很惨烈！
烂片观众室,2024-12-01 12:54:35,广东,2星,6,按照我自己平常的尿性肯定是要给一星的，但是这次想给两星，因为这还有一些可取性的。有些镜头确实拍的不错，也终于有镜头推到女生的生理期，还有孕妇生孩子，演员演技也算在线。但确确实实的烂片，为什么被打的四处逃窜，就是不捡起枪反抗，也没有一点突围设计，没有任何计划。最伤心的还是，我们临沂籍演员也很多，为什么村长还用了一个东北籍演员？
Pearl,2024-10-26 14:43:25,山东,5星,10,电影本身和幕后都不曾存在过主角。
T-10000,2024-12-23 22:41:38,河南,2星,2,很难说电影本身出现了多么严重的问题，就这个题材而言——群戏调度已经算不错了，考虑到要指挥上万名毫无经验的群演；有几场戏拍得也是够惨呈现得很绝望，带给人心的冲击与触动是有的；逻辑上比手撕鬼子之流也要好一点......当然，年轻男主演的糟糕演技算一项。然而最大的问题其实在于这类题材的影片是否还有存在的必要，与其他上百部抗战影片共用一套主旨，呈现方式也是换汤不换药。而且这么长时间、高密度地呈现被日军围剿的惨状真的好吗，很难不认为是在卖惨，看到最后已经麻木了。
楊榮良ROC,2024-12-27 06:30:23,贵州,1星,0,浪費生命😅
K-night,2024-12-21 23:56:19,四川,1星,3,侮辱观众智商，侮辱革命先烈
姜浮云,2024-11-29 20:14:47,山东,5星,5,肖雯真好看 任天野真硬 片子真惨烈 不过演职员表也是真特别。整体完成度还是不错，对于这种制作而言。
白封,2024-11-30 00:16:57,江西,2星,2,没若至主角这片能有四星
小玉要努力冲呀,2024-12-05 20:15:16,湖南,4星,1,能不能少点感情戏
白封,2024-11-30 00:16:57,江西,2星,2,没若至主角这片能有四星
小玉要努力冲呀,2024-12-05 20:15:16,湖南,4星,1,能不能少点感情戏
K-night,2024-12-21 23:56:19,四川,1星,3,侮辱观众智商，侮辱革命先烈
琥珀川的河神,2024-12-08 22:29:14,广东,未评分,4,晚上单位组织看的，好难受啊
@_@,2024-12-13 15:32:06,江苏,2星,1,困的不行最后睡了半小时。剧情？没有剧情，就是轰炸，跑，接着轰炸，接着跑，催眠效果很好。抛开轰炸和鬼子，这就是一部纯纯的青春偶像剧。
食猫面,2024-11-29 16:40:16,广东,5星,6,群演多是在校大学生，这个切入点确实新颖独特，故事也是从抗大分校的学生课堂上展开，当年与当代的碰撞，展现学生战士们宁死不屈，牺牲自我，同生共死的革命精神。在铁壁中突围，在战火中蜕变成长，在血肉中诞生新希望。感恩过去，珍惜现在，致敬！
靜❤♪,2024-12-12 15:22:07,北京,3星,2,有些感动的点，但这片儿拍的有点儿过于血腥了，不适感占据了更多。。。
维生素C,2024-11-30 16:52:54,上海,4星,3,《大突围》通过一位老兵的回忆，讲述当年在中国人民抗日军政大学第一分校的学习，以及遭遇敌军偷袭追击的故事。据说有2.6万的大学生参演。战争场面宏大、惨烈。表现了我军和学生们的英勇。一些知名演员都只演了一些小配角，主演敖子逸等青年演员也表现的非常好。是一部值得年轻人们去看的热血好片。
gougou647,2024-12-21 20:27:31,上海,3星,3,公司组织看的
普通的追剧人,2024-12-06 15:29:28,河南,3星,0,挺好的
香妃子,2024-11-29 16:31:39,上海,4星,2,影片原来是讲述国防大学前身的学校大突围，花了2.5亿成本在沂蒙山区拍摄的，飞机和爆炸场景都拍的很真实，是一个大制作的抗日战争片。
三串烤面筋🍡,2024-12-19 20:05:09,广东,1星,5,别再组织员工看这种破电影了啊啊啊啊
文化异见,2024-11-28 21:53:59,北京,1星,10,无语笑了，这种劳民伤财的少拍吧
一寸丹心,2024-11-29 18:28:19,河北,1星,6,日军用了14年才逃出去
三千世界,2024-12-07 13:40:43,北京,1星,6,抗战是段伟大的历史，不应成为某些“文艺工作者”的生财手段。不要再组织党员看了，应该让这种片子接受市场的洗礼。
石中花树,2024-11-28 23:41:23,北京,2星,0,战争下的每个人都是无辜的，有血有肉。如果他们又是战士，就不能平白无故享受和平，而是在战火历练下认清自己和敌人，勇敢反抗一切的不公。
百腕巨人的守护,2024-12-14 20:17:44,广东,1星,3,如坐针毡，人物和剧情都过于套路化，属于看了前半段就知道后半段要发生啥的叙事。看了下导演的履历，发现导演的每一部电影都有不同人的评价说剧情稀烂，靠题材讨巧。这部也是一样，多好的题材，拍成降智血浆套路片。提到抗战中的女性还是只会描写战场生孩子。评论往下划清一色的五星刷屏氵军
布织锁云,2024-11-29 20:20:45,内蒙古,3星,1,群像戏很精彩，每个角色都有独特之处，大多数演员都有抗日年代的精神面貌
银链子,2024-11-30 16:54:43,广东,5星,4,其实真的挺真诚的，很感动，哭了
无敌冰红茶,2024-11-30 13:56:08,北京,4星,2,在拍摄过程中，我就一直满怀期待，因为大学生群演们的表现实在太出色了，他们的表现不仅出圈，还为整个作品增添了不少色彩。我一直期待着成片的出炉，而最终呈现的结果也的确非常优秀。拍摄手法真实细腻，很多场景和情节都是基于历史事实的再现，让人仿佛穿越时空，感受到了那个时代的氛围。
赫奇帕柠,2024-11-29 19:08:13,吉林,3星,3,还挺好看的，很意外。虽然本质是“一个少爷的成长史”，但是剧情很真实，摄影和特效都不错。战争真残酷啊，那个年代那么多懵懂无知的年轻人，为了理想投身革命，看了挺心疼的。
