用户名,评论时间,IP属地,评论分数,有用数量,短评内容
罗弘霉素,2010-07-26 18:41:26,,5星,15401,一遍烂，两遍笑，三遍哭
林愈静,2006-04-22 13:09:37,,未评分,1821,看了不下20遍，彻底看伤了。
Lan~die,2006-10-07 10:48:36,,5星,7346,经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？  “想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。
仲楚,2018-01-30 23:44:02,,4星,3539,紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。至尊宝面对现实的两条路:不成大圣，我无法救你。成了大圣，我无法爱你。
Mona Lishark,2008-01-01 19:41:02,,5星,9304,有人跟我比赛背台词么
woodYA!!en,2011-03-17 23:03:33,,4星,1825,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。
新村萌香,2010-10-06 23:17:37,,4星,999,#电影院#  第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱（挚爱）的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。
Miss Lucky,2006-12-22 20:41:27,,4星,1101,其实很伤感
凉水,2012-10-26 20:49:43,,5星,5272,紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。
快乐人生,2018-03-18 20:22:00,,4星,322,曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是  ...一万年。
康报虹,2017-04-14 21:41:11,,5星,4607,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。
眠去,2007-02-13 12:55:20,,5星,7661,为什么越看越觉得悲伤
小锡兵,2009-02-03 05:27:31,,5星,5684,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死
卷子乐子八子,2008-09-27 20:17:54,,5星,4623,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局……
影志,2006-02-05 18:31:34,,5星,5232,任何时候任何场合都可以再看一遍的电影
欣欣向荣,2018-03-09 21:05:06,,4星,218,大圣去取经了，城楼上的和自己长得一样的人类和一样的紫霞仙子，过着愉快的生活，有点悲伤。
猫咪.萌萌,2018-01-15 17:22:52,,4星,147,这表面看起来像喜剧，实际上就是个悲剧，紫霞仙子和齐天大圣之间隔着500年，500年前的齐天大圣和紫霞仙子的爱情，500年后至尊宝和白晶晶的爱情，那么多的纷纷扰扰，到最后不过是一场梦，真真假假各自体会，
野次馬,2015-12-27 07:08:31,,5星,2608,"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。"""
阅微草堂,2012-01-17 14:54:07,,1星,864,只是一个应错阳差的片子，至于么？慢慢理解了流行其实就是一个蝴蝶效应
甜甜甜甜甜甜甜,2013-02-23 01:39:35,,5星,3715,小时候看着笑，长大了看着哭。
俗在骨,2017-04-10 06:35:31,,3星,507,我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱
瓦达西瓦又又又桑只爱这巧克力,2010-07-06 12:52:25,,5星,2291,因为你还没有遇到给你三颗痣的人
西楼尘,2017-04-15 20:55:34,,3星,321,那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。
寂地,2006-01-02 15:05:32,,5星,1009,"哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的."
雨读,2017-04-19 10:01:19,,2星,243,这..是..现象级的过度解读吧..周星驰还是那个周星驰，只是我们对于青春和情怀的捍卫过于执拧。说实话，笑不出，哭不出，至于像条狗的总结陈词，不就是周星驰惯用的将主角都打上市井小民烙印的招数？
胡小猴,2017-04-22 00:08:50,,5星,500,紫霞开始多骄傲啊。从今往后这里的一切都是我的，包括你在内。快叫主人。可是，从至尊宝拔出紫青宝剑的那一刻，他们的关系就颠倒了。爱情是多么危险的事物啊。轻而易举就能毁掉一个人的骄傲。就像毒品一样，能让最矜持的人当众大小便失禁。想到自己的孩子早晚也要落入爱情的陷阱，我就难过得浑身发抖。
宁宁,2018-01-12 11:23:24,,4星,191,电影第二次上映我是第一次看，我觉得看懂了又好像没看懂……不过紫霞仙子好美，朱茵现在还是那么美
麦艾斯,2020-01-05 13:28:24,,2星,131,什么年少不懂星爷，就一群成年人犯矫情用带入感看这部灯光烂、剧情简单无脑的电影。至尊宝当时对紫霞是在撒谎，他要她的月光宝盒去找他的爱人……他的爱人不爱他才回去做了孙悟空……结果紫霞也爱不成了，落得当和尚取经的故事……一部渣男现世报电影么……-2020.1.4电影频道重看感想-
大头绿豆,2005-09-12 20:10:13,,5星,701,请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。
Mr.Pink,2017-04-18 15:15:57,,2星,144,我能说这片一点都不好看吗
宋阿慕,2008-02-19 15:19:26,,5星,775,大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.|人试图化身为天地，这本身就是一种不自量力。
Linda,2017-04-08 14:27:10,,1星,956,谁能告诉我这电影到底好在哪?
Lydia,2020-04-28 18:48:19,,3星,227,我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。
怎么还不可以啊,2022-12-11 07:01:49,山东,2星,61,除了朱茵的美丽我什么都看不懂，这似乎是一场男人的自怜自伤，怪不得用至尊宝做头像的男人需要避雷
卡特兰,2006-05-22 08:12:33,,5星,891,我想，应该不用说什么才对。
南笙,2012-01-06 22:58:28,,5星,810,我在你心里是个句号还是一个惊叹号？
隔岸观船,2017-01-11 22:40:21,,5星,489,你看那个人 好像一条狗啊  当他还是至尊宝的时候 他还是一个人 白晶晶 紫霞 嬉笑怒骂 爱恨纠缠 初爱 初心 最是轰轰烈烈 然而人总是要成长 要入世 要面对现实 要承担责任 要不辱使命 于是变成了孙悟空 带上了面具 学会了伪装 说不清道不明 活得好像一条狗
雨果,2016-12-23 19:10:41,,4星,89,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。
南山的姑娘,2017-04-12 21:26:43,,1星,470,简直就是为了圈钱的，情怀这个东西说多了就真不值钱了
