用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Tuna Bento,2008-10-22 21:20:39,,4星,6358,时隔十年重新看这部动画片，被海盗老婆婆那句“头发被剪掉了才是大事”感动得乱七八糟。对于一个女孩子来说，什么金钱散尽啊什么历经苦难啊都被这几个字淡淡抹掉，小小一句话简直就是箴言。
seeme | 北北,2006-12-02 21:45:58,,5星,5109,我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。
莫呼洛迦-屁股上的青春在歌唱,2010-09-05 03:28:47,,5星,3644,多年后重看天空之城才能更加明白，宫崎骏对细节的处理的用心不仅仅是一时的感动你，宫崎骏能通过他的作品来让你逐渐明白生活的可贵，来明白爱与和平的作用。但就……还是早恋！
布宜諾斯,2009-04-14 13:35:03,,3星,1909,剧情无甚佳，但天空之城的景象忘不掉，尤其是废墟中布满杂草的死掉机器人出现的时候
汪金卫,2012-01-11 23:36:34,,3星,96,以前没看过宫崎骏的动画（《阿丽埃蒂》不是宫崎骏导演）我是怀着膜拜大师的态度来看片的，但大失所望。精美的人设和画面、美妙的旋律下是一个充斥着俗套的漏洞百出的故事。也许我被皮克斯的真实系动画惯坏了，但我实在不喜欢这么个能让我边看边猜到下一步剧情的动画。剧情要是正常些都够主角死几百次了
同志亦凡人中文站,2012-12-22 20:41:51,,5星,2090,人类历史上昙花一现的飞艇时代竟然衍生出了这么波澜壮阔的故事，尽管早期画风有点幼稚，但想象力就是让人叹为观止。我最敬佩的，是当初决定离开天空之城的先人，因为那需要太多的勇气！
朝暮雪,2012-08-07 16:01:03,,4星,1107,可惜1986年奥斯卡还没有最佳动画长片奖。
Vini_Kazma,2011-09-19 15:02:02,,5星,1499,如果说自然赐予文明以生命力的话，那么贪欲则会夺取文明的生命力，直至文明毁灭。植根厚土，沐浴清风。和种子一起过冬，一起在春天里生长；和鸟儿一起在春天里歌唱；和春风一起在大地上舞动。只为追寻那最质朴的生活。“巴鲁斯”与其说他是让拉普达毁灭，还不如说是让拉普达文明涅磐重生。
赱馬觀♣,2019-10-07 13:22:48,,3星,46,久石让音乐甚是经典。可这片拍的……也太好莱坞太斯皮尔伯格了吧！片头从飞艇坠落，在高架轨道上疯狂追逐，不正是比本片早两年的夺宝奇兵2的华彩桥段吗？而动画片在这方面存在先天缺陷，拍不出真人电影的紧张感以及微表情与小动作的幽默调剂。关键时刻项链宝石魔力四射使希达凌空安渡，算是脱离了真人冒险的逻辑维度而进入到动画该有的超想象自由王国，然后又令人遗憾地摆荡回大段类型感真实化和西方文化倾向的动作桥段，直至天空之城华丽显身才再见动画想象……如此的品质起伏跌宕自然难堪极评，更别说豆#34的耸人高位。三星半。
miracle,2022-11-12 18:55:04,浙江,3星,57,画面很美，不过没什么感动。最后为什么要毁灭呢？为什么又没毁灭成功呢？奶奶的咒语是骗人的？那些贪财的军队都死了，那婆婆那一伙不也是为了寻宝吗，还拿走了一点，难道说小贪可以，大贪不行？男女主设定应该是小孩子吧，可是感觉又不是友情，说是爱情么又有点违和，总之感觉有点尬。
赤练的老公,2018-01-02 22:25:39,,4星,791,宫崎骏的一大代表作，不论是剧情，音乐，配图。节奏都非常好。看了好几遍。值得看。青涩的友情爱情，抉择。很纯情。尤其喜欢钢琴曲，不得不说。久石让与宫崎骏绝配
Erdouxm,2023-06-02 10:20:04,江苏,3星,59,将近四十年前的电影，我终于在大荧幕完整看完，不过很可惜没早一点观看而失去了很多共情和新鲜感，质量和立意没得说，只不过用我现在的观影角度来说趋于平庸
寂地,2006-01-01 17:25:51,,5星,2033,不看人生不圆满!!!宫爷爷的所有电影都是!
徐若风,2013-02-13 15:39:04,,4星,405,浪漫至极的大冒险。/ 2023时隔十年二刷，少男少女情窦初开、互诉衷肠的秘密夜聊，以及两人共同在瞬间决定不顾生死、携手说出毁灭的咒语，都是两个很大的泪点。那种只有少年心中才有的理想、勇气，为爱不顾一切，太打动我了。有些电影可能长大后看才会真正看懂吧。《天空之城》真正讲的是：每个人心中都有一座天空之城。年少时，它是我们的理想，是净土，纯洁之至。而随着成长，它反而会充斥着物欲、权欲，成为抢夺他人资源的机器。守护你心中的纯真，不要因为这个世界而彻底改变自己。而这几乎无法做到。我们只能尽可能离真实的自己，近一点，再近一点。
城南草木生,2010-11-27 10:17:15,,5星,1671,还是觉得这是宫崎骏最好的一部——“我会像傻瓜那样去保护她”
