用户名,评论时间,IP属地,评论分数,有用数量,短评内容
一池感花,2024-10-25 19:53:37,浙江,4星,544,女主真tm地惨啊，从小被折磨着跳舞唱歌长大，叛逆期吸毒，后来丈夫车祸去世，自己又身受重伤，一直要吃止痛药过活。然后遇见了该死的“危笑”，得，好不容易上升的事业，连着命一起没了。
Lackbaby,2024-10-17 20:07:58,法国,4星,349,黑天鹅+博很恐惧+陷阱，除了中间部分有点拖沓之外，差不多是当下类型恐怖的小天花板，建议沙马兰反复观看10次
simon㍿,2024-10-17 22:18:26,中国香港,3星,470,不喝voss玻璃瓶会死是不是？
𝗟𝗼𝘂🩴,2024-10-18 15:37:56,马来西亚,4星,193,最后结局竟然猜到了 不得不说 女主演技还挺好
Dawnaif,2024-10-24 05:10:27,美国,4星,190,第一部我不喜欢，基本0期待进的影院，没想到第二部居然好看很多。不再侧重于午夜凶铃式的人传人现象，开始操纵观众心理了。虚虚实实真真假假让人揪心地看到了最后，上一部没有深挖的心理创伤这一部也填上了。乏善可陈的jump scare在这部里作为节奏调剂出现得也不错。还是那句话，最后不露脸就更好了，露脸只会让人想到进击的巨人。
乔乔吉,2024-10-27 22:15:38,福建,3星,338,目前分有点虚高吧，毕竟还没有我领导一个突如其来的电话一半恐怖。
seven,2024-11-16 19:56:10,重庆,4星,174,原来洋人真的最在乎nobody cares about you
秋奔客,2024-10-17 18:56:45,广东,2星,140,没活可以去拍广告
a little mark,2024-10-21 10:31:16,美国,4星,133,视听效果和恐怖程度大幅升级；这个导演算是把jump scare玩到新高度了。
Marutvat,2024-10-21 13:15:47,澳大利亚,2星,107,别动不动的就整世界倒立镜头行不行
谁,2024-10-18 08:46:26,英国,5星,462,今年最好看的恐怖片….吊打断魂小丑某种物质这种恶心男凝torture porn…….咱们危笑不用男凝，不用虐杀女性受害者，男受害者和女受害者比例正常，完美叙事线和开头一镜到底爽到我。全程超绝完美镜头语言和各种高级音效。女主演技太好了，歌也都好好听。new brain太洗脑了。
LeungChanXXX,2024-10-22 11:09:02,广东,4星,79,3.5。制作与尺度全面升级，影院音效氛围加分不少，再加上时装与舞台元素的点缀以及更为成熟的叙事风格，整体可看性比前作略胜一筹。开场数分钟长镜头便简洁流畅地完成了承上启下，但故事并未打算对设定进行更深挖掘或解释，而是转换舞台，注入更强的隐喻色彩，聚焦女明星台前幕后的精神状态变化，以猛烈的惊吓设计、大胆的血腥镜头和亦幻亦真的心理惊悚桥段，实现了这部可圈可点的续作。很大程度可归功于Naomi Scott的出色表演。配乐与摄影也维持住了某种怪异感。某些方面会不自觉对标The Substance，包括最后也贡献了一幕非常WTF的奇观。缺点方面大概是跳吓与幻象的频率略高再加上时长问题，观感到了后半程多少有些疲倦。
SiMON ★Joanne,2024-11-20 00:47:05,江西,4星,46,最厉害的地方是感觉不到时间，没有对于节奏很紧凑或者很松散的感觉，然而时间就是一下过去了，对于观众情绪的把控力太强了，最后的反转意料之外情理之中，为什么两个小时过的这么快！
𝐴𝑙𝑜𝑛𝑠𝑜,2024-10-19 09:49:10,哥伦比亚,2星,52,漫长且毫无新意的一惊一乍，导演究竟是想折磨女主，还是想折磨观众。我看都有。
大聪,2024-10-20 17:04:37,新加坡,4星,28,没有带着任何期待去看《危笑2》，意外觉得很不错！第一部《危笑》以瘆人的微笑杀出恐怖惊悚片内卷的重围，把平常以笑待人的礼貌举动，逆向变成了夺命笑，以这样的高概念恐怖设定，成功脱颖而出。作为续作《危笑2》继续延续了这样的微笑传染，原本再次使用相同设定会让观众容易产生重复疲劳，但《危笑2》却深入到主角歌手的内心创伤心理状态，去挖掘更多对角色成长和转变，以及无法承受的毁灭。影片讲述了一位著名歌手明星的陨落，表面华丽蜕变重新崛起，实则却总是在暗处无人时自舔伤口。《危笑2》并不会急于频繁抛出劣质的惊吓桥段让人喘不过气，而是去认真做好角色内心的构建，让观众站在主角的视角，虚虚实实真真假假之间，和主角一起完成抗争和崩溃交织的旅程。
