用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Darklands,2024-11-09 16:37:44,上海,1星,3944,真的不会很多梗过于刻意了吗？一定要拿出来说事儿才会觉得有些东西是值得被看见的吗？我觉得是没必要的 虽然支持女权但现在更支持平权 没必要天天把这些梗刻意的拿出来说事 有些东西说多了真的会觉得boring 真的没必要
費斯基,2024-11-10 20:04:31,上海,3星,10443,两个小时的《邵艺辉脱口秀专场》
上网就是要发癫,2024-11-13 10:44:25,福建,5星,51780,最爱小孩子猜声音那段，算得上看过的电影里相当浪漫的叙事了。很温和也很有爱。
kkkk过马路,2024-11-17 07:59:39,辽宁,5星,38533,我正直勇敢有阅读量，我有什么好可怜的！
拆信刀,2024-11-16 18:37:44,上海,5星,32736,茉莉才是看完了王铁梅所有的报道。去创造新的游戏规则！
西楼尘,2024-11-14 18:43:03,福建,4星,60923,戴新拳套打旧靶子，拿旧球拍磕新声音。母亲的煎蛋锅能制造暴雨，晾衣绳引发打雷，吸尘器刮起龙卷风。榨汁机能锯断木头，购物袋引发泥石流。砂锅粥爆发岩浆，遥控器启动飞船，收拾蜡笔能挖掘深坑。谁在充当裁判评断优劣，谁在制定规则决定对错，谁会告诉你当观众也可以，谁会盯着你说你怎么看我都没事。
松鼠在西风漂流,2024-11-17 19:07:55,江苏,5星,29943,年度最佳！评论区有打一星、说邵艺辉吃女权主义红利吃上瘾讨好女性观众的，就算是，怎么就不能讨好了，是我们女性观众不配被讨好吗？在吹毛求疵什么呢？我就吃这一套！更何况这部作品也根本谈不上激进，甚至电影里对男性形象还是美化的，没有表现出丝毫对男性的恶意，非常真实、细致动人！那么多成百上千讨好男性的电影怎么之前不说？在男性英雄主义角色玩转乾坤、占领话语权的时代，难得有女性导演脱颖而出，打造了一个现实主义但女本位的世界，完成度极高，剧作功底极好，如此优秀的作品，不应该多多鼓励嘛？(部分男的不要去我主页动态底下骂我了，攻击不到我的，你们这种行为让这部片子的含金量又增加了)
左輪手槍腿,2024-11-16 18:27:44,上海,5星,27838,“你看过几本上野千鹤子啊？”，一想到这么好玩的电影热度不大我就急的团团转
仁哲神龟,2024-11-16 20:24:54,四川,5星,21845,章宇被扒衣服的那一段，全场女生大笑，我们什么时候在中国的电影里看到过这样的场面，共享过这样的笑声？当影片迎来一个非常俗气的结尾，闪耀的聚光灯照在小孩儿头顶，如此土气的设计，却让我觉得是最棒的一幕。我们何尝拥有过这样耀眼的结尾？我们看了这么多的电影，看了那么多逆袭的主角与光辉的英雄，终于，这盏俗气的顶光打在了我们的头上。我们看了太多他人的故事，甚至很难找到一张镜子，让我们能够看到自己。但邵艺辉为我们写作，给我们安慰，给我们希望。我当然希望明天会更好，也希望有一个可以依偎的臂膀。
闵思嘉,2024-11-13 18:09:25,福建,4星,37515,女儿听声音的那场戏说明了，女性的声音，也是世界的声音。我们通常没有用这种方式去留意过、听见过、定义过这些属于女性的声音。
朝阳区妻夫木聪,2024-11-13 17:22:16,北京,5星,20994,太喜欢了！是那种看完了会庆幸“啊我来电影院就是为了看这种电影！”的感觉，每一个点都可以精准地戳中自己，在全场无数次的大笑鼓掌中收获了特别多的感动和愉悦。邵导继续稳定输出，依然发生在上海，这次聚焦当代沪漂人的日常，态度温和但表达坚定。单亲妈妈不必是超人，恋爱脑也没什么可耻的，你可以犯错可以脆弱可以愤怒也可以胆怯。创作虽然会痛苦，但做一个台下鼓掌的观众也没什么不好，男人是可以雄竞的，没有血缘也是可以组建家庭的。街头可以弹唱也可以cos，小朋友也是可以不用卷的。女性叙事跟女性表达当然不用总是苦哈哈的，但如果还有人没看到那就要一直重复一直说。拒绝“爹味”叙事但支持“妈味”表达！现在可以光荣地宣布，这不仅是好东西，更是中国院线最应该出现也最值得被看见的东西！激情五星了！
老白cby,2024-11-13 15:17:50,上海,5星,20873,硬刚尾随男、怒怼随地小便男、正视自身需求拒绝不合理不礼貌的性行为……在一秒24帧率的大银幕上，以光明正大的“女性凝视”，且视他人凝目如鬼火，去回应去鄙视长久以来不文明不尊重女性的行为，简直不要太爽。所有女生都该看的一部女性爽片
저녁바람,2024-11-17 18:12:23,湖北,5星,18370,好东西仅好东西可见
子戈,2024-11-11 13:54:08,北京,4星,16141,这是一部充满了善意，还相信世界会更好的电影。尽管片中《明天会更好》的副歌几乎唱全，只差了那一句“让我们期待，明天会更好”。这是一部真正意义上的女性主义作品，不仅因为满足贝克德尔测试，更因为，它跳出了1.0的苦大仇深、复仇心态，进入到一个打翻了二元对立的混沌状态，并把女性的主体性，真正凸显出来。这是一部一切都关于性别，但又不仅仅是性别的电影。街头的歌唱、家中的种菜囤货、调查记者的失落、校园举报的泛滥……无不在提示，“权”字之前，不仅有“男”，还有“父”，有“公”。靶子是老的，但拳套是新的。这就是“明天会更好”的希望。“冒犯”之语，都借小女孩的嘴说出，不是避重就轻，而是在说，下一代将建立一个新世界。而我们今天的“因”，就是明天她们的“果”。是好东西，去看吧。
壹安²,2024-11-10 18:01:29,北京,5星,17055,《她不想打拳》《男人还挺好玩的》《不雄竞了？》…多好的生活文学啊，多棒的表达啊，别再面面俱到了，我们为什么不能搞砸呢，是谁在裁判呢？
吐泡泡的麦兜,2024-11-16 18:43:37,山东,4星,9782,它没有那么好，节奏松散，俏皮话有点刻意，转场靠bgm，处处都是导演的表达欲……但我们确实需要，需要一些放松的时刻和小小的呐喊，需要短暂的逃离，像课间的十分钟，像一杯去冰微糖版的霸王茶姬。
momo,2024-11-16 22:38:32,湖北,5星,15874,邵艺辉太灵了，小宋佳太灵了。窝囊废男人赛道支持赵又廷闯入，终于不用被某男垄断了，看不下去那张脸。
マクガフィン,2024-11-13 02:26:04,北京,5星,12520,手松一点可以五星。比《爱情神话》更普适也更辛辣。这哪是中国的《芭比》啊，这是中国的《弗兰西丝哈》。
