用户名,评论时间,IP属地,评论分数,有用数量,短评内容
大号煎饼,2024-07-13 18:27:10,北京,4星,10385,你不拍，我不拍，“华人文化”老外拍
东门捷径小V,2024-08-18 18:29:38,湖南,4星,6364,最最难过的一幕是上一分钟还在跟哥哥用共同的母语合唱，温存靠在他的肩头，下一分钟就狼狈地被赶出去，你永远不要再来了。即使年龄已经离死亡终局这么近了，手足亲情在遗产面前还是这么不堪一击。
Grace,2024-06-13 21:29:42,中国香港,4星,5618,說是孝道電影，我看出來是反孝電影。姥姥年輕時候給父母送終，房產給了大哥，大哥一舉成為富豪；有了子女後，大兒子只出錢不出力，小兒子要媽媽還債，只有女兒真心疼她，依然吃力不討好，經常吵架。女兒自己都調笑：財產給了兒子，癌症給了女兒。外孫子M確實是個好小伙，表面上照顧姥姥是為了遺產，但是兩個舅舅給錢他都拒絕了，姥姥給他存的錢他也用來買墳地。他是真正灑脫也為姥姥著想的人。但是M如果是女孩還有沒有這麼幸運呢？小梅倒是被爺爺公平對待，可是她的生活很快變成了給親戚送終的情感經濟學。一言以蔽之，真心應該留給真心對你的人。
ww5,2024-08-17 16:31:33,山西,4星,4567,感动是感动，但对比一下女儿的待遇心情就变得很复杂。真的不会担心女儿寒心吗？儿子继承财产，女儿继承癌症，连外孙都有成长基金，女儿什么都没有。
我劝告了风,2024-04-07 23:20:29,泰国,4星,4458,作为女性的观感其实不太轻松，女儿明明是最真心付出最多的但是最后却什么也没有。M说 you didn't learn from your lesson 是真的。自己因为父母的重男轻女而穷困最后在自己万年却仍旧选择把遗产给嗜赌成性的儿子，以及从小给孙子存下的基金。那么一直辛苦照顾不求回报的女儿呢？感人是感人的我最后还是哭了。男主角也非常帅我时时刻刻都在欣赏这颜值盛宴甚至想找男人了。在泰国看的第一部电影with Damian
希夫,2024-06-23 00:50:06,中国香港,2星,276,不喜歡這部電影，無論結局如何，當一開始要照顧外婆是從如何獲得利益回報爲考慮出發的時候，我就知道我無法跟這部電影共情。電影一開頭，外孫自顧自打遊戲讓外婆自己上墳頭最後摔下來的那一幕，我是無法接受的。電影里老奶奶演的很好，但即便如此我也無法多打一星。
阿巫门,2024-08-18 20:04:34,北京,4星,2434,儿子继承遗产，女儿继承癌症。
郁甘霖,2024-04-28 23:59:15,泰国,4星,2203,聚焦多个社会学火热议题(集体主义与个人主义，女性权益，伤痛的代际传递，尼特族，老年人赡养，临终关怀等)且具有高度复杂性的影片。已经是非常高水准的佳作。观于曼谷百丽宫。
Jinji,2024-05-31 23:38:07,新加坡,4星,1748,好典型的华人家庭，最年长的女性把一生奉献给家人，许愿时会保佑每一个子孙，珍藏住每一句孩子们小时候的童言。而我们是什么时候遗忘儿时信口胡说又发自内心的承诺呢，长大这点真不可爱。留了很多眼泪，因为没有机会照顾奶奶了。妈妈那句玩笑“儿子继承了财富，女儿继承了癌症。”也让人笑中带泪。坐在第一排，身后是此起彼伏的抽泣声。
momo,2024-06-02 02:58:20,马来西亚,5星,10407,果然只要是华人就有机率出现的经典家庭：不管儿子如何自私没有良心，妈妈永远偏袒的是儿子；不管女儿如何照顾，最多只会换来一句夸奖然后实实在在的遗产依旧没考虑到她。最恐怖的事是：妈妈也曾是自己家庭如此这般的受害者…我感动的点从来不是亲情，我承认或许和我的经历有关，但更直白的原因是从这个角度出发我根本感动不了一点。我感动的从来都是阿嬷本身：她面对化疗脱发带来的恐惧和悲伤，在夜晚被疼痛折磨时请求父母带她走的呢喃，和发现原来自己觉得唯一真心付出的外孙实际上和盯着她遗产的孩子没有差别的时候那种不动声色可是内心崩裂的失望….
D,2024-06-20 23:56:20,北京,5星,9338,婆婆就算没钱买墓地也没想过动给外孙的一百万💔
写真,2024-08-18 17:33:44,陕西,4星,1257,刻画得最好的是一个女人被婚姻、子女和爱蚕食的一生。
同志亦凡人中文站,2024-07-18 17:14:07,新西兰,4星,927,奔着钱去的亲情，最后收获了爱。总以为泰国华人跟我们价值观差不多，但如此功利心的养老送终感觉大多数国人都做不出来——也可能是电影故意戏剧化处理了。不过在重男轻女上才是遗毒深远半斤八两 :(。马群耀乃可别塌房，我还能再粉个五六七八年…
苹果克星,2024-08-17 18:39:20,北京,4星,686,我妈妈也是光头，她还剩最后一次化疗，我们都会努力！
Wuv-wuv,2024-04-07 00:50:02,泰国,4星,578,剧情其实比较俗套 但架不住男主的酒窝
林阿海,2024-08-17 21:07:42,上海,5星,8300,哭不是因為感動 而是照了鏡子
朝阳区妻夫木聪,2024-08-18 20:34:48,北京,4星,562,看完最大的感触反倒不是什么祖孙亲情，而是在想，人这一辈子，不管多么坚强独立，似乎都无法逃脱对于“陪伴”这件事的需求。尤其是当你老了之后，周围的一切人和事都在离你越来越远，你怎么也跟不上，但又没法要别人停下来等等你，这实在是太难受了。片子里让我哭的最厉害的是那句，姥姥说讨厌过完年之后的第二天，家里冷冷清清的，剩饭剩菜我一个人怎么吃呢？我就想起我妈好多时候跟我说的话，以及她需要面对的这一切，一旦代入后简直止不住。其实我不太算是个爷爷奶奶带大的孩子，对外婆的记忆也都很模糊了，但是这个片子还是勾起了我很多跟老人相处的回忆，甚至包括以前照顾过我的邻居奶奶的样子。它实在太东亚了，明明生气又不能不管，明明受伤又没法说疼，“儿子继承房子女儿继承癌症”，真的好窒息好讨厌好想逃，后劲实在太大了……
不买火柴,2024-09-03 17:38:36,湖北,2星,101,好恶心好恶心，一个被美化后代代相传吃女人的故事，心疼废物男宝和男宝妈才他爹是最大的癌症。妈妈全剧最惨，血是要吸的钱是没份的就tm连爱也是从男宝指缝下漏一点的，爱你就让你照顾我但是放心吧我的遗产只会留给亲亲废物儿子和早知根本不爱自己的孙子。。。呃呃爱男真的是种癌症七八九十期无药可救的那种。
