用户名,评论时间,IP属地,评论分数,有用数量,短评内容
张华弥,2024-11-27 11:51:00,上海,3星,3,没有演出哪怕是一点情绪的dark joke已经击中不了我了
Virgil,2024-11-27 01:01:41,广东,4星,12,自建条目 | 之前看了巡演HK场，感觉不佳，心想：要是最后做出来的专场比现场好很多折寿孽你完了，要是最后做出来的专场和现场一样水折寿孽你完了。实际看完的感想：肯定比现场观感好，但和他自己以往的水准比起来差一大截（看完两遍后唯一喜欢且觉得足够恶毒的还是只有那个gender revealing party梗）。其实录制版本讲到的笑话内容+顺序和HK场差不多，但台风有明显差异：可以说就是做到位了的signature cocky+不紧不慢感搭配合适镜头剪辑让录制专场的节奏和效果优于现场——现场颇有讲完拉倒不想费太多力气的意思（这也解释了为什么现场和录像给人感觉时长差异大）。算了，本来觉得被敷衍，现在不纠结了（只是看看隔壁Vir Das今年带病来HK都演这么卖力，反差太大了好吗（。
丫乙丁,2024-11-27 09:02:25,美国,3星,5,有很多段子给人一种差点意思，没好好上开放麦打磨过的感觉
GS,2024-12-01 23:43:38,天津,3星,1,第一次聽這位，段子好笑程度還是可以的，但沒有一個有讓人想尖叫拍爛手掌的程度，風格很統一但沒有主題主線，段子連續性不足有點散
容貌焦虑主理人,2024-12-15 02:45:25,辽宁,3星,1,挫骨扬灰般的冒犯。突然发现他的尾音，有点像Sheldon 最后一个段子没听懂，punch酒+摇头有什么说法吗？没喝过。
Rae,2024-11-26 23:28:19,浙江,5星,2,看过HK场，时长特别短，体感只有四十来分钟的样子。上线时长也就51分钟，似乎没特别删减笑话。感觉他对待standup真的特别严谨，setlist真的就是差不多这个顺序。只有他自己知道坚持做二十多年one-liner comedian有多不容易！不愧是我喜欢的Jeselnik！
nobody,2024-11-28 00:51:33,陕西,4星,4,能做20年one-liner是真的有才无德
脱氧核糖十三,2024-11-29 15:21:06,北京,3星,0,开场段子不错，后面就老套了。主要是在这次大选过后，中间好多段子听着不像段子了。不过一个风格能坚守20年也不容易。整场要是停在 tribute to Norm Macdonald 也可以。
蚂蚁没问题,2024-11-27 20:51:39,河北,3星,2,nah，说了20年怎么越说越回去了，没什么意思
水包酱,2024-11-30 14:59:44,上海,4星,4,折寿孽的笑话就像他的头发一样越来越soft了 不过我好喜欢他的嗓音和吐词 Joe Rogan的播客我听不了4小时 听他说4小时我是可以的
我连昵称都没有,2024-11-28 22:55:52,北京,3星,2,8月特意飞去香港看的，讲结束语时我还纳闷怎么这么快就没了，出来后一对表才四十几分钟……当晚心情有些复杂，感觉有被敷衍到，怀疑过是不是主办钱没给到位，结果盘了流媒正式版本，发现哥们整个set就这么短😂我感觉bits和现场看顺序差不多，区别在于delivery节奏会好一些（？）理智上这个专场最多只能打7分，显然不是他的最佳水平，就专场来说时长略显不足……但开场gender revealing joke地狱得我san值狂掉，大杀四方🤣👍虽然后面段子远没这么生猛，也多少有些predictable，整体来看水平还是在的。作为一个曾经的忠实JRVP听众，看到他还是这么的unapologetic，感到一丝欣慰hhh p.s. 彩蛋：散场时venue播放的音乐是kanye的Black Skinhead
起子,2024-12-29 01:48:17,重庆,4星,1,每次看他讲地狱笑话的时候，我的脑子里都有一个强烈的念头，他真的是太辣了，以至于这么缺德也别有一番风味
稻草骑士,2025-01-16 15:11:47,北京,1星,0,7分弃。
东水门艇仔粥,2024-12-08 04:31:24,重庆,2星,1,低于他的正常水平
carolynarrow,2024-11-27 04:56:09,天津,5星,0,（BV1aWz5YwE8i）熟男🥵
老盖蒂Getty,2025-01-19 17:24:12,江苏,4星,1,开场的trans joke非常天才 后半段就略乏力了
朱纷舟,2024-11-27 01:33:04,浙江,4星,3,美国小杨波又给我们分享他的一箩筐新的地狱笑话，纯粹的 one liner。
NARUMI,2024-12-05 23:40:35,日本,3星,1,应该不是审美疲劳，而是相对于老单场的高水平有些降低
赫鲁小夫,2025-01-07 15:42:50,重庆,2星,0,只有两三个牛的段子，到了后面甚至垮到底。
Magus,2024-11-27 00:01:02,广东,5星,0,前十五分钟我想的都是：哥 你真无敌了哥
皮革业,2024-11-28 11:18:35,北京,3星,2,跟上个网飞专场《产房里的一把火》水准基本持平，但折寿孽瘦身成功，感觉又帅回来了。
吮鸡原味指,2024-12-01 22:42:32,北京,3星,0,高开低走，我的笑点只在gender revealing party和sperm donation那里
奇,2024-11-26 21:59:00,瑞典,3星,0,还是一贯的黑色幽默。
chamatin,2024-12-05 10:06:53,上海,4星,0,地狱笑话合集
MobBarley,2024-12-03 13:55:47,海南,5星,0,好久没看单口了，刷到他上新，开场直接王者风范，不管段子好不好笑，都让我震撼到想嗷嗷大叫。
椰子鸡,2024-12-08 16:16:19,北京,4星,0,最有魅力的单口喜剧演员
ANANSII,2024-11-26 20:33:04,北京,5星,2,进阶版的jeselnik就是讲笑话中途也不再笑的jeselnik。新形象很像veep里的AI纳粹kent。ps.想起某次cancel运动时他在推上放话谁要是想捕捉他的言行无异于在针海里找针哈哈哈
1éa,2024-11-29 09:38:18,浙江,2星,0,越来越无聊了 没有一点进步 脸还是可以
门儿包,2024-11-27 14:20:14,浙江,4星,0,前半场更好笑（果然还是得小孩地狱笑话！XD），后面的有点碎，像是小段子大集合，没有个主题。但作者个人气质很强，能hold住。
費德外科,2024-11-30 23:25:21,德国,4星,0,standup一贯需要高于对的态度，way to go
小鹿笨比,2024-11-28 12:35:58,上海,4星,0,高开低走，讲故事也是one-liner 的节奏，观感并不能达到预期
深水暴风雪,2024-12-10 23:03:23,浙江,4星,0,知道上线后和家属哥立刻来看，也挺好笑的，但就是没有之前那些专场那么狠了（除了“gender repealing party”，那儿真的笑死我了
我是陈胖我有车,2024-11-27 20:44:10,广东,4星,0,从前二锅头，而今威士忌。
Jadani,2025-01-11 13:51:19,北京,4星,0,折寿孽无脑加星
DCmini,2025-01-20 10:49:19,广东,4星,0,追了这么多年折寿孽，套路都摸得差不多了：pedophile、dead baby和weird family三板斧，以及各桩坏事背后黑手其实都是他。但他独特的魅力在于，尽管取消文化盛行，他是为数不多全身散发出一股强劲IDGAF气场的人，不直捣最敏感的话题不罢休。二十年如一日能贯彻地狱到底，也是一项了不起的成就了。
Pierrot,2024-11-30 02:18:03,安徽,4星,0,还是非常非常厉害，所有人都知道你要说什么，但前面半小时难以置信地高水平。后半截有点掉。也许他20年来最大的发现是，最可怕的服装不是黑衬衣，而是牛仔裤灯芯绒和像是只在酒吧喝一杯酒那种人温顺的胡子。
Jasmine,2024-12-04 20:06:00,上海,3星,1,二十年都讲同一个风格也是很厉害，但感觉很多笑话都差口气，连twist都没以前那么有意思，几个baby jokes也正常发挥吧，但台风很稳，就吃这口一本正经讲折寿笑话。
HybriTed,2024-12-31 22:22:01,荷兰,4星,0,9.22阿姆现场///一如既往的人形gallows humor输出机 讲了很多Trans joke the Disabled joke 还有Rape joke 最经典的Dead baby joke是在结尾即兴互动的时候才讲的 观众问when was the last time you dropped a baby答the last time I held it段子总体还是没十年那么地狱了 既然他对针对于他的cancel culture完全不可能在意 那从他现在沧桑又细狗的样子来看 可能就是人之中年其言也善（？
Eva见习质检员,2024-12-01 16:10:15,江苏,4星,0,瘦回来之后仿佛又找回了那种冷峻刻薄的范儿，有点回到Thoughts and Prayers时候的感觉了；段子之间衔接严丝合缝，节奏很舒服，51分钟一点也不拖泥带水，baby joke和pedo joke还是杀手锏，不经意间拿出一个就非常好笑；20年对于一个喜剧演员来说非常不容易，尤其是对他这样风格的演员，不仅需要对文本，还需要对舞台上的每一处细节进行打磨，难以想象背后的如履薄冰，只能说一声respect
柳絮簌簌,2024-11-27 21:35:56,吉林,4星,0,还是一贯的风格，开场和后程的段子都很好，只是中途有些乏力，有些段子也不太新，不过总体感觉依然是很特别的好，这种专场堪称独一份
帕特里萨,2024-11-26 23:52:03,英国,4星,0,nah-uh
霜,2024-12-17 18:48:30,北京,3星,1,#1794：one-liner 之王，预期违背之王，psycho eyes之王。开头好过结尾，也可能是接连好几个jokes都需要美式pop culture基础所以没听懂
sonicyouth,2024-11-27 00:31:28,北京,3星,1,感觉好几个段子都是强行凹出来的，没想到最后提到了Norm，感动！
名字特别酷的人,2024-12-21 21:16:06,北京,3星,0,冒犯一如既往
夏洛澀,2024-12-03 07:57:36,陕西,3星,0,挺地狱的，一般好笑
海獭,2025-01-19 13:16:36,上海,5星,0,看过就忘 但是好笑的
Crumbs,2024-11-30 21:15:36,上海,3星,0,没有那么好笑了。还是拽拽的有点危险人格的范儿。45岁保养的真好。提到Norm的时候才感觉到一丝serious。发音真的好好听。
