用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Madlab,2024-10-05 11:54:55,新加坡,4星,3710,影院里的观众就像电影里看审判的观众一样，期待一个疯狂的小丑却得到一个Arthur
啄山夕,2024-10-05 07:26:55,英国,3星,4493,？哥谭变歌坛
誦,2024-10-02 21:43:35,中国香港,2星,2726,"“Just talk, please stop singing.”"
天马星,2024-10-02 16:50:02,中国香港,4星,1866,我好爱这部，前作的完全反面，是一部解构小丑的反小丑片。如果说前作聚焦尽皆癫狂代表兽性的小丑，那么本作则回归脆弱压抑代表人性的亚瑟。小丑的诞生是对传统英雄叙事的解构，而本片在反英雄小丑逐渐被神化后又重新解构，将他打回人形，讲述其复杂的人性：从来没有天生反骨的小丑只有反抗压迫的亚瑟，或者说从始至终都只有亚瑟，脆弱、破碎、暴力与疯狂都是他的本色。其实当小丑被还原成复杂的人，那么人人都是亚瑟，人人也是小丑，只是随着哈莉·奎因一同入戏的观众，和她一样，只想看他们想看的：要么轻视他嘲笑他，说他是懦弱顺从的亚瑟，要么仰视他神化他，称他是暴力反抗的小丑，可他们偏偏无法平视他，接受他既懦弱又暴力，而这则是影片解构之后的建构。长评https://movie.douban.com/review/16217703/
Heimdall,2024-10-03 21:44:58,中国香港,3星,1280,5.5前一个小时真是没啥必要。另外，如果Harley Quinn不是人格的隐喻的话，压根没有出现的必要，和其中的歌剧叙事一样多余。一颗星给前作的老本，一颗星给主演们的演技，一颗星给结尾的隐喻和精神转移。如果把《Die with a smile》作为主题曲我可能会加多颗星。不过豆瓣真是人才辈出，谁评论的《Ha Ha Land》，笑死我了2333
小悲欢,2024-10-16 02:13:06,北京,5星,1468,无人在意亚瑟，包括观众，只想要小丑
嘟嘟熊之父,2024-09-04 16:55:44,西班牙,2星,1157,注水到飞起。试图讨论被推上神坛后小丑的自我认知失调与必然陨落，却仅抛出了空泛的概念。一半时间对首部无效复盘，另一半像在看小红书情侣博主秀恩爱，结局强行拉升格局，一代丑终将老去，总有丑正在年轻。媒介不再成为推动叙事和塑造人物的关键元素，而仅仅是强行煽动情绪的下下策。感觉好莱坞对Gaga已经有了规范的使用说明，会唱歌爱跳舞的大傻妞&女王无缝切换。
向日葵先生,2024-10-05 10:42:13,泰国,3星,1112,人人都爱Joker，但大家需要的只是fantasy，没有人在乎Arthur。作为被幻想的主体，这部剧展现了更立体的小丑以及他是如何被对待的。律师和Harley Quinn代表了两种人。一个是理性把你当做客体来看的人，帮助你过上一种正常但普通的生活。另一个是为幻想而来靠近你，鼓动你的疯狂，他们希望你成为神话，斩断所有通往平凡的路，就像荧幕前的我和你——我们都想看到极致的小丑而不是平庸的Arthur不是吗？ 3.5⭐（在监狱放火我超爱，但歌舞太多了有点出戏
xiavzjabna,2024-09-04 17:15:15,荷兰,5星,922,滤镜、摄影、剪辑、男女主的表演，看这个电影的每一秒都是享受，感觉在做梦，看两个筋疲力尽的中年人，被这个冷漠的世界逼成了疯子，我感觉也对自己不那么内耗了哈哈哈哈
请叫我MT＿T,2024-09-04 17:43:13,意大利,4星,946,不要指望看到任何的爽感和煽动情绪，此片的小丑不是希斯莱杰。导演很聪明，避开了这条道，让华金演透亚瑟joker 这个人。
Q影誌,2024-09-05 04:29:26,德国,3星,429,#Venezia81 见过把角色写死，没见过原地爆炸的。Antihero存在的意义是挑战现有司法和道德体系，提供更广阔的讨论空间，现在矫正了，额……感觉导演花很大力气改正1被责备之处，但这份努力估计他们不会买账。虽然多处呼应1（后仰式抽烟笑死），但依然认为，没看过1可以看2，看过1不必看2。若不是因为国会山爆乱和川普打不死的小强，2实在是没必要存在，然看样早晚还有3，Mama Mia! 虽然Gaga表现优秀（华金礼貌式出演），但拜托表再音乐剧了。技术尚可，1️⃣每次以为要掉下来时都能及时挽救；2️⃣音乐剧形式一开始略尬，后面拿捏得比华纳其它薅音乐剧羊毛的影片好。p.s.法官一出来，我立即笑出声，不带这么致敬马丁•斯科塞斯的，1学出租车司机，2又学起华尔街狼，马丁造型不忍直视🤣
阿莫多瓦特了,2024-09-04 19:05:49,法国,2星,957,躺在第一部的功劳簿上吃老本，就像阳痿的dick，嘴上吹嘘自己硬很久，实际上半分钟就泻了。如果说第一部讲的是Joker的诞生，那么第二部讲述的是Joker的陨灭。它试图在Arthur和Joker之间的双重身份之间做个了断，片名Folie à deux更像是Arthur和Joker两个身份的搏斗、共舞、难分难舍和相爱相杀。枯燥冗长、乏味无聊的对话也没能交代明白Arthur的自我认知构建，法庭戏也没能如愿变成Joker的马戏团；Gaga的角色真的是……莫名其妙且有点多余，她的人设始终是Joker/Arthur这个自己的设置都有点模糊的附庸，那她还能怎样呢？唱歌部分真的是……大白嗓也就算了，配音效果明显，旋律也不咋好听，双人在台上对唱的段落甚至让我想起刘老根大舞台……(sorry😓)
sdebut,2024-09-04 16:47:17,荷兰,4星,585,本来以为a deux指的是小丑和harley，但逐渐发现其实指的是joker这个角色和arthur自身的人格（倒也是种常见的超英片设定）；第一部中的“爽点”在这部续作中反而助力了故事的暗黑展开和悲壮结局。可惜的是这个剧本归根结底还是joaquin的独角戏，gaga的精彩唱段也没法改变这个角色作为“大众代表”的工具人功能。
25HrsAday,2024-09-06 11:16:58,北京,1星,1484,第一部本来就是一个自我感动式的烂片，第二部只是回归了它原本该有的评分而已
谋杀游戏机,2024-10-16 20:26:28,北京,3星,185,导演试图尽量让唱跳段落合理化（比如设定成人物本来就爱唱歌，或者是用歌舞表现幻想段落，和现实的沮丧形成反差），但后半段还是唱得太多太密了点，好像生怕浪费了嘎嘎女士的片酬似的，有时候就一个固定镜头怼在人脸上拍完一首歌，再有魅力的影帝或音乐剧歌手也禁不住这么沉闷冗长的拍法……我的内心已经被凤凰的台词说出来了：能不能说话，别再唱了？反类型、反英雄也还是得先把电影拍好看，前一部拍得多好啊，这部成了纯纯的一半庭审片+一半歌舞片了。明知道现在观众就喜欢看复仇爽片，它偏不，就让你憋屈到底，很少见到能把人看得这么郁闷的超英电影，这版小丑真的是手无缚鸡之力啊。生活已经够苦了，如果可以的话，还是想在电影里当个坏人。
大宝魚,2024-10-16 13:17:18,浙江,4星,255,抽了所有喜欢《小丑1》这部电影以及小丑这个IP形象的人一记耳光。可以说，《小丑2》就是反《小丑1》的一部电影，这部续作正式宣告了亚瑟这个角色的死刑，在主创看来亚瑟早就应该一死了之，死亡反而是一种解脱。他不是天选之人，和《银翼杀手2049》里的复制人K一样，他只是成神的台阶。亚瑟和小丑不是一体两面，而是完全的两个角色。如果抛开小丑的光环，他就是背负六条人命的罪犯；如果去掉《小丑1》这个名头，电影就是讲述莫名被捧上神坛的罪犯的故事。《小丑2》就是在不断地祛魅的过程，亚瑟甚至落入到比上一部开头更不堪的境地，只是这一次再没有小丑出来机械降神了。虽然是歌舞片，却更冰冷、更现实，法庭就是一个手术台，把亚瑟解剖的不成人形。歌舞片段与其说是幻想，倒不如说是走马灯，一切只是死前的一梦黄粱。
明月何时照哥谭,2024-10-17 01:58:43,湖南,3星,228,影片原台词：我求求你鳖唱啦！咱好好说话不行吗！？
同志亦凡人中文站,2024-10-03 18:26:39,新西兰,2星,589,所以拍续集的意义？被小丑女嫌弃的小丑的一生？华金·菲尼克斯张嘴就是车祸现场，嘎嘎唱歌更像从天而降一个“爱乐之城”，只有两人彼此觉得深情的违和画风贯穿始终。托德·菲利普斯捋捋小胡子心想这ending终于够格在中国上映了而我只觉得晦气...
Parity,2024-09-04 22:26:30,瑞士,1星,666,#Venezia 81年度级别诈骗，“双疯”居然不是Joker和Harley Quinn，而是Joker和Arthur？？Quinn的角色弱到可以忽略，仅在Arthur冗长的对于第一部经历的反刍中充当心理状态转变的标记（推动作用为0）并贡献fantasy里的伴唱，连劝Arthur停药都发生在已经停药之后（停药是全片最大激励事件）;如若把Quinn视作幻想的对象则应与现实在Quinn的形象上拉开差距或/并执行反讽的思路。阿卡姆、法庭和fantasy中的歌舞秀都毫无想象力。情节最终的低落走向与第一部形成对比，都带有鲜明的时代氛围特征
废话队长,2024-09-04 16:50:16,意大利,5星,691,混乱又安详，续集也是终章。歌舞类型是一个精妙的选择，有效扩展了囚徒困境下压抑封锁的空间。前作里已经埋下太多矛盾的种子，续作直接不留余地地拷问，到底是亚瑟还是joker？到底是人格分裂还是极致的表演欲望？而托德菲利普斯出色地做到了一边擦除疑惑一边留下新的疑惑，一边混淆视听一边激起情绪。华金更如鱼得水了，在音符之间滑动着生命印记，gaga的哈莉奎茵堪称目前见到能量最强的一版，因为唱得太好太生动，所以太具有欺骗性，在这场邪恶的演出中强势凸显出自己的存在感。结局语气的落差纽结成一种庞大的悲剧感，托德同时给出了希斯莱杰版小丑脸上伤痕的答案。平行世界里的《小丑》落幕，生于dc宇宙，而又交回其中
Youngling,2024-10-05 03:34:02,加拿大,2星,489,gaga land，买了个嘎嘎票钱
念,2024-09-04 17:41:44,河南,2星,407,狗尾续貂，丝毫没有第一部的疯狂，joker……this is the end。。。
费磊尼,2024-10-18 21:32:24,山东,2星,199,很喜欢亚瑟的那句话“别唱了，好吗”
