用户名,评论时间,IP属地,评论分数,有用数量,短评内容
小烨,2024-12-06 20:08:47,北京,4星,136,当女性主义已经成为一件“时尚单品”时，人人都能谈论几句女性话题，我却开始思考“什么才是女性主义？”看完《小倩》，又想起这个问题。这是中国人都很熟悉的故事，如何玩出新花样是一个难题，但这部动画做到了。主创为小倩注入了具有现代女性主义的“魂”，使得她为了爱情的牺牲与反抗有了筋骨形神，当她说出“前世今生，我的人生只能由我说了算，容不得他人来指手画脚”，简直打破第四面墙，一下子把网上那些对旁人的人生选择指指点点的暴民骂了个遍，很燃。爱得轰轰烈烈，走得潇潇洒洒，在人们已经不敢谈爱的年代，我始终喜欢小倩这种有着“为了爱情飞蛾扑火的勇气”的女性，她们拥有坚定的情感信念，并且奉行一生，这是现代女性主义+古典浪漫主义，能够越过千千万万年、千千万万人，越过长河，与所爱之人一万次重逢。
Ecane,2024-04-16 01:49:41,江苏,3星,58,点映场，整体效果还可以，虽然一开始的插科打诨、中间的MV式恋爱片段、最后的口号呼喊式宣泄无一不踩在我的雷点上…黑白无常的形象倒是可爱。中间2D的地狱画面的确很美，美得人想当场去世，阎王爷的确很帅，帅得人想当场狗带。最后努力复刻港版电影实在太过刻意，让人思索这是一部真人转动画的翻拍吗？
电影私人号,2024-04-21 17:23:00,湖南,3星,23,片尾曲加大分的古偶大电影，尤其是几首插曲，听感特别“古偶”（绝不是说古偶不好的意思）故事方面，前边铺垫不足，后边一番接一番的解释，流水线化地去制造“惊天”反转、高潮“迭起”，实际上加剧了割裂感，让我本就感受不多的人鬼真情被消耗殆尽其实这个故事体量拍个100分钟左右的电影差不多了，不过能看出来制作经费有限，还是给个3⭐鼓励一下吧，也不知道五一档能否回本，热度太差了☞5.3分☜
Mr. Infamous,2024-12-06 20:04:48,北京,4星,82,敢拿经典故事开刀重塑，当然勇气可嘉，但也幸好不是鲁莽，而是亮色频现。剧情最有意思也最见功底的，是从女鬼与兰若寺，拓至阎王、判官与地府，更豪情万丈地要开辟聊斋系列。花样不断，落到细处，则还是要对耳熟能详的人物进行更有当下性的填充。当下一大特色，是个体意识坚韧地凸显在总被“指手画脚”的传统桎梏之上，小倩要重夺自由，要拿回失去的身份、时日与情感，对抗的是禁锢人心的兰若寺，以及被姥姥比拟为更大的兰若寺的人间，于是追索的爱情就不只是爱情，那女性意识就极其鲜活地贯穿三界。宁生一样，那人鬼殊途，无非是要凡胎肉身抗衡更高意志编写的所谓命运。甚至青衣，反叛阎王也是因为对方尸位素餐。整体构建的人鬼世界，古旧得来，又有十分现代的精神叫人为之一振。这趟东方美学打底的历程，并不简单。
翻身咸鱼把锅掀,2024-12-08 00:13:23,浙江,3星,26,只能说非常之一般。主线这么走没毛病，但是每个情节点都非常之跳跃，想到啥写啥，毫无逻辑可言；角色塑造单薄，无效人物太多，对主线推进毫无作用。明明只是一个俗套的爱情故事，最后还要喊一句生死我做主，搞点女性主义博好感，实则连《可怜的东西》都不如，在这里喊口号不如把故事做好，主线好好讲明明可以是一个出彩的故事。女主的配音尴尬而做作。唯一可取之处是二维部分，明明可以做这么好的2D，为什么一定要搞个烂3D污染观众的眼睛啊？
残花,2024-11-26 16:41:35,浙江,3星,4,【导演映后场】经典的人鬼生死恋，终于回归到鬼而不是妖了，当最后片尾曲响起的时候，汗毛都竖起来了。“服化道”美术可谓考究，无论是三大场景，还是最终大战，宏大壮观。男女主角建模依然是常见的样貌，配角阎王特意用了阴柔之美，与传统反差较大，燕赤霞则承担了搞笑角色。第三幕冗长，一边生死情，闪回过去生死虐，再回来生死一遍。很多用心设置的细节，也成了累赘，光是那个骨灰罐，就没说明白，它是贯穿全片的重要道具，小倩明明碰不了却能进去？
着迹,2024-04-22 12:49:01,广东,3星,8,只是，纯爱战神+女版“我命由我不由天”还能在今天收获多大的市场。
酸豆脚,2024-12-07 02:38:59,浙江,3星,11,小倩找到记忆发现和书生竟是生前的爱人 反转到这里就挺好了，结果，硬生生又反转一次…俩人双双紫砂后相遇，书生早就认出了小倩故意装不认识拿自己阳寿换她去投胎，这个反转属实是看不懂了，剧情直奔离奇…..渲染也不太行，还有，是法律规定国漫女主必须都长这样吗？
JoeyLu陆柏宇,2024-12-09 15:17:33,江苏,3星,0,前后故事反差蛮大的，算有点惊喜吧
Hachiko,2024-12-06 22:28:15,四川,3星,4,正常输出，几首插曲加分不少。
