用户名,评论时间,IP属地,评论分数,有用数量,短评内容
薇薇老公,2024-12-27 16:09:53,四川,3星,9324,疑似全员陪yyqx冲刺影帝 剧情很一般 过多solo演技镜头 为了一碟醋包了一顿饺子感 周雨彤出现的作用是？😂 想表达这个议题还不如看h被抓
无情羊咩头,2024-12-27 03:11:32,山东,未评分,8295,终于知道我为什么越来越不喜欢四字，他真的好喜欢演苦难励志学，好像在对着观众说“看吧，我有在好好演你们哦”，然后一群粉丝在喊“影帝！影帝！”。你们这圈子玩得开心就行…
植物凶猛,2024-12-28 00:31:47,北京,4星,6508,我只想问雅雅这个角色，她是谁，她从哪里来，她要到哪里去。
四季豆炒饭,2024-11-02 17:35:02,日本,2星,7401,母子关系、母女关系、男女关系、弱势群体间的关系、甚至镜头寥寥的父子关系，“脑瘫”家庭背后映射出的多重关系危机是普遍存在的，只是通过儿子进行了残忍地放大：二十岁普通人的成功学，依然是录取通知书和聘用合同；喧宾夺主的大篇幅个人秀，让这些思索像马戏团里被杂耍的苹果一样过目即忘，重要的是表演者能否赢得三瓶米油面的嘉奖，不重要的是那些被高高抛出的苹果，到底有多少个，是什么颜色，何时会被接住，又会怎样被剖切、进肚。
zhaoxuan,2024-12-27 20:58:37,陕西,3星,4892,虽然我很不想承认但易烊千玺的演技竟然成了这部片子唯一的看点
很好很会吃米,2024-11-02 15:05:32,日本,3星,5676,有形了，可神太散（24.11.16半夜整理相册看到一整个舞台的女性电影人围着一个男明星，突然更新：我是会告诫自己作为女性这个身份有任何表达已经是很好很值得掌声的了，但还是会觉得很可惜：你已经站在一个可以有所表达的位置上、拿起导筒可以发声了，你就拿来说这些？给流量拍影帝片啊？
LND,2024-11-02 14:42:01,日本,5星,13965,4.5/5 华语电影20年内不会有人能再演出第二个刘春和，易烊千玺奉献了世界级表演。电影的人文关怀之强在大陆电影里极其罕见，关于残疾人社会尊严的提问经得起时间考验。了不起啊，我们也有这样的电影了。
嘟嘟熊之父,2024-11-02 14:30:10,日本,4星,10910,创作观真诚与否一眼即可看穿。是属于光影的柔软的人物肖像，亦是属于观念的坚定的作者宣言，从轮廓速写转向探讨个体与世界的关系，将摄影机与角色的距离作为亲密或疏离的证据。不从外部施力，曝光隐私或施予悲悯，而是从男主内心的动机、需求与挣扎出发，记录着每一个平凡时刻心境的起伏变化，与观众建立平等的交流。易烊千玺的表演再一次完成进化，不仅有忘我的投入，还有技术层面无痕的控制，对于特殊身体状况、日常生活惯性、瞬时情绪迸发与坚实人格特质的精准平衡。
脆脆米不香,2024-11-04 00:34:52,日本,2星,7607,本来就抱着不高的期待，结果比想象中更加难捱。只建议男主粉丝去看的一部电影。因为这部电影本身好像就是为了展现男主所谓的“演技”而诞生的。最后电影的落脚点也落在让人失望的位置。如果这就是所谓的中国的好电影，那真是一件太难过的事情。希望不要有太多路人被骗来看，只浪费我的两个小时就够了。
就你,2024-12-27 22:08:15,北京,5星,9040,吃糖这段绝了！！！牛轧糖这一整段都很棒，在终于找到工作和尊严的咖啡店亲手制作牛轧糖，却是店长树立企业社会责任感和减税招牌；抱着糖果和有好感的女孩出去玩时或许也想过要送给她么，在试探的触碰后换来女孩慌忙的再见；回家后以礼物名义要和妈妈和解，可是被告知刚生完宝宝的妈妈血糖高不能吃。于是，这一盒应该很甜，包装漂亮的糖果怎么就变得苦涩，拼命塞进自己嘴里时，或许那一刻也想自己就在小时候不是躲在行李箱，而是真的丢失掉吧。
深空卡西尼,2024-11-02 13:36:45,日本,4星,10158,今年最佳！开幕的第一个镜头就震撼到我了！眼泪不自觉的流下，看着春和扭曲的身体，颤颤巍巍的一步步走上台阶，再用他扭曲的手指奋力在纸上写下那行字，不需要台词和音乐渲染就足够把观众带入其中，易烊千玺真的太牛了！
点到为止,2024-12-27 17:36:01,浙江,3星,2536,还有十分钟电影结束，实在是忍不住了。着实有些尬，我想请问周雨彤那段有什么必要吗，现实吗？报菜名那段有什么必要吗？演讲那段有什么必要吗？除了尬还是尬！我工作的地方一楼大厅几乎每天都会来一位脑瘫患者，几乎每天都在接触，所以演得和真实的还是有差距的。平凡小人物平凡就可以了，不用强行升华的。（外婆演得就比较自然
Augenstern,2024-11-02 00:28:07,日本,5星,12281,媒体场首映#tiff，赶上这部。很喜欢，完成度很高，第一个镜头就特动人，谁懂在日本呆了几天听到成都话叫刘春和的亲切。坦白说确实很出乎意料，没想到演员们发挥的这么好，对这个群体原本的认知来自于玩同样某乙游的小姑娘，没有面基之前完全不知道她是，特别可爱的一个小姑娘。最后十分期待国内上映。
秦婉,2024-11-02 15:55:24,日本,4星,9408,易烊千玺实在太好了，他首先要把刘春和因身体机能残缺而形成的面部和肢体状态呈现出来，这本身就很有难度，然后他要在此基础上，完成诸多大起大落的情绪戏份，以及内敛的心理戏份，对比他过往的表演，此次在技术层面更加进阶，相信也是做了大量观察功课和排练，才能做到这个程度。导演杨荔钠和编剧游晓颖，两位优秀的女性创作者，电影的女性视角同样强大。也令片中的所有角色都格外细腻、丰满。在这些外部角色与情感的层层包裹之下，刘春和就像在我们身边真实存在的一个人，你想关注他，关心他，体会他，理解他，察觉他哪怕只流露出一点点的敏感思绪和情绪，包括他最脆弱的时刻，向死而生的时刻，寻求尊严的每一个瞬间。
西楼尘,2024-12-27 16:27:44,江苏,4星,3640,睡进行李箱，那是保护自己的蝉茧。抱着骨骼架，那是自我重生的蜕壳。习惯了各样的目光，尚不能对爱的目光免疫。割开了吞咽的气管，尚不能让心头的伤口愈合。投诉是在电子信箱里拥有权利，工作是在银行账户里充值尊严。以为传在我耳边的流言我不会听见，送到我脚边的米面我别无需求，永远不见小小的我。
如意,2024-11-09 19:48:49,中国香港,1星,10851,你不能用1%的幸运去诠释99%的不幸，这样的幸运是对不幸的亵渎。
慕猫,2024-11-02 14:18:22,日本,5星,10598,好喜欢女导演女编剧，把镜头对准了家庭生活，不贪大求全，春和日常的点点滴滴就已经很动人了，“脑瘫患者”在我脑子里只是一个模糊的概念，看片之前甚至从来没想过他们吃饭、过马路、工作是什么状态，怎么平等地理解脑瘫患者的生活，这部电影做到了。btw在国外看中文电影配上日文字幕，挺新鲜的！
马孔多在下雨,2024-12-28 13:19:23,福建,3星,1949,妈妈是窒息的，爸爸是缺席的，外婆是温暖的，刘春和这个角色是失真的，雅雅是多余的（？甚至擦边），剧情是离地的，四字是要冲影帝的。最出彩的就是林晓杰饰演的外婆，一星给演员，我也要成为这样的外婆，哦不对我根本就不会老老实实服服帖帖地生孩子，那我就成为这样的朋友、女儿、小姨、姑姑吧^_^我要成为这样的女性！开场前看见预告片，张艺兴演聋哑人，好好好，都开始套残疾人的公式冲影帝是吧
Calm_73,2024-11-02 13:30:24,日本,5星,9346,#tiff 有幸提前看上了，看完脑子里只有震撼！在电影两个多小时的时间里完全遗忘了他是易烊千玺，从大银幕亮起的那一刻起他就只是刘春和。
三缺一,2024-11-02 13:47:33,日本,4星,6631,能把这种题材拍的没有一丝苦难感真的很牛！感动于春和的勇气和强劲的生命力！看完会反思，我们真的需要打破偏见，让阳光也照射到每一个角落。
讲故事的人,2024-11-02 14:27:18,日本,5星,8565,身体限制越多或许反而思想能走的更远，以前我也不知道该如何面对他们，现在想如果下次春和给我让位置，我一定笑着和他聊几句家常。
电酱水母,2025-01-03 09:57:15,上海,4星,524,拍了，说人家消费残疾人。不拍，说残疾人不被看见。拍成纪录片，无法大面积传播，又成了小众群体（圈子）里的道德（品味）狂欢。咱就是说，健全人可比脑瘫难伺候多了。
HarperDie,2024-12-27 18:15:13,北京,5星,4661,四星半。若在传统的男性叙事中，不难想见刘春和的生而不同大抵会被不加节制的惨痛所堆叠。而在女性创作者的眼中，她们关心的是一个平凡个体在不平遭遇的挤压下，强行被丢弃的尊严、生而为人应有的情与欲。而刘春和成长过程中若有似无的父亲形象，则带出了影片更深层想探讨的女性遭遇。外婆与母亲对春和是如此细腻敏感，可她们的脆弱又有谁能来挡风遮雨。千玺用几近翻折的骨架，绘出的不只是春和灵魂的曲线，更是这世界早应该被正视的她与他的欲语还休。世界那么大，不是容不下我，而是根本不愿看见我。易烊千玺、林晓杰、蒋勤勤，真的好出色。
