用户名,评论时间,IP属地,评论分数,有用数量,短评内容
海棠,2012-11-22 13:54:42,,5星,15650,语言匮乏。就想搬个板凳坐电影院门口跟行人说：来嘛~
fish哥,2012-11-24 01:20:47,,5星,9021,【狐獴】，艺名丁满，出道时因自身面部表情傻不被业内看好，一直无名，早期作品有《狐獴大宅门》、《狐獴国度》。94年因参演《狮子王》名声大噪，后与疣猪彭彭发行单曲《哈库拉·马塔塔》，并出演电视剧《彭彭丁满历险记》，全球热播。近期，它又在《少年派的奇幻漂流》有着出色表演被更多观众熟知。
psycho DC,2012-11-22 03:30:54,,5星,8353,整座岛上都是丁满！！！
柏林苍穹下,2012-11-23 00:06:34,,5星,5994,“我心里有猛虎，在细嗅着蔷薇，审视我的心灵吧，亲爱的朋友，你应战栗，因为那里才是你本来的面目。”——西格夫里·萨松
Run Girl Run,2012-11-10 23:37:06,,5星,4542,「我的父母 我的兄弟 理查帕克最後都離我而去了到頭來我相信人生就是不斷地放下然而痛心的是我都沒能好好的與他們道別」All of life is an act of letting go but what hurts the most is not taking a moment to say goodbye.李安今天到達現場　驚喜至極
木卫二,2012-11-22 21:03:03,,3星,2523,不得不承认，跟要讲的漂流故事一样，电影有个挺吸引人的3D开头。中间开始乏力，大段大段重复的明信片场景，呼唤神灵喊妈妈。至于所谓的黑暗版，这种流于表面、直接扔给倾听者（观众）去选择的方法，真的很独到吗？信哪个会提升你的人生感悟么？？
绊倒大象,2012-11-11 00:00:00,,5星,4371,李安的片子越来越有得道升仙的感觉。。。把奇幻的世界也拍的太美了/见证上帝的说辞是真是让人羡慕有信仰真好/男主角π说人生虽然要放开一些事物，但是放开的时候还是要好好的道别呀。然后我就哭了。。。
叶子阿姨,2012-11-22 13:07:58,,5星,4321,我以为它会回头，但它只是朝着森林深处望去，然后永远消失了。也许父亲说得对，它根本没有把我当成朋友，但我非常确定，我在它眼中看到的，绝对不只是我自己目光投射的倒影。它就那么头也不回的走了，但在我内心深处，它永远与我同在。
米粒,2012-09-29 10:55:21,,5星,2517,五星献给自己看到的最好的3D电影。李安自己也说，拍这电影是不可能完成的任务，但他自己辛苦努力四年终究做到了。第一次如此感受到3D是一部电影不可分割的一部分，以及变换的画幅比例、层层交替的剪辑，一切都是为了故事本身。故事从冒险到有些奇幻，PI其实没有很多内心表达的镜头，但我可以感受到它
Obtson,2012-11-22 05:13:45,,4星,5757,深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。
花花,2012-09-29 11:20:29,,5星,1695,在纽约电影节开幕上看了首映，唯一的感觉就是画面真的太！屌￼！了！！！！情节非常紧凑，高潮叠起，3D的效果也不是盖的！！！再说一遍，真的太屌了！！！
白发生,2012-11-22 11:25:03,,5星,1805,每个人内心深处都渴望美好的事物，却总是无力改变现实的残酷，唯有调整自身的态度，方能为生活寻得一条出路。派将穿透漫天乌云的一线曙光视为神迹，我们又何尝不是因为对光明的憧憬而找到前行的勇气。人生就是不断放下的过程，终有一天能够坦然面对生命中那些遗憾的如影随形。
高压电,2012-11-23 16:47:48,,3星,273,3D是一项恶心的发明。世界信仰大团结，人与动物一家亲，欢迎李安来导演中国春节联欢晚会，谢谢。
tintin76,2012-10-21 06:53:48,,5星,1485,震撼人心的镜头不少，随便数几个：镜面海、水母夜、飞鱼来袭……3D效果最强的场景之一是奄奄一息的老虎躺在少年腿上的那个夜里，整个影院就像在滴雨，我真的有抬头看是否是电影院天花板漏水了……
影志,2012-11-22 14:02:03,,5星,1191,每个人心中都有一个瑰丽壮观、无人能及的冒险之旅。李安用最豪华的视效和最细挚的情感打造了2012年海上漂流版的《荒野生存》，看完电影，我宁愿相信它是一场梦，长醉不醒。【人生到头来就是不停地放下，可最痛心的是，我都没能跟他好好道别……】
帆影绰绰,2012-11-22 20:14:00,,5星,1092,我隐约中感觉，老虎没有回头是我对这片子最大的认可；第二个故事被讲述后，这片子到达了另一个高度。人生是在不断放下，而我们唯一能做的就是妥善告别。
snoopynirvana,2012-11-22 16:24:56,,5星,683,汗颜吧，所有华语导演们。
廿四,2012-09-29 13:47:58,,5星,568,同樣是關於少年和冒險的故事，不得不說，勝過老馬的《雨果》不止一兩點。第一次，3D的感覺不再那麼商業。50屆紐約電影節光榮開幕影片！More than just amazing and great.
朝暮雪,2013-02-11 19:25:28,,4星,3522,1884年，“木犀草”号沉没，4名船员被困在南大西洋。被困20天后，船员A、B表示，以17岁男仆理查德·帕克的的死换取其他人的生存才是明智的选择，而船员C反对。最终A杀死了理查德·帕克，事后三人分食了他的肉，因此得以生还。后来法庭依法判处A和B死刑，但英国女王将刑期减至6个月监禁，因为她认为A和B是吃了理查德·帕克的尸体才活下来，如果把他们判处死刑，那么理查德·帕克就白死了。英国女王最终确立了一个普通法的先例——危急状态无法构成对谋杀指控的合理抗辩。《少年派》就是以此为原型，派吃掉了其它三个人得以存活，并对人们说了另一个版本的故事，是老虎（老虎的名字正是理查德·帕克）吃了斑马、狗、猩猩。其实老虎就是派分裂出去的人格，派就是老虎。现实中是理查德·帕克被三位船员吃掉了，李安则是让理查德·帕克吃了三位船员。
如,2012-09-30 11:22:56,,5星,517,"NYFF首映!!!我太开心我最后买到票了, 因为实在是太好看啦!!!就像看Memento的感觉一样，我感到我再次看到了电影的进步，不管是spiritual上的还是technique上的~Mr. Parker最后那一顿、那个神奇的floating island、望向海底那一眼、美爆了的夜晚的海面…好多好多经典！眼泪哗哗的~李安打通任督二脉了啊！"
