用户名,评论时间,IP属地,评论分数,有用数量,短评内容
miaisdreaming,2024-11-02 04:50:57,英国,3星,489,这个男主应该让杨子来演，那不完爆格兰特么，一点爹味没有，做什么变态杀手啊
花泽累,2024-11-11 20:13:17,美国,未评分,296,【要推荐信时误入神学教授办公室不聊不让走】
同志亦凡人中文站,2024-11-08 18:11:08,中国香港,4星,348,没有任何侮辱智商的jump scare，完全是心智之间的对决与绞杀，仅这点就当得起年度恐怖片。在宗教与反宗教之间高空走索，通过密集对话将信仰玩弄于股掌，最后更人间清醒的直指宗教本质——控制，却又以庄周梦蝶留出一扇逃生之窗。A24选恐怖片的眼光好毒...
Ryan,2024-11-10 13:29:00,美国,3星,238,最后二十多分钟感觉在看少年包青天
KantV,2024-11-01 05:28:08,法国,4星,301,影片到三分之二时都是无懈可击的，讨论宗教的起源，发展和意义是永远不会过时的内容。但难度也在于最后的落脚点，影片停在了控制，相当于选择了一个更观众友好的中间地带，也更安全。但也因此失去了超神的可能性。倘若休格兰特是一个魔鬼的化身，只是用无尽的问题和手段，让信仰瓦解，我想这片就起飞了。
shininglove,2024-12-22 00:13:33,北京,3星,271,世界上唯一真正的宗教是控制，俗称爹教，又名老登哔哔，它无处不在，女性深受其害。
Isomorphii,2024-10-31 12:15:01,美国,3星,192,【B】高开低走，开头的字体、镜头设计和porn jokes都很棒，然后推进到宗教讨论，大富翁的若干变体、Star Wars的Jar Jar Binks、Radiohead和Lana Del Rey的纠纷，对白设计很有趣。但作为一部宗教恐怖，核心却老套又无聊，苍白的恐怖片技巧几乎使电影丧失一切惊悚性，最核心的——通过“唯一正确的宗教是control”这个虚张声势的主题避免了对任何具体宗教的冒犯，而缺乏冒犯性的宗教恐怖毫无价值。Hugh Grant很棒，散场后免费发了电影里的蓝莓派，A24还是一如既往地很有趣。
三水,2024-11-08 11:40:52,加拿大,4星,190,杨子：真是房外有房，爹外有爹，我要再接再厉
VicWallflower,2024-10-05 12:57:20,加拿大,3星,86,"#TIFF2024#2.5.披着惊悚片的外壳，打着哲学/宗教讨论的幌子，事实上维护的还是基督天主的白人美利坚。Hugh Grant终于有一个稍显突破性的表演，然而还是在其角色煞有介事介绍庄周梦蝶时彻底失去耐心。本片可以归为A24自成一派的genre film,白人至上和父权横行依然被包裹其中，电影中所谓的异教徒最终解释依然浅薄。本片最恐怖的部分就是，真的错把Chole East当成Thomasin McKenzie，意识到误会后再对比照片还是觉得是一个人，是不是对白女脸盲也是个人成为异端的开始。"
Grace,2024-11-17 02:39:10,英国,3星,83,一说到庄周梦蝶就落入俗套，我都不知道为啥俩女主不趁着一开始把休叔囚禁😇为什么不是克苏鲁系，尤其喜欢大富翁比喻
水包酱,2024-11-23 10:12:59,上海,4星,101,理解宗教→质疑宗教→成为宗教。(难怪导演说选角的时候觉得这角色换谁都不要非休格兰特不可。要是别的老白男在那儿叨叨哲学神学，我早就溜了溜了。但休老师一开口，我简直想拿出小本本做笔记 📝
路魆,2024-12-12 18:04:44,广东,4星,96,极好的台词对白，信徒为信仰而死，异教徒因肉体而死，不虔诚者困在生与死之间。女主角推理因果那段话真迷人，指出控制概念：宗教控制，性别控制；而本身她是个不坚定的信徒。三道门制造了悬念，定时开闭的门背后是一个信仰的阈限空间，还涉及了模拟世界，信徒恐惧、疑惑，异教徒化身掌控游戏规则的神，介绍起桌游规则，类比各派宗教。信徒接受异教徒制定的考验，神的唯一性在控制权转换时进行了交接。两个女主角的出口，要么是等物理的大门打开，要么化蝶离开，或者等信仰溃败，对现实认知抽离后以新身份重生。
阿蒙,2024-11-08 12:45:00,美国,4星,51,"""The (only) true religion is control"" 不得不说男主的演员选的气质很贴合，就是那种斯文败类衣冠禽兽，无论讲起大道理还是扯起蛋的时候都让人觉得比一般的chauvinist pig耐听😅 作为悬疑片是及格的，剧本又没有那么强，中间关于信仰的碎碎念有点意思但不多，悬疑感十足十有点像低配版的Babarian/野蛮人，恐怖情节几乎为零还不如老年斑的休格兰特让人触目惊心。整体而言是值得在流媒看，但不至于去影院看的程度"
徐清溟,2024-11-09 14:57:28,美国,4星,54,感觉是为了很大一碟醋包了很小的一盘饺子🌝🌝🌝
WalrusTuTu☮,2024-09-09 12:46:37,加拿大,4星,44,"So this is fun... 看Hugh grant講大富翁, Bob Ross, jar jar binks終將會變成宗教和唱I’m a creep I'm a weirdo~感覺像看了個加長版的doulas is cancelled ep3。雖然是A24 triller，但不像恐怖片，更像是很緊張的劇情片，同時還挺多humor在的，觀眾都笑的很開心。對了我之前看了預告去的，感覺如果不看預告的話，能帶來更多驚喜。播完就午夜9月9號了祝Hugh生日快樂（？）"
糖葫芦,2024-12-11 19:04:50,吉林,3星,74,最惊悚的事情莫过于褶子怪在你耳边唠叨111分钟，结尾变身名侦探柯南挺有趣😀
大雾,2024-12-13 20:08:56,北京,4星,15,除了结尾有点不满足 可以打8分 对话驱动的恐怖片很少见了 在西方恐怖片里看到周庄梦蝶有点好笑
