用户名,评论时间,IP属地,评论分数,有用数量,短评内容
胡克,2010-12-07 00:25:43,,4星,13886,某山渣树怎么好意思说自己是史上最纯？？！！！！！ 这个真打动我了。。。女孩是第二眼美女！！！！！！！！！！
鹿 卡,2010-11-28 22:39:46,,5星,17766,外公说的话：有些人浅薄，有些人金玉其外败絮其中，但是总有一天，你会遇到一个绚丽的人，她让你觉得你以前遇到过的所有人都只是浮云。片尾曲Everly brothers的Let it be me很好听。
荔枝超人,2010-12-12 22:42:08,,2星,479,干脆去电台朗读小说就好了。
图灵莉莎,2010-12-02 10:41:07,,5星,16174,我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。
Esse,2010-12-03 21:13:45,,5星,13824,当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……
不流ᝰ,2010-12-18 12:27:04,,4星,6496,上学的时候早恋，父母反对；上班了不恋爱，父母反对。你真是羡慕人家老外啊。
❤yone.小米,2010-11-28 21:09:59,,4星,5342,篮子男孩，好萌的活动，怎么我们学校以前没有啊！
熊大柚小內內,2010-12-01 10:49:29,,5星,7463,………………我能給十星嗎！
桃色響尾蛇,2010-11-24 13:08:03,,5星,6466,萌死我算了，男主太帅了吧！
狷介有乌青,2010-12-12 16:52:05,,5星,6154,当她在他身边蹦跶乱窜，他始终不屑一顾。当他意识到原来自己的眼神早已无法离开她时，她已优雅、自信、美丽得如同女神一般。
浅。,2010-12-18 16:39:03,,5星,5156,"Some of us get dipped in flat, some in satin, some in gloss. But every once in a while, you find someone who's iridescent. And when you do, nothing will ever compare.有些人浅薄，有些人金玉其外而败絮其中。有天你会遇到一个彩虹般绚丽的人，当你遇到这个人后，会觉得其他人只是浮云而已。"
Phyllis,2010-11-25 14:30:55,,5星,5160,Flipped，怦然心动，喜欢这个翻译的片名，就像第一次看到那棵树上的美景，就像第一次看到你闪亮的眼睛，那一瞬，就莫名心动了
黄青蕉,2012-11-18 22:07:57,,4星,3568,斯人若彩虹，遇上方知有
tina,2011-03-05 15:05:14,,5星,2477,爱情是树不是花。
大奇特(Grinch),2010-12-02 23:53:46,,5星,2361,罗伯.莱纳强势回归！手法流畅洗练，丝毫没有落入俗套和滥情之处。对两小无猜的男孩儿/女孩儿巧妙地互动关系下，呈现出他们不同的性格、观点与差异， 旁白充满纯真、幽默和浪漫，在两者巧妙地互动关系下，也对成长有了一番细腻的描绘。男女主角很萌，一个像莱昂纳多，一个有娜塔莉波曼的气质~
Mono,2018-01-31 10:48:17,,4星,3464,一连看了两遍《怦然心动》，真的是怦然心动。一对小孩，一棵树，特别简单的故事，讲得荡气回肠。我感触最深的 一点是：女生十来岁就有超脱的自省意识，审视自己爱的人到底值不值得爱。一旦触及她的自尊，立刻决定放弃这个男生。我们文化里的“爱”，似乎都要低到尘埃 里，舍弃自尊才叫爱，犯贱当真爱
Doublebitch,2010-11-26 14:00:57,,4星,2087,赤果果的早恋啊！在天朝肯定要被禁！
肖浑,2010-12-10 19:06:19,,5星,2392,这算完美吗？小镇美景、帅正太、酷萝莉、家庭温情、成长点滴。。。双线结构，视角切换，细节丰富，过程明晰。。。爱就该是这样悠悠扬扬、婉婉转转、一阵冷、一阵热、一阵抽风、一阵颤抖的过程。。。睿智外公和脑残叔叔是惊喜。。。爱到最后拼的果然还是人格魅力啊。
