用户名,评论时间,IP属地,评论分数,有用数量,短评内容
#草人#,2024-12-21 21:41:06,中国台湾,4星,9,爽爽爽爽！武侠情仇、警恶惩奸，受贿、正义的诈骗，只能在发达国家的行骗天下剧里面爽一把啦！因为现实只有两眼一黑。    @上海影城
甘草披萨,2024-12-21 22:00:04,上海,3星,3,#日本新片展# 影城杜比，又双叒叕一集Hustle，侠盗式的劫富济贫故事总不厌倦，更别说这次有了纳税的高尚理由，大型爽片模式，双方斗智斗勇，反转一个接一个，最后还不忘宣传反对暴力，虽然对方是坏人，往狠里揍最多只能想想，绝对不能付诸实践喔，不愧是公务员嗯；爽是挺爽的，就是不能细琢磨啊，尤其是司法术士的身份转变是不是太强行了点吧，最后整件事能成功，几乎全靠机械降神；当然总体观感愉悦，全场笑声不断，冈田将生一开始像在拍厨卫广告简直，以及虽然没有西岛秀俊老师出演，但是观影过程中一直在想到他，懂的人一定懂哈哈哈
mibo lost,2024-12-21 23:07:38,上海,3星,2,黑社会女儿就一打杂的是吧。。标题为啥要泄露7人= =把电影看好的秘诀是。。不要生气）
西楼尘,2024-12-22 09:51:56,上海,4星,4,有的人鞠着躬被浇一身红酒，有的人打了包坠下一地哀愁。有的孩子在楼下为父亲哭泣，有的孩子藏起悲伤用烈火把大虾煎熟。原来他早就弄坏了你的轮胎，只为请你走入这家剧场。原来你必定同意参加这次表演，只因为钱包里那张照片。父亲是刑警，母亲是律师，儿子成了欺诈师，他不走字的手表终于可以计时了。
船续前行,2024-12-28 15:56:02,上海,4星,2,很爽，还是集体犯罪的那套叙事，套在日本公务员社畜感满满。冈田将生这部有种摆脱黄晓明的帅（不是#SIFF日本新片展大光明电影院
陈精病,2024-12-21 22:17:39,上海,4星,5,看得很开心「虽然诈骗手段很好猜」，诈骗有钱人，我都燃起来了！
luoFu,2024-12-21 21:49:51,上海,4星,4,嘻嘻很可爱轻松好笑的电影！的确前三分之二是有在在意第七个呢？？？！后来忘记了，它倒也自行揭秘了 哈哈哈
sthImpOrtAnt,2024-12-28 15:01:00,上海,5星,3,谁懂，那个验钞机开始就想在电影院里疯狂鼓掌
Pauline,2024-12-28 23:23:51,上海,4星,0,步步为营，化险为夷桌球钓饵最好笑了
牛排口味的饼干,2024-12-29 00:32:05,上海,4星,0,1. 日本新片其二。这次就选了两部感兴趣的片子，但上田的B级感依旧不能掌握这种A级制作。 2. 这个剧本最有意思的地方是关于【义贼】的更新，公务员成为诈欺师并完全绕过国家机制完成逃税清算并复仇，这之中对于国家权力的失望是非常激进和韩国的。 3. 冈田将生真的，除了《最后的里程》，好像已经无法摆脱《宽松世代》里的懦弱形象了。 4. 最后的反转值得一颗星。虽然上田完全没拍出精彩感。
