用户名,评论时间,IP属地,评论分数,有用数量,短评内容
沐子荒,2018-07-03 22:37:38,,5星,51058,王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。我不是药神，治不好这世界。但能改变一点，总归是会好的。
朝暮雪,2018-06-30 17:40:18,,5星,37206,这不是“中国版《达拉斯买家俱乐部》”，这是中国的真实事件改编的中国电影，是属于我们自己的电影，不知道就去百度一下“陆勇”。
开开kerguelen,2018-07-04 21:00:31,,5星,21191,小时候路过一家药店，门口的对联写着“只愿世间无疾病，何愁架上药染尘”
七海,2018-06-30 19:28:36,,5星,16646,文牧野眼睛太毒了，观众的笑点、泪点、痛点被他牢牢抓住，徐峥现在不拼演技开始掏心炸肺放脱自我了，药物在中国绝对是个“不可说”，但这个电影说了它能说的，也不显山不漏水的说了它所不能说的，讲的是现实，但看过电影之后才会明白其实是超现实，2018最佳!
袁牧,2018-07-06 16:58:09,,4星,5278,看了一下差评，基本是自诩为独立专业的几个影评人给的吧，果然又要说电影语言，商业媚俗之类，固然把这个题材拍成侯孝贤、蔡明亮那样，影评人会有高潮，但你们其实喜欢的是影院里就坐着你们两三个人那种感觉不是吗？没有这种电影，电影人在时代急速抛弃弱势群体的巨变中，就是完全失语的。
大島,2018-07-05 21:39:15,,5星,10812,你的一个举动可能会改变别人的一生，酒吧领班从此爱上了钢管舞。
亵渎电影,2018-07-07 20:43:27,,4星,4486,我就是想实名表扬一下王传君，内地青年演员里竟然也有这种会演戏并且很卖力的实力派演员，这要是搁在好莱坞，他能拿下一座奥斯卡最佳男配。像这样的现实主义题材电影，如果编剧不是韩家女，它可能连拍摄许可证都拿不到，过审更没戏，它在国内的审查制度下没有可复制性，像这样的电影，且看且珍惜吧！
西楼尘,2018-07-04 17:09:27,,3星,1285,病是一种罪，上帝也不能赦免；穷是一种病，药神也无法医治。思慧把脱掉的衣服一件件穿上，黄毛把留长的头发一寸寸剪下，程勇把缺口补上，受益把口罩摘下。法和情谁上谁下，命和钱谁上谁下，灾厄的红药水抹到谁的头顶，侥幸的救世主降到何方人间。许多人终其一生都在寻一种药，没药的世界我们能不能活？
刘念拉,2018-07-04 15:53:16,,3星,822,怎么不能拿《达拉斯买家俱乐部》说事了？同样的题材，人家对人性挖掘地多好，我们只会煽情。
frozenmoon,2018-06-30 19:53:11,,4星,3485,不涂彩不抹粉不抛光，近年来少见的现实主义力作。更可贵的是，清清楚楚地写中国的事，写印度的事，清清楚楚地表明这是上海，车牌上大大方方印着沪，而现在很多电影已经愈发架空现实了。战争题材写到恐怖分子得虚构一个不存在的国家，犯罪题材得虚构一个不存在的城市。《药神》为中国现实主义挽回尊严。
