用户名,评论时间,IP属地,评论分数,有用数量,短评内容
长袜子,2024-12-02 23:45:05,广东,3星,5,有趣但不多，衣柜捉奸那场最搞笑。林赛罗韩的脸是比十年前状态好点，但……也……没啥好说了。60
SundanceKid🌈,2024-11-27 20:18:31,浙江,2星,11,每年看一部Lindsay Lohan的圣诞电影似乎也不错
基瑞尔,2024-11-28 21:56:42,四川,3星,2,虽然是个非常套路的故事，但即使是以假日喜剧“不必深究”的语境来说，还是觉得选择用道德上的模糊，来刻意妆点爱情仍然有些“过分”。可同样会觉得，这是和L.Lo每年通过Netflix保持的奇妙约定：就是很想看她，那在看到生厌之前，也绝不会想到要挑剔。感觉有一些出彩的演员、有趣的笑料，不足以完全成型；看的时候走神、一心二用怎样也都可以，但效果肯定是有的。
karenlin,2024-12-10 20:23:20,上海,3星,2,Lilo演这种片还是信手拈来的。男主竟然是美少女谎言里的老师！
失去梦想的柴犬,2024-12-01 10:14:06,美国,1星,7,"N厂每年节日就会搞得一些AI generated 电影，Lindsay的电影还是会看，这个也没啥特色的，不过就是they used to date, she got high yada yada yada 没啥新鲜的，结尾大曝光还是不够激烈，我以为会更加混乱一点的….但是认真的，下次Lindsay可能不想看了，她演N厂的年年都一个套路"
😄+💧=😅,2025-01-01 14:36:10,广东,1星,0,喜剧？不好笑
荆棘,2024-11-28 09:10:01,美国,3星,0,这俊男美女的圣诞无脑电影才像话嘛！
赛珍珠女士,2024-11-28 12:47:36,美国,4星,16,开头那一段回顾十几年的我真的爱疯，惊喜到连连尖叫，这是我第一次看历史回顾镜头的时候感到如此能relate😂anyways合格又不失cliche的圣诞片，前半部分比后半部分好，后半段cliche程度逐渐增加……
爱玩的过路人,2024-11-28 10:15:07,上海,3星,2,本片以圣诞假期为背景，导演斯蒂芬•赫瑞克的经验使影片具备传统电影的质感，与一般流媒体假日电影有所区别，他巧妙地利用了家庭聚会这个场景，将各种矛盾和笑料融入其中。导演很善于讲故事，比如通过动画序列展现主角的感情发展历程，使最终的爱情结局更令人信服。与此同时，喜剧场景中家庭聚会中的紧张和幽默元素，没有过度恶搞。
sam,2024-12-18 16:36:02,江苏,2星,1,看一眼琳赛洛翰圣诞特供。
banana,2024-11-28 16:11:37,广东,2星,4,unacceptable drama turning into boring (but love the part of the beginning that summarizes each year in the past
饮歌,2024-12-09 22:07:26,加拿大,2星,0,全部俗套元素的堆积，圣诞节泡沫电影。琳姐能回来正儿八经演的电影实属不易，接着拍吧，希望她能好好的端好演员这个饭碗，别再整幺蛾子了。
解夏。,2024-12-07 02:57:12,浙江,1星,0,圣诞电影 day 3真正的新片，剧情依然套路其实也挺奇怪，这么多相似的剧情居然没有一模一样的，还能每年拍出点花样来…
凡男森,2024-12-01 23:58:55,广东,1星,0,5.4
宅子路,2024-12-22 01:07:50,北京,2星,0,好可怕 Lindsay现在只能演这种烂剧本了，更可怕的是每年圣诞节都有这样一批电影出来，我依然控制不住想要看。无解。
AmberAqua,2024-12-23 23:05:37,新加坡,2星,0,大型烂片，剧情生硬。
淋,2024-12-05 16:51:12,山西,3星,1,重新组合搭配，我是不太懂你们异性恋
星夜桐影_TV5XQ,2025-01-10 15:47:21,中国台湾,3星,0,又一部可以預測結局的聖誕愛情喜劇，看到琳賽羅涵有點出戲。反社會弟弟長得不錯，除了男主角和黑人爸爸之外沒什麼好男人。這個年代青梅竹馬太困難了，修成正果更困難。
k,2024-11-28 23:13:10,上海,3星,1,网飞现在也开始省钱了吗
埃蘭迪爾,2024-11-29 00:26:18,法国,2星,1,虽然知道每年的圣诞特供大部分都是无营养的工业速成品，但总是要抱着期待的心情看个几部。
ꪔ̤̱,2024-11-30 18:52:11,河北,2星,2,平安夜本来应该是全剧高潮 结果像一群小学生排队念课文 林赛怎么整成庆奶了
lunarr,2024-12-18 10:36:24,加拿大,3星,1,2024年了圣诞电影还是这种重逢梗。Lindsay Lohan也不再是少女。一声叹息
李娟,2024-12-03 14:44:24,广东,2星,2,圣诞小甜片尺度太小了，给男女主角两人的道德保险太多了，就大大方方出轨不好吗
elly的小hui儿,2024-12-09 03:53:14,美国,3星,1,过节必备-无脑的节日电影，推荐搭配起泡酒享用
momo,2025-02-02 02:41:05,广东,2星,0,圣诞看这么乏味的电影是上天对我的惩罚吗？
1号游客,2024-12-12 23:21:29,广东,4星,3,【已收录[青梅竹马]片单】看第一秒就知道最后一秒我们会一直在一起，只有欢乐的喜剧才会这样结尾。Merry Christmas！每年的圣诞片 Lindsay Lohan仍是那么美
Miamii,2024-12-14 15:58:55,韩国,3星,1,Lindsay Lohan这两年拍的chick flick里最好看的一部。
dExt3r,2024-11-29 11:15:40,福建,4星,0,Lindsay依旧喜感，擅长尴尬社死的演绎。优秀的圣诞佳作，剧情流畅幽默轻松！一言不合就嗨起来了。
装老阿姨的少年,2024-12-08 21:45:15,辽宁,1星,0,这么难看的异性恋电影为什么要拍出来。
谁,2024-12-16 06:11:55,英国,5星,0,I will watch every lindsay lohan movie till the day i die
🌫️,2024-12-04 23:42:22,新加坡,1星,1,网飞你要不赔我点钱吧
三点少,2024-12-08 21:18:47,北京,2星,0,兜兜转转地情人大洗牌，结果肥水不落外人田地，重新排列后依旧是一大家子人过圣诞。
さららのサチコ,2024-12-02 15:29:53,日本,3星,1,为什么男女主同是86年的，林赛看起来年纪大一点呢？10年前那柔光打得都遮不住她的皱纹。。故事就是一贯的圣诞节合家欢，及格线水平吧
Kk,2024-11-27 21:30:39,广东,2星,2,第一时间来看lilo养老保险，普通难看，还是很尬。lilo都挂名执行制片了，男主still普男年轻时分手像有anger issue。两个人都发了交富家男女友。误食大麻。狗吃巧克力不好笑。放弃市中心apartment付钱买老房子，这恋爱真的要谈？（lilo回春，衣品巨好，非常美丽）
Danax,2024-11-28 16:24:50,辽宁,3星,0,突然想起自己初中看《美少女的谎言》时有多喜欢Ian Harding了，他消失好久都没什么像样的作品，不如以后一年一部网飞圣诞爱情喜剧还是很养眼的，毕竟快40岁的人了也算是驻颜有术吧，眼睛还是很漂亮。电影本身，如果你平安夜单身又喝大了可能会觉得很好看吧hhh，还是期待下hallmark和passionflix圣诞节有没有什么精彩的电影好了。
brooklyn.,2024-12-24 11:30:22,上海,1星,0,羊胎素
DeadRingers,2024-11-27 20:55:54,安徽,5星,6,这几年lilo真的是保持一年一部圣诞电影的速度 音乐好听画面好看 虽然剧情看了开头就能猜到结尾但是中间真的好搞笑 大战恶毒婆婆那段真的笑死 lilo颜值回春了就是怎么演都自然都好看 男主颜值也不错 所以就不应该放弃男主找还有个恶毒婆婆的花心挫男男二号 开头和结尾的小漫画也挺可爱 很欢乐 适合圣诞看
sereneloafer,2024-12-08 15:55:29,浙江,3星,1,Lilo每年一部圣诞电影可以变保留项目吗2333圣诞季暖饮差强人意，黑妹好看的。
TheK_,2024-11-28 21:23:53,山东,2星,0,能不能让主创一起看一下再见爱人第四季！（这房子盖的比《房子》好看）
菟颜🌸,2024-12-08 21:34:25,上海,2星,0,烂 但还是看来了
Sears,2024-12-15 16:07:31,上海,未评分,0,20241215
小呀嘛小匆匆,2024-12-28 01:37:48,英国,3星,0,每年出1一部这种轻松愉快的水剧过节看挺好的
当果酱泛出酸味,2024-12-11 03:37:17,英国,1星,0,这啥假人集合电影
ztztzt8888,2024-12-10 07:42:45,美国,3星,0,Lindsay Lohan这是找到了新赛道啊。最近一直看到她的节日romcom电影。
Robyn,2024-11-30 13:13:16,新加坡,2星,0,林赛罗韩可以不要再演烂片了行不 尬到要死 全程毫无演技 一张假笑僵硬的脸
鲨鱼真人,2024-12-01 19:55:17,四川,1星,1,不能找个年轻的女主吗？看着她脸上的皱纹，尴尬症都犯了。
办公室甜心,2024-12-05 06:38:20,荷兰,3星,0,今年这部Lindsay的演技真的自然很多 且终于配了一个能看的男主了……
nabulea,2024-11-30 03:09:58,北京,未评分,0,看着自己20年前看的电影女主现在比我还有比她年轻时候都美 宕机 以后这种情况回越来越多吧
Uyyyys,2024-12-11 07:51:59,捷克,4星,0,剧情什么都很老套。但是有林赛罗韩的电影剧情无脑也好喜欢看啊24年圣诞节目前最喜欢的
lulu,2024-12-23 04:47:51,英国,3星,0,从某种意义上lindsay一直这么做自己也属于一种自由的体现，反正大过节的，就这么放着当个背景音也不错的咯，而且男主的长相也算搭配
Magoo,2024-12-27 17:10:08,美国,1星,1,圣诞节至少搞个无脑喜剧吧……太假
金小鸡,2024-12-24 05:06:16,爱尔兰,1星,0,最无聊的圣诞电影。林赛罗韩现在是圣诞电影的专业户了吗？不错的赛道，像电影界的牛姐。故事看得出很努力要展现冲突了，但就是让人没兴趣。
AugustineChen,2024-12-08 00:41:56,中国香港,4星,0,相隔十年再次相遇，真愛的那個人就算逃避過一陣子也會再回來吧。這部電影的開頭做得很好，近幾年的世界大事合集，剪輯得很不錯。我也想在美國擁有一棟房子，和愛了很久的人一起。
flypan,2024-12-05 04:06:11,美国,3星,0,没啥诚意但是中规中矩，笑点都在岳母，换乘恋爱，最后是高潮。 欧美女士丰唇提线整容最后也是殊途同归，小丑感。
makatei,2024-12-04 06:23:16,澳大利亚,3星,0,吃老本系列电影
cozy,2024-12-04 12:17:30,北京,2星,0,有点浪费时间的一部电影，虽然还是希望明年还有林赛的圣诞片
Hayden Chen,2024-11-30 10:25:47,加拿大,3星,0,抓馬大部分都是作出來的。2024聖誕電影季正式開始，
starscream,2024-11-29 20:03:43,辽宁,2星,0,轻松
颜良辰,2024-12-25 03:09:14,西班牙,3星,0,Lindsay Lohan 是不是想借网飞成为圣诞节romcom女王？
@大月半子,2024-11-28 08:43:51,北京,3星,0,稀松平常，甚至有点牵强，凑合看看吧，呵呵
碾子Lee222,2024-11-30 22:39:47,上海,3星,0,在俗套的刻板印象下，有一些不一样的惊喜和火花。给三颗星。
刺鸢,2024-12-04 20:07:55,福建,3星,0,又一个下饭喜剧，还不错，开头时光变迁大事件这段很喜欢，男女主一看开头就能猜到结尾，但是中间经历了很多，喜剧元素不足，消磨时间可以
alty,2025-01-22 12:06:37,浙江,4星,0,大约我们八零后是最后一代浪漫喜剧（尤其异性恋主题）的观众了吧哈哈哈🤣这个品类要和观众一起老去了，琳罗姑娘值得一个劳模奖，克阿姨拍这部是不是还在医美恢复期看Wicked里面脸到没有这么僵
小原吃饭,2024-12-05 05:05:27,新疆,3星,0,林赛罗韩在这里面的状态真好，太为她高兴了
もんだいガール,2024-12-21 17:36:21,美国,3星,0,"为了Linday Lohan看的哈哈哈哈哈，是不是跟Netflix签了什么合约，每年都要出一部圣诞电影啊！""So you think she's pretty?"" 一秒又让我回到mean girls了！"
momo,2024-11-27 23:25:27,辽宁,5星,1,好看！我永远支持lindsay
柘予,2024-12-07 10:23:19,美国,4星,0,又滑稽又drama又大团圆…原来12月初就上假日片
Peng.,2024-11-30 23:40:36,美国,2星,0,这种胡扯的电影拍成这样真的比较离奇，lilo和Netflix合作里表现最差的一部，可能也是合约到期了就敷衍一下
松田陣平,2024-12-01 14:53:25,加拿大,3星,0,圣诞电影然后关系好乱……………………………………………………………… 演技可以但是剧情我有点………………
兔酱,2024-12-03 04:16:27,美国,3星,0,中规中矩圣诞电影 有点好笑的
PirateQ,2025-01-03 00:51:22,北京,3星,0,很高兴看到罗韩又开始演电影了。虽然是很老套的情节，我还是愿意看她一部一部演下去。还不到四十岁啊，好多镜头都给我一种《绝望主妇》里Bree的既视感。
QY157,2025-01-01 11:27:45,上海,3星,0,Christmas-y!
火腿火腿,2024-12-01 23:41:16,上海,3星,0,圣诞浪漫喜剧片纷沓而至，圣诞还会远吗？
鬼束千寻go,2024-11-28 15:33:31,上海,4星,1,全员出轨，CP打乱了重组，不要带脑子看就行，看得很欢乐，男女主颜值很高
momo,2024-11-30 10:17:17,山西,3星,0,还不错。很少能看到稍微正常的男主角了，所以其他人都不正常。尤其那一家人都太过奇葩。
找到这里不容易,2024-12-07 00:51:42,上海,2星,0,我是来看林赛罗韩恢复得怎么样的。每次看到这种两小无猜就不顺利成眷属非要在各自有伴侣后才知真爱的，就想对这种x男女说，早点锁死，别来嚯嚯别人！
麦当劳在逃薯饼,2025-01-19 19:49:53,澳大利亚,未评分,0,Our little secret
Ji Eun,2024-12-01 22:24:33,上海,4星,0,Merry Christmas💝
你是笨蛋,2025-02-07 00:28:30,浙江,1星,0,没见过这么烂的女主人设，又没礼貌又没才华，还吃连夜吃毒品。看到50分钟喂狗吃巧克力彻底弃
无风还起浪,2024-11-28 21:13:18,福建,2星,0,女主演终究还是太老了，看得让人难受。这种圣诞喜剧片随便找个长相漂亮的演技好的小女孩来演，都好看。
☁️,2024-12-11 13:30:47,北京,1星,0,为什么会看这么多shallow的东西打发时间…
Babooshka,2024-12-26 23:11:10,辽宁,3星,0,一个人的圣诞节，有这样的电影看，说明生活还不算太坏。
走失一只月亮,2024-11-28 11:52:38,江苏,1星,0,so boring
靈魂碎,2024-12-11 23:18:43,广东,未评分,0,又是一年一度奈飞制造的死气沉沉圣诞节，就不能拍得热烈点有感情一点嘛！
无敌小象拉面🐘,2024-12-28 20:29:30,新加坡,1星,0,很难不注意到林赛罗韩鼻子的假体。更可怕的是，电影里面不止一个整容脸。美国的审美被卡戴珊家族污染的好彻底。
Chee,2024-11-29 04:13:07,加拿大,2星,0,无法直视
已注销,2024-12-25 13:54:38,江苏,3星,0,2024平安夜
pickled,2024-11-30 22:52:41,广东,1星,0,这是圣诞档吗？圣诞节听别人唠鸡毛蒜皮家长里短和吸毒的小辈斗智斗勇。这对圣诞档来说还是太沉重了。
追逐繁星的少年,2024-12-04 23:04:09,加拿大,2星,0,最后咋复合的？？？？
点点,2025-01-31 11:02:03,广东,未评分,0,好搞笑，林赛罗韩基本上就是在等着男二的台词说完，看不出来任何cp感哈哈
黑犬黑犬默,2025-02-04 14:16:00,中国香港,3星,0,圣诞系列电影真的就像我们的春节档。从琳赛的Mean Girl到现在，总觉得她的脸硬的很。圣诞电影就是合家欢，就像你能要求陈思诚和徐峥什么呢，看个乐，听首歌，把饭吃完，接着搬砖，就很好了~
童话都是骗人的,2024-11-29 06:39:10,英国,1星,1,教堂那段真的给我很多年没有过的从头到脚发麻恨不得直接死掉的尴尬窒息感了。一个节日流水线甜品片能带来这种强烈的窒息感未尝不是另一种impressive。
