用户名,评论时间,IP属地,评论分数,有用数量,短评内容
牧三洵,2025-01-05 13:39:16,浙江,3星,19,哈勃老师身材真好。
tfarcevolsruoy,2025-01-03 20:39:03,重庆,5星,21,we're all in the big bang gang😱
孔府小鱼,2025-01-09 18:50:11,河北,4星,33,女性生殖器藏在里面需要付费看，男性的用来拍照发给别人。
小宗,2025-01-05 21:48:53,上海,3星,15,想知道为什么还有教授愿意接受采访😂
巴士底的猫,2025-01-07 08:02:40,北京,3星,11,"""每一种生命形式都是由一个个细胞排列成，像监狱牢房那样排列。可能正是因为这样，活着才如此令人沮丧，终生服刑。"""
春天正是读书天,2025-01-05 19:09:56,云南,4星,19,哈哈哈最扯的就是那些真的专家学者还得一脸严肃地回答这些智障吧出来的问题。“脱欧之后，进入天堂会变得困难一些吗？”
MHK,2025-01-21 21:32:22,广东,3星,0,主持人：上帝存在吗？专家：存在。主持人：有人能证明吗？专家：没有。主持人：上帝有个叫simon的弟弟吗？专家：没有。主持人：但这也无法证明，所以他有可能有弟弟。宇宙的创造者有可能是simon
咪普丽,2025-01-02 22:16:44,北京,5星,18,「他們發明了一種新的科學，用來解釋那些不符合科學原理的事，為了聽起來更專業，他們給它取了一個聰明的名字。」這完全就是我本人對量子物理的全部認知
啊千,2025-01-04 08:15:39,北京,5星,10,笑得想yue。尤其是女主问专家，人们都很担忧AI，那你呢?专家说，我什么？是问我是不是也担心AI，女主回，不是，人们是不是应该担心你……那段给我笑飞了……就喜欢看女主胡说八道瞎采访瞎找补的样子！
Fry,2025-01-05 21:27:51,北京,5星,14,36分50秒，就在我以为这一部不会再Pump up the Jam的时候。
LADarwinci,2025-01-13 00:48:19,德国,3星,1,把这么一群人聚在一起talking bollocks是不是有点暴殄天物？
BullshitArtist,2025-01-07 22:25:38,加拿大,3星,3,藐视艺术 挑战科学 质问哲学 有些梗挺好笑的 但是对着Brugel的画问 what the fk is this 那个fk有点过分了 学术权威们陪着演也是很有耐心了
mills,2025-01-04 19:57:39,辽宁,4星,9,"brian cox: no. 黑镜竟然乱入了？every life form is made of cells, like a prison, which is why existence is so depressing, it's a life sentence"
PenhJS,2025-01-05 08:14:44,广东,5星,7,"blackhole, sorry, the hole of color.啊啊啊真是又地狱又好笑……"
york,2025-01-05 21:48:50,上海,2星,5,通篇每一句都是插诨打科也是一种偏执。你知道她在卖力地逗你却一点笑不出来了。
三狗子,2025-01-07 18:38:39,湖南,5星,2,“专家暴起打人”指数新高，“扮猪吃老虎”指数也新高，关于思想的问题都用上庄周梦蝶式了。把our souls混成asshole，英音太蔫儿坏
forfaen,2025-01-29 11:17:41,美国,3星,0,适合用零碎时间看，做成短视频最合适
