用户名,评论时间,IP属地,评论分数,有用数量,短评内容
冰镇西瓜橘子水,2024-07-14 18:07:09,河南,4星,20241,被喜剧包裹的恐怖片 最后二儿子不上清北了 去上体校了 结果看到瓶子还去捡笑的傻呵呵的 这下跑步也出不了成绩了孩子差不多就被毁了 看的时候观众都哈哈大笑 内里其实不能细想一点 甚至结尾 当主角夫妻两个 大号小号都练废了 还想再开一个小小号 谁看了不得毛骨悚然
wendy,2024-07-13 21:50:01,浙江,5星,12814,别谈意义 别想太多 搞笑就值得五星
与子同袍,2024-07-13 23:41:20,上海,3星,14321,孩子不见了，旁边一位观众说“参加不了高考了”，银幕内外，都够恐怖的。
触底反弹,2024-07-14 20:15:39,四川,4星,15582,喜剧的皮恐怖片的实质，最爽的是他对着父母问“你们又是哪位老师”
西楼尘,2024-07-13 16:56:38,江苏,4星,15349,父亲托付给我资金买菜的信任教育，奶奶教育我要交往诚实之人的诚信教育，妈妈给婆婆洗脚的孝心教育，变成了一场巨大的谎言，一场可笑的表演，一次荒唐的实验，一次虚妄的赌局，可赌掉的却是我实实在在的宝贵人生。你问我有什么可委屈的，于是我在你们眼中最看重的一张纸上，画下了一只栩栩如生的鸽子。
随时准备旷工,2024-07-13 12:39:15,吉林,4星,7832,我觉得是沈腾马丽近几年比较好看的一部了，剧情演技搞笑程度都能排上前三的程度，场子里笑声不断。本来以为会是个烂片呢
朝暮雪,2024-07-13 17:37:21,四川,3星,13213,没苦硬吃，然后说是为你好，这就是中国父母爱孩子的方式。祝歌颂苦难的人天天都有苦吃。马继业真的太惨了，我已经能想象他以后的生活了。虽然考上了体育大学，但早就错过了训练的最佳年龄，做运动员基本无望了，最后只能忍痛回去继承亿万家产。
南山有爰,2024-07-13 12:30:07,河北,3星,8119,不像《起跑线》，更像育儿版《楚门的世界》。好的喜剧通常有个悲剧内核，这部的内核却已经是恐怖片了。节奏不太好，前面三分之二有点拖沓。笑点也不足，有些设置得还有点尴尬。
一滴水,2024-07-13 17:32:14,浙江,4星,6108,假穷才能这么玩，真穷就只能靠自己了
曾于里,2024-07-14 08:47:52,福建,3星,5984,本质上是一部非常残忍的电影，一切笑点建立在对一个孩子的欺骗基础上，“抓娃娃”不仅仅是从娃娃抓起，而是像在娃娃机抓娃娃一样，这个不行，抓那个，这个养废了，就养下一个……是玩物、是工具，但不是人
便衣诗人宋慧乔,2024-07-14 22:12:18,河南,4星,5354,我爸啥时候能告诉我真相啊
