用户名,评论时间,IP属地,评论分数,有用数量,短评内容
如小果,2011-09-07 22:24:43,,5星,8411,即使在一起喝过多少次酒，逛过多少次街，掏过多少次心窝，共度过多少时光，许多人还是没能拥有一个能背起你从地狱走向天堂的朋友——山姆。
无所谓,2010-06-21 23:33:10,,4星,6464,我就不明白甘道夫升级为白袍巫师了怎么不爱使魔法，改成肉搏战士了。一直期待他使一招毁天灭地……
草威,2017-01-09 22:13:52,,5星,6943,最服的就是山姆了，走了那么长的路，路上吃得那么少，一点儿没瘦。
饭夫斯基,2011-10-16 21:29:18,,5星,4253,骑白马的不一定是王子，是甘道夫；精灵战斗的时候，导演不会毁了他的美貌，别提莱戈拉斯了；裹着蜘蛛丝的弗罗多就像埃及艳后克娄巴特拉；胖子是重要的，他们可以背你；俩人被困在末日火山上，我说要有鹰，于是有鹰了；我差点以为阿拉贡要迎娶莱戈拉斯；弗罗多和山姆是真爱，绝逼的真爱。我要再看原著。
眼角的花朵,2008-06-24 16:55:45,,5星,3595,与咕鲁相比，弗罗多是幸运的。他具有别人无可比拟的强大的纯真力量。但他毁灭了魔戒，却无法清除内心被唤醒的邪恶。谁能说在故事最后他远渡海外，不是一种高傲的自我放逐？也许在索伦被消灭的那一刻，他也明白了邪恶的不可战胜。只是不得不与之抗争是英雄的使命。
Qing,2017-04-07 13:34:56,,4星,1314,不知为何很不喜欢霍比特人那条线……拖沓啰嗦 但又不能不要 人皇那条线最喜欢了 真正的气势磅礴（P.S.从冰火追过来发现魔戒当真是真善美极了（P.P.S.甘道夫升级之后为什么还是用法杖打人 一直在等着他念咒语发大招荡平敌军来着
susu/苏酱,2006-01-16 21:43:15,,5星,2555,要是让peter jackson来拍西游记，会怎样？？
格子,2008-11-17 19:03:15,,5星,2085,终于结束了，一切如常，我却回不去了
颜良辰,2010-03-05 00:18:50,,5星,2130,每次看魔戒都会被奥兰度惊艳到~
A-sun*,2012-04-04 13:28:15,,4星,1266,亡灵奔涌那里很帅••••••
jj73浅之,2010-10-24 12:29:54,,5星,2006,原来真的可以被友情、信念和正义给感动。。。
螺丝இ,2009-06-28 02:46:16,,5星,971,巨制就是巨制魔幻这题材少了美刀那不是人玩的感想如下：幽灵大军战斗力堪称最强阿拉贡你早调人马来省事好多 就是看着像清鼻涕 甘道夫你这个白袍儿怎么灰头土脸没有人家萨鲁曼当得有气势捏？精灵弓箭手萌~萌~萌~一大笑点是矮人金利 四个霍比特人就数弗罗多不讨喜这是角色设定没有办法 嫁人就嫁阿拉贡介样的人不过丽芙你脸也太长了我设定成宽屏还盛不下你的脸 有人说山姆和弗罗多其实是断背我看很有根据 所谓那会心一笑一切都明了 那额头一吻你别再敲打我心门 额我又腐了 最后压轴凯特你粲然一笑我瞬间倾倒！总结：60块收这6张D9值
胤祥,2011-08-21 17:49:09,,4星,665,04年奥斯卡陪练片都很弱，所以也没什么冤案。小金人发给三部曲，PJ拍完LOTR本来就是一件伟大的事情。鉴于电影的要求，老左怨念的“霞尔平乱”是不能有的，拍了绝B被喷成画蛇添足。当然就一部忠于原著的电影而言，PJ做得很到位了，不过要看完三本书三部片绝对需要足够的毅力和体力。
雪後寒,2021-05-16 21:12:28,,5星,1238,阿拉贡20年没洗头了，还是帅得一如既往；我只要2天不洗头，就跟咕噜一样[苦涩][苦涩][苦涩]
束,2007-11-22 02:59:49,,5星,1014,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。
红豆♥,2011-01-20 01:35:58,,未评分,448,甘道夫用魔杖驱除魔鸟时异常感动。我觉得男主角是傻逼呢。山姆多好。山姆又温厚又忠诚又善良。我爱山姆~~另外精灵们实在是太美了。精灵王子打翻大象时太帅了。矮人说的那句话“这样也只能算一个”也好有爱哈哈。
亂馬2/1,2010-07-16 19:58:05,,5星,615,魔戒比其他魔幻系列的厲害之處在於中心的設定，没有一貫的非黑即白，魔戒就是一個赤裸裸的誘惑。每個人面對他，都會遲疑。是選擇克服這種誘惑還是被它所俘虜，全在於你自己。甘道夫最後給孩子們說：我不會讓你們【不哭】，是人都會【哭】。我們需要的，是實實在在的幸福。【魔戒系列結束。成仙了！哈】
根,2012-07-16 19:47:02,,5星,862,书都看完了还怕你四个小时的屌电影……
朝暮雪,2014-01-11 00:48:33,,5星,566,彼得大帝告诉你：什么叫做史诗！本片荣获第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳视觉效果等11项大奖，和《泰坦尼克号》《宾虚》并列“获得奥斯卡最多的电影”。
北溟鱼,2013-12-31 00:42:26,,4星,550,我觉得魔戒最虐的地方是后记，Aragorn带着光荣逝去，Arwen终老洛丝罗林，Lego和小矮人带着fellowship最后的回忆远去。于是从此我就对人生抱有不管怎样都不会有HE的阴暗想法>_<所以电影就没拍= =||
touya,2011-01-29 21:18:08,,4星,261,全部看完三部加长版，Sam都快超越Aragorn成为我魔戒三部曲里最爱的角色了，太忠诚正直了，得友如此一生无憾啊。向Peter Jackson致敬，即使4个半小时坐的人屁股疼，这始终是部伟大的三部曲。
鏡面反射,2021-05-14 23:19:47,,5星,488,三部曲中最喜歡的一段鏡頭，就是皮平點燃米那斯提力斯的篝火後，烽火一個接一個地在艾瑞德寧萊斯的山脊上點燃，來自剛鐸的求援信息經由無數人之手，從一方的天際線不斷傳遞給另一方，直至烽火點燃至驃騎之國。不斷傳遞的希望，綿綿不息。“剛鐸請求支援。”“而洛汗將會回應！”
狼PP,2012-12-09 14:26:22,,5星,395,最后一部真的有四个多小时！其实整个LOTR最先拍的就是结尾~皮导的厉害之处在于，当你以为II中罗翰一战已经是巅峰级别的战场戏，刚铎一役却更高一筹！六千匹马是导演藏的私货，来自于他关于滑铁卢一战的记忆。Frodo四人在其他地方被视为英雄，回到shire地位却不如一只南瓜，我喜欢hobbit的价值观。
isolan麦葵,2008-08-25 10:14:25,,5星,648,超级经典，看了无数遍
之东,2021-05-15 00:34:46,,5星,310,最触动我的，是洛克王国的公主，女扮男装上战场杀死了最强大的敌人。 指环王的创作者真的没让我失望，他懂世界运作的前因后果，也懂每一类人群的起承转合。除了史诗没有什么能形容指环王，实在是一部太伟大的作品。
影志,2006-01-08 03:57:27,,4星,153,第三部反而有点默默唧唧的…不过依然震撼、依然经典。
吧唧,2013-07-01 00:14:40,,5星,251,小时候在家里玩捉迷藏，我没在衣橱后找到纳尼亚；十一岁生日那天，霍格沃茨的猫头鹰也没有灰来；一年后的某个平淡无奇的夜晚，我会看到时间领主和他的蓝盒子在街头嗖的一声出现吗？ 至少五十岁的时候，我会许个愿，愿望里有一个灰袍巫师和一群吵吵闹闹的小矮人，带我踏上去孤山的伟大冒险。
张苑希,2017-07-07 01:48:24,,4星,111,史诗终篇。山姆全片最佳，罹难之时不离不弃，被曲解误会还拥有一颗赤诚之心，不是主角却拥有比主角更加难能可贵的品质。结尾弗拉多选择归往海外，很大程度上也是因为无法克制心魔吧。魔戒的故事一如它所呈现出的瑰丽、宏大、惊心动魄，其中更造就了奥兰多布鲁姆精灵王子等许多经典形象，让人沉醉不已。
欢乐分裂,2021-05-15 15:36:15,,4星,41,4.5；末章终曲的战争场面壮阔恢宏，高潮一波盖过一波——其实这个节奏把控非常难，在不至于审美疲劳的基础上，完成反转式的情节推动，且要照顾到全景与特写之间的逻辑和剪辑；甘道夫适时插入那番“旅程没有终点，死亡是另一段生命”更是感人，情绪描摹与心理戏的完满，亦可达成银幕时间和物理时间的一致性。精灵时代告罄，开启人类统治的时代，结尾很好哭——经历的那些阴影永远不会愈合，他将带着这样创痛走入永恒的光明。明知不可为而为之，怀着这般勇气和力量，人类终于得以在中土赢得生存；本章花了不少篇幅去刻画欲念与良知的博弈，信任与怀疑的较量，唯有在一次次伤害和说服过后，才迎来和解与成长——谁能说山姆不是真爱！
白晶晶,2010-07-31 15:54:34,,5星,274,看三个小时屁股都坐酸了
非贾罗,2021-05-15 00:33:11,,5星,177,早就看完了 但是只想吐槽：就这？一直都不知道这样的大结局有什么可以圈点的？但是今天看了托尔金专家鸬鹚友邻的点拨 才发现弗罗多在最后关头摧毁魔戒其实真有深意 故事里弗罗多是屈服于魔戒的 但咕噜却在抢夺魔戒过程中意外和魔戒一起葬身火海 弗罗多因为人性上的弱点而被魔戒征服了 但同时也是因为最初人性的仁慈没有杀死咕噜 并最终导致灭戒 这样看 人的人性和外界的魔性之间战斗的输赢看来也只是暂时的 谁输谁赢还真不好说 这样看 真是寓意深远啊
同志亦凡人中文站,2012-07-20 19:56:32,,5星,349,所谓史诗便是如此。
撒旦的表妹,2013-03-31 21:40:32,,5星,204,"i can't carry the ring, but i can carry you.  ！！！4个多小时太特么精彩了！！平凡的人也可以成就伟大，各种戳泪点。 三部曲，加起来超过15个小时，天知道我有多么不舍得它完结。"
甜茶,2021-02-12 23:05:15,,5星,196,对山姆的那句“你不要去我没法跟去的地方”印象深刻，真羡慕拥有山姆的弗拉多。
巴喆,2012-01-01 18:48:45,,5星,156,一切的情仇，一切的信念，一切的魔幻、冒险、正邪的对抗，人性的贪婪，对和平的纯真爱恋，幽灵军团，白袍巫师甘道夫和萨鲁曼的对决，精灵射手，美女精灵群还有霍比特人，浩瀚的魔眼和都铎城，都在魔戒3达到顶点。历史变成了传说，传说变成了神话，最后佛拉多回归平静，过着无忧无虑的生活。好像人生走过一次永不再现的巅峰。9
米粒,2014-06-03 11:02:06,,5星,173,！！！！！！！！！！！！！！！看完有种置之死地而后生的感觉
Odile,2018-06-20 00:07:15,,5星,138,上影节之二。Legolas出场的一个个瞬间，全场女同志按捺不住的一声声轻叹wow~精灵王子的美丽就像留在画布上的Dorian Gray，永远不会褪色。太多场景看了十几遍，依旧热泪盈眶，比如烽火在雪山之巅传递，比如山姆扛起弗罗多，...我会一直看下去，直到抵达生命的白沙湾。
Vamei,2012-12-01 04:14:09,,5星,165,英雄需要一个像Sam那样的朋友。
黄皮树鹩哥,2010-07-12 00:04:41,,5星,142,这个是真好看，看5次了好像
白斬糖,2021-05-14 06:36:53,,5星,46,热泪盈眶，走进电影院外空无一人的深夜马路依然难以抑制内心的振奋。指环王之所以能超乎寻常地好，不只是它的制作规模或剧作尺度的功劳，而是彼得杰克逊正像弗罗多一样亲历过邪恶绝对的在场和无可抹除的创伤，也像山姆一样在绝望中相信着家园、生活和劳作的喜悦，无论苦难与否，都会在那里等待着他。他知道电影的开始必须是向虚空投射出一个神话，而电影自身就是无尽的讲述欲，不是讲述一个漂亮故事，而是讲述一个你愿意不厌其烦地向同样的人讲上一千遍的故事，杰克逊爱着霍比特人，也爱着讲述这个故事的自己，正因为他们最不起眼，于是最致命的秘密必将交至他们手中。这并非蜉蝣撼大树般的奇想，而是世界的命运从来就只交在那些矮常人一截，不善战斗也不知世界高低，但却不知不觉地为人类的持续生存铺下一砖一瓦的半身人手中。
unidolphie,2021-05-14 11:56:13,,5星,113,现在的夏尔应该到了春天，你还记得草莓的味道吗。
shield,2017-01-05 18:17:10,,3星,112,说实话我只能说这是一个合格的视觉作品，大制作可能都体现在3D技术上了。
蓝天下,2013-07-22 14:21:27,,1星,77,他奶奶的，魔戒系列真他妈的恐怖，总共九个小时！好不容易看完了，最终结果是：又长又臭！
Breeze,2009-11-01 21:35:32,,2星,27,故事就是简单的正邪对抗，正派不断开挂，反派智商不断掉线，啰嗦拖沓，幼稚低龄，人物单薄，所谓的史诗感无非就是靠大而多的CG生成物堆砌壮观场面......这种电影这么受欢迎真是电影堕落和现代人肤浅浮躁的写照啊
