用户名,评论时间,IP属地,评论分数,有用数量,短评内容
张咏轩Wayne®,2024-12-14 12:06:48,内蒙古,1星,179,日式动画的底色让中土世界的史诗感大打折扣，画风僵硬又粗线条，角色的情绪渲染全靠配音，故事也是老套的不能老套的复仇戏码，全程让人昏昏欲睡，反派塑造空有腔调，没有一场酣畅淋漓的对决场面，女主角的部分也是如此，应战能力和行事逻辑飘忽不定，留父亲独自面对仇敌牺牲，而只会旁观束手无策，直至亲人接连去世，才突然自我武装起来，成长弧线和故事承接也足够敷衍，除了满天纷飞的大雪，这片子也没啥让人沉浸其中的瞬间，130分钟如坐针毡的煎熬，一直掐表，衔接了点中土世界的线索，跟指环王可以说没有半点关联，完全是一部狗尾续貂的蹭IP之作，所有女性主义元素以及王女复仇的戏码也着实看够了，张口就来的女性主义爽文就是好莱坞近几年最钟爱的题材，玩多了以及太超过就毫无价值可言，空泛的精神训话与苍白的情绪价值的一场场展演秀罢了。★
Outtatime,2024-12-13 02:16:01,阿联酋,1星,60,妹妹只会心疼Giegie
卟哠鸮,2024-12-13 07:56:04,西班牙,3星,99,感觉就是不用心，有些三渲二的地方很让人发笑，正反派都没啥魅力，还有突然降智的剧情杀，三个人才能打开的门一个人就能关上，能一脚踹烂城墙的鹰不去踹攻城的木头梯子，hera就一定要穿一个累赘的露背透视裙，大概戒味最浓的地方是旁白、音乐和反派只有纯粹的恶这一点
Feanor,2024-12-13 01:29:12,法国,2星,159,弱智电影，10岁以上慎看。人物动机幼稚，角色的战力、生死、战争走向，全凭编剧掐表决定。比如编剧觉得到时间了，得死几个好人，不然编不下去，刚刚还表现神勇的好人立马就得死几个。国王前一秒孱弱如鸡，后一秒超赛附体，会耍北斗神拳，徒手撕半兽人巨魔。女主感觉是哪吒转世，混天绫护着她，轩辕箭满弓拉
Orlando,2024-12-14 13:12:02,澳大利亚,3星,76,导演在女主塑造和反派塑造上都是厕品。。。女主本来可以多加武打和文戏的，现在这样不够立体，太扁平了。反派。。你塑造得可以坏，可以是恋爱脑，可以是阴暗批，但不能是小人。。
AnNaBE,2024-12-13 07:21:08,美国,3星,55,十年之后在银幕上再见中土，难抑激动之情，但理性无法让我完全享受重逢的喜悦——僵硬的作画、散漫无序的叙事结构、模棱两可的角色弧光（尤其是不断back and forth的人物心态和人物能力）、难以令人理解的人物逻辑、儿戏般的战场调度和战争描绘都不断把我抽离出情怀。庞大的中土传奇被降格为一个日漫底色的、简单王道的异世界故事，可本来值得信赖的神山健治连这个无须多费神就能完成的cliche都没处理好，这真的是我期待了这么久的电影吗？
梓叶,2024-12-13 05:14:01,德国,2星,85,剧情太蠢了。人物不能说刻画单薄吧，因为压根没刻画。不止主线剧情，每一个细节都没有逻辑，每一个角色的武力值和智商都谜一样飘忽不定，每看几分钟都想摇头叹气，看到最后气得想笑。真是为了讲故事，硬讲了一个故事。画面上3D渲2D表情太僵，公主刚失去俩血亲的时候(蠢死了的剧情，俩人一上来就是便当脸，所以不算剧透)，她脸上甚至就像我们底下这些观众一样淡漠。而且居然连动作打戏都做得不好看！音乐甚至没做新的！无脑看都看不爽！一星给几位年轻男角色伟大的脸，虽然都是扑克脸；一星因为我看日语版的时候，忽然惊喜发现本命声优演了个配角。意思是如果我看的是英语版，我只给一星。
桃桃林林,2024-12-15 09:05:54,广东,3星,31,勉强3星，蛮煎熬的一部片子，剧情老套，反派又弱又胡来，整个片子基本就是在消费指环王的粉丝忠诚度，大概只有片尾的互动还凑合，很失望的片子。
托卡苏,2024-12-13 21:54:56,北京,4星,123,Brian Cox这个爹中爹的配音出来，旁边还站着倆儿子一女儿，我脑内都快自动播放succession op了哈哈哈。本来很担心幼驯染的设置，最后自述是死神新娘，双方不谈什么感情了。公主结局不错，不要的王室次子次女，可以来老骗子这里换不锈钢盆。个人不太适应过于仿真的背景叠加二次元人物，有时画面像我带着我的谷去新西兰拍风景照。建模好看，公主很辣，哥哥很辣，二哥很辣，表哥很辣，反派很辣，猛犸很辣，马也很辣。唉反派将军简直全片理智之声，疯子老版太难伺候了I feel u bro.
谋杀游戏机,2024-12-14 15:37:20,山西,4星,101,对中土粉的最大意义就是时隔多年终于又在大银幕上看到《指环王》新作了，全新的故事，日漫基因、以自由、英勇的女性为主角都给人走进中土世界的新鲜视角。看完觉得是超出我预期的，写实的人物画风、精细的背景绘制、宏大战争场面、史诗感配乐很原汁原味，光听片尾曲就值回票价了。
