用户名,评论时间,IP属地,评论分数,有用数量,短评内容
kylegun,2025-01-17 23:14:31,北京,3星,4,城市屋顶攀岩跑酷越野摩托滑翔伞，车厢长镜飞车功夫大肚婆。前大半部是正儿八经没多大意思的出警日常剧情片，后四十分钟三人小组干特勤小队才稍微有点看头。法式动作片的主旋律就是给自家政府添堵，挺好的
Die Katze,2025-01-30 21:08:19,上海,5星,2,很好，很满意。我法何其伟大。
不改色,2025-01-12 19:02:48,北京,2星,2,前半部分又慢又无章，后边才出现惊险刺激的打斗场面。半烂片。
执念兔子,2025-01-11 22:36:32,山东,4星,3,事关与美国的外交政治，牺牲个特战队员算什么。
方聿南,2025-01-12 23:06:29,北京,3星,1,动作追逐的设计和语法是新的的，但整个片骨子里挺陈旧，包括那个阴谋的叙述没啥亮点，放在一集犯罪剧里都未必撑得起，男女主的感情戏更有水时长之嫌，所以尽管打斗部分还算猛，耐看就马马虎虎。两肋插刀的男二魅力不俗，可靠又顽强，带枪伤飙车还有闲心开玩笑：送你去医院，孩子的干爹我当定了！
蛋炒虾仁饭,2025-01-11 02:25:40,广东,4星,2,在一次侦查行动中宪兵队弗兰克失去了战友尼克，背锅被踢出宪兵队。本杰明膝盖受伤也无奈退役。意外揭发隐情：特种部队盗窃情报失手，杀死两名CIA官员。内务部长为避免法美外交危机，不惜下令对内安全局取回关键证据带血迹的宪兵队特警队徽，灭口。弗兰克携手本杰明、莉奥奋起反击
圣迭戈-北岛,2025-01-25 16:28:58,重庆,4星,3,法国国家宪兵特勤队粉丝特供电影。本片开发由主演兼编剧吉约姆·卡内发起，2016年在拍奈飞战争片《雅多维尔围城战》时，卡内接受了前GIGN队员训练，便萌生了为GIGN创作电影的想法，其一直对GIGIN在法航劫机事件中的表现记忆深刻（电影《劫机》）。卡内邀请了前GIGN队员大卫·科罗纳一起撰写剧本，前GIGN队员蒂博·莱维克任枪械与战术顾问，现任GIGN指挥官季斯兰·雷蒂更大开绿灯，允许主创深入GIGN采风甚至是拍摄，所以片中很多GIGN工作与生活场景/细节都是取材于现实，GIGIN官方还为本片宣传站台。说回电影，奈飞法国内容采购负责人萨拉·梅说法国动作片历史悠久，有比好莱坞更真的特技、更实的剧本和更少的预算，尽管法国和全球院线都很难再看到法语动作片，但流媒体带来了可能，事实上你很难看到不拖到120分钟、不废话连篇、不软绵无力的美制动作片了
猪头妖怪,2025-01-11 03:25:12,上海,3星,0,故事的结构和节奏都一反常规。动作戏及其附属的阴谋部分非常幼稚且失实，但文戏却做得相当出色。不过这剧情设置也真的是生猛：法国人不但和自己的北约盟友干架，剩下的绝大部分时间里都是在忙着内讧。
忘乎君,2025-01-12 12:12:18,北京,4星,1,90分钟影片试图讲大故事心有余力不足难免
FROSTFLY,2025-01-11 20:19:56,四川,未评分,0,Putain，法国宪兵干预部队终于又搞了一部新片，Gendarmerie c'est Pas Police必须形成一个国际通识！必须要面向全球宣传宪兵才行，让所有人搞清楚宪兵和警察不一样！虽然我更希望有人给GIGN拍一部电视剧(本片更适合弄成电视剧才能消化)！2025年第一部新片名额给法国了！军警宪特爱好者不能错过此片就是不晓得中文译名为什么取这个！剧情/动作/犯罪，98分钟版本！18岁以下未成年人不宜观看，18岁以下未成年人如需观看须满15岁最低观看年龄门槛，15岁以下青少年儿童禁止观看！满15岁、18岁以下未成年人须在成年家长陪同下观看（分级警告）！75分中等水平作品！
