用户名,评论时间,IP属地,评论分数,有用数量,短评内容
咸菜帮老大,2024-12-25 05:15:57,美国,3星,53,迪倫和他身處的時代一筆帶過，迪倫和他的私人生活濃墨重彩。攝影機熱衷在主角唱歌時反复懟到周圍角色的臉上來傳遞「你的音樂令我沉醉 or 痛苦」的信息，這鏡頭語言放在好萊塢都算是爛俗了。
三点水加个灯,2024-12-26 03:44:09,美国,3星,28,歌唱得都不错，但只是流水账地把名曲串联在一起，配上不痛不痒的三角恋。背景中暗示的时代变迁在贫瘠的文本里显得可笑，人物弧光也很难让人共情，甜茶明年再战影帝吧
喂马,2024-12-29 17:25:56,美国,3星,26,故事讲得好烂，看完只觉得Bob Dylan是创作很天才但有青少年病的asshole。歌还是好听的
泽维尔酱,2024-12-29 14:11:00,美国,4星,25,喜欢艾莉范宁角色的感情线，她带迪伦参加protest，鼓励他唱自己写的歌；当迪伦在Newport对着台下的万千观众唱风中摇滚的时候她的凝视坚定又悲伤：他的音乐、才华和桀骜不驯，终究不再只属于她了。舞台上全新又陌生的他，多像一个complete unknown
Francesca.L,2024-12-25 10:21:55,美国,5星,24,还是喜欢真正unknown的那段时期……后面成名之后整个质感都变了😭甜茶演的不错啊连唱腔都很像！依稀记得二零年刚粉上茶的时候 他就已经在看Bob的传记了！将近五年后终于看上啦 给甜茶打五星🥰前半段我特别喜欢 质感好音乐也好 上世纪纽约的那种vibe也好带感啊 应该会找时间再看一遍？后半段感觉就戴着墨镜走来走去不知道在干嘛（
1985.,2025-01-08 23:40:21,天津,5星,7,能在一部2024的电影里听到这么多迪伦的歌已经很满足了😭
AgentDS,2024-12-25 14:16:39,美国,3星,17,3.5、平安夜點映簡直老年人專場、、、突然覺得bob dylan是極少數傳記片個人生活極度清水的音樂人了😅其他演員都還好、joan baez太有魅力了！突然get了為什麼是這麼多人的女神、老一代人音樂人裡bob dylan也算近十年裡還會出現在大眾視野裡的、包括之前參與錄製hes funny that way
Cherry樱桃之远,2024-12-27 14:33:24,美国,2星,34,看着Timmy咬着后槽牙学Bob Dylan说话两个半小时看得我坐如针毡，随后我立刻去翻采访，本人说话正常点，不过那种吞吞吐吐说话不清的感觉学到了……好无聊的电影，我对Bob Dylan一无所知，看完电影后除了知道Bob Dylan脚踏几条船，对于音乐创作坚持自己非常叛逆，其他依然一无所知。歌不是我喜欢的，当年看Girl from the North Country也是从头睡到尾。
踢迩达,2024-12-25 17:48:05,北京,4星,14,自弹自唱的甜茶，对于复刻不情愿被困在固定类型中的迪伦有一定的互文意义。音乐传记片太是曼高德的舒适区了。
张一bin,2024-12-29 08:51:22,美国,3星,27,[AMC Eastridge 15] 全场几乎都是老年人。落入音乐传记片俗套： 音乐串烧
寒枝雀静,2025-02-02 04:17:04,法国,1星,4,0 / 很久很久很久没有看如此纯粹的零分电影了。全片唯一的记忆点可能是房间里挂的汉语书法上写的“基情”两个字吧。
Ryan,2024-12-27 08:15:34,美国,3星,14,这片真是trying so hard给甜茶造神但感觉也没造出来 有些脱离时代大背景全部都轻描淡写 始终不够完整
Thè,2025-02-09 06:38:00,英国,3星,1,本来觉得肯定没啥好看的，结果影院的朋友和我说2024年里只有这部片子座无虚席！嚯那不得看看？看完了只觉得，座无虚席的原因可能是因为Bob Dylan就是中老年白男白女的周杰伦，爷爷奶奶们都兴致勃勃坐下来，影片开始十分钟后开始狂睡，结束时候睁开眼合唱一曲Rolling Stone，阖家欢乐！其乐无穷！
YKNAL,2024-12-30 03:29:41,加拿大,3星,6,让他写出那些歌的时代背景一笔带过，一到私生活家长里短事无巨细，想到类似的拿破仑也是一样，看来最近流行狗仔式传记片，好像在银幕上看狗血深夜节目。多么可笑的二十一世纪，给曾经直面时代的勇者拍传记片，却顾左右而言他，连再现时代的勇气都没有了。
Otocolobus,2024-12-27 09:33:41,加拿大,4星,17,对我来说最大的遗憾是几乎没有展现那个时代和他的音乐之间重要的关系，只是在电影中作为背景轻描淡写带过了。电影整体对于他的音乐是展现得很好的，而且真的做到了用音乐讲故事。爱德华诺顿虽然是个xxxx但是演戏确实是非常不错...以及我小时候是不是太傻了点我一点没意识到joan baez和bob dylan之间的关系...*facepalm*
加一份奥利奥碎,2024-12-25 09:17:01,美国,4星,20,音乐类的传记片总比其他传记片更容易打动我，几段Bob Dylan对着Woody Guthrie的弹唱我都止不住流眼泪。前半段有点一般，后面越来越精彩。这部电影适合点一杯烈一点的鸡尾酒，前半段跟着音乐摇一摇，后半段酒劲上来后彻底融入rebel spirit。
Chery,2025-01-06 10:41:46,美国,4星,3,真的好喜欢60年代的纽约
ballsirius,2025-01-13 05:40:13,美国,3星,5,第无数次怀念《醉乡民谣》的一天。前半程老问题，Dylan金曲串烧+模仿秀，文戏很赶很肤浅。后半程讨论艺术家星光背后的孤独和自我追求，好很多。甜茶很有魅力，但除了道化服，和Bob Dylan不太沾边，尤其口音和音调模仿，拙劣刻意，全程难以入戏。反而Norton演个平和老艺术家更令人耳目一新。
Tear,2024-12-25 09:01:37,美国,4星,7,今年甜茶看得有点多了，跟 Bob Dylan 也不熟，平安夜选这部其实有点犹豫的，看到短评里说大半篇幅都在唱歌，hell yeah！就来了。时间线到专辑 Highway 61 Revisited 之前，也就是 1965 年，对于我来说还是太复古了，台下的人为吉他插电而暴怒的时候我：干嘛啊？好好听啊！你们不喜欢吗？红红火火恍恍惚惚实在是油盐不进。感情戏一般，take away 是他喜欢在贤者时间写歌并且不让别人睡觉，整这些还不如好好点题。特别招人喜欢的角色，目前不清楚人物弧光来自迪伦本人还是甜茶，但是听着歌，看着台下/录音室外面亲友笑得像老父亲一样，还是会嘴角上扬。How does it feel？愿你不必随波逐流。
三角铁,2024-12-27 11:51:46,加拿大,3星,9,3.5 分. 提摩西不行，配角记住了好几个，就是记不住他，诺顿那个角色都比他好。最大的优点是音乐很好听，让人真真切切感受到鲍勃迪伦音乐的魅力
安远,2024-12-26 07:37:55,加拿大,1星,27,Is this really necessary?
🍟🥔,2024-12-31 05:59:23,美国,3星,1,流水账，但是看着很舒服，反而很喜欢这种对时代、政治、社运、爱情、音乐等一切事情都点到为止的写法（拎出来的音乐反叛主题也尚可接受）。没有任何人生可以用电影三幕剧来阐释，反面教材是波西米亚狂想曲
King Arthur,2024-12-26 15:21:25,美国,3星,11,这叙事不只是平庸，而是故事本身都没讲好啊。人物塑造没有什么弧光，甚至不如去看之前那部《Don't Look Back》的纪录片更能了解Bob Dylan的真实性格。故事方面也是东一榔头西一棒槌，每首歌的时代背景和社会意义都没有深挖，所有重大事件都是流水账似的一笔带过，连Go Electric的最后一幕也没有充分铺垫。听歌倒是听的挺爽的，没想到电影里这些歌还真是甜茶唱的。#AMC Century City
饮歌,2024-12-25 11:37:34,加拿大,2星,16,有点一言难尽，落入了我最不喜欢的那种传记片模式的窠臼，试图展现一个丰富的Bob Dylan，可是音乐、爱情、政治...每个方面都沾点边，但每个方面都不出彩；人物也是有点纸上谈兵的意思，唯独甜茶跟Elle Fanning的这条线让我动容了一下。以为导演可以重塑《与歌同行》，哪知道更让人看到了华金塑造的Johnny Cash有多好。
去短毛象,2024-12-29 04:36:50,美国,3星,8,why bother? 搞个演唱会重映不比这强八百倍吗，只能从真人上些微借点光
：,2024-12-29 08:40:13,美国,2星,22,主创对得起这满场爷爷奶奶的粉丝票嘛😅
