用户名,评论时间,IP属地,评论分数,有用数量,短评内容
momo,2016-12-27 22:15:16,,4星,8307,刘嘉玲说：当年拍无间道的时候梁朝伟每天只开工三四个点就回家，拍了二十多天就拍完了，之后就是获奖无数。演戏这种事，不得不承认是有天赋的。
隆咚锵,2007-03-03 02:07:09,,5星,20156,牛就牛在，他让所有演员都达到了巅峰
掀桌超人｜2U4U,2006-04-27 17:09:20,,4星,6369,看了美版的，才知道港版有多好看~55555555
XAr,2008-02-15 00:48:21,,5星,12878,当年我深刻的爱上了梁朝伟同学
刘小姜,2012-09-14 19:42:32,,5星,9518,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。
小罗伯特唐寅,2017-04-11 13:25:40,,5星,7936,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。
白开水,2008-02-11 00:27:01,,4星,4187,“《无间道》拍得相当好，但是再好也已经没有当年港片热气腾腾的生命力了。不知是拍的人变了，还是看的人倦了。《无间道》的前传后续也声势闹猛，它似乎可以打破港片沉沦的僵局。但是，它更像一具艳尸，妆扮得精美绝色，但终究是死物。”网上的这段评论深得我心。
影志,2006-02-16 22:18:21,,5星,7118,“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。
曾于里,2012-01-18 13:49:18,,5星,5409,怎么形容梁朝伟的分量呢？就我个人来看，影坛少了一个梁朝伟，就等于少了一百个刘德华。
伊豆,2008-12-09 14:47:36,,4星,4195,梁朝伟已经无与伦比了，那忧郁的眼神，欧~~
意闲,2009-02-28 05:39:29,,4星,2315,看刘德华演戏好累
欠揍的我,2020-12-26 11:46:32,,5星,3847,常看常新。我认为无间道里最精彩的设计之一，就是陈永仁从头到尾都没有一丝丝动摇，站在巷道里冲着警司的灵车敬礼那一刻，闪耀着强大又微弱的人性光辉。
Doublebitch,2008-11-24 22:57:04,,5星,3617,港片新旗帜
伍德与夏洛蒂,2011-03-16 20:44:47,,5星,3358,港片的里程碑
熊阿姨,2007-01-18 17:27:40,,未评分,2720,百年不遇的经典
kt,2016-12-28 00:57:16,,4星,1620,开头音响店收据日期是2002年11月28日 结尾墓碑上的日期是2002年11月27日 无间地狱 轮回之苦
同志亦凡人中文站,2012-07-20 20:07:49,,5星,3235,一气呵成。梁朝伟的眼神令人揪心。
顾俏乜,2017-05-03 19:15:15,,4星,1081,陈永仁的人生好比他上级手里的风筝，当他上级撒手人寰时，他的警察生涯也可说随风而逝。
巴喆,2012-01-01 15:46:15,,5星,2747,重新对香港电影刮目相看，它从哲学的角度深入质问人性，去感受身不由己之下的那种窒息，感受贪婪与自私，体验善恶的痛楚纠结。剧本相当出色，梁朝伟的陈松仁直接神化，所有的角色都可圈可点，没有一出多余的地方，以至多年后看美版的时候仍然不忘旧爱。这是港片的里程碑。9.3
掉线,2013-01-21 22:34:57,,5星,2315,卧！槽！居！然！这！么！好！看！（好后悔现在才看这部电影……所有人的演技都太棒了，甚至萧亚轩……）
琴酒,2011-11-14 00:49:42,,5星,1249,五星献给黄秋生突然掉下来的那个瞬间。
老鸡｜扶立,2008-01-10 16:32:57,,4星,767,我最喜欢是它的色调
美好时光只为你,2017-05-03 22:00:34,,4星,625,梁朝伟真是把这个角色演入骨了，经典。
xl,2021-05-13 23:49:48,,5星,968,很棒。但有个剧情较愚蠢，梁朝伟发现刘德华卧底身份时，为什么走人了？好歹装一装，等身份恢复后再揭穿刘德华啊。
亵渎电影,2011-11-07 21:49:18,,4星,471,重看才觉出经典的味道。
momo,2017-01-01 12:46:23,,4星,337,我们都在不断赶路忘记了出路，在失望中追求偶尔的满足，我们都在梦中解脱清醒的苦，流浪在灯火阑珊处，去不到终点回到原点，享受那走不完的路。
所有团的团长,2011-09-20 18:58:52,,4星,265,虽然一开片就告诉了谁是卧底，故事仍然做到了一波三折。细腻的心理描写。经典。
tavico,2010-05-30 00:51:23,,4星,206,8.1/10 看完《The Departed》再来看这个，觉得像个Mini版。香港版更注重情结，美国版刻画人物上更饱满些。
薇羅尼卡,2006-04-26 23:07:44,,5星,1340,经典港片，无间道，如人生~~
朝暮雪,2012-08-12 21:51:30,,5星,710,《无间道》IMDb 8.1，《无间道风云》IMDb 8.5兼奥斯卡最佳影片？
mon babe,2008-11-02 19:07:43,,5星,1038,难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。
