用户名,评论时间,IP属地,评论分数,有用数量,短评内容
鲸落,2024-09-21 10:42:13,加拿大,5星,5547,观看时，影院有男性在几处恐怖的情节爆发出巨大的笑声。尤其在两个分身互殴，和最后女主的monster形态时。让我感觉这部电影完成了一个无比讽刺的闭环。用外貌作为男性社会奠基石的女性在失去美丽的一刻，会被弃之如敝履。女性为外貌之疯魔的时刻，会当做一个浅薄的笑料。
小絮,2024-09-29 14:45:20,贵州,4星,9515,想到了说脖子是女人第二张脸，腿是女人第二张脸，头发是女人第二张脸，手是女人第二张脸，女人真是全身都长满了脸
叶烺,2024-05-23 13:30:33,法国,3星,5724,似乎女导演可以名正言顺拍男凝，拍雌竞，剥削女性角色…只要在结局展示出一些讽刺她的观众就把前面一切都原谅了。
耐观影-Xavier,2024-05-20 05:55:29,法国,5星,3428,看完这部电影我只想说一句，我这辈子看过的恐怖片都加一起都比不过这部的炸裂
flauria,2024-09-21 13:41:05,美国,4星,4595,女主一个健美操主播，会静脉注射会脑脊液穿刺会心内注射会装修…太牛逼了
白斬糖,2024-05-20 07:57:36,法国,1星,1687,势必要作为人类耻辱留在电影史的终极烂片，文字无法描绘的精神损伤，恨意也难以形容，对导演甚至起了杀心。最后半小时进入cult片的反转不能给她任何减轻罪责的缘由，反将她明知自己无下限地剥削，而逃离责任，刻意自取其丑的狡黠暴露在更无可置疑的恶意中。
bloom,2024-05-20 07:01:17,葡萄牙,4星,4271,格林黑童话之我要上春晚。
海鸟,2024-09-19 09:49:58,美国,4星,3463,今年看过最恐怖的电影 戏剧效果包括两边笑得很大声的男观众
谋杀游戏机,2024-05-20 07:34:43,法国,4星,1742,没想到主竞赛会选进这样一部cult片，更没想到是女导演拍的，够狠的。女性话题、极致的视觉、犀利直白的讽刺不知是否能引发类似《芭比》的效应。主题和情节都很简单，两个肉体此消彼长的设定还蛮有趣的，结尾部分血浆度和邪典度都拉满了，各国观众都在捂眼扶额用自己的语言说卧槽！！！！戛纳给奖吧！😆
同志亦凡人中文站,2024-08-18 19:11:14,新西兰,4星,1459,自己生自己，自己吃自己，自己杀自己，女性身体被男凝后对自己敲骨吸髓，将压榨物化进行到底。越到后面越邪典，第三幕直接缝合怪形与嘉莉血浆顿作倾盆雨，身体恐怖片里可排第一！
嘟嘟熊之父,2024-05-20 05:50:07,比利时,5星,1306,造梦的电影，女王降临，《芭比》的尽头。格蕾塔负责启蒙人类，科拉莉负责终结人类。你想杀死你自己，你自己恰巧与你不谋而合。
