用户名,评论时间,IP属地,评论分数,有用数量,短评内容
UglyBerry,2008-05-20 14:28:07,,4星,13704,我是不是也在楚门的世界活着？
贾不许,2008-12-08 16:31:21,,4星,7627,"Good morning, and in case I don't see ya, good afternoon, good evening, and good night!"
影志,2005-12-28 01:22:04,,5星,32075,“如果再也不能见到你，祝你早安，午安和晚安。”
理想多钱一斤啊,2009-10-07 18:46:27,,4星,7960,原来植入广告那都是人家美国人玩剩下的玩意儿……
takisan,2006-04-21 06:59:26,,4星,7752,每个人都向往自由而不仅仅是安定
琴酒,2011-02-13 20:00:00,,4星,2465,换句话说，他的生活就是真实的生活，如果什么也没出现什么也没发现。再换句话说，所有的配角被迫清醒地站在这个虚拟的边缘，吃喝拉撒24小时待命，意识到此刻的高潮被以亿计算的人类消费着，除此之外生活的区别只是没有摄像头对着，不用去区分真或假。精神病和真实一线之隔。坚持到底你就赢了。
伊卡洛斯,2010-03-25 14:01:04,,5星,25530,他用别人的相片拼凑出她的样子， 在这个虚假的，冷漠无情的世界里只有这份思念是唯一的真实
大头绿豆,2008-12-08 20:46:24,,3星,3094,其实电影本身编得并不算十分出色，照顾到了一些细节，但破绽也浑身上下都是。不过，在乎的不是这个故事编得如何，而是这个idea，让人不由环视一下自己的周遭。以前在科幻世界上也看过类似的桥段，有关地球仪的。
Qing,2017-01-21 14:29:53,,5星,13152,最讽刺的难道不是电视旁的所谓观众么？导演老头子都比他们真情实感多了 观众为了他落泪欢呼击掌又如何 之前却从未想过让他离开 之后也只是换了一个节目频道罢了
Miss Lucky,2010-01-23 00:08:25,,4星,2399,年轻时候的金凯瑞真TMD 帅。尤其一头柔顺的头发。
齊克斯尼力佐飛,2011-09-25 20:15:37,,5星,9052,就算是已经完全知道剧情走向也还是被震撼被感动。就算你能摄影我的一切也无法在我脑内安装摄影机。
