用户名,评论时间,IP属地,评论分数,有用数量,短评内容
传奇☂,2007-02-27 10:39:27,,5星,14079,看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。
胡如隐,2016-05-01 22:09:33,,5星,10615,“金融，工程，建筑，计算，固然很重要，那是我们生存的条件；但诗歌，浪漫，爱，是我们生而为人的原因。”
私享史,2008-01-01 11:15:24,,5星,4830,《死亡诗社》最后安德森爬上课桌那一幕哭得我稀里哗啦的，一个刚到口的龙眼就活生生地吞下去了。它和《孩子王》有一个同样的情境设定，但立意确实不同的。《孩子王》里“从前有座山”那段也是让我唏嘘呀。另外，《死亡诗社》的中文配音配得很好，不知道出自哪儿。
珍妮的肖像🦤,2008-09-07 08:55:48,,5星,7841,哦！船长！我的船长！
mon babe,2009-05-08 16:16:49,,5星,5722,最后大家还是屈服了，但是永远不会忘记seize the day.
樹一,2010-09-19 15:48:18,,5星,3757,我和Nill有个一样的父亲，却从来没有遇见过像Mr. Keating那样的老师。所以我哭了。
有心打扰,2012-01-04 03:51:33,,4星,10689,开场精彩，中场尽显疲态，结局来了个绝杀，最后终于反败为胜，深入我心。凶手毋庸置疑是那个“船长”，他教会了学生追求快乐，但是却没有教会他们反抗，他教学生成为一个理想主义的诗人，却没有教会他们现实的残酷。充满理想的开篇却以悲剧性的事件结尾，理想终归要回到现实，并一直被现实压制。
九月五的酒,2012-02-26 15:15:25,,5星,2694,"后来，多年以后，追姑娘被揍的他成了律师合伙人，继续暗恋过去的女人，被双亲寄予厚望的他终究还是“妥协”成了医生，洒脱不羁胸前刺字的他消失匿迹在茫茫人海，那个羞涩腼腆外柔内刚的文艺青年，一步步蜕变成了文艺中年。光阴飞逝，诗社不朽，Captain, Oh Captain"
鱼丸粗面,2007-03-28 21:22:29,,4星,5410,"选择和别人不一样的路走的人,虽然会感觉孤独甚至会招致歧视,但并不意味着那就是过错——相反,一个真正的英雄往往会选择一条很少人会走的路.大多数的人都在平静的绝望着"
理想多钱一斤啊,2009-10-16 17:10:50,,5星,2965,深刻并不来自死亡，而来自那对心爱姑娘眸上的深深一吻，岩洞里的昂扬青春，还有生命陨落前那最后璀璨。Carpe diem -- 换个角度，换个心态，不再一样。
薇羅尼卡,2014-08-03 20:53:42,,5星,1657,“人无千日好，花无百日红。”为什么Keating喜欢当老师？也许正是喜欢置身于人生第一个转折处，给予他们自己最好的指引。“梭罗说，大多数人都生活在平静的绝望中”，这句话人至中年才慢慢体味个中含义，所以，少年时期的梦呀，爱呀，理想呀，追求呀，努力追问，努力回答，才不枉一生。
kingfish,2006-03-23 08:23:34,,5星,2054,"明明不是悲剧,就是不停的被感动着"
宋小君,2012-01-08 16:20:27,,5星,1002,站在课桌上看到的世界是不一样的。成长的路上一定要打破所谓规矩，抓住当下，及时行乐，即使在别人眼里，此刻你像个白痴。
Sophie  Z,2014-08-17 09:53:08,,5星,548,如果能重做一部25周年纪念版，我真希望电影最后会和《历史系男生》的结尾一样，几个已近中年的学生回到课堂说说自己最后做了什么。大概我们会看到傲骨贤妻里的律师，会看到豪斯里的医生，会看到娶了法国女人的小说家，只是这时再也听不到keating对他们的评价。Carpe Diem
