用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Gary96787,2024-07-25 07:13:52,德国,2星,2715,无聊的电影工业流水线故事全靠死侍的碎嘴和迪士尼经典技能打情怀牌撑下去了。这东西不配叫电影，只能叫笑话合集视频。
Stfind,2024-07-26 20:58:04,天津,3星,6312,我觉得片中最好的一句话就是借着死侍的嘴说的：“这个多元宇宙的设定已经被玩烂了。”
朝暮雪,2024-07-26 03:18:21,四川,4星,2544,只要活得够久，你就可以在漫威中看到超人和绿灯行同框。“在朋友圈、抖音上被剧透有哪些角色客串后再去看，甚至过几个月再在手机上看”和“上映前几天就断网防剧透，上映后第一时间去电影院，亲自揭晓谜底”真的是完全不同的体验，就好比知道了夜魔侠客串、三蛛同框后再去看《蜘蛛侠：英雄无归》，你完全不理解美国人为什么打高分。在完全不知道剧情、不知道有哪些客串的情况下，看到TVA、TVA屏幕上播放的复联片段、神圣时间线、虚空之地、变种人，以及一个又一个出乎意料的客串，当初看《复联4》和《X战警：逆转未来》的感觉又回来了。惊喜之余，还有落寞。《金刚狼3》上映时，你老了，我还年轻。《死侍3》你返老还童了，而我变老了7岁，不一样的是，我不会再年轻了。看到死亡的角色回归是什么体验？我感觉我看的不是电影，而是我逝去的青春。
Agent阿神,2024-07-26 02:57:51,北京,4星,2200,谁能想到我看片尾花絮的时候哭了，情怀尚在，但剧情差强人意
Bryan·Mai,2024-07-24 13:18:16,中国香港,3星,2192,迪士尼假惺惺尊重下死侍的风格，但也不过是再一次昭告天下：我能把整个漫威数十年的影视化作品进行跨公司整合，把被遗忘的人、前公司倒闭也没做成的饼随时拉出来游街，随便玩演员梗。客串搞堆料初看确实惊艳，出厅之后立马脱敏。多元宇宙的螃蟹也不是你第一个吃，俗套得搞出不同版本的自己预示着创意枯竭，还把前两部的演员晾在一边。本质上犯了《蚁人3》的战略错误，单纯把视野拉大就忘了本。让你整合福克斯的遗产怎么还顺带把老狐狸叙事割裂的毛病也给学过来了？对所有人物漠视的失望感远大于几个老人家客串的惊喜，所谓漫威今年唯一押宝可能在老东家被收购的那天起就注定要变味了。
VinceTsang,2024-07-24 19:14:11,日本,3星,1620,结束所有漫威电影的电影。
陈升,2024-07-26 03:30:27,四川,3星,746,何尝不是用福斯的尸骨打了最后一场
桃桃林林,2024-07-26 21:29:10,河南,3星,401,漫威的春晚。反正这么一弄，真就什么彩蛋都可以随便玩了，热闹是热闹，但也只剩下些段子了。看你是什么目的吧，如果是看热闹的漫威粉丝，应该会非常嗨的。但剧情方面，真的是简单到不行了。
Rêveurs,2024-07-26 02:21:11,河北,3星,304,真不至于大晚上出来漫威粉过节过的什么节清明节(^_^)🌱
^^o^^o,2024-07-26 21:18:42,湖北,2星,807,剧本真的不是ai写的吗？。。。
Hi Friday,2024-07-27 13:19:05,广东,4星,1333,Educated Wish，画大饼，又学习了新短语。
昵的称,2024-07-26 23:02:31,广东,3星,240,漫威一碰上宏观叙事，就是三板斧：身份认同危机、中年危机、村口械斗
同志亦凡人中文站,2024-07-24 18:02:30,新西兰,4星,1379,小贱贱版多重宇宙+逆转未来。虽然创意毫不新鲜，但真的是爆笑如雷，且全部笑点来自于小贱贱对不能融入复联和X战警两大系列偏偏又要硬融的疯狂吐槽。通过将老东家（20世纪福克斯）和新东家（迪士尼）拉踩到地心，漫威终于掀开了自己的棺材板。小贱贱不是在拯救亲友，而是在拯救漫威。
夏日将至,2024-07-24 09:29:05,日本,5星,2130,情怀加一星。一首献给漫改领域失败者的挽歌，漫威给与了20世纪福克斯最大的尊重和敬意。
伯简,2024-07-26 03:42:16,重庆,3星,211,给人一种大清修明史的美感。
ElioElioElio,2024-07-25 10:23:38,英国,4星,940,看完电影像走完了半壁欧美圈，激动的心在滚动字幕化成泪，Ryan戏里戏外真诚的发言，青涩的Hugh和X全员，电影落幕是Fox给老观众的最后礼物和告别。很高兴重新见到老朋友啊，艾丽卡刀锋童年时期的漫威宇宙，查老板终于玩上牌，老埃文斯是最惊喜最爱的回归了，当年因为F4爱上HumanTorch和Chris，真没想到卸下盾后还能再见，短发胡茬结实又好看的身材和新制服，本来都在惋惜草率死了没想到Jonny你嘴真脏啊。X23又把我带回7年前大哭的首映，看着老狼寂寞离场。结局他俩抱着狗狗对视救活了我。剧情来说没有亮点第三幕更是平庸无聊至极，但能咋办呢，从零六年一部部看过来的很难不买单。I wait a long time for this teamup，you are the best wolverine！
LEのn个晴天,2024-07-26 03:09:38,北京,4星,826,我知道他们又是在黔驴技穷地大卖情怀，但当看到片尾第一个彩蛋Xmen大合集的时候我的内心还是哇哇大哭了。戴面具的金刚狼休叔太帅了！！！！！！冲出公交车后玻璃那个镜头给我帅飞了！休叔真的yyds这部更是登峰造极 He's always the best and one and only wolverine.桃总真是我靠卧了大个槽了竟然能在一部片子里又是美队又是神奇4侠的霹雳火？！漫威这帮鸟人也玩儿太嗨了吧？！！
O莙,2024-07-24 17:34:02,中国香港,3星,230,#B+ Cinema MOKO IMAX｜什么叫惊喜过后尽皆虚无，两个小时的情怀爆炸高潮过后像贤者时间一样坐在戏院门口出神，虚伪地向R级妥协却依旧跳不出主题乐园怪圈，因此看上去表面是福斯的体面葬礼，但其实MCU已彻底一眼望到尽头，如果这也算影响宇宙未来走向的重中之重，那这下就是真Jesus来也拯救不了Marvel了
其实我是衣柜,2024-07-26 17:25:27,中国澳门,3星,198,原来粉丝向就是大杂烩，拍的真的太糊弄了，迪斯尼真没资格说福克斯时代的漫威IP拍的烂
山人阿苍苍,2024-07-28 14:44:02,北京,4星,420,都能在电影院里看男男车震戏了还要啥自行车
白山墨人,2024-07-24 13:11:30,中国香港,5星,1491,不劇透沒法寫影評啊！200%粉絲向電影，過去30年所有跟漫威電影有關的梗的人物幾乎都出現了，最大的三個驚喜連我這死忠粉也只猜中一個，憑這就要給十星！！
韦肃,2024-07-31 16:10:49,重庆,3星,148,在多元宇宙的设定下，所有英雄的牺牲和粉丝的感动都成了笑话。
誒嘿嘿教主,2024-07-24 14:33:52,中国香港,4星,407,到处在展现老子有无数ip版权的傲慢嘿嘿，不停地有之前电影画面或者元素出现，有一些淡淡的怀旧，粉丝向友好，有一位还是很让人惊喜的。肯定不是最好，放低预期，但也不是最差，开心就好。另外三级片镜头不知大陆上的时候会怎么处理，那些暴力镜头是风格上是很重要的元素。
不拉不拉,2024-07-24 14:05:25,中国香港,3星,139,剧情推不上去；强行打破第四堵墙可以叠加的打斗场面就有点无聊了，看血腥镜头看睡了，不过来香港看的未删减版的，嘿嘿
××,2024-07-24 10:19:09,日本,1星,777,没绿灯侠好看
下雪了没有,2024-07-24 12:35:34,北京,5星,1296,一场Fanboys的狂欢，首映场的掌声密集度远超《奇异博士2》和《蜘蛛侠:英雄无归》，有几处惊喜客串看的人差点从椅子上蹦起来（漫威保密工作还是nb），说真的死侍可以从头到尾吐槽一整部我都不会看腻的😂
有迹可循,2024-07-24 11:42:22,中国香港,2星,605,无聊到爆炸
朝碧海而暮苍梧,2024-07-26 02:31:25,广东,4星,190,没想到美队你是这样的霹雳火
逃出熔炉,2024-07-24 22:11:11,广东,1星,590,假装有棱角，假装有自我反思，但实际保守至极的空洞之作
亵渎电影,2024-07-29 23:12:11,河北,2星,240,太聒噪了，毫无新意的彩蛋电影，他们明知道对方可以再生，不明白他俩为什么反反复复不停地互捅；还有那群死侍，不明白他们为什么要出来；也不明白大反派悖论先生为什么愚蠢，我厌蠢。可能观众习惯了电影很水，没有内容？看看彩蛋就很开心？难怪老马说漫威电影是游乐场。
AC,2024-07-27 19:03:46,广东,4星,195,不明白家长带小孩看死侍是什么心态，小孩能看懂这些成人幽默？能看懂这些梗？一直在十万个为什么，哇哇叫，真的很影响观影体验。
影志,2024-07-28 16:27:24,湖南,2星,287,扭臀、跳舞，看腻了老一套的东西，毫无新意可言。杂糅各种客串，并没起到点睛作用，节奏拖沓，尿点满篇，正如死侍自己说的那句台词：又水又长。漫威电影已从神坛跌入屎滩。多1星给说给金刚狼的那句“演到90岁”
你的邻居,2024-07-27 16:51:08,四川,2星,239,别跟我说平行宇宙、彩蛋这一套，首先他得是一部电影啊…都这么拍电影就没电影了 像是看了两小时的抖音
Infante,2024-07-24 13:53:03,日本,5星,1169,比其他合家欢电影要诚意的多，情怀制作都给足了，这个ultra 4dx厅喷水喷死我了，连狼叔吐唾沫都能给喷一下。狼叔嘴臭起来能给死侍喷破防哈哈哈哈我真的笑疯了，结尾很感动，当然我说的是幕后花絮剪在一起的那个结尾。
红酒与谋杀,2024-07-26 09:05:17,英国,3星,69,大银幕Dolby版。一部意图清晰、定位明朗、自知自嘲的shitty movie，承认主流超英大片的陋习与糟粕，以及作为游乐场所的实质。当然不必去强装cinema，正所谓物极必反，这片就是漫威大型主题乐园电影的尽头，几乎是一次对于在漫威多元宇宙经营模式下长期蓄积的工业废料和资源残渣的回收与加工，在这个意义上如此大搞特搞都显得异乎寻常地合理。比《蜘蛛侠：英雄无归》《奇异博士：疯狂多元宇宙》《蚁人与黄蜂女》等那些还处于深度昏迷的作品要好。
晚不安,2024-07-27 21:08:24,北京,2星,198,当《金刚狼3》以西部片的荣光帮这个悲情角色完成了妥帖的退场，死侍又偏要以一种消解崇高的方式来娱乐大众，为此不惜把前者那种深切的痛苦与挣扎，降格为无关痛痒的好莱坞公式。无论他多少次打破第四面墙代替观众吐槽迪士尼的商业行径，也无法抹除这部畸形大杂烩对我造成的精神伤害：存在于遥远的观影记忆中的神圣时间线被不断篡改，而两具不死之身互插的动作场面也显然无法带来任何痛感与刺激。这部电影的存在只是再一次证明，超英世界里愈演愈烈的多元宇宙概念已经彻底黔驴技穷，情怀沦为一种太过廉价的消费，内部梗的泛滥不断加剧着粉丝文化的自嗨与固化。
