用户名,评论时间,IP属地,评论分数,有用数量,短评内容
大隐隐于世,2024-10-23 09:17:18,安徽,3星,2348,美国的电影，中国首映，美国后映。司马昭之心路人皆知毒液！
皮皮鸦,2024-10-23 14:46:15,四川,3星,1080,3.1 一如既往乏味 宏观背景下的基情公路片 仅有最后大战吸睛 各种超能力的共生体确实蛮酷 比第二部好 就还算有点良心 每次都蹭蹭MCU 又不真干 索尼太痿了
朝暮雪,2024-10-23 13:10:44,四川,2星,1615,第二部片尾彩蛋毒液穿越到了漫威宇宙，电视上出现了蜘蛛侠的新闻，随后《蜘蛛侠：英雄无归》片尾彩蛋又出现了毒液，做了那么多铺垫，结果《毒液3》和蜘蛛侠没有丝毫关系，简直就是电影诈骗。你别跟我说这部电影叫《毒液》，也别说索尼从来没说过这部电影会出现蜘蛛侠，那你为什么要拍那么多彩蛋？既然你不能让毒液、蜘蛛侠同框，就不要拍那么多蜘蛛侠的彩蛋，不要做那么多铺垫，让人产生期待，又让人失望，最后还可以反驳我：我从来没说过会出现蜘蛛侠。典型的又当又立。如果前几部电影没有任何蜘蛛侠的暗示，没有让我产生不切实际的期待，或许我不会像现在这么失望。
锁钥,2024-10-23 07:07:55,辽宁,3星,700,不如隔壁小丑
玄戈,2024-10-23 18:41:14,上海,3星,646,就一般 只能说他好爱他
小烨,2024-10-23 12:43:32,北京,4星,2125,现在少于2小时且能把故事讲好的电影属于功德无量了，这一部毒液就是。配乐满分，最后的战斗场面燃起来还有一份悲壮感，毒液比第一部更可爱了。各种各样不同颜色的共生体聚在一起，开发了一种新的怪物艺术。以及，这是目前为止今年最感人的真人爱情片。真爱可以跨越阶级、跨越星球、跨越时空，直至死亡将我们分开。
朝阳区妻夫木聪,2024-10-24 23:35:34,北京,3星,601,集齐赤橙黄绿青蓝紫彩虹毒液就可以打败宇宙邪兽，看来拯救地球还是得靠通讯录们。
🐴的绝了,2024-10-25 20:05:35,重庆,3星,456,编剧写剧情没大纲，战力系统是没有的，顺便诅咒所有不保持身材的老白楠下辈子投胎成东亚女服一辈子美役
忏鸟,2024-10-23 10:41:47,四川,3星,216,第二部就烂出天际（连彩蛋都无效），这部系列收官作没抱什么期待观感竟意外还行，公路逃亡+基友日常+共生体大混战，剧作依旧潦草，只能从视听层面找补，水陆空动作场面管够，笑点丰富，女导演在情感浓度的把控上也更加细腻，合格且套路的商业电影，但总体而言仍是平庸失败的三部曲，除了卖cp没野心也没成就，索尼的规划真的一坨。
大兜哥,2024-10-23 08:51:46,四川,5星,1389,就这特效就值五星了
变形的文科生,2024-10-23 17:52:52,北京,4星,1622,OMG，最后告别那段我看哭了，最后白头发胖版汤老师走在街头回忆自己跟毒液的过往人生，曾经鲜明的下颚线和线条流畅的脖子，少年感的笑容和颜值，“地球最性感的男人”，神奇的相遇，鸡飞狗跳又其乐无穷的相处……我仿佛看到了现在的自己，人生就是这样，是一个不断失去的过程，快乐都是短暂的，失落是持续的，每个人/物都只能陪你走一段路，巨感伤啊尼玛T^T （女导演贼棒，流畅自如的风格，完全不露怯，为女导演点赞👍
一个美女,2024-10-23 18:30:42,北京,3星,569,好舍不得毒液他这么可爱这么善良！！为什么总有坏蛋想把毒液和埃迪分开！！！剧情一般，但是毒液各种形态和共生体并肩作战还是有看点的
女神的秋裤,2024-10-23 19:02:14,山东,3星,147,比第二部强，比第一部差。第二个彩蛋需要等剩下的13分钟字幕全走完。槽点很多，比如剧情简陋，属于失脑人来疯，全宇宙生死攸关还说来就来，非得跳舞；反派出现就调黑滤镜，压着嗓门放狠话；世界观约等于0；异噬体都能穿越宇宙了，结果是睁眼瞎；2024年了，51区大兵还在biubiubiu外星人…让人满意的是怪兽够多，战斗力强，够有压迫感，还有各种毒液变体以及奇形怪状的共生体。喜欢怪兽和毒液的话大饱眼福。全靠略悲壮的结尾callback加分。
黄裳裳裳裳,2024-10-23 20:41:35,四川,3星,118,这个大BOSS真的不是阿尔萨斯吗
谢谢你们的鱼,2024-10-24 00:31:16,北京,3星,662,比想象中好，是三部曲观感最好的一部。虽然叙事混乱、新角色塑造奇怪、剪辑疯癫、情节胡闹，但是一旦丢掉脑子，倒也是可以体会到一些奇特的乐趣以及导演的巧思。经历了第一部的拖沓冗长和第二部的不知所云，第三部好歹有点情节上的设计了，某种程度上是一个异种追杀版的《终结者》，“去纽约”的设计挺浪漫，第三幕的高潮戏算得上是三部曲最佳场面了。还有，复联送走了灭霸，毒液请回来一个像是从《魔兽世界》里面走出来的大Boss，也真是没完没了了。
开启学霸模式,2024-10-23 09:02:20,北京,4星,1292,回归到第一部的节奏，作为爆米花动作电影OK。
沈精病,2024-10-23 14:05:17,浙江,1星,1184,人类一家你侬我侬，毒液一家死伤惨重。虽然前两部也不讲逻辑，但这部更是闭眼瞎拍，故事直接从马丁一家出现开始拍也完全讲得通。前两部的共生体在这里一起上都打不过一支大蜥蜴，毒液最后开大就把一群蜥蜴给控住了，还有大boss整场就cos阿尔萨斯坐在位置上看监控是吧。
修魚氏SellFish,2024-10-24 19:35:12,广东,4星,694,两个女毒液太帅了
周日乔治在公园,2024-10-26 18:11:36,湖北,3星,59,#汤姆哈迪你为什么不保养 #老白男耽误我嗑cp毒液3——年度最浪漫男同电影（确信）纵使全世界都在追杀我们，我们也要在死前度一场末路狂花式蜜月，唱着皇后乐队和大卫鲍伊实现彼此的遗愿清单。我让你当次扒飞机的汤姆克鲁斯，你让我成为拉斯维加斯的dancing queen，只有死亡能将我们分开❤️你死后外界不许我再提起这段回忆，但自由女神像在我们心里永远美丽😭So fucking romantic！
午后去新宿吧,2024-11-01 21:58:08,江苏,4星,311,将军觉得杀了艾迪就可以解决所有问题，我看的时候也觉得这是最优解，结果吞噬体来的时候没有一个共生体想着把艾迪杀了，反而是前赴后继地去对付自己根本对付不了的生物，非常团结。看到这里的时候心情很复杂。
豚豚,2024-10-23 09:52:30,山东,1星,853,在看，有点看不下去，在电影院里如坐针毡。看完了，片尾共两个彩蛋，字幕全部出完还有一个，别着急走，但是看完仍然觉得难看🤦‍♀️
Kero小漪子,2024-10-25 20:28:18,澳大利亚,4星,436,我把毒液系列当爱情片来看的 真的很不错
口卡一只花儿,2024-10-23 07:58:04,北京,5星,992,昨天看的首映，好！好！看！！毒液太疼“老婆”了，英勇赴死的时候都不忘关心埃迪的安危，这是什么样的be“爱情”啊！！！嗑生嗑死！！！除了这一点电影里有很多致敬的场景，感觉能挖掘的彩蛋有很多。最后大战真的很让人肾上腺素飙升，又心疼又爽的，很惊喜的一部啦，比第二部强！！！
