用户名,评论时间,IP属地,评论分数,有用数量,短评内容
影志,2006-02-04 06:19:25,,5星,15871,“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。3D效果言过其实；被删裸戏无察觉；IMAX看清冰山全貌；Rose美的神魂颠倒，Jack帅的令人窒息；甲板上Jack对Rose说:I see you. 看过不下10遍，能记住每个情节、台词、人物及配乐，该哭地方还是会哭；3碟正版VCD能记住两次换碟的准确时刻；初二看完后自己经常在水盆里用水瓢演习沉船全过程…
个篱,2006-11-16 15:23:40,,5星,16345,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
Doublebitch,2008-11-24 22:15:43,,5星,9213,将永远是我在电影院所看过次数最多、最感动、也是最好的电影
孔雀鱼,2016-12-02 12:36:33,,5星,6431,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。
桃溪春野,2022-08-27 23:06:40,河南,5星,4827,我学会了吐口水，我努力的活下来了，我去了好多你说过的地方，我学会了双腿张开骑马，我生了好多孩子，我已经活到一百岁了，我可以见到你了吗？
高歌,2008-08-02 01:45:37,,5星,7231,生死两茫茫不思量自难忘
琦殿,2011-08-26 16:50:18,,5星,4593,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。
宋阿慕,2008-02-20 11:41:14,,5星,5348,一部应该被记住的电影.
白日梦小姐,2007-12-19 09:05:36,,5星,4812,我想失去的才是永恒的。
andarta,2008-05-31 07:37:04,,5星,4319,事隔那麼多年依然無法忘記當初的感動。
小耳朵图吗,2006-08-21 21:25:29,,5星,4603,还用说么？太经典了。
酒鬼一家小迷妹,2018-01-14 12:32:13,,5星,2579,Rose可以为爱而死，最后在Jack的舍命相救及恳求下，选择了为爱而活，而被留下的那个人是痛苦的。到老奶奶的Rose站在船边上，把海洋之星扔回海中时，我想那是它最好的归宿了。灾难面前，有的人把生存的机会留给了别人，而有的人花钱占用了别人的机会。
新村萌香,2010-05-08 23:02:14,,3星,1032,剧本居然收入人民教育出版社教材，可想而知对我国的巨大影响力。
朋克布莱克,2011-07-11 17:36:24,,5星,2290,第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...
