用户名,评论时间,IP属地,评论分数,有用数量,短评内容
mr.left,2024-06-05 23:53:33,北京,3星,4661,片名不用英文直译是因为“年轻女性”上不了台面吗？
Xaviera,2024-06-01 01:34:20,北京,4星,3879,原型带来的感动大于电影技法，胜在工整到位。感动的都是细节，比如就算第一次横渡失败奥运会没拿到金牌，但那份挑战精神依然鼓舞了下一代小女孩。看似是一个人在游，但实际上是肩负着万千女性的希望在游；比如各家各户的女性一个接一个开灯守在录音机旁听结果，第一次横渡失败时，一个个被关灯的也是她们，如此前后对比确实是很工整的对仗技巧，但看着就是很感动。游泳场面拍得很美且不是男凝式的运镜，尤其喜欢Trudy浮在海里休息的场面。每一个女性角色都很耀眼，顺应时代却善用巧思对抗的妈妈，无法违抗命运但一如既往支持着妹妹的姐姐，严苛但爱才惜才的先驱教练，不需要互相迫害，也不需要减肥增肌，踏踏实实就足够动人。
arrcmis,2024-05-31 08:22:03,北京,4星,2121,看完点映热泪盈眶，这次是真的女性题材了！一个勇于反抗世俗的女性运动员，用实力撼动了整个世界！女主所面对的世界里，留给女性的道路太少太少了，就算去了奥运会，教练也会使绊子，不让她们训练！而且男教练还在女主挑战跨越海峡的时候，给她下了晕船药……他们害怕了，在强大的实力面前，他们只能使出混招了……女主在海里迷失的时候，真的好揪心，幸亏大家点燃了火把，让她找到了方向！真的是给了所有女性很大的鼓励……看来迪士尼是会拍女性题材的，以后多拍点吧！
图灵的苹果,2024-06-04 13:41:36,四川,5星,11435,建议译为老娘与海
夏之轻寒,2024-06-12 22:28:31,上海,4星,1203,"女主本人自不必说，她的母亲真是可圈可点的一个tough girl。从丈夫问她：What about dinner?（意思谁来做饭？）母亲轻快甜美地回答：“I'm not hungry, thank you.”。坐在报社等消息的时候冷脸告诉年轻小伙子：收起你的笑容，真正的挑战刚刚才来到（大意）。相对于要么唯唯诺诺的传统烧饭婆母亲，要么颐指气使的没礼貌所谓“大女主”，这种外软内韧，不卑不亢的人格真是太迷人啦~"
20个小明≯,2024-05-26 21:55:06,北京,4星,936,迪士尼拍这种类型完全是手拿把掐+信手拈来，工整匠气但是却总能打动我，有泪点有燃点，观感跟同门的《一代骄马》很相似。摄影机从岸上进入水底的设计相当惊艳！本片可谓生正逢时，紧扣女性觉醒议题，点到为止没有喧宾夺主。女主真的是迪士尼亲闺女，资源好到炸，黛西都三十多了演19岁少女丝毫不违和，而且人家身兼制片人，已然成为资本掌握话语权…
施拉姆,2024-06-06 22:48:29,北京,5星,5737,本来哭得稀里哗啦，看到女主爹冲出来说什么这是我女儿我教的她游泳，我的眼睛在满是眼泪的百忙之中还翻了个白眼🙄
毛利小二郎,2024-07-13 23:39:05,广东,5星,5045,就实话实说了吧，男人实在是女性成长路上的搅屎棍
Squirrel:),2024-05-26 16:21:55,浙江,5星,5278,教练、母亲、姐姐、特鲁迪、悬崖上燃起篝火的她们，每一个女性角色都如此鲜活坚韧，这无疑是今年最好的女性主义电影。
sleepy Mia,2024-05-26 16:23:45,广东,5星,5103,因为情感过于强烈导致我无法客观评价这个电影好或者不好，但她好像英吉利海峡上燃起的微光，一直照到一百年后的今天。
去短毛象,2024-06-02 03:22:54,美国,4星,733,天才片名，不如直接译成《女人与海》。狂哭，要看更多女性运动并重新开始游泳。
