用户名,评论时间,IP属地,评论分数,有用数量,短评内容
西楼尘,2015-06-23 22:22:35,,5星,8033,国家走了一小段弯路，对于一代人就是蹉跎了一辈子。生活不易，还是得这么活着。笑中带泪，死人堆里暗暗许下活着的誓约，可谁也不曾想大环境下生活的艰辛。国师在第五代导演最好的时期奉献了极其有温度的作品。经年以后，鹤发的富贵摇着蒲扇回想那天不让有庆上学，少买几个馒头就好了，可生活不曾回头。
Lan~die,2009-01-25 17:28:31,,5星,4815,活着就是受罪 活着就是劳累 活着就是互相折磨 活着就是不对 活着就是受罪 活着就是劳累 活着还得互相安慰 活着就会憔悴 活着就是受罪 活着就是劳累 活着就得拼命挣扎 活着就得干脆——尹吾 你笑着流出了泪
艾小柯,2006-06-16 01:33:13,,5星,6976,个人认为是张义谋最好的电影。
momo,2016-10-23 09:48:39,,5星,4729,演员选得很好，巩俐演啥像啥。但整体没有小说感人，可能小说太残酷了吧。兴，百姓苦；亡，百姓苦。活到最后的人，往往最痛苦。
沉歌,2014-03-24 17:13:09,,4星,4385,长太息以掩涕兮，哀民生之多艰
狷介有乌青,2011-11-27 00:04:27,,5星,3531,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。
巴喆,2012-06-28 12:41:16,,5星,3646,（短评已多次被删）
影志,2005-07-22 01:47:20,,5星,2271,活着就是一切！戛纳评委会大奖，老谋子最好的电影。
小耳朵图吗,2008-09-02 23:13:25,,5星,1827,改编自余华的小说【活着】。很好看。书和电影都好看。活着的人比死了的人还痛苦。我觉得是的。
kk,2018-10-02 23:18:26,,5星,947,有庆死的时候，福贵在有庆的尸体前大喊“爹来了，有庆叫爹啊有庆”，家珍被人群拦着，拼命地想看看有庆最后一眼，哭着喊着“让我看看，有庆，让我看看”，然后她看着被血染红的白布盖着他的有庆，从她面前走过。我想起小说里那天晚上，福贵背着死掉的有庆往回走，深夜里他坐在村西的田埂上，一遍遍的看着他的儿子最后在天亮前，悄悄地埋掉了他，他怕死掉的有庆带走重病的家珍。后来家珍让福贵背着她往村西走，家珍说“我夜夜听着你从村西走过来，我就知道有庆死了”，夜晚他们站在村口，“有庆再也不会在这条路上跑来了”，那条路，那条有月光撒下来的路像是撒满了盐。小说里重病的家珍没看到有庆最后一眼，也没看到凤霞最后一眼，电影好在让妈妈再痛苦也最后一刻陪着孩子。电影的福贵没那么悲惨，最后他的家珍还在，二喜还在，馒头也还在，真好。
余小岛,2013-04-28 18:18:47,,4星,1943,活着就是他妈遭罪，可死了又不甘心。
柠檬海盐,2017-05-02 19:52:29,,4星,1457,历史背景太严肃 总觉得下一秒就会是悲剧 一路想着这么看完 反倒有点释然
王喝冰,2020-12-21 14:39:41,,5星,1240,说真的，任何一个国家把这样一部伟大的电影禁掉都是这个国家的耻辱。
匹诺曹,2008-08-06 10:55:41,,3星,1911,没有原著好看啊
shu,2008-01-13 09:39:00,,5星,1167,从一开始不可能让人哭，我就哭得一塌糊涂，因为这部片，又不全是。
朝暮雪,2012-08-07 16:04:10,,4星,530,如果你觉得自己很惨，那就去看看《活着》。
