用户名,评论时间,IP属地,评论分数,有用数量,短评内容
隆咚锵,2007-02-26 00:54:43,,5星,17556,某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园
Zuschauerin,2007-03-12 18:11:47,,4星,19557,我总觉得这是一个真实的故事，因为他的懦弱，懦弱得真实。
boliang,2006-07-17 13:16:54,,3星,2316,给大众看的艺术家电影，很多煽情与细述很不必要，但是很多人喜欢
杜边生,2007-11-17 03:00:33,,5星,10610,如果我把吉他练熟了，就可以不用买打火机啦
杜扬Seatory,2006-10-20 22:58:33,,5星,8191,每个人的心里都有自己的一艘船 一个近乎偏执的小归宿 只是因为它让我们感到实实在在的安全 不致无枝可依。
朝暮雪,2012-08-07 15:43:51,,4星,6048,生于汽笛哀鸣的烟雾，葬于钢铁悲歌的烈焰，弗吉尼亚号邮轮见证了一个从未被尘世记录的名字。第一次放弃下船，他在舷梯中央折断追梦的脚步，任咸涩海风卷走唾手可得的财富与盛名。第二次放弃下船，他拒绝命运的赦免，让灼热火焰吞噬血肉之躯。当世人把音乐锻造成竞技场的刀剑，琴键间翻涌的浪涛早已淹没世俗的评判标准；当投机者企图将他的才华锻造成金币，他宁愿折断音符也不让音乐沦为欲望的囚徒。在无限延伸的钢铁森林里，他选择固守有限的琴键——唯有在方寸之间，才能弹奏出真正的永恒。当邮轮化作废墟沉入海底，他终于拥抱了永恒的宁静。生于海，葬于海，他用八十八个琴键丈量出生命的辽阔。人可以离开甲板，却永远走不出心中的汪洋。在那片蔚蓝深处，有钢琴在歌唱，有月光在流淌，还有未曾拆封的情书在时光里轻轻摇晃......
石头星,2017-02-08 17:43:50,,4星,1690,尤记得男主在船舱里弹琴，望着甲板上的姑娘，画面、音乐、意境如梦如幻，还有斗琴那一段。但是明明进一步就可以海阔天空，非要退一步万劫不复，孤独着自闭着，害怕离开旧时的生活，无论如何不支持这样的选择。
寂地,2006-01-03 16:34:09,,5星,5457,又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．
事儿妈,2016-09-19 15:42:54,,4星,971,对于一个父母不详的孤儿来说，汪洋大海之中只有那艘船是他唯一的依靠，这艘大船已经不仅仅是他能证明自己价值的舞台，更是他的整个世界。离开了大海和大船，他的整个世界便立即崩塌，这便是他完全走不出那艘大船的原因。
幕天席地,2017-03-17 08:52:27,,5星,4035,键盘有始有终，你确切知道 88 个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！
明珠一颗孙小美,2005-09-01 22:36:02,,5星,5456,最喜欢的电影，喜欢，不是之一，而是唯一
托尼·王大拿,2014-04-17 12:26:41,,4星,513,托纳多雷拍了那么多电影归根结底其实只是一部电影：时过境迁，物是人非，回忆永存，往昔不再。是一段传奇，但也只是一段从未踏上真正土地的传奇，显得没有根基；镜头运动棒得就像手指抚过琴键流淌出的美妙音乐，不过这片子的成功大半还得记到莫里康尼账上。
眠去,2008-12-19 19:10:57,,5星,4494,我就爱他说，fuck the regulations!!
诸葛若见,2011-12-18 16:31:54,,5星,3479,每天睁眼，去面对这个世界都需要勇气。
岁月如歌,2015-09-25 18:25:49,,5星,3392,当一个人习惯了孤独，那么让他融入人群等于杀死他
内陆飞鱼,2012-08-28 20:14:42,,5星,2431,1998年有两部关于大船的片子，一部以全球票房大热胜出，一部以文艺情怀成为经典，我喜欢后者。
欢乐分裂,2019-11-15 14:21:42,,4星,209,#重看# 4.5；依旧被无敌配乐和质感光晕煽得泪意充盈，tornatore的煽情功力和过于冗余的抒怀一样著名。完全以浪漫写意的方式讲述这块流动空间自20世纪初到二战后的神奇经历，1900是这个“倒霉世纪”的开端，生命中最美好的时光就是一战到二战之间短暂的黄金时间——衣香鬓影的派对狂欢，大爵士乐队呈现的荣光盛世，与Max结尾目睹的昔日锦簇成废墟（“原来是姹紫嫣红开遍，似这般都付与断井颓垣。”）、取回小号消匿在昏黄纽约街道的身影成对比；Max作为见证者和叙述者，旁观角度+多年后闪回的“隔空”转述再添传奇色彩。不愿踏足陆地不仅因为边际无尽，更在于1900正是good old days告罄的标识，锈斑大船和“不存在的人”消失于大海，旧时代结束，第一个喊出“America！”之人的新时代马上来临了。斗琴段落视听精彩，人戏合一。
夏小暖,2015-02-24 17:11:05,,5星,2212,很多年前看的时候怎么都不懂1900为什么不下船，今天下午重新再看了一遍，居然特别感同身受。其实，我也从来没有下过船。
愿赌服输,2018-02-03 14:58:19,,4星,481,男主弹钢琴技术和配乐简直可以称得上完美，对于我这种手控来说，福利啊！原来真的有人会一直坚持自己的意志，佩服，再说一遍，里面的配乐真的太美了
大宸,2007-11-08 17:51:25,,2星,1105,也就音乐还算可以，Tim Roth太猥琐，不适合演这种文绉绉的角色
巴伐利亞酒神,2019-11-15 22:21:03,,4星,286,15年后再看，三星变四星。并非人老了容易感伤，也并非大银幕委实过瘾，而是这一次，真正感受到一种关于“终极自由”的探寻。1900并非厌倦俗世，他成长经历太特殊了，因此塑造了一种独特的思维模式。他只能活在“有限创造无限”中，而不能遵循一切未知的生活，这让他恐惧。哪怕一辈子不下船，住在像监狱一样的舱室，但他的心灵却是无限的，这就是自由。相反，船员们会不顾一切地冲向陆地，在妓女和酒精中寻求身体上的自由，但内心真的就是自由的吗？
高压电,2012-10-03 02:42:18,,3星,1977,最长的一版完全是顺着煽情的每一个Ｇ点往下走的，坏处就是高潮多了人也会厌的。另外从小就好奇男二的眼睛为什么会小范围打转。
小波福娃,2007-10-29 18:18:06,,未评分,473,令人感动的宅男，让我想起了树上的男爵
白日梦小姐,2007-12-19 17:26:48,,5星,2207,我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。
囧囧有神晨小咩,2014-07-10 23:20:17,,5星,604,最爱的两幕：那个风雨交加的夜晚，他们坐在钢琴椅上，和大海跳着华尔兹；还有那天他看着窗外停留的姑娘，写下那首无名曲。手机还里保存了Magic Waltz那段视频。这不是一个悲剧，因为大海是他的归宿。
亵渎电影,2019-11-20 01:51:27,,4星,179,还是第一次看这个125分钟的版本，剪辑上和印象中不太一样，用麦克斯最后那条在弃船上寻找1900的故事线串联整个回忆，把1900一生的几个部分分开呈现，感觉并不如长版直接展开1900的故事那样叙事上不着痕迹，但依旧是一个完整的故事。最后片尾字幕的时候在等那首Lost boy calling，结果在这个院线版里这首歌并没有。真希望国内以后可以多上一些这样的经典老电影，比那些乱七八糟的新片靠谱多了！
乌鸦,2021-05-03 11:33:32,,4星,249,有亿点点矫情。在艺术家的世界里，我认为最浪漫主义的，还是有一个会偷偷藏起你毁掉的唱片、你要下船时送你自己最时髦大衣、永远知道去哪里找你不会放弃你的胖子。
Ocap,2014-04-30 21:39:16,,5星,557,感动，不再得以用流泪表达。当他在死神面前，临空奏下一曲时，我会心一笑。伟大的人，在这世间何以存在？逃脱名誉与金钱包笼的唯一渠道，非是离去不可。众生念想与膜拜，都不会在其心上，他一个人自得其乐、以自己的思想为信仰，无论生死，都将自己紧紧捆绑在88个琴键之间。
赫恩曼尼,2012-06-29 15:20:55,,5星,415,我们习惯了陆地、喧嚣、身份认定和稳定的城市居所，“所有那些城市，你就是无法看见尽头。尽头？拜托！拜托你给我看它的尽头在哪？当时，站在舷梯向外看还好。我那时穿着大衣，感觉也很棒，觉得自己前途无量，然后我就要下船去。放心！完全没问题！可是，阻止了我的脚步的，并不是我所看见的东西，而是
匡轶歌,2006-10-19 00:49:13,,5星,270,13年来刷过不知n多遍，今天首度在大银幕上重温。只有这部电影，真真正正讲述了一个“我不愿去”的故事——“有我所不乐意的在天堂里，我不愿去；有我所不乐意的在地狱里，我不愿去；有我所不乐意的在你们将来的黄金世界里，我不愿去”。一个人或许可以选择“下船”，但他永远无法离开他的“大海”。就像你永远听不见呼号在你血液里的海浪声。
多看电影爱电影,2017-03-17 08:26:39,,4星,354,1900的人生就像一面镜子，极端地反映出现代人心理中最黑暗、最隐私的那一部分消极思想情绪。
九尾黑猫,2008-03-19 00:34:26,,2星,1643,不喜欢，没共鸣。
ZZS,2009-04-06 11:50:53,,2星,402,不伦不类
Ridden,2007-08-27 18:48:03,,5星,613,1900，不特别的特别存在着。
