用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Carpe Diem,2024-11-28 04:43:50,法国,4星,813,迪士尼只要一直拍这种讲自由、勇敢、爱、世界大和谐的电影，我就会一直看下去。。。。
momo（摸鱼版,2024-11-29 22:51:48,广东,4星,281,同一个影院8年后一个人看的续集，当年坐身边的朋友现已甚少联系。影院商场8年前犹如烂尾楼，今年重新装修后在商场迷路。8年前看第一部的时候，外公确诊癌症，在电影院哭得像个傻子。今年奶奶刚离世，在电影院同样地默默掉眼泪。8年里改变的东西可真多，但迪士尼还是能给我一样的快乐和感动。
血腥的小玛丽,2024-11-29 12:44:50,加拿大,5星,546,就是无脑喜欢勇敢强壮聪明的小女孩外出冒险的故事！不需要变装和华服，不需要王子拯救，不需要情情爱爱的故事线，只要充满力量的奔跑、攀爬、升级就可以了。这才是我希望女儿看的动画片。
RADON.,2024-11-30 22:21:08,安徽,4星,228,但是我真的很吃这种“忠诚、勇气和团结是人类最大的美德”的故事………人类本来就应该是这样的 这样勇敢这样赤诚
朝暮雪,2024-11-29 19:04:12,四川,3星,471,完了，莫阿娜不能考公了，毛伊不能当兵了。
向蒂葵,2024-11-29 16:35:01,江苏,3星,262,给毛伊戏份少点会死啊….观众到底想看谁不清楚吗。不过唱歌真的好好听，看样子还有第三部…求蝙蝠女（忘记名字）多唱一点！戏份多一点啊！莫安娜还是好强😭😭👉👈一个高能量又不折不挠的女人。
Hachiko,2024-11-29 11:57:11,四川,3星,206,哈哈哈，反派最后露脸，结果是盆栽哥。
NarvikAustin,2024-11-27 13:52:46,美国,2星,274,非常典型的当代迪士尼经典：敷衍的续作，潦草的剧情，扁平的人物。依然不妨碍票房大卖，玩具畅销，音乐登榜。这不是一个比烂的电影市场，这就是一个烂的电影市场。
愚乐,2024-11-29 13:05:20,广东,3星,184,16年生日我去看了第一部，七年后也来凑个热闹。这片4D是个不错的选择，一个多小时强风吹拂的海盗船冲浪体验。因为除了越来越精致的画面场景，剧情和歌曲还不如第一部，像是女主简化版的降世神通+阿凡达海之道+少年派的迪士尼偷懒公式。最大问题在于第二部明显为了铺垫第三部，但本身却没有讲好一个过度的故事，新队友们几乎只有耍宝功能，歌曲的叙事性太差衔接不了感情。不过带小女孩去看还是支持的，毕竟老登电影们陈腔滥调了这么多年，大女主天选之人拍多几部又怎么了。
光吞®,2024-11-29 16:23:19,重庆,3星,136,有一点无聊，这种乏味感甚至沾染到了那几首可有可无的歌曲上，想要做大格局没问题，但剧本未免太单薄了。以及拼命塞资源咖在续作中的风气是如何蔓延到动画里的，新人物中除了椰子有一定串联剧情的道理外，其余三个人起到的作用是？
银,2024-11-27 15:20:00,美国,4星,183,完全忘了第一部剧情了，但是其实一点也不影响看第二部，真的很炫酷一定要看3D的。最喜欢的是里面那个coconut太cool了哈哈哈哈哈哈哈☺️而且我觉得其实他的立意还挺深刻的，隔绝就会导致文明的消亡，这是自古以来颠扑不破的真理，尤其是在当下我们这个新型意识形态冲突的社会。最后那一幕发现了其他人类的存在，真的很感动。plus音乐确实没有很好听，除了rap那段和蝙蝠女唱的。
同志亦凡人中文站,2024-11-28 17:51:00,美国,2星,200,故事越发低龄化，连个像样的反派都没有了，里面的毛利语我居然听懂了几句。建议迪士尼加个片头：本片仅适合学龄前儿童观看...
藏雾,2024-11-30 18:48:44,北京,5星,136,打低分的活得也太沉重了吧～
