用户名,评论时间,IP属地,评论分数,有用数量,短评内容
弹簧叨叨,2024-12-21 08:19:33,北京,3星,1251,真的没人觉着刀疤挺惨的吗 救了木法沙三次命 莫名其妙恋爱脑黑化 真的没人磕吗 我觉着你不是喜欢母狮子吧 你是喜欢木法沙吧 你麻你不敢救 暗恋对象不敢救 救了木法沙一次又一次甚至还未他挡刀 我天哪 你爱的是谁啊 本来是一路宠爱到大的小王子 长大了之后爹妈死了 没人爱了 新来的朋友们都不喜欢自己 都莫名其妙的喜欢木法沙 这玩意搁谁谁不心态炸了
潘潘gemini,2024-12-20 16:58:48,四川,3星,1037,和母狮一起的木法沙学会了捕猎，闻气味，感受世界…和雄狮一起的塔卡学会了谎言。
Snnnnv,2024-12-20 19:59:13,安徽,5星,458,抢走了我的父母  抢走了我的老婆  抢走了我的国王  我恨你  木法沙
索拉西多,2024-12-22 17:59:54,湖南,3星,276,朋友们，整整两小时的动物世界，狮子愣是一口肉也没吃，看得我饥肠辘辘，请问这个生命要怎么循环？然后，兄弟相争、皇室正统、权力阴谋？不存在的！姑娘不喜欢我？迅速黑化！这个剧情我熟啊，是周生如故音乐剧。
FLYPIG,2024-12-20 02:38:46,浙江,2星,276,真的没人去迪斯尼楼下抗议不让他们再拍真人版动画片了吗 IMAX20
Hachiko,2024-12-20 16:56:17,四川,3星,248,虽技术已登峰造极，但远没有二十年前那么动人了。
泥泥姆,2024-12-20 02:04:13,阿联酋,4星,427,虽然逻辑有点难自洽， 比如，木法沙跟草食动物做朋友，那他吃啥？吃那些里面不会说话或者跟他不熟的动物吗🙂‍↔️，那岂不是这类动物低一等咯。但除此之外，迪士尼的片子总是节奏还比较紧，就算再烂也不会让你太无聊。。。。 另外看着狮子就觉得被帅到不知为啥，木法沙是个暖男，但真的跟taka好基。
南时Hannah,2024-12-21 20:36:06,天津,4星,320,原动画片中刀疤是一个纯粹的野心大反派，本片中将塔卡塑造成因各种原因造成心理扭曲的背叛者，他救木法沙是真心的，恨也是真的，很立体。
About Time,2024-12-20 02:59:32,陕西,3星,264,视效满分，美术绝佳，音乐仙品，但故事乏味到令人沮丧。
Anything Goes!,2024-12-20 19:52:36,福建,2星,131,木法沙的回忆本来就够无聊了，还总被丁满彭彭打断，这节奏太差了，话说下半年大银幕兄弟决裂的戏有些频繁，前面的《变形金刚起源》、上周的《猎人克莱文》、这周的木法沙和刀疤，已经审美疲劳了😓
Tear,2024-12-21 07:21:57,美国,3星,187,建议把片名改成《不是，哥们？》以提高本片抽象程度。进电影院前想过狮子王前传故事能有什么创新点，没想出来，原来编剧也没想出来啊哈哈哈那没事了。这种故事都能拉到投资来搞那么好看的画面那么绚丽的动效那么好听的歌，我怎么好意思说自己是废物呢（握拳）！LMM 味的歌曲还挺不错的，可惜本片当音乐剧来看台词太多，当电影来看唱歌太突兀。大猫引擎 purrrr：awww，大猫讲话：？？？，大猫唱歌：。。。最尬的唱段是大反派的《拜拜》，后来一看卡司笑死了对不起麦叔麦叔对不起歌不重要你还是最帅的！
Thè,2024-12-21 03:29:30,英国,2星,92,真的很无聊。很无聊。很无聊。为什么要看狮子版的无聊异性恋？
hankgao,2024-12-20 11:56:42,北京,5星,109,真是一次让人大开眼界的体验，近年来看过的佳作了，这5年迪士尼个人向最佳了
wswwsw,2024-12-20 20:16:04,上海,4星,218,本质来说，刀疤背叛是因为失去爱情一时上头+意外落崖被白狮群包围不滑跪肯定死，比较自私但还算可以理解，最后决战也可以说反正了。所以发展到第一部其实并不是爱情还是因为权力啊（天天琢磨这皇位本应是朕的），另，最后决战时候，咋不让木法沙鬃毛长出来呢，还有那只长颈鹿给我种强烈的它想梭哈一把当从龙功臣的感觉…
20个小明≯,2024-12-20 02:39:29,北京,3星,101,技术无敌，但内容陈旧，非常老套的兄弟因女人而反目……完全就是一部动画拟真动物音乐剧，改编舞台剧之心昭然若揭！要是能拿奥斯卡原歌也算圆了林聚聚大满贯之梦（不过感觉够呛）。迪士尼借角色吐槽自己版权狂魔的梗，有点地狱笑话；沙祖戏份很少，角色塑造也不太出彩，完全是只工具鸟，不过为了周深应该会再看一遍中配版，片中唱段全盘汉化，迪士尼依旧沿用了之前合作的老团队，歌曲演唱指导李潇潇是《冰雪奇缘》安娜的配唱，唱段部分质量应该有保证，明星配音就难说了…
桃桃林林,2024-12-21 18:39:09,广东,3星,64,剧情本身超级无聊，而且，技术真的成负担了，动画毕竟是一种区别。但完全真实起来之后，是一群看起来像真实动物，却有人的语言与情感的家伙，不是人，也不是动物，只能是妖怪了。
韩甜芋泥波波,2024-12-24 19:36:12,北京,3星,58,以琪拉雅有个弟弟当结尾简直是恐怖故事彭彭丁满的台词写得好现代，什么银行 音乐剧之类的好跳戏🥲
无糖草莓牛奶,2024-12-26 13:23:26,日本,3星,72,怎么在迪士尼的动物世界里也要拼男宝…
认真的泰罗,2024-12-21 16:03:23,江苏,5星,37,放心了，木法沙依然完美！塔卡是很可惜，但责任在他爹，他爹承平日久养尊处优把儿子养废了。主角团一路寻找新领地的过程中木法沙表现出了优秀的智力武力号召力以及勇气，自然而然赢得了沙拉碧的芳心和新领地动物们的敬服，而且来了新领地也就理所应当的不必死守旧领地的皇室血统。总之迪士尼的剧情编排还是挺合情合理的，网上拿“篡位”带节奏的还活在大清。
冉笛,2024-12-22 22:24:55,四川,4星,146,木法沙的故事是很套路化，可是如果以刀疤的视角切入，这个故事还是有点不一样。刀疤从小就比较胆小，甚至不敢救自己的母亲，他不是可以得到认可的男子汉。他唯一可以找到存在意义的只有木法沙，因为是他救了他。从某种意义来说，这个兄弟是他的唯一，——所以，他怎么可以爱上自己中意的姑娘呢；所以，他怎么可以抛弃他呢。在刀疤看来，木法沙的行为就是“背叛”。木法沙的背叛也让他失去了存在的意义，对刀疤来说，毁掉木法沙也是毁掉自己。——可是，他又怎么可以眼睁睁地看着木沙发丧命于敌人之手呢。或许，在他舍命相救的那刻，他才发现了心灵最深处的自己。最后的最后，木法沙拥有了世俗意义上的一切，而他只能决然地离去。被世俗放逐，流浪天涯，才是刀疤的宿命。
闲话说给谁来听,2024-12-23 00:02:43,天津,4星,124,Taka谁都不敢救但救了Mufasa3次还留有荣耀的刀疤
kylegun,2024-12-23 01:56:41,北京,5星,13,好吃懒做传统父辈教导用谎言维系权力很是重要；被亲人背叛驱逐或成为怨恨狮群或成为超然山魈；沟女心计不如斗气冤家雪山NTR刀疤诞生；既然都做到 circle of life 反自然规律的多物种集体社会了，那将无皇族血统的平民狮子推为封建皇帝又是何苦，民主共和不香吗？……歌比原版和翻拍都差了不少，汉尼拔白狮大叔那首《bye bye》可以进入迪士尼最差反派歌曲排名前三。但原创故事做得比上集一比一翻拍有诚意，老粉丝情结加一星。怀念永远的黑武士木法沙 James Earl Jones
Verloreneseelen,2024-12-21 07:30:56,美国,4星,61,太gay了我要看（20241220）看完了：辛巴儿子也太萌了 谁不喜欢看小狮子打滚！？可别把孩子嗓子喊哑了 听完爷爷故事带了个二胎回来笑死 亲兄弟拯救家庭 不会有外来兄弟抢你所有了（。公主爱上品学兼优穷车夫 正黄旗体育生遗憾离场 taka真就一直一种暗中观察默默受伤的状态 性格变得有点太快了 从好兄弟黑化就因为一场失恋 最后又立刻变奸臣 不过作为前传其实补全还挺完整的 有点不够看！其实也不完全埃及王子 本来以为同性恨篡位 人家木法沙直接new money新建王朝 本质上还是雄竞挚友又宿敌 taka最后还是又从水里捞了木法沙其实还是恨中有爱啊。。。。特效做得真不错 感觉真的有动物参演（）几首歌还都挺好听的 反派真的好爱伸懒腰装逼笑死我了 一路公路旅行死得还是有点草率了！
黎淑生气剥生蛋,2024-12-20 19:42:12,贵州,1星,195,刀疤一家真的……刀疤爹死了， 因为敌人会唱歌… 刀疤失恋了，因为情敌会唱歌……自己倒是会唱歌了，又把自己唱到了一路追杀的敌人前……
西楼尘,2024-12-20 16:57:28,江苏,2星,79,山魈可以用树枝指引方向，犀鸟可以用落雪掩盖脚印。象群不会跟狮子合作，但被迫躲避蜜蜂时可以变成肉盾。当秘密是想有个兄弟，便在赛跑时故意落后。当秘密是想得到母狮，就在逃生时故意使绊。闭上眼你能嗅出野鸭兰的香味，能感知到风的螺旋。总要战胜对水或雷的恐惧，也要在迷路之后才会知道家的方向。
Mr. Infamous,2024-12-20 09:32:04,北京,3星,49,自然景观是如此壮美，把剧情和配音（原声都不行，不敢想象国配）衬得愈发平庸。是跟《变形金刚：起源》同个编剧吗？故事换汤不换药，反派的黑化比草原大众的脑袋还生硬……拉菲奇的木杖、刀疤的刀疤，倒是有了交代。只能说，我们丁满也是有努力抢戏呢。就是，真没想到导演拍过《月光男孩》。20241217
一只狗,2024-12-28 14:07:26,浙江,4星,25,竟然很好看！真《刀疤前传》，不是因爱生恨，而是王室血脉的寄望与养尊处优庸碌平凡的背道而驰，是本能恐惧与应该勇敢的矛盾，是邻居家孩子光环下的阴影，是唯一信任遭遇事实背叛冲击。刀疤本是善良的，鳄鱼，跑步，白狮子，他都做了正确的选择。只是一次误入歧途，可能是一身的包袱和一世的不归路。
好狗灰仔蹦蹦勾,2024-12-20 22:41:01,天津,4星,41,谁要看3D啊把我的英俊daddy木法沙还给我🤡🤡🤡/谁看了不说一句刀疤真惨啊啊啊啊啊，还得天天看着自己喜欢的母狮子和好兄弟生小狮子（）真正的daddy就是男女都来啊i got you fjsjfnjrjgjdj/作为前传来说还是挺合理的也很gay（狮子版擎天柱x威震天），但果然还是原版不可超越，配乐配音画面各方面都
Ron Chan,2024-12-22 02:45:06,德国,3星,42,技术上有了进步，第一部毫无表情的动物在第二部得到解决，但问题在于当木法沙和刀疤单独出现又不说话的时候，有点难辨谁是谁，至于故事就更让人傻眼了，虽然《狮子王》的世界观不能按真正的动物世界来要求，但之前的剧情好歹也是遵从自然法则的，这次狮子爬雪山那段剧情还是太超过了一些。另外木法沙还是没有甄嬛的气度，人家甄嬛原谅了浣碧和敬妃换来了死心塌地，木法沙最后在刀疤面前玩“炫耀”，还用“刀疤”羞辱它，难怪最后会拜拜！
HatcherZ,2024-12-20 22:07:46,广东,2星,73,节奏太快导致很多没细节的内容很不合理，尤其是反目成仇那一部分，一首歌就恨得不行也太夸张。母狮子一出场就大概知道剧情走向了，但是拜托狮子都要搞三角恋真的太没创意了。越往后剧情越崩，结尾号召一下大家就能成国王也太儿戏了。整部片剧情其实一开始就大概猜到了，没想到真就就是波澜不惊毫无惊喜讲完了，要不是狮子会卖卖萌真就看不下去了。#寰映
雅趣轩,2024-12-20 12:16:37,北京,4星,20,“每一颗星星都有它自己的故事。”这是影片中一句简单却富含哲理的话，它不仅仅是对星空的描绘，更是对木法沙一生经历的隐喻。个人觉得这种精细画面的动画片还是去特效厅感受会更好！片子有IMAX、杜比、巨幕、CINITY各种特效版，特效厅感觉到两个字“精致”！顶天立地大银幕，超清分辨率，多层次环绕音效系统结合超大画幅配合本片精彩紧张的配乐音效，真是感受到了看一部电影不如进入一部电影的意境！
JoeyLu陆柏宇,2024-12-20 19:12:46,江苏,4星,13,回归五年前的水准
Momo,2024-12-20 04:23:20,中国香港,3星,45,Gay
谢谢你们的鱼,2024-12-20 17:32:48,北京,2星,51,比第一部强点，但是也是无聊得要死，不管特效多精妙，场面多恢弘，能传递给观众的娱乐性却非常有限，歌舞+说教+动物世界的组合，真的不如去看纪录片。不愧是《月光男孩》的导演，在特效大片的语境里面整那种蹩脚且狗血的少男少女心事，话说谁想看真狮三角恋呀！尤其是三只狮子还特么让人看着脸盲！现在想想，《奇幻森林》真的是迪士尼真人童话电影中超水平发挥的杰作，再也看不到同级别的作品了。
大奇特(Grinch),2024-12-20 07:08:33,北京,3星,15,此次是辛巴父亲的前传故事，既有孤儿成为国王的历程，也讲出它与刀疤关系变化的缘由。这点让我想到《变形金刚：起源》擎天柱和威震天的关系，方法同理，能理解刀疤为什么变成了我们熟知的形象。影片是用公路片方式推进的，反派白狮以掠夺者姿态展开追捕，玷污未被开垦的净土，过程中像在看美国西部片，而在路上的两公一母之间关系变化才是核心要素。后半程的大自然奇观与冒险元素要优于前半程，一些细节开始与原作对应起来。迪士尼还是要考虑儿童受众，采用讲故事的双线方式娓娓道来，展现了讲故事的魅力和传承的作用，可我觉得删掉辛巴女儿的部分，节奏会明快许多。因为看的是译制版，角色们动不动唱起中文歌，会有一些出戏，原声版肯定会好很多。
瑞波恩,2024-12-23 01:48:04,北京,4星,2,非洲的大自然风景波澜壮阔美不胜收！走出影院和朋友聊起电影，她很不屑地吐槽，剧情太幼稚了，这个男二（塔卡昵称刀疤）才是最大冤大头！身为王子，他为了朋友国破家亡，还不断出手相助，结果朋友横刀夺爱，他崩溃的心情太能理解了……哦，细想想也是这个道理，编剧可能压根没想到，观众看完反而更同情刀疤吧？而且怎么看木法沙和刀疤才是一对cp鸭！PS，巴里·詹金斯导演拍过《月光男孩》，为沙祖配音的周深才是全片可爱担当，座位旁边的美团小哥一直鸡冻不得了，他是周深粉丝，今天翘班专门来电影院支持爱豆的……啊此情此景，各种感动。
wanglc,2024-12-20 17:26:51,上海,3星,18,原本以为白狮相当于御天敌，结果看了电影其实它相当于五面怪
无事,2024-12-21 19:42:49,北京,5星,23,第一部狮子王上映的时候我还是小学生，当时最喜欢的就是木法沙。现在四十岁了，来看木法沙前传。终于知道为什么从小到大喜欢狮子王到现在，因为它基本上涵盖融合了亲情、友情、爱情、对自然和生命的感恩、宽容、勇气等等这些人类永远都不会过时的永恒的美好的感情。
一只豆友,2025-01-19 22:56:03,美国,4星,3,只有塔卡一个人受伤的世界形成了。
miko,2024-12-20 15:55:38,湖北,2星,59,都快2025年了还能有这么复古的故事，俗套的不想多说
