用户名,评论时间,IP属地,评论分数,有用数量,短评内容
珠穆朗玛,2024-12-06 23:09:34,甘肃,4星,5,很喜欢圣经题材的电影，信仰的源泉，横征暴敛的希律王，蓝袍信使加百列，圣母玛利亚之子耶稣，平民若瑟伟大的父爱，勾勒出一部生动的画卷……
aeuzdzj,2024-12-07 13:22:46,湖北,2星,7,一部耶稣起源史拍得太寡淡了，很像网飞流水线出来的
你虎哥,2024-12-11 11:28:42,北京,4星,3,加百列哥哥老帅了 路西法 男女主 选得也不错 新鲜感十足
条顿骑士列昂,2024-12-07 18:52:26,湖北,3星,5,各种要素都比较齐全，但是真的无聊，而且你既然讲是传记，怎么耶稣诞生之后就没了？玛利亚在经典中的魅力不只是作为神诞生的容器（这部片子就拍成这样了），还在于她在耶稣受难前后所承受的痛苦，而且圣母升天也是一个很重要的主题，可能还要涉及到耶稣的兄弟雅各，因为圣母无染原罪不好拍了？
深秋小屋dongdong,2024-12-11 08:12:49,澳大利亚,3星,5,饰演玛利亚的女演员演技很一般。情节改编也一般。
duangduang,2024-12-11 17:30:23,美国,3星,5,从头到尾比较平铺直叙，没有点出重点。能感觉到这部电影不想要把Mary刻画成为神圣的符号，但是也并没有成功刻画出Mary作为凡人的挣扎和成长。从Mary怀孕后，一系列事件似乎像是在赶场，Mary由担忧到坚定的转折也糊弄过去了。
7amb,2024-12-22 19:23:46,陕西,1星,0,处女怀孕？怀疑是ntr
Covfefe,2024-12-10 08:09:27,山东,5星,1,虽然很多地方是根据圣经以外的传说资料，但合理想象还是挺好的，质感也强，尤其是对希律王和犹太奋锐精神的刻划，还有未出场的罗马强权，让人更加体会道成肉身所经历的降卑是何等伟大，依然是“我的神，我的神，为何离弃我”的至高公义。
孤负青春,2024-12-08 12:56:40,浙江,3星,4,玛利亚的妈妈金发碧眼，罗马骑兵有马登，布衣反杀全副武装的罗马士兵。。。
小闲,2024-12-08 10:40:15,山东,2星,3,这导演编剧就是小学肄业啊，还要霍普金斯来干嘛呢
🐧是นก,2024-12-10 06:55:13,荷兰,4星,1,于2024年Immaculate Conception 没有后半生有些遗憾，镜头很美，最喜欢三处：晨星闪耀时，Mary说，I choose you just as you chose me; 让我回忆起昨天读小德兰书信的baby；站在旷野里的那一幕。
故园遥望,2024-12-07 12:07:23,美国,未评分,0,玛丽挺好看；故事编排得有点儿太“网飞”；主要是被霍爵爷的名字拐进来的。
水包酱,2024-12-11 07:58:02,上海,3星,2,故事就是那个故事 不过选角挺好 霍普金斯老爷子助阵演希律王自不必说 Mary和Joseph好养眼的一对小夫妻
这是一个好名字,2024-12-12 15:01:37,美国,3星,2,chatgpt写的剧本吧
Alpha,2024-12-08 18:22:10,广西,3星,1,女主相貌跟一些玛利亚雕像很像
江浙沪唯一土狗,2024-12-11 22:13:02,浙江,3星,0,2.5+ 但凡多一丝丝作者的意识都比这样好很多，安东尼霍普金斯演希律王多大的噱头啊都用不好。还有是谁把这片塞《玛丽亚·卡拉斯》的文件夹里的，我看一半了朱莉还没出来我还在那儿骂呢！
卢天白,2025-01-07 13:50:21,北京,2星,0,美南乡村教会包场主旋律。
哦把敏,2025-01-31 11:18:06,山西,3星,0,中规中矩
花景,2024-12-18 16:12:21,河北,3星,1,玛利亚选角不错，其它乏善可陈，这电影有啥意义
三盅,2025-01-29 17:46:35,上海,4星,0,敬畏，美德，禁忌。
猪大腿,2025-01-23 11:39:40,美国,3星,0,传福音的宗教电影不好拍。服化道摄影包括演员的选择其实都是不错的，导演和编剧讲故事的能力实在太差而且详略选择不当。霍普金斯的希律王基本被浪费，约瑟更是莫名其妙塑造成了类似星矢的角色。
三点少,2024-12-11 13:42:23,北京,5星,0,圣母
amitayus,2024-12-26 14:36:31,河南,2星,0,"Noa Cohen,以色列网红"
Gran Tortu,2024-12-08 04:24:16,阿联酋,5星,0,圣经题材的作品，质感拍的真的好
梦之安魂曲,2024-12-15 16:54:13,江苏,3星,0,画面不错，但没什么实质性内容。
西门吹牛,2024-12-10 18:00:26,天津,1星,0,一头雾水
吉米糕,2024-12-23 06:58:40,德国,2星,1,找个这么丑的演员演加百列咋想的
