用户名,评论时间,IP属地,评论分数,有用数量,短评内容
悄悄,2016-03-01 16:55:31,,5星,11886,看过了这一部，我好像能够更坚定地说我会当迪士尼一辈子的粉丝。迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
Digit Fungi,2016-02-26 04:20:45,,5星,8781,无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...
影评终结者,2016-02-26 10:28:40,,5星,7014,完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画
黄青蕉,2016-03-07 20:47:43,,4星,6089,港真，面对人家动画片里连一把椅子扶手上的铝合金划痕都做得活灵活现的态度，咱们就默默低头学就好，不要一天到晚吹“国产视效大片”这个概念了，略尴尬
羚羊的灵魂,2016-02-23 22:03:30,,5星,5940,做冰棍那机智的不像话！！！全片最爱！！！想吃！！！
云淡风轻,2016-03-04 03:40:45,,5星,3104,不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！
诗人橙子,2016-02-15 07:14:40,,5星,3112,绝对的好片子 裂墙推荐。实在是因为另一场满了…随手挑了这个片子。真是5分钟一小笑 10分钟哄堂大笑。看那个又懒又慢树獭简直要锤墙了。旁边法国妹子精辟的吐槽！看！这是我们法国人。我要憋到内伤了。最后散场大家都静坐着等着整首歌放完…五星好评。2016年度十佳。
tina,2016-03-01 16:29:52,,5星,2973,赞 看完赶脚世界都美好了
白桃苏打气泡水,2016-02-28 16:31:09,,5星,2791,想嫁给又吊儿郎当又酷得不像话的狐狸先生。自认为是奥斯卡长篇动画的有力候选。啊啊啊，真的好好看，我要去二刷。
Marcus,2016-03-04 02:41:17,,5星,1120,赞到惊人，大迪斯尼动画一年比一年精彩！朱迪只身去陌生的大城市追梦，让我又追忆起自己那美好而充实的留学生活了。Sloth们的每次出场自己都要笑到面瘫了！而朱迪跟尼克哭着道歉的那段我也跟着哭了，朋友之间有时候就应该这样把脸拉下来好好道歉！总体反映的各种社会现象以及政治问题都很贴切到位。
桃桃林林,2016-03-04 17:41:25,,4星,4603,不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。
✿Suda✿,2016-02-28 21:18:36,,5星,997,超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！
小斑,2016-03-02 07:45:03,,4星,4191,故事流程对小盆友来说不艰深对大盆友也不无聊。树懒那段，跟法国公务员打过交道的都会心一笑。兔子的微表情做得很棒。然而对所有的群体标签统一嘲讽的结果就是下意识也贴了标签（比如狐狸必然聪明却捞偏门，兔子一定是繁殖癌，猛兽全是雄性，etc）。最后，可惜世界不是一部迪斯尼出品的动画片。
北极熊,2016-03-04 21:02:44,,3星,1575,最精彩的动画是用想象力拍出真实世界难以实现的故事，而不是用动物化填充一段如果是真人就普通到不能再普通的烂俗故事。笑料有，萌趣有，但更有的是莫名其妙的主旋律和政治正确，恐怕没有评分所体现的那么出色。
CharlesChou,2016-03-04 15:12:21,,4星,3379,"对比Frozen又是一次进步，但迪士尼家的反转还是太好猜，在最明显的线索被披露前真反派其实就已让人隐隐有种感觉。但抛去这点不看整部电影的主题和执行都堪称模范，还顺带早早地贡献出了今年最佳CP。""You know you love me.""(整个人在椅子上被苏晕"
张小北,2016-03-05 10:43:01,,5星,771,迪斯尼最近几年最好的一部动画片。不但娱乐性超强，而且主题和人物的深度也已超过一般动画片的维度了。
亵渎电影,2016-03-06 23:34:16,,4星,2027,好莱坞这套讲故事的模式可以把全世界都吃的死死的。
早日退休瑾朵朵,2016-03-05 16:30:37,,5星,686,求同款录音笔！
m89,2016-03-04 11:49:21,,4星,1836,换了新领导就是不一样。迪士尼暗黑大电影，洛杉矶罪案片风格和内核。还真是动物乌托邦，美国针对有色人种，欧洲针对难民，天朝针对公知和五毛吗？人设精彩，细节丰富，但要说创意超《头脑特工队》显然就不实事求是了。
铎奇,2016-03-05 10:55:39,,5星,705,妹想到，老娘弯了一世，被一只动画狐狸掰直了。兔子我也爱！迪士尼启用女性主演真是太成功了，迪士尼现在从小孩就倡导的男女无差别教育好棒噢。警局前台基佬豹好萌！
影志,2016-03-15 22:55:25,,5星,393,100个人可以看到100种解读，太多细节主题值得称道：重视与忽视、尝试与安定、偏见与包容、恐惧与误会…流俗或新鲜，都在这样一部颠覆性迪士尼作品里放大呈现。“我们都有很多弱点，却也有着更多珍贵的共通” 第一次摸到羊头的狐尼克、睡觉时数自己的羊、爸妈总会在紧急时刻来电…朱迪兔的道歉直接泪奔
Otocolobus,2016-02-24 03:47:33,,4星,1165,"故事中规中矩，立意却是小孩看了笑大人看了深思的寓言故事。It's a story about minority, stereotype and acceptance. I'm glad disney plants the seed of equality to every child who sees this.兔子跟狐狸是最佳拍（情）档（侣）！警局前台豹子不是gay你找我！迪士尼彩蛋都棒棒的！"
周杰伧的小粉丝,2016-03-08 14:01:42,,4星,1091,疯狂动物城最现实的一点在于，兔子想做个好警察，她确实也做到了嫉恶如仇，恪尽职守。但她在面对杀人如麻的黑帮老大时，毕恭毕敬，甚至还成为了老大外孙女的教母，实际上就是认贼作父了。这可不就是最现实的现实。
AuraWang,2016-03-04 19:30:22,,2星,366,我不喜欢 近年来的最差 预告片把笑点亮点都透干净了 视效观感好差 大部分场景在黑夜 3D看得real心累 而且3D很差劲= =本来以为会对真实世界讽喻 结果肉食动物发狂的原因竟然那么无脑 前半段的bully情节 各种过分的嘲讽 兔子绑架狐狸过分 动作场面也拍的很一般 看完只觉得浑身不爽
米粒,2016-03-08 11:06:03,,4星,435,车管所的那些树懒是照着王思聪画的吗😂
梵蒂冈的妇男,2016-03-05 22:55:02,,5星,463,我希望所有孩子能看着这种电影长大
云中,2016-03-06 16:15:56,,未评分,745,至于吗？我都不敢说坏话了。
yangbin,2016-03-04 19:24:03,,5星,446,17年奥斯卡最佳动画，你好！
