用户名,评论时间,IP属地,评论分数,有用数量,短评内容
迷人的李老师,2024-12-08 20:22:21,中国台湾,1星,15,冤案救援才沒有這麼簡化就能說清楚，本片最不冤的就是導演貧乏到不行的調度與敘事能力，相較之下連橫濱流星的演技都不那麼嚇人了。
fingfing吓,2025-02-01 10:14:30,山东,未评分,7,我也不是对藤井道人有偏见，但他拍的东西真的是白开水
simon,2025-01-31 13:20:26,北京,未评分,4,流星这种演技怎么就当了大河剧男主？世风日下
SundanceKid🌈,2025-01-31 23:53:10,浙江,3星,5,影片本身想要自证信念的力量，陷入了视角的单一，司法程序的不牢靠也草草带过，不过有段还不错的追击戏。但导演对流星是真爱啊越落魄越帅，百变流星打工皇帝。顶着一张脆弱美丽的脸，把遇见的所有配角“感化”，能怎么办呢他真的很温柔哪。他的成年期确实从逃亡开始，第一次打工、饮酒和有恋爱的感觉，稍稍也会为他鼻子一酸
k,2025-01-31 11:12:15,浙江,未评分,2,呕，受不了，真的受不了，我恨藤井道人，避雷藤井道人。
对方正在输入……,2025-02-04 16:47:08,辽宁,3星,4,看过22年卡咩的剧版，很精彩！两年后来看影版，依旧未读原著，故事还是那个故事，但影版编排顺序和逻辑架构差好多，前半部还算紧凑，伪装身份苟且活着，并不断施恩身边人，善良的年轻人！但警方那边，PUA用到极致，为了提升所谓的法制，可随意断送镝木庆一的一生，还好最后真正的犯人出现，让原本纠结不安的又贯先生，最终警醒！也感谢编辑小姐姐，因为律师爸爸的败诉，体会被冤的无力感，再加上真切的与镝木庆一接触后，发现他是个好人。他的善良无时无刻不在进行，工友受伤的维权也是，那时候交到了朋友，喝了人生第一口啤酒，与编辑小姐姐邂逅吃了人生第一串烧鸟，人生美好，让他要活下去！最后真的，与人为善，终得福报！但影版最后结尾好潦草，深刻度欠缺，大家隔窗对话表现力过乏，拖沓两个小时，但横滨流星最后的破碎感真的很到位！
谢谢你们的鱼,2025-01-31 12:38:02,浙江,4星,4,《恶》的另一面，借着他人的视点看待一个因为冤案而越狱的死刑犯，文本的层次丰富，风格冷峻但是内在温柔，非常扎实的社会派故事，藤井道人的风格化处理让影片的叙事更加高效和灵动，几段平行剪辑都是教科书级别的。
徐若风,2025-02-03 01:30:09,浙江,4星,6,日奥13项提名，藤井道人目前为止的最佳作。系统性的恶，将一个人的人权彻底剥夺、碾碎成泥，而后在普通人善意坚持下，一点点重建个体身份的故事。有对社会体制黑暗面的透析，也有被一个个具体的人相信、支撑的暖意。世界就是在恶与善，假与真之间反复流转，一切都是相对的。作为社会派悬疑，类型上也处理到位，通过一年间四次身份转变，撑起了主线的悬念感。
Arabesques,2025-02-01 21:24:14,日本,5星,1,久违的不错日影
井颯,2024-12-03 20:32:14,日本,2星,23,都是些什么人投钱给藤井道人啊
菅田将晖,2025-01-30 23:35:42,河南,2星,10,“你为什么要逃狱？”这是应该对一个莫名其妙被冤枉成杀人犯而且被判处死刑的人该问的问题吗？？？
沈精病,2025-02-09 12:41:38,浙江,3星,1,藤井道人倒是延续了自己行活导演的水平
极小的小,2025-01-31 16:08:45,山东,2星,8,其实这个故事可以拍好看，类似《怒》，但藤井道人直白的拍法不仅让影片很乏味，而且全员尤其是警察方显得特别蠢。支持藤井道人和横滨流星锁死，平庸导演配大根演员，挺绝配的。
