用户名,评论时间,IP属地,评论分数,有用数量,短评内容
辞辞渐渐,2024-11-13 23:46:23,中国香港,3星,5042,想说别太厌女…女主的床戏很突兀 插足别人的感情这个戏份设计的毫无必要 感觉纯粹是为了铺垫后期被扇巴掌她爹不嫌丢脸这个桥段 她爹去世的时候我哭得很厉害 觉得女主也太可怜了 直到爹去世都没得到一句亲口的认可 然后我又意识到她爹的认可有这么重要吗 我为什么要这么在意 于是哭得更伤心了 plus子华的人设也很站不住脚 完全就突然一个大转变突然尊重行业尊重逝者了（我一整个大why？？）最后想说男的活在这个世界上也太轻松了 说了一辈子女的脏污 遗书道歉就能一笔带过 他爹生病他移民 他女友怀孕他不要 凭什么啊？？看完气了半个小时 又花钱又花时间还找气受
翻车,2024-10-28 15:50:27,日本,5星,4384,我愿意把死后的遗产全部给卫诗雅让她给我破地狱
丸不了,2024-11-14 22:54:51,中国香港,4星,9616,又新又旧，希望世界上可以少一些死了才说爱的爹
新骑士,2024-12-06 22:39:59,中国香港,3星,2861,看完《好东西》再来看这个《破地狱》，真的无法让人直视。一如既往地符合我对当前香港导演固执迂腐陈旧的设想，红磡的殡葬一条街故事新瓶装旧酒，仍逃不过“表面重男亲女实际很爱女儿因为老头死后的遗书说我不是一个善于表达的人”，然后所有人都被原谅了，我就？？？老头中风的第二天儿子就举家移民去了澳洲把烂摊子丢给女儿，等到老头丧礼上儿子再度出现，喊了一句“阿妹”，然后女主就再度被原谅了...前四分之三的片段剪辑真的粗糙得很像抖音段子，流水式地做法事配上大段大段的煽情BGM赚了我旁边一堆大妈廉价的泪水，她真的一坐下来就开始哭，吸了两个小时的鼻子清了两个小时的喉咙，我不喜欢
pαss,2024-12-12 10:51:44,天津,4星,3702,喊了一辈子女人是污秽的父亲去世以后一封信就让女儿原谅了，中国人这辈子破不了的地狱终究还是那句“人都死了……”
陈年老甜,2024-11-14 22:29:52,中国香港,5星,3582,我愿称之为中国人自己的寻梦环游记。爱却开不了口表达，伤害了却不知道如何道歉，太典型的东亚家庭表达，值得二刷
热带疾病,2024-10-18 18:19:06,广东,4星,1973,拍的轻飘飘，看的沉甸甸！看到四分之三处都有点可惜全片到此都没有对破·地狱的仪式有所展示，原来重头戏在这四分之一处，也才明白英文片名为何取THE LAST DANCE。全片以“破”点题，破先人、破活人、破旧、破生、破死，破香港电影之困境。不知道是有意还是无意，还Call Back了《年少日记》。许冠文和卫诗雅提名明年金像男女主应该没跑了吧，特别是许冠文，将东亚家庭里的父亲形象（古板、寡言、冷漠、严厉）演绎的贴皮入骨，香港的马龙白兰度名不虚传（魏道生说的）。
我最亲爱的小狗,2024-11-20 00:08:02,中国香港,4星,1798,感觉编剧是有点理解女性的处境了，但也不多。破地狱好看的部分是能想象到的，但是编剧感觉还停留在上个世纪，自以为是的理解女性和原谅父亲。。。怎么也逃不出合家欢的港式结局，用遗书既和解了父女关系，顺便修复了兄妹关系，这一套很公式但是也赚够了眼泪。但是也逃不出女儿就是奉献且孝顺的。觉得编剧最精明但愚蠢是，想借用女性经血与传统相悖的话题来展开讨论，但是一味的只会喊口号，制造矛盾，最后莫名其妙合家欢，根本不懂是在关心女性处境还是在制造噱头。
RayRay,2024-12-07 18:22:14,广东,3星,2512,一生都没有让女儿感受到爱的父亲写了封遗书就可以和解了
朝阳区妻夫木聪,2024-11-14 23:55:40,福建,4星,1351,确实精彩，剧本做得很扎实，惊诧于导演的进步（毕竟前两部看得我实在是很无语），感觉这部是能横扫金像奖的级别。当然还是有些遗憾，比如最后子华的那段话，还是有点太满太实了，像是在归纳中心思想，少了点余韵；另外家人和解的部分也是，很难跳出东亚家庭片的框架吧。但文哥一家人形象塑造得的确立体丰富，很能让人共情，被忽视的女儿，被捆绑的儿子，被蒙蔽的父亲，每个人在所谓传统和父权制下都带着伤痛在世间行走，呼应了片中的核心表达：其实最需要破地狱的是活着的人，观念的地狱、世俗眼光的地狱、所谓传统但实则糟粕的地狱，每一关都如此难渡。如此看来，似乎死了是比活着更加“轻松”的一件事了。喜欢的几个动人段落：兄妹俩在医院的争吵对峙、还有文哥道生的几次哼唱，几位演员都贡献了极佳的表演。其实处在倒计时中的，又何止人的生命呢？
