用户名,评论时间,IP属地,评论分数,有用数量,短评内容
郁闷的包子,2024-06-29 21:42:47,中国台湾,2星,66,矫揉造作、惺惺作态、流于表面的无病呻吟，仅有的几处可以让电影更立体的矛盾和冲突也完全没有放大，最终变成一场为了尺度而尺度的电影。
有影嘸,2024-07-02 03:07:19,中国台湾,1星,86,今年看過最爛的電影。先說觀感，真的很久沒有一部電影，能讓我如此著坐針氈了⋯台詞矯揉造作，詞藻華麗而空洞，宛如國中少年憋字作文。樹立人格特徵的部分，居然全靠台詞，又硬又尬（我不信現實生活裡有人會這麼說話）。主創好像很喜歡用強烈的「反差感」來營造一種獵奇感（用那些看起來很禁慾的專業工作，反差角色性癖好），非常老套爛俗。另外，我沒想到2024年了我還能看到「你偷偷喜歡的網絡作家其實是是我」這種瓊瑤戲。講難聽點，這部電影的劇本有個很大的問題，就是用很「刻板印象」的手段來建立角色、書寫劇情。讓我很難帶入情節。最後，最讓我覺得好笑的是，都已經性解放了！為什麼最後的收尾還是回歸到那麼那麼父權的「我心裡缺失了一塊，所以才走上這個選擇的。」又在道德上否定了開放性的這種生活態度
joeee,2024-07-06 01:35:54,中国台湾,2星,37,看不到一半就走了一半人 都是年輕人
天马星,2024-09-01 17:42:36,中国香港,3星,121,除去约炮，SM，3P，四爱这些大尺度包装，本片依旧在探讨都市男女性与爱的关系，在食色性也的当下，人好像只有约炮时才会袒露心扉真实做自己，一旦两人越界，开始社会身份上的连接，那些口是心非的伪装就又都回来了。想要上纯爱之岸的男女，却发现炮海无涯无处是岸，想爱却总是爱而不得，于是只能在炮海里更加沉沦，不断尝试更加边缘的性。
郭的大雜燴,2024-06-29 14:39:13,中国台湾,3星,76,我喜歡白Q和外送鳥的故事，小綠跟單親霸真的沒有火花
Puff,2024-06-28 15:44:07,中国台湾,3星,57,3.25以一種約砲仔的傷痛文學形式詮釋的作品，尺度還真不是唬爛的大，應該是繼樓下的房客後看過尺度最大的國片，約砲仔的七情六慾、想上岸卻又阻止自己上岸的內心矛盾，在4位主要角色的內心世界下，詮釋出情慾流動下的各種苦。楊雅喆以矯揉造作的方式闡述著約砲仔的罪惡歡愉，台詞故意寫的很像散文小說，在情色下充斥著各種明喻與暗喻，在勾起人們心中的慾望同時，也拍出這群像小美人魚般在水底沉淪內心所缺乏的一面。注定會是兩極化的作品，但尺度、演員表現都超乎預期，表演上已完全放開羞恥在演，劉主平和梁湘華的選角身材都非常好，尤其劉主平還神似黑木華，不能說喜歡的情慾作品，但也算有驚喜的情慾傷痛（假掰）文學詮釋吧，收尾在質問廣大約砲仔上岸了沒的同時還放佛經淨化心靈，瞬間以為自己來到南天門了，慷仁從影最大尺度真不是虎爛啊..
🍸,2024-06-29 15:29:50,中国台湾,3星,47,映後見到了男女主演吳慷仁和劉主平！確實尺度很大，雖然只有晃過一秒但慷仁的側面整個都看到了。回到電影本身，故事很碎，非常矯揉造作，台詞像是青春傷痛小說，並跟小美人魚的故事做連結，但我看完也不太明白另外一條線的作用。小美人魚用自己的一部分換來愛人想要的自己，但愛人終究是走丟了，所以只能在慾望的海灣浮沉，尋找上岸的所在。在映後座談時其實我一直想問的問題是「你們覺得各自的角色從這些性愛與慾望的糾葛中得到了什麼？」但我太害羞了就沒問。我後來想想覺得這些約砲的人可能也不求什麼就求一個滿足感吧，而從性踏入愛的過程才是這些人真正要面對的問題，慷仁自己也說如果現在是單身而且非公眾人物，遇到一個可以顧好自己不彼此干涉也不需要負責的約砲對象有什麼理由不約呢？好像就是如此，只是我不是這個世界的人，所以只覺得難以理解
igrɛkonze,2024-09-05 00:08:16,中国香港,2星,26,心疼所有演員 尤其是主角 再尤其是will 我覺得他隨時會窒息而死 空洞 做作 就⋯⋯嗯⋯⋯沒什麼必要吧 越到後面越覺得花腐 甚至是我原本沒有很喜歡的火口二人 相比之下都真是太好看了
Anyabeth,2024-07-14 10:42:31,上海,2星,20,故事线很碎散，尺度也陪衬成了无病呻吟
嘟嘟熊之父,2025-01-24 23:27:49,北京,1星,69,只觉得女演员在露胸的同时男演员需要露屌，否则不太公平。吴慷仁好像张翰。
