用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Reson Rossi,2024-12-26 15:36:50,福建,5星,9,是怎么做到前面45分钟和最后5分钟真的都写的很好但是中间5分钟写崩了的？？？😭感觉Joy的选择很奇怪缺少铺垫……
塔迪斯里的温尼,2024-12-28 14:12:59,上海,5星,1,我很喜欢，熟悉的魔法特童话风。Trev在英喜中跑龙套跑得非常敬业所以自然喜欢，时光旅店的设定由非常糟糕历史加鬼屋欢乐颂，“曾经我是一颗星星”也无比的浪漫。大家觉得Joy牺牲的动机不够，但我好能理解这种无来由的被浪漫的毁灭所吸引的冲动，何况Joy确实是那个在圣诞夜住着便宜酒店用甜美的笑容掩盖内心深深的伤疤的孤独之人。也喜欢Anita以及和博士那一年的平凡快乐生活，再次感慨非常魔法特；中间突然打破第四面，不知道为什么网上有特别多的小t娘🤔
年少如风97604,2024-12-26 17:43:32,四川,3星,19,看完这集之后的我心里只有一个想法: 这的确像是莫法特会写出来的东西。玩弄时间的小把戏是不会缺席的，女配是一定要被博士调情的，开场即盒饭的炮灰是肯定要有的，但是女主为什么突然决定吞下星星变成光，和众多炮灰们一起化身欢乐满人间是绝对不解释的。我承认当揭示COVID的背景和伯利恒之星出来时感动了一下下，但……真的只有那一下而已。整个故事是那么的轻浮又脆弱，经不起深究和回味，像极了买回来摆一周就丢掉的圣诞摆件，只是在圣诞夜起到一个造型和氛围的作用罢了。它当然已经完成了应有的任务，但我本以为会看到更精彩的一集。
酥皮儿小呢哦,2024-12-29 05:58:35,上海,4星,6,虽然仍然缺少新鲜创意，但是作为圣诞集，就是温暖与爱啊，这次我真的被这颗伯利恒之星感动到了。很喜欢这个金发小胖妹，单纯可爱，比露比更好的选择，可惜就这样化作星光了。
with,2024-12-26 23:26:32,广东,5星,1,QAQ
邓宸宁,2024-12-27 00:29:32,北京,2星,16,我请问咱们超绝正义大英雄 Doctor 准备什么时候解决掉 Villengard 军工复合体捏？还是一直要靠 Joy 和 Trev 这样的普通人祭天，然后他站干岸上看着，自己流一缸眼泪？到此故事就结束了？故事情节稀烂，还动不动就煽情。魔法特你实在写不了就别写了，写了一堆花里胡哨的都还是地雷阵那集家人侠的套路。 而时空酒店简直是 westocentricism 大集合，贵店住客的 DEI 再拉满了也写不出一扇通往印度历史或非洲历史或任何被侮辱和欺凌的民族的历史的大门。其实完全可以不用这么糊弄，而敷衍倒更是歧视本身。
k,2024-12-26 17:19:31,上海,2星,4,2024年Bethlehem出镜率过高 / 莫名其妙的HE 连DW也开始走Disney风了 完了 这是真完了
SundanceKid🌈,2024-12-26 15:14:09,浙江,3星,8,Joy的结局是不公平不值当的。博士和安妮塔在地球上的一年很好看，你留给我圣诞礼物是因为今天就要离开怎么会让人这么难过呢
薄荷灰,2024-12-26 16:56:09,山东,3星,6,开始觉得时光酒店这个设定挺有意思的，后来一想这不就是西剧《时间管理局》的设定换个壳吗？博士在旅店度过的那一年，喜欢这一段。
Cap.Mainwaring,2024-12-26 14:00:54,英国,3星,3,"You know what, Steven Moffat's keen to add starights' heterosexual sterotypes bullshit to Doctor Who."
暗室,2024-12-26 17:57:11,日本,3星,4,"Joy没有任何问题, 但是go fuck yourself disney"
渋谷ソダ,2024-12-26 04:45:44,日本,3星,8,没看宣传一看written by魔法特就懂了这次又是有趣的设定+单薄的人物+三言两语的queerbaiting，joy值得更好
Nebula‘s child,2024-12-30 23:58:57,荷兰,4星,4,I like the idea of this story but the story may need more details to make it feel real. There should be more contents before Joy made her choice since the audience are oblivion to all her thoughts.
阿墨菌甭说话,2024-12-30 18:46:38,福建,5星,1,太妙了
南巫,2024-12-25 11:25:57,天津,4星,7,神秘博士变美剧了？真狗
AMD,2024-12-28 11:52:14,上海,4星,0,上了年纪的魔法特，开始玩某种意识流的情感表达吗？
EstalIe,2024-12-26 10:38:26,福建,2星,9,很典型的魔式圣诞温情，但Joy没有任何理由吞下星种自我牺牲，又突然自己要把欢乐洒人间，人物动机很怪，唯三亮点是博士和Anita和Trev的戏份和在地球买Tardis周边，其实这一集和The Husbands of River Song走向极其相似，只不过River有更多铺垫，当然一样无聊就是了。然而Joy一半戏份被夺走，另一半在傻笑和被附身之间，小半戏份交代圣诞一个人过的原因之外无任何闪光点（除了最后高光时刻是真的在闪光）官方一直在Joy to the world和worlds之间打哑谜，结果还没Ruby在结尾客串来得惊喜。CC时期的Whoniverse好像没有疫情吧？（另外谁写的简介，我投了个新的简介在备选项希望大家能投票，提交了那么久还是没选上，不会是条目创造者不希望别人改自己写的罢
mills,2024-12-29 23:42:16,辽宁,3星,1,魔法特你也好无聊
游辰霞,2025-01-04 22:20:24,天津,5星,0,我一定是太爱神秘博士了，每一次都被简单的故事感动的热泪盈眶😭btw 普世欢腾是什么鬼啊！还不如吉祥如意呢！
Fanfanfanta,2024-12-27 08:07:35,浙江,3星,6,直到最后都没搞懂是魔法特被迪士尼洗脑了，还是joy被星星洗脑了，从没意识到神秘博士这么儿童剧
雨林,2024-12-27 00:13:45,中国台湾,3星,4,整集剧情都意义不明，也没有什么重点突然就包饺子了，整个后半段都是在强行催泪然而我跟这些角色根本就不熟啊，而且演技也很一般，看的很无语
金小鸡,2024-12-27 04:53:12,爱尔兰,1星,14,这是要把dw的牌子砸了吗？新博士几乎每集都在哭，圣诞篇开始没多久，又在哭。别说什么外网喜欢，外网网友骂的更多。
黑貓十一,2025-01-31 11:36:34,上海,未评分,0,标准脚本，泪点明确，看完麻木。
无双,2025-01-05 20:39:13,北京,4星,0,莫法特写台词还是挺催泪的  但是人物塑造就连博士都仿佛工具人 看过即忘在酒店打工的一年还是很美好很温馨的那三年也非常戳人
🔒⛓Nemik,2024-12-27 20:49:15,上海,2星,3,这么好的点子这么多聪明的设定，服务的内容完全没有灵魂。非常典型魔法特了。（另外，没想到这个里面有Boris Johnson（不是
红喑,2024-12-30 01:12:31,重庆,3星,2,喜欢Anita。不如让她当正篇旅伴……
没有理智与情感,2025-01-10 17:57:22,上海,5星,0,完成度很高了，甚至跟以前的一些圣诞特辑比都算是很好看的一集。几次感动到有点落泪，非常喜欢Joy这个演员，所以她变成星星了好难过，这样子就不能做女伴了。Anita也好好啊，完全的对所有事情见怪不怪，太适合当同伴了。
暗地妖娆,2024-12-30 15:36:33,浙江,4星,0,一眨麻眼儿，博士和博士女郎又全改头换面了，然而故事还是一样浩瀚无边大脑洞，非常怀念，挺好的。
cat,2024-12-27 21:19:45,江西,3星,1,也想和doctor一起在酒店共度一年日常生活
深水酒,2024-12-31 18:06:41,浙江,未评分,0,圣诞小品
最后的时间领主,2024-12-27 01:31:13,法国,3星,0,亮点当然是有的，但一切都是那么的轻浮。
安德,2025-01-07 21:24:40,四川,4星,1,十分扣题，魔法特是被单集之神眷顾的人。
阿柴,2025-01-01 15:58:22,河北,3星,0,博士在地球上那一年真的写得很好，尤其和安妮塔的告别，应该是最近几年来，博士的故事里最感人的一幕。但整个故事还是不够好，Joy的选择动力很不够，好像突然之间，她就决定离开了。但是，总之，这一任的博士真的很性感，尤其是紧身T加牛仔裤的look，有性感爆炸。
红胸知更鸟,2024-12-28 00:45:59,广东,4星,0,圣诞特辑加一分。
改造人间,2024-12-27 23:37:14,广东,4星,0,优点和缺点都很鲜明的魔法特剧本。大玩时间维度仍是他的拿手好戏，让角色疯狂领便当的本领也是没人能和他相比🫠🫠🫠虽然化作星星的确是很魔法特浪漫，但为啥Joy最后毫无缘由就赴死了啊？？？
网遐,2025-01-17 18:51:45,云南,4星,0,图一乐
as2049,2025-02-01 19:26:16,上海,4星,0,有点干巴，虽然不是很懂，但是星星照亮每一个人还是很感动的
sakurananjo,2024-12-26 20:25:02,上海,2星,4,Disney浓度含量过高……
Jack,2024-12-28 19:13:54,上海,3星,0,魔法特写圣诞特级特有的时好时坏（这是坏）
冥王星（Ojas）,2024-12-29 09:46:39,河南,2星,1,这个系列已然毁了。看看十三任博士和之前的得了，之后的……
马路口躺着条🐟,2025-01-03 02:14:40,上海,未评分,0,感觉挺温暖的。我也想在家里有一把椅子了，等我的好朋友来。😊
圆月球,2024-12-26 23:00:48,湖南,3星,1,如果这真是魔法特最后一次dw，那这确实是一个相当不美好的结束，虽然他的圣诞特辑经常有为了结局的醋包饺子的水分，但这次填充的内容也太过跳脱了，虽然结局还是有点感动，但明明多点笔力在乐乐这个角色上，整个故事观感应该会更好（）
