用户名,评论时间,IP属地,评论分数,有用数量,短评内容
谢谢你们的鱼,2025-02-04 19:01:26,北京,3星,17,前半段很有趣，最后有点不知道怎么收，男女主角的爱情也太多余了，其实更关注文学与欲望之间的关系会好很多。朴智炫多演电影吧！
不是CD是DC,2025-02-11 16:37:17,内蒙古,3星,0,那么回事吧，中规中矩。
叶呀小白,2025-02-11 16:05:44,江苏,3星,0,想知道女主的键盘哪能买到
申小,2025-02-11 16:53:36,四川,3星,0,有趣思密达～
hangain,2025-02-04 22:53:08,河北,3星,11,很有意思，在我们还在歧视网络文学的时候，他们已经在为成人文化据理力争了。最搞笑的是，爸爸为了女儿放弃成人小说的写作，转向童话创作，女儿为了父亲，想写好童话，却误入成人小说。最后魔改白雪公主和七个小矮人，和开头呼应，这父女俩，可真逗，最终也没扔下童话。
🚧Rhéane🚧,2025-02-05 20:53:22,江苏,3星,12,解说阴蒂构造这一段我高看这片子一点
rockandcannele,2025-01-11 21:35:34,韩国,2星,19,在成人喜剧里加亲情桥段就跟带父母看这种片子一样尴尬
ibelieve,2025-02-10 01:16:55,广东,3星,1,朴智炫太美了啊啊啊啊！崔始源是真的完全不在意形象了。
リアチュウ,2025-02-04 11:24:36,安徽,1星,23,崔始源太灾难了(演技和发面的脸)
FY7,2025-02-09 10:49:18,湖南,3星,1,韩国性喜剧，笑点很足，朴智炫真的太美了，bgm也挺好听。
обломов,2025-02-07 10:41:31,江苏,3星,2,角度太神奇
雪印牛乳,2025-02-04 01:28:34,上海,4星,43,非常搞笑的性喜剧
e,2025-02-04 15:41:57,陕西,4星,5,故事很简单。加上了黄黄的h，意料之外的好看
Devlali Number,2025-02-05 23:07:40,北京,5星,3,哈哈哈哈哈哈哈好胡来的剧情！小白的天性解放让枯树都重新立起来了（不知道为什么…有一点点《喜欢你》的感觉？可能是那个发癫的福瑞控动画吧？？）虽然但是，朴智炫无脑满分！三观也很正，现如今这个道貌岸然的社会，成人的基本权益才是需要保障的吧！！（wait，不看简介甚至都没看出来这位是崔始源，大哥您咋了）
对方正在输入……,2025-02-09 16:55:41,辽宁,3星,1,喜剧效果有了，但故事和尺度一般。棒子国的无需送审就是敢拍敢演。崔始源也开始馒化了，也是有些年纪因素吧。喜欢朴智炫，百看不厌，公务员的双重生活，父女俩为了彼此受困于童话故事，但并不快乐，更多的是负担，为了快乐选择自己的生活很重要，最后女主也是结束了双重生活，过上了她生气时说的边旅游边写作的愿望！整体故事编辑和节奏都很平叙，没有太多虐点和出其不意。轻松成人喜剧，大头照科普那段还算可以。电梯里的前呼后拥和女友探班部队那里还算搞笑，三个女人一台戏，两个女友的故事先期开了个好头！最后还是父亲的成人童话点醒女主，也成功击败坏人！请让朴智炫多演电影吧！
莫选好片,2025-02-08 22:56:34,江苏,3星,1,没营养，但挺可爱。
坏蛋小李,2025-01-20 09:37:30,山东,2星,15,朴智炫，姐，咱好好去拍财阀刑警2不好吗？为了艺术献个身得了，还总拍这种剧吗？
ZeonGin Sou,2025-02-04 11:05:09,广东,3星,6,不错的喜剧，桥段确实好笑。比较可惜是没有写“双面生活”，只是一个引子和反转伏笔。不论女主角还是反派，流量之道都是实拍生活灵感。只是，女主角是取之有道。高潮一战比较理想化。
Junohu,2025-02-05 10:17:18,德国,4星,3,整体是轻松幽默的喜剧，带点擦边也依旧有趣，朴智贤演技确实强，千戏千面，文能驾驭多种风格，武能为艺术献身，怀疑成东日这个AI换脸是在映射龙叔的《传说》，骚瑞真没绷住。
些晕,2025-02-09 14:41:46,广东,3星,1,朴智炫我真的百看不厌！
折翼的蝴蝶,2025-02-07 11:33:15,广东,3星,1,设定有意思，但执行上差点意思。
展不开,2025-02-04 04:55:50,广东,2星,9,甚至故事都没讲明白..
IRA,2025-02-10 14:57:29,浙江,4星,0,朴智贤可爱极了，美出了新高度，喜剧演的不露声色，清新自然。剧探讨的，也不是什么高深的道理，用喜剧的外衣包裹挺合适。成年人的性文学，儿童看的童话，其实本质上没什么区别，唯一的区别在于受众。受欢迎的能经受时间考验的，都需要文学功底，都需要才华。让一个写童话故事的清纯女生，阴差阳错的去写成人情色小说，本身就充满了喜剧。其实画面故事都很正经，但是少儿不宜的内容也时不时的飘过，闪烁在鉴黄组的屏幕上，小说家的丰富想象，和各种科学搜索中…… 其实大人们之所以集体捂住孩子的眼睛和耳朵，可能只是觉得解释起来太累，不如直接切断接触面。
秋奔客,2025-02-11 13:25:37,广东,3星,0,卡司养眼，作为性喜剧中段有几个不错的桥段，可惜后来拼命上价值讲些廉价的剧情，然后编剧不管是童话还是成人文学功底都不行
Zoom.Quiet,2025-02-05 00:09:44,广东,2星,2,"#是也乎,(￣▽￣)电影工业一切元素都很合格,可无论怎么快进都躲不开尿点,女们美的不可方物,可是故事的节奏,逻辑,线索..都是离散的, 完全不知道想表达什么.."
白菜呀,2025-02-08 22:50:48,江苏,4星,0,女主角挺漂亮，有点像谁呀？！
kinder23,2025-02-04 23:43:09,中国香港,3星,1,题材和想要调侃的固化思想挺有趣的，不过越到后面就越有点草草了事，避重就轻。
hitlike,2025-02-11 07:47:07,黑龙江,3星,0,在性喜剧领域日本反倒不如韩国玩的转，这个希望有人拿出 50 万字论文研究一下。
Ms. Kay,2025-02-07 23:58:57,上海,2星,2,万万没想到，第一次在影视作品中看到致敬《阿飞正传》独舞片段的情节，竟然是在这部。25分33秒开始，男演员晃着膀子扭着腰肢试图“颠覆前作”，精神可嘉。
晓思丽英,2025-02-06 02:27:17,天津,3星,0,50
MOMO,2025-02-08 22:11:12,江苏,4星,0,最喜欢军人那一段，超级搞笑。
moss,2025-02-02 12:29:58,上海,2星,3,啥也没有
演员🎬,2025-02-04 03:18:55,黑龙江,3星,3,擦边擦出正能量，也是有点为难了。不过，文学性很高。
岛上的夏奈,2025-02-07 16:33:14,广东,1星,3,女主角的每一个微表情小s都会摔手卡的地步。
张小晗,2025-02-06 21:54:27,甘肃,2星,0,感觉好久没见过性喜剧了
pinkmark,2025-02-06 19:09:17,江苏,3星,3,轻松搞笑，带点sex，蛮好的！
oh la la,2025-02-07 16:07:09,北京,3星,0,韩国每年都会有部叫座的轻松地sex喜剧。从《色即是空》开始，这次也不例外，特别适合在家和亲密的人看，懂得都懂，只是没想到东方神起的欧巴现在胖成这副模样
Gaetano,2025-02-10 12:17:35,广西,3星,0,演员演得都不错，年轻演员也都长得好看。就是导演水平不稳定。按理说是个商业片，导演一些片段拍得不错，但是另一些片段拍得非常干，像是看艺术片。感觉是不是配乐少了，应该上情绪的地方，缺少音乐渲染。还有就是特写拍少了，近景太多，镜头变化有点单调。而且一些戏缺少故事张力，就是平铺直叙，缺少情绪反转，没有起伏，没有把观众情绪调动起来。一些桥段的故事铺垫也不够，让人觉得转进得莫名其妙。剧本其实还行，还加入了大火的chatgpt做桥段。
珜洮,2025-02-09 10:11:12,黑龙江,3星,0,很可爱
birth20200313,2025-02-03 11:18:19,湖北,3星,4,梦想与现实冲突，探索被拒绝的情感
被嫌弃Q的一生,2025-02-08 18:24:16,福建,1星,1,像是实在没剧本可拍但不拍又没钱挣所以好歹拍一部而诞生的剧本，结果就是一场灾难
