用户名,评论时间,IP属地,评论分数,有用数量,短评内容
大奇特(Grinch),2025-01-26 12:30:54,北京,4星,29,生活就像一篮子菌菇，你永远不知道哪个有毒。二十年前《八美图》海报用花卉代表八位女主，二十年后《秋日何时来》海报用菌菇隐喻田园生活背后潜藏的危险。欧容的剧本还是扎实，哪里藏哪里露仍旧高明：菌菇午餐只出现在第一幕，一些秘密迅速被揭开，但并非所有问题都得到了解答。若过去的话语和真相伤害了当下，今天的沉默和谎言能带来更美好的未来吗？这些构成一种肥料，让美丽的植物在上面生长。故事利用角色在行动和言语上的模棱两可，超越道德边界，让人思考这一切是偶然发生的，还是经过了精心策划？这也构成一部多层次的家庭戏剧，同时传达出衰老和孤独的主题。在欧容的创作生涯中，菌菇象征着的秋季已经来到，秋天的重要特征是大自然得到第二次开花的机会，这是收获的季节。
ibelieve,2025-01-26 22:29:07,广东,3星,32,这部更适合叫《邪恶不存在》。
切切罗,2024-09-30 14:45:06,山西,5星,89,坠楼的审判第二部：坠楼不审判
字母君,2024-09-21 07:18:43,西班牙,未评分,24,近年欧容转型“重剑无锋”的又一次尝试（是枝裕和化？），后半段转向他拿手的悬疑情节，却故意搁置谜底，甚至连探案过程都抛弃了，留下大量情感断头（母女的前史、案件的真相、孙子与Vincent之间的感情、结局的时间大跳跃），或许对已经步入老年的欧容来说，只属于过去的“真相”已经不如眼前的片刻温情重要，既然秘密已经没有意义，那就让它们埋进落叶、变成坟墓、长出毒蘑菇吧。
红酒与谋杀,2024-10-16 21:07:28,英国,4星,40,大银幕。欧容已抵达另一种境界，跃入时间与生死的刻度，又或是书写一首田园散文诗，波澜不惊的笔触之下埋藏了太多无法言说的真相和无法承受的悲伤。在某些潺潺流水的时刻(写人与状物层面)，欧容的生活流写作甚至可以企及最好的成濑或是枝了。圣塞的编剧奖给的好准，因为剧作实在是太好了，而且这种写法才是最难成型的，因为它无法被确切掌握，作为非技巧之物只可被领悟。唯有经历过家庭变故和生离死别的人才会有更为深刻的感触，包括对那些人性深处最幽微情感的体察与觉知能力。最不一样的欧容，绝对是欧容近年来最佳。个人年度十佳候选。#LFF
胤祥,2024-10-08 04:23:09,北京,4星,27,#10706。2024圣塞配角+编剧。可惜没在平遥挤出时间来看大银幕。欧容重回巅峰的感觉，直追当年《泳池谋杀案》《沙之下》乃至《花容月貌》式的日常-惊悚设置，可谓是法国《姥姥的外孙》。最妙极的就是剧情大量留白（避开关键情节）且极度控制情绪（基本不煽情）的导演技巧下，人物在道德模糊的地带那种微妙的表演（几次“选择”，都特别棒，尤其结尾外孙对警察那场戏），实在是太厉害了。“退休性工作者”群体也是蛮厉害的选题。当然幽灵用得还是有点太常规了……#年度佳作候选#
利伯塔斯不存在,2024-10-07 06:01:03,法国,4星,31,看到 Michelle 一个人在花园里的秋千上哭泣的场景，就很担心自己也要这么孤独老去，再回头想想，至少人家站街也站了一栋乡下别墅和巴黎一套房呢，我连哭泣的资格都没了。
大大q同学,2024-09-29 02:52:55,山西,5星,50,“神女”的双重生活叙事随着时代又进步了，拯救“风尘”的不是男人也不是母职，而是同淋风雨的姐妹，看到葬礼上老姐妹们风光聚首我就忍不住落下泪来。就像文森特和卢卡斯一样，其实只有拥有同样经历才能互相支持和救赎，但救赎是否一定指向崇高的正义？女儿站在窗外，姐妹照片在窗边桌子的C位，幽灵跟着观众、看着观众，将观众也推进拷问和审视里。原来人性和神性并不在教堂升起，而在冗长的日常和空旷的自然，这在宗教起源故事里不是也得到印证了吗？丰富解读空间、复杂议题围绕着坚定的老年女性视角推进，从没有让观众有杂糅之感，反而让观众融进法国一个阳光充沛又寂寥的秋日时空，导演功力在本届平遥所有片里都是降维打击的程度吧。
邢早早,2024-10-01 08:37:02,山西,4星,25,平遥电影节最后一部电影。有的恨像爱，有的爱像恨。
seamouse,2024-09-22 04:15:36,西班牙,4星,21,红伞伞白伞伞。对于生命逝去的从容淡然，欧容越来越善于表达。这次如果又有到内地的讲座，不知道会不会又要从法国文学角度再次分析坠楼
