用户名,评论时间,IP属地,评论分数,有用数量,短评内容
白斬糖,2024-10-12 06:24:09,美国,2星,44,"很久没有看到这么愚蠢且着迷于自己的愚蠢的电影了。真的很想对导演说""yes, everything ugly is your fault."""
嘟嘟熊之父,2024-09-01 07:48:53,意大利,5星,91,观感极其丰富，丝毫不在意风格的统一与叙事的连贯，每一幕都以全新的格式展开，观看的方式也随之重启，稍不留意就会被甩下车来。时而滑稽时而悲怆，时而重表演调度，时而重构图景深，时而依靠高密度的对话激起观念的交锋，时而透过面孔实现能量的积蓄与宣泄，意识流的蒙太奇与压倒影像的强势配乐同样玩到飞起。主题庞杂又彼此勾连，犹太人漂泊与寄生的痛，美国梦的蛊惑力与黑暗面，婚姻的裂痕与韧性。明明段落界限如此清晰，却始终未见可被提炼总结的剧作结构，正切合了主角（导演）的职业特性，永远待修补的建筑，永远未竣工的城市。很久没看到过野心如此大的电影，一度想看导演出丑，但最终还是臣服了。
红酒与谋杀,2024-09-01 20:09:59,英国,3星,72,三星半。这片的工艺真没得挑，但总体上还是野心大过实力了，没觉得哪里先锋大胆，反而太拘谨，甚至有点束手束脚，肩负的包袱太重了。在这样一个庞大的制作体量之下，更需要明晰的是哪些人生篇章应该得到充分的展开，哪些关键线索又该被重点截取，是什么造就了主人公与建筑艺术之间的忠实情感。干着当今最为奢侈之事，就像一场豪赌，可结果只能说是中规中矩地完成了一部自带标签属性的“巨作”而已。看到最后一幕也算明白了，原来还给威尼斯建筑展部分做了极好的推广。科贝特是不是很想成为这个时代的西米诺啊，奈何美国影史上就只有一个西米诺。
路过蜻蜓,2024-09-01 04:54:15,德国,4星,256,阿德里安，掌管破碎感的神
Ejour,2024-11-09 20:16:02,波兰,4星,74,为一个虚构人物创作这样一个史诗般（时长）的故事，也是挺粗野的。
谋,2024-12-01 04:42:57,英国,4星,31,#BFI #70mm #Preview 长评-美国梦破碎在资本牢笼。电影以角色的内心作为主要驱动，从角色的孤独到社会结构的冰冷逐层深入的呈现，移民建筑师拉斯洛一家在美国的经历展现了资本如何吞噬梦想，人性和生命。结构可分两部分，一以信件作为主线来展现拉斯洛的内心世界，二则是妻子来到美国后两人共同的经历。他被束缚于资本的牢笼，他妻子则是被普渡止疼药毒害。侄女在片中的沉默成为战争创伤和资本吞噬未来的一种具象表达，而开场与结尾的对照也是预示着这些都是历史创伤的不断重演。构图和大量浅焦很棒，手持跟拍呈现的抖动和POV的升格特写镜头也很大成度帮助呈现了男主的内心。广角仰拍体现权力，纪实风格的画面打破现实与虚幻的边界。音效和配乐在两幕变化明显，片尾曲也是极尽讽刺。建筑如同电影，讽刺美国资本想到了《蔑视》。
咸菜帮老大,2024-12-16 07:36:38,美国,3星,63,預告片可以說是年度級詐騙現場，那些想像中關於建築的聲色光影、戰後美國的設計史詩，統統讓位於小格局的顧影自憐。那些創作者想要表達的，正是我早已厭倦的。Q&A明顯能感受到導演編劇對於建築並沒有特別想說的，屬於借這個酒杯澆自己塊壘了。只是關於建築師的電影甚至沒有一張設計剖面圖，頗令人失望。
南辕北辞旧城,2024-09-02 01:48:22,意大利,3星,44,严格里说是三星半，为Adrian和Felicity松一把可以是四星，为建筑本身的优秀松一把可以是五星。导演想什么都抓一把，结果每个都从人指缝里漏一点：二战后的犹太移民、宗教、美国梦、种族、婚姻家庭、战后艺术的去留…这就是本片的模样，大杂烩吃点菜。影片风格独特是视觉享受，配乐加分，用包豪斯工业设计输出现代建筑美学一把甩人脸上，虽就个人来说其实很吃这一套👉👈但是不代表可以掩盖过剧情和叙事上东一块西一撮，这样的叙事方式带出来的人物塑造…等上院线看的话，感觉观众屁股的坐牢感会有点重，哪怕有影片钦点的中场休息20分钟。喜欢建筑的可以来看看这部，甚至是建筑双年展粉丝向，结局竟是最好的宣传。中途配角说我唯一一次离开卡拉拉是为了亲手去揍Mussolini尸体一顿，影厅有意大利人乐得鼓掌，这很🤌
btr,2024-09-03 08:11:51,意大利,5星,40,#Venezia81 史诗般的叙事。第一部分借用奈保尔的书名「抵达之谜」，暗示作为他者试图融入美国的时期；第二部分妻子到来后，美国梦brutal的一面显现。建筑/未完成的建筑不啻拉斯洛一生的隐喻。布罗迪应该拿影帝了。相比故事与摄影本身，声音设计更新颖先锋。（ps. 如果你搜索Laszlo Toth的名字，你会发现……）
Kevin,2024-11-16 16:09:46,美国,3星,27,#pff24 开篇倾斜的自由女神，这片土地上从未消散的罪恶和堕落。但epilogue真的既不聪明又不敏感，急切地给出归纳、毁掉所剩无几的暧昧性，还板上钉钉了如此problematic的zionist视角
