用户名,评论时间,IP属地,评论分数,有用数量,短评内容
喻鸣,2024-11-08 20:10:08,北京,4星,240,离开好莱坞谁还拿我当小孩？新奇世界观开局，普世危机事件引爆，巨星大咖云集作战，视觉奇观轮番登场，温暖和解作结，一股浓浓的好莱坞爆米花味儿扑面而来。过程轻松愉悦，熨帖人心，狠狠去班味儿。收拾收拾，准备签收这冬季新款电子羽绒服啦。
翻滚吧！蛋堡,2024-11-08 11:47:58,北京,1星,90,很久没看过这么弱智的电影了
UglyBerry,2024-11-08 11:27:44,北京,3星,266,你爱我，我爱你，蜜雪冰城大电影～
朝暮雪,2024-11-08 22:27:38,四川,2星,167,竟然找一个不懂幽默的导演来拍喜剧片。你cue神奇女侠，还不如叫克里斯·埃文斯问“有没有巴基手办？”再拍个片尾彩蛋，克里斯·埃文斯真的去买了一个巴基手办，然后把它变大了。
凡人电影,2024-11-08 15:28:02,北京,5星,191,美队、强森和刘玉玲，卡司确实惊喜！神管局的设定也挺有创意，圣诞老人成为北极大厦的重要人物，古老神话和硬科技放到一起也不违和，动作戏不少，结尾看到圣诞老人分发礼物还是觉得很可爱
女神的秋裤,2024-11-08 15:02:58,山东,4星,191,好莱坞类型遇上圣诞节，怎么不算一种解构呢？片中不少节日细节，搭配奇幻和动作的呈现，落点依然是上价值的合家欢，给每个满怀童心的成年人用电影营造出一部“圣诞超级英雄梦”。
第七大陸,2024-11-08 11:14:30,北京,4星,179,这不比“狼来了”对淘气鬼更有震慑力啊？对于圣诞老人这个角色的现代性改编，公司和健身狂人，乱炖神话传说和绑架老板，幽默元素基本集中在美队的颠覆，演小混混也是“一脸正气”。冬日限定电影，氛围一流，笑闹温情合家欢。
影探,2024-11-10 01:25:33,山东,4星,140,很喜欢，很轻松，很欢乐，很强大的文化输出，高质量好莱坞商业片范本。世界观完整庞杂，北欧神话乱炖，但炖的有质感。Santa、Krampus、Gryla、淘气名单…勾起无限童真。虽然披着俗套的双雄动作片外壳，但内核依旧简单纯粹和暖心。还有大量漫威DC梗，梗很多，很有趣味，精准定位喜欢神话和超英的“幼稚”大小孩。黑亚当和美队强强联合，美队再次以凡胎肉身比肩神明。神奇女侠的梗和那只鸡真笑死个人…
94阿毛,2024-11-08 12:51:43,浙江,1星,54,3.0。和 749 同一水平。片场随意大小便的卤蛋进一步坐实了好莱坞烂片王的位置
嘟嘟熊之父,2024-11-08 16:56:27,北京,1星,38,把预言家日报末版末条豆腐块大小的一段新闻剪下来拍了一部电影。魔法世界之耻。
Hugh-Antony-Dis,2024-11-08 14:05:35,广东,5星,117,圣诞童话永不过时提前过圣诞了故事，设定都好有趣因为有美队和黑亚当，所以好有超级英雄既视感卡尔的臂甲能力像蚁人一样w女巫造型好好看电影中关于父子关系的讨论也好好我真的很喜欢看圣诞题材的作品，各种各样对圣诞节的诠释都很有趣——国内引进老喜欢乱加多余的副标题
猪儿虫就我一个,2024-11-08 11:09:25,重庆,2星,145,赶暴力之夜差远了，你要问暴力之夜是什么电影，是22年的圣诞烂片。
HarperDie,2024-11-08 12:54:11,北京,1星,33,圣诞合家欢也不必剧情处理得如此低幼，好的idea不代表一定能转化成好的故事。影片的呈现效果，更像主题乐园互动游戏的超长宣传片。
人间烟火,2024-11-08 22:05:41,江西,3星,267,盖尔•加朵空降的话我就给五星了
红茶尼禄,2024-11-08 11:57:18,上海,2星,141,美式包饺子
kylegun,2024-11-13 01:51:09,北京,5星,102,劫持信号潜入北极瓦坎达飙雪橇脱出，美队公寓楼搏斗大战听话棒军团，黑亚当演了个蚁人elf大小伸缩对决雪糕车雪人流氓，携拳击机器人杀入圣诞老妖怪兽古堡，攀爬驯鹿升空飞行跑道面对巨大化触手巫婆，平安夜全球送礼演示101，用魔法将玩具放大现实化的首选还得是神奇女侠……感觉像个SNL的短剧段子硬拍成了两小时长片，水时间的无聊文戏不少，但想象力还是蛮欢乐的，希望圣诞前后流媒体上映能稍微回点本吧。大银幕节庆体验加一星
大鳥,2024-11-10 15:49:10,上海,5星,97,不管 就是好看！
谢谢你们的鱼,2024-11-08 16:42:57,北京,1星,15,华纳花了2.5亿投资拍了一部适合上线disney+的无趣网大。这个年头花大投资拍节日应景片已经够愚蠢了，居然还有人试图用漫威打方式搞一个类似神话宇宙的设定，过时且弱智。让道恩强森像蚁人一样打架，让40+的克里斯埃文斯重拾圣诞的意义，让刘玉玲演一个Nick Fury，想想都是可笑至极，这年头谁还相信圣诞精神呀？我仿佛已经预见本片全球扑街的下场了。
Anything Goes!,2024-11-08 17:47:36,福建,2星,56,没啥惊喜的好莱坞流水线产品，放圣诞节上映可能还更有氛围
椰子灰,2024-11-08 14:55:41,黑龙江,1星,19,ChatGPT会梦见电子菌子吗。。。？这是在干什么啊，又臭又长小孩都骗不了
Mr. Infamous,2024-11-08 14:01:40,北京,3星,94,有我桃，有我玲，有我喜欢的神话童话大乱炖，有六旬猛男肌肉秀，有圣诞氛围……快乐当然有，但是也有一些但是。其他开发成剧集，但要找些酷点的成人编剧。20241105
拜伦,2024-11-08 21:30:28,浙江,3星,75,只能怪我自己，看到演员以及电影名，就以为是间谍大片，结果面向儿童的圣诞电影
桃桃林林,2024-11-09 14:16:35,北京,2星,26,也是硬编出来的故事，毫无逻辑。最后也就是为了蹭一下圣诞主题。里面角色说，最大的危机就是没有圣诞节了，其实我们也还好，本来也不过，是吧
20个小明≯,2024-11-08 22:16:34,北京,2星,26,真·又臭又长，看得脑袋疼，全靠刘姐出现的几分钟续命…巨石强森才是好莱坞天山童姥吧，怎么还跟二十年前《蝎子王》里一个样…
伊森观影,2024-12-17 22:10:46,云南,2星,2,黑亚当+美队组团拯救圣诞节🎄片子有点时代感，花了2.5亿刀加持下的特效依旧是网大质感，故事相对低幼无逻辑，也没有高潮，但适合冬天家庭影院，打发下时间，两星半吧。
Koln,2024-11-08 11:37:48,英国,1星,23,五彩斑斓的烂 睡了一个小时 醒了还是觉得傻逼 克里斯桃能不能少接点这种沙雕本。。。
影迷05,2024-11-08 11:54:38,山东,3星,80,非常离谱的电影，两星有余三星不足 （5.5分）简直速激附体，脱开地心引力的动作戏简直让人觉得看了一部低成本《速度与激情》非常之降智，不能把它当成动作片 把它当成一部纯纯喜剧片效果更佳电影进入到了20分钟之后 影片进入到了正片时刻，但是打戏真的好敷衍，第一个打戏是巨石强森追抓圣诞老人的人，那段简直了，piu一下，这是致敬《蚁人2》，电影各种变大变小，变大汽车，变小汽车，这也是致敬。但是真的没有太大的新意，然后更离谱的还是雪人，我真的没想到只需要把胡萝卜一扒，雪人就死了。（太离谱太离谱了）反派用了一个女演员 女演员当反派非常非常的出戏，真的出戏。很绷，死的也敷衍就是各种敷衍我本以为桃总和巨石强森在一起会有不错的化学反应，但是看完感觉还不及死侍金刚狼1/10的默契度等《角斗士2》吧
CloudAtlasJ,2025-01-06 23:59:22,辽宁,3星,1,【6.5】世界观铺陈太仓促，魔幻buff叠得理所当然，没想到现在的大片越拍越低龄。曾经完美的奇幻冒险片模板，在新一代的观众眼中只是食之无味、弃之可惜的小烂片。好莱坞现在最大的问题之一是缺少家喻户晓的新生代明星，这些老大牌的表演风格早已定型化，他们还是爱惜下羽毛、少搞套路片团建捞钱的好。他们没演累，我都看累了。国内外的电影语言和题材都该创新了...（为什么不是圣诞档？）
JoeyLu陆柏宇,2024-11-08 17:31:55,江苏,2星,19,勇敢者游戏之拯救圣诞老人
Decadent,2024-11-08 11:28:44,辽宁,2星,38,强森也逐渐成为烂片招牌了。。我还是不太能看的进去这类，电影的剧情设定让人觉得很尴尬，，感觉更适合带小孩子来看。而且百思不得其解的地方在于科技这么先进的一个机构居然面对绑架束手无策，仅需要一个不再是美队放飞自我且会IT和体格强健的凡人，，，
大纠结师,2024-12-24 23:59:05,广东,3星,29,想看标：什么排列组合，下一次是谁跟谁，小贱贱和海姆达尔？看过标：两大bug，美队设定是凡人，体质还是美队；非要圣诞老人一个人一晚上发完所有礼物，虽然挺浪漫但完全不合逻辑啊
pandora刀刀,2024-11-08 18:20:21,北京,4星,128,感觉这才是最适合CE的角色～ imax还是最适合这种热热闹闹的电影。最珍贵的食材适合最原始的料理方法 ！ 有时候感动就这么简单。
UrthónaD'Mors,2024-11-12 11:01:02,北京,3星,13,还算合格的爆米花～圣诞老人身手真好，就这不送礼物了也能去中国送快递吧～以及有个穿帮，男主的孩子被吸进雪球里时手机是掉到地板上的，后面他妈妈给他打电话他又在北极接通了但是他又没有回去。
[未注销],2024-11-08 19:23:10,上海,2星,8,🌟总体： （❶５４２年工龄，全然不知雪人的死穴是胡萝卜🥕？它们是什么新品上市吗？❷大庭广众之下放大汽车？）📖故事：哥谭警局正式工⚡️“黑亚当” ➕《号角日报》临时工🔥“霹雳火”🟰🎄神管局特工的惊心冒险🔮🎯主旨：换了皮，包的就不是饺子了？🎭演员表现：巨石岿然不动，僵硬一如既往；迪士尼／漫威是ＣＥ的遮瑕霜。
broooke!,2024-11-08 11:33:26,中国香港,2星,34,双男主吧但是最精彩的打戏只有刘玉玲那几秒钟
玩儿少,2024-11-08 21:51:47,四川,3星,13,意想不到会合作的四位组成的卡司，也是意料之内的纯商业片。作为一部圣诞老人电影，里面的奇幻设定做的不够好。美队的喜剧效果不错，女反派是美爆了的。
或者雪,2024-11-08 13:02:25,江西,3星,22,基本属于儿童片
朝阳区陆依萍,2024-11-08 11:16:48,北京,4星,80,太欢乐，太解压了！强森美队合体，主打一个搞笑动作圣诞大冒险！圣诞老人被绑架多么脑洞大开的设定，还有智斗女巫，极限跑酷、驯鹿飞车，场面火爆又充满想象力。最后，淘气大人变真诚小孩，红色一号的保镖也了解了工作的意义，每个角色都有自己的性格特点和成长轨迹。冬季来临，这部电影不仅带来了欢乐解压的氛围，还守护住了节日的欢乐与温馨，非常适合全家一起看，在年底清空烦恼！
囍弗斯,2024-12-14 14:46:02,辽宁,3星,1,整体还算有趣，美队虽然超英系里最讨厌，但再就业成果喜人，可惜最后变成邪恶女巫烂爹洗白的男人片。另，米国又下征兵指标了么，为什么最近新片全有军事化行动？不过从征兵的角度看确实应该做男人片。
瑾羲Qing,2024-11-09 00:14:17,四川,4星,122,"Oh come on, it's Christmas!圣诞老人的家乡是什么样子的呀？这个电影给出了一种构想。当然是冰雪覆盖而且充满科技感同时又有浓浓的工业革命时代的复古气息啦。麋鹿雪橇科技感十足，麋鹿可可爱爱又武力值很高。是因为这样的原因，圣诞老人不会卡在窄窄的烟囱里！确实，JK西蒙斯的圣诞老人挺惊喜的。另外CE这种性格的角色也能集齐好几个了吧，爱看，这部他贡献了挺多表情包的，喜剧效果很好。"
Parallax...,2024-11-11 20:12:49,北京,3星,3,杜绝一切恶行之举其本身即构成了恶，人并非绝对的善，也并非绝对的恶，而是善恶同体的矛盾与善变之存在，即人可以由善变恶，也可以由恶变善，而这里的前提是，善与恶必须是清晰的，而且必须是存在着一个普世的善恶价值与标准的，所以这仍是一个善恶的二元论，并非对善恶本身的思辨与探讨，而是对人存在本身的能动的可能性，流动与变化的呈现。
乌鸦火堂,2024-11-08 18:54:16,北京,2星,15,好莱坞这种高不成低不就的电影也够了，打着合家欢的旗号，本质上却跟真人版“熊出没”差不多。但你要说低幼吧，这还是个PG-13级，有不少打斗和段子集；却受限于年龄向，动作戏跟玩闹一样，特效也不尽兴，整个一四六不靠，这种“既要又要”的片子，观感味同嚼蜡。唯一好玩的地方，就是美队和神奇女侠的梗。
