用户名,评论时间,IP属地,评论分数,有用数量,短评内容
rainraingoaway,2024-06-01 09:41:46,北京,2星,51,一种无知者无畏的例子，所有的人物作为工具出现只服务于主人公的自恋。如果电影只负责表达和宣泄情绪的话，人与人之间的误解恐怕只会越来越稳固。当双向、原生家庭、性别身份和父权都只作为符号出现，我们永远无法深入一个人或者一种时代情绪，但人们总是喜欢这样“年轻”的态度。
1900,2024-06-15 00:29:16,上海,3星,58,SIFF 5/太长了，如果短一些我可能会很喜欢，不可否认的是，女主真的很好，很细节很生活化的表演，那些陷入自我（无缘由的懵逼和力不从心时刻）被困住的神态也是极其的自然。前半段比后半段要好很多，中间让我能够短暂共情的原因是因为自己刚从学校那个大棺材里逃离出来，平时大多时候的我也是这个吊样子，非男人非女人是死人，讨厌别人也恶心自己，毁灭倾向不仅对外也冲内。对当下不知所措，对未来不可言说，家人的简单登场与对话却没有深入的展开，阶级问题一带而过根本没有想要展现矛盾，仍是专注于一些私人化的情绪表达。其实一些东西不明说就已经表现出来了，但是非要给这个厌世情绪的加一个原由属实没什么必要，反而显得刻意，最后一个小时简直太折磨人了，无意义的对话与肢体冲突，使得本就令人抓狂想死的生活最终完全沦为一种“听不懂”…
难遇,2024-07-22 21:26:29,广西,4星,93,看到唐田的那一瞬有点想哭，感觉她已然成了某种神秘的符号，什么都象征着，又什么都不象征。
Peter Cat,2024-05-19 09:53:08,法国,4星,78,她恣意、任性、自由、拧巴、内耗、自毁，一部只有女孩才能拍出的女孩电影。
水原吸管,2025-02-02 22:26:37,中国台湾,2星,5,河合優實新生代實力派認證⋯⋯但真的我已經看夠日本新世代導演自以為是地剖析青年生活的作品了。
megaclubdiolis,2025-02-02 21:47:08,美国,2星,3,感谢山猪老师字幕。果真是已经过了看这种无病呻吟的作比indie会感到触动的年龄吗。整得也太长了
海带岛,2024-05-18 11:43:52,北京,4星,70,河合会成为大女优
私恋失调,2025-02-09 16:11:48,上海,2星,2,看到一种生活的表象，看不到这种生活的肌理，段落之间缺乏联系，几乎没有什么叙事目的。女主加一点分。“有剧毒”那段台词，奉还给导演。
怪櫯櫯,2024-08-18 17:20:54,中国香港,4星,44,反胃作呕的调情糖果，流血的爱情信物鼻环，二十四孝男友孝完女友孝老板，道德审判男友却又以同样的堕胎梗玩弄前任，捡东西是服从测试，不自觉的反抗，以暴力代替性爱沟通，有人以恋爱疗愈病情，有人以创作理解人性，纳米比亚沙漠是心理医生的沙盒，是遥远的动物世界，而听不懂是人类共同的终极命运。声音细节做得很好，上一次厕所戏让我印象深刻的还是《世界上最糟糕的人》呢。喜欢这种不是为了符号而符号的叙事，全然在生活中以血肉之躯冲撞带来的体验。
Kinyuan,2024-05-18 19:36:08,法国,3星,47,@Cannes2024 另类身体表达：用做爱的姿势打架，或者说用打架代替做爱。
蓝詹,2024-06-14 23:50:43,上海,3星,27,导演不愧是娄粉，拍了一个超级大号女人渣（换成男好理解吗？）的作妖记。然而这套四处都似乎在哪里见过的手法真的不顶，我已经见过N个日本女孩在窗口站起伸长腿撅屁股的背影了。新人needs something fresh.
Methy,2024-05-18 12:04:22,日本,4星,31,关于那些注意力、媒介、爱情的时代病，以及还未被规训、仍感到无所适从的身体。绝对灵动的前半以及如生活一般令人抓狂的后半。
