用户名,评论时间,IP属地,评论分数,有用数量,短评内容
谢谢你们的鱼,2025-01-30 23:59:43,浙江,2星,13,什么狗屁续集，什么狗屁译名
内陆飞鱼,2025-02-06 18:12:34,云南,2星,2,闷葫芦，催眠佳品。
叱咤﹎Ｍ●,2025-02-02 19:41:11,湖南,3星,9,为什么不直接叫《贼巢2》，这个《绝密战境》跟电影完全不挨着，这部没有一场好看的枪战，动作戏也几乎没有，偷盗也没有什么高智商，关键还没有第一部的大反转，前面一个小时还都是废篇，有点浪费时间了。
Rose,2025-01-14 04:31:51,美国,3星,5,确实有点催眠，前面铺垫准备的时间太多。最后进攻保险库还是挺紧张刺激的。男主老是跟嫌疑人坠入爱河来体现做卧底的不易有点yy，gay jokes有点多。最后在男主的感化教育下小黑也改邪归正当了卧底，算是HE
обломов,2025-02-01 13:22:40,江苏,3星,6,居然有点暗战那种基情了，导演你要拍三部曲就明说啊，我支持你
mills,2025-02-08 21:46:00,辽宁,3星,0,时隔7年的续集，放弃了盗火线的思路，而采用了哥俩好，前半部好像在看电视剧，后半部像速5+碟中谍，好在有半小时的劫案和追车来兜底（虽然也不及前部）
Hugo,2025-02-02 23:24:25,四川,3星,4,Nick 哥还没有西西里黑手党讲究
程小挑,2025-02-08 03:27:23,辽宁,3星,0,老套路
人皮動物,2025-02-06 23:29:35,美国,3星,0,第一部里这么硬，第二部里咋就猩猩相吸起来了……有点拖沓，但也算好看。1080P 25/02/06
绝密飞行,2025-01-10 15:36:25,马来西亚,2星,9,太一般了，又臭又长…..
深溪虎,2025-02-08 14:33:48,上海,3星,0,杰拉德·巴特勒为啥和卢塞·克劳越长越像了？中年男人一定要控制体重，不能发福啊，一胖毁万般呢。
toishiki,2025-02-03 03:01:40,美国,3星,3,黑帮老大真是怪好的嘞，本片死伤不超过四个人。中间谈心有点拖，猫鼠游戏猫当鼠的视角还挺好的，虽然他们称自己为虎猫…
Keith Lee,2025-01-19 14:45:56,湖北,2星,4,和第一部比差远了，就是低配碟中谍和无间道，动作戏聚集在结尾，期待类似第一部的近身枪战戏份被追车戏代替，故事也只讲了一半，肯定还有第三部，现在这种讲到一半剧情戛然而止的片看着太难受了，坐等贼巢3。
Flash Brightly,2025-02-08 00:28:28,北京,3星,1,就抢钻石银行那一段好看，其他部分琐碎无聊。
xiangkaiad,2025-02-11 01:06:27,安徽,2星,0,我艹！陷落大哥累了吗？2个多少小时流水账看的人昏昏欲睡，要不是巧妙盗窃那一段，就让人简直了！不过也蛮符合法国、意大利人的风格，慢慢吞吞的性子！但是别拿我们玩啊！陷落哥也不讲究，一块的伙伴说卖就给卖了，然后良心发现又救了好基友！关键是那个黑道老大与你是什么关系？埋伏笔再拍续集？！别了，看着真累，浪费时间！奉劝大伙：散了吧！除非你吃饱了撑得还要看！
rass,2025-01-30 23:33:32,安徽,未评分,0,看起来就是个中低成本的好莱坞商业制作
林示,2025-02-06 08:37:35,重庆,1星,2,看了二三十分钟直接删了。
不是CD是DC,2025-02-03 09:45:56,内蒙古,1星,2,看了一个小时，昏昏欲睡，快进到后面的剧情发现，还是一样的无聊。
沈精病,2025-02-06 10:54:55,浙江,3星,2,没看过第一部倒是完全不影响看这部续作。尽管影片试图通过跨国犯罪、黑帮势力、警匪对决等元素营造紧张氛围，但整体叙事依然陷入动作片的套路化窠臼。前半部分冗长的铺垫和拖沓的节奏让观众难以沉浸，而反派角色的塑造也显得单薄，影片的后半段是动作戏的高光时刻，其动作场面和道具设计可圈可点，但老套的剧情和技术漏洞严重影响了观影体验。
舌在足矣,2025-01-19 14:22:47,美国,4星,7,如果说第一部是B级版《盗火线》，那么本作则是南法版《迈阿密风云》：在动作戏和劫盗场面水准保持在线的同时，毫不吝惜大把的时间利用杰拉德·巴特勒和O'Shea Jackson Jr.的化学反应来大做文章，成功升级为一部vibe片
失去梦想的柴犬,2025-01-12 08:15:42,美国,2星,5,杰哥的最近好几部都是一眼烂，但是也还能看，但是也就是不爽的感觉，这个冗长对话多就很不舒服，动作方面也没有第一部那么充实，再就是，hate & love bromance relationship😅以及“我爱你NATO🤬，唉，杰哥，算了算了
大号煎饼,2025-02-05 14:26:16,北京,3星,0,慢，尼斯不错
桎火,2025-02-01 13:31:07,江苏,1星,2,1.31【2025 英先生 犯罪 经典翻拍 第六大 美国合拍】[视]难看，节奏拖沓，动作戏比《侠之大者》还少，在100分钟后。130.8min，狮门，个别法语，又名“贼斗2”，时隔七年的续集《蛟龙行动》。双男主，有女主，比利时，加州洛杉矶，巴拿马城，法国，国际钻石交易中心，提及中国，有招财猫。
"Reise, Reise",2025-02-01 16:57:34,江苏,2星,2,竟然找不出一场亮眼的动作戏。。。那你两个多小时在拍啥
维多利亚的咪咪,2025-02-04 01:39:05,辽宁,3星,0,只有最后半小时值得一看，前面一个多小时都是磨磨叽叽的铺垫，如果不是最后的所谓反转，跟第一部比起来这续集就是一坨翔，还好几位不出意料之外还是发生了意外，但是结局之前的反转还是有点意思，兵就是兵贼就是贼，势不两立，这片可看可不看，娱乐性稍差，紧张刺激的桥段几乎没有，第一部比起第二集来说就是神作
CQB241,2025-02-05 13:31:02,广东,2星,1,GB要加强身材管理啊。。。看看阿汤哥
Theodore.,2025-01-19 02:55:03,马来西亚,3星,5,观于吉隆坡GSC院线（谷中城美佳广场）.逊于前作，看出来是狮门在前作后续受影迷群体欢迎而订制的续集作品，没有继承前作盗火线式的生猛动作风格，转而向《偷天换日》《十一罗汉》等偷盗类型片靠拢，在许多方面都留于平庸。前半段节奏又过慢，远没有前作紧凑。
rhythm X,2025-02-04 23:58:28,广东,3星,0,还不错，卧底逻辑草率了点。3.5
蛋炒虾仁饭,2025-02-01 00:59:26,广东,3星,2,Nick卧底将Panther一网打尽，这强扭的剧情，说不过去啊
wildeye,2025-02-08 09:25:23,北京,1星,0,对比之下，烂片。
kylegun,2025-02-05 02:26:47,海南,4星,2,杠杆时间差电子盾潜入，山地重军火对杀；没了第一集头尾轰通街的过瘾，多了些美国牛仔闯欧洲玩高端heist的意思，但看小 Ice Cube 和斯巴达打情骂俏真没啥意思。最后反转一次就好了，反两次都不知道要干啥
惊悚克里斯,2025-01-30 23:02:43,湖南,2星,6,又是预告片比正片好看系列。130分钟浓缩到90分钟更好，前面文戏太长了。枪战戏部分大大削弱，增加了潜入戏份，但是总体来说还是撑不起130分钟的长度。整片的感觉越来越像速度与激情了。整体差强人意。
鱼进锅,2025-02-05 20:53:12,澳大利亚,2星,0,好无聊，和第一部完全不是一个档次的。。。
美好之世界,2025-02-06 20:58:41,山东,1星,0,垃圾中的垃圾
总有蓝天,2025-02-04 21:11:41,山东,2星,1,看之前还恼火到底是哪个大聪明把片名从“贼巢2”改成了“绝密战境”，看之后才发现电影的质量和片名属于是双向奔赴了。鉴定为，同行先进经验学得太多，反倒忘了自己几斤几两了。本片一多半时间用来组队+实验，最后四五十分钟执行+跑路的结构，多少借鉴了上世纪盗匪片的模式，明显是要跟上一部里五大三粗拿枪乱射的风格划清界限了，以至于开头第一句就迫不及待地喂观众嘴里。这样一来，那些来看动作戏的老哥们先不高兴了，因为本片能看见枪的片段满打满算都没有半个小时。然而影迷的满意度估计也好不到哪去，毫无戏剧感可言的故事写作，张力为0的人物关系，十以内运算般复杂的利益纠葛，以及全员喝了假酒一般的表演，都注定了本片过两个月就会被人遗忘的命运。
feet,2025-01-29 22:53:48,山西,4星,1,前面部分有点闷。后面给到了观众一些东西。
哈总丢了金箍棒,2025-02-06 22:33:57,上海,2星,0,剧情冗长乏味，设计也不够精妙，敌方降智，人物扁平
轩哥,2025-02-04 22:29:31,广东,3星,0,前半部分的铺垫太长了。动作戏几乎集中在后三分之一，也没有第一部出彩。等了7年的电影有点失望。
摩羯座的猫,2025-01-17 19:50:38,北京,4星,2,没有第一部刺激，但是故事内容不一样。这个故事不是讲的抢银行，不可能全程火力全开。
梦之安魂曲,2025-02-02 22:17:15,江苏,2星,1,打发时间随便看看的，挺无聊的。
巴别塔的光芒,2025-02-05 12:23:09,四川,2星,0,唉，巴特勒可惜了，近年的片子都一言难尽。
ｃｈeunｇ''',2025-02-10 17:54:43,广东,2星,0,7年就等来这坨续集？预算多了1/3，文戏却占了4/5的篇幅，剩下那半个钟头劫保险库还很水，只有一小段追车枪战，真是要啥没啥，跟第1部完全比不了。
pansin,2025-01-31 23:03:37,广东,4星,2,低分关键在字幕，其实蛮有特色的。
风清月下,2025-02-09 11:46:43,加拿大,2星,0,真正意义上的狗尾续貂，巴特勒估计要掉到三流明星行列了
梵ａ,2025-02-04 12:12:18,广东,4星,0,中间导演内涵北约笑死。结尾监狱探望那段对白很符合男主，重情义的男人，背叛兄弟感受肯定不好受。虽说，整个过程确实是没第一部来的困难，按照第一部惯例压到最后的枪战戏改为追车+枪战，各有亮点吧，刺激、紧张感肯定差点。总体看得还是不错，全靠好演员，期待第三部
TheK_,2025-02-07 17:50:51,山东,1星,0,我勒个保时捷啊…还能上瓜子回收吗？
Kwaidan怪谈,2025-02-03 09:56:37,澳大利亚,3星,1,第二部整成纯粉丝向了，为第三部承上启下。文戏为主，没了招牌枪战场面，路人很难看得下去啊。
Jeff Liu,2025-01-30 22:33:12,上海,4星,0,没有像前作最后超精彩的枪战，扣分
syduling,2025-02-02 16:25:47,辽宁,2星,0,烂片，又臭又长，要动作没动作，要智商没智商，拍完导演自己能满意吗，这么多镜头的拍了，也不差那点钱了，不能把故事捋顺了，不能好好剪辑一下吗？
长日留痕,2025-01-19 04:43:55,美国,2星,0,剧情拉就算了，其他fancy的部分也没拍出来，挺凑合的就是
今日上映,2025-01-31 18:11:20,北京,3星,1,有点失望
吴庄主,2025-02-06 20:29:54,江苏,2星,1,这是一个导演拍得吗，我都恍惚了~~太烂了，烂到不值一评了。最后又让M249出了个镜头，结果一枪都没发，枪都看不下去的意思吗~~
Roy,2025-01-14 04:51:27,美国,1星,7,莫名其妙的电影。。。中间一度看到睡着了 也没看到Nick为什么就加入了 但是让我无法理解的是唐尼就这么让Nick加入了？然后一点也不怀疑？（可能我没看第一部吧） 然后最后的反转加反转真的是让我无语。原本觉得是三星可以看的电影（虽然前面冗长多余） 然后每次反转扣一颗星 最后变成了一星大烂片
