用户名,评论时间,IP属地,评论分数,有用数量,短评内容
不靠谱小姐,2010-08-17 11:39:02,,5星,29655,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...
如是我闻,2009-03-13 21:23:18,,3星,1486,在真实的历史面前，不可能有这样的轻松与浪漫！
老鸡｜扶立,2008-01-10 16:54:36,,5星,14093,如果谎言可以这样美丽，我也情愿生活在谎言之中
寄意寒星,2007-03-10 00:04:40,,5星,10571,或许这是我看过的最伟大的喜剧。
UrthónaD'Mors,2008-01-27 23:20:12,,5星,9697,喜剧的开始，悲剧的结束，满满的亲情，无限的父爱
monotonous,2007-12-21 16:05:17,,4星,14934,人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。
海上明月,2007-09-03 15:23:38,,5星,8016,绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。
文泽尔,2007-11-20 17:09:28,,5星,5905,父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.
朝暮雪,2012-08-07 15:40:11,,5星,3982,铁门坠落的钥匙叩开玫瑰庄园却解不开种族烙铁的炙痕白驹驮着新娘奔向自由疆界却冲不破铁丝网编织的牢笼他用幽默的盾牌抵挡现实的箭矢以父爱为密码破译战争的密电一块奶油蛋糕跨越种族隔阂红地毯丈量着从阶级到真心的距离留声机转动希望的波长管风琴震碎绝望的玻璃用童话语法重构集中营的夜晚让坦克游戏消解毒气室的阴影“早安我的公主”融化铁幕寒冬“我们正在夺冠”点燃废墟星辰在谎言的土壤播种真相之花将枪炮声谱成睡前童谣他弯腰成为儿子的温暖坐骑昂首化作妻子的永恒骑士当黑暗吞噬所有光亮他用瞳孔折射太阳这不是集中营的编号囚徒是穿着条纹睡衣的造梦先知用微笑拆除地狱栅栏以心跳奏响自由乐章
ᥫ᭡້໌,2017-02-08 13:44:54,,5星,4493,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。
寂地,2006-01-05 00:14:15,,5星,6822,"即使是悲惨世界,也要大大的笑着."
亲爱的我呀,2007-09-05 13:08:50,,5星,5127,很久以前看过的，永远难忘片中父亲的鬼脸
林愈静,2006-04-21 21:04:23,,4星,7116,看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005
momo,2016-09-10 21:31:11,,5星,5073,不敢相信男主死了，总以为他能活过来
雨果,2016-12-09 23:06:45,,5星,2749,看过很多遍，我会背很多台词：我想和你做爱，我见你的第一眼就想和你连续做三次爱。如果你违反了三条规定中的任何一条，你的得分就会被扣光：一、如果你哭，二、如果你想要见妈妈，三、如果你饿了，想要吃点心！想都别想！第一句爱情性感，第二句父爱如山 最爱的还是那句：早安，公主！
毛驴哥🔒🔒🔒🔒,2005-12-26 23:07:42,,5星,3887,对我说：“早上好，公主”吧
影志,2005-12-28 01:22:48,,5星,2059,"世界上最美丽的谎言与微笑。Surprise her, forever!"
太空小孩,2011-02-19 03:14:50,,5星,2053,该给 1000 分的电影
Lan~die,2007-04-04 13:57:08,,5星,996,关于父爱的伟大电影。以非凡的想象力和诙谐幽默演绎一场不堪回首的历史惨剧，那怦动的热情和对人生充满希望的美丽震撼人心。“为了看到阳光，我们来到世上。为了成为阳光，我们存于世上。”在Guido身上，你看不到那些痛苦、隐忍、挣扎和艰难。这位一直用荒谬的态度对待人生的荒谬、以达观的态度对
杨迪,2009-12-19 14:10:11,,5星,1068,看完快哭死  想起就哽咽  强推
曾于里,2013-04-09 17:57:40,,5星,674,重看，我想这部片子可以教会每个男人如何做父亲
大头绿豆,2005-12-04 17:10:05,,5星,1079,最温柔的谎言。
Cherry,2005-07-12 17:23:03,,5星,885,美丽的灵魂成就美丽的人生
Q。,2010-06-15 18:31:59,,4星,3759,这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆
汪金卫,2015-08-08 11:31:30,,3星,255,【中国电影资料馆展映】绝对被过誉的电影。前半部还不错。后半部集中营里男主继续各种作死还能安然无恙，就太扯淡了。正好最近在研究《古拉格群岛》。这种事在苏联劳改营不可能发生，在纳粹集中营应该也不可能。浪漫感人但也虚假。胶片放映中途，机器多次故障。看来胶片电影真要看一部少一部了。唉。
叶子窝,2017-01-04 12:26:53,,4星,2722,前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。
凡尼斯,2009-04-26 23:37:27,,3星,380,用我残疾的心去看这样一部电影。已经完全没有知觉了。
穆迪,2007-05-23 20:02:15,,3星,140,喜剧演员常有，但是罗伯特贝尼尼是唯一最爱的，因为尽管这个世界上有很多值得去喜欢的演员，但是真正能带给我温暖的，让人感觉到生活永远是有希望的，就只有这个矮小的罗罗嗦嗦的老头和她美丽的妻子了，呵呵
炫3D,2017-04-14 17:21:01,,4星,795,圭多那“早上好，公主”，小男孩看到坦克，开心的说”真的赢了坦克“，美国大兵站在坦克上对着小男孩说 “来，我抱你”小男孩活着父亲为他编织的游戏里，即使危险，他却开心的生活着，而当小男孩从邮筒的缝隙里看到父亲被纳粹押着赴刑场，却做着鬼脸和夸张的动作时，那双眼睛是那么的清澈。
噩梦枕头,2013-09-29 22:21:31,,3星,82,用父爱编织的伟大谎言，盖过了集中营的阴影。男主的喜剧才华在前半部分求爱时发挥得淋漓尽致，但到后面就玩脱了，进集中营之后还延续这种表演只会显得轻浮。用夸张戏谑的方式来调侃屠杀犹太人这种沉重的历史事件，归根到底就跟国内抗日神剧一个德性。
biang,2018-05-23 19:33:41,,4星,659,拒绝沉默。无数历史悲剧都源于集体沉默。还记得马丁尼莫拉那首诗：起初他们追杀共产主义者，我没有说话，因为我不是共产主义者；接着他们追杀犹太人，我没有说话，因为我不是犹太人；此后他们追杀…；最后他们奔我而来，那时已经没有人能为我说话了。
Pearciac,2013-08-20 05:49:29,,2星,500,恶俗、经不起推敲的细节，俗气无比的结构，满嘴跑火车的男主加上智商为0的德军，难怪频繁出现在“最过誉影片”之列。我不会说我分了两次才看完，其中还忍不住关掉一次，换成【八部半】看了半小时。
城南草木生,2008-02-25 18:12:35,,5星,669,我爸爸是四核的超人
狄飞惊,2010-11-14 18:55:57,,4星,354,多拉走进去，圭多跟进去，结果是约书亚跑了出来，人生就是这么美丽的魔术。
shu,2008-07-13 14:40:34,,5星,606,后来他成了王子还有传说。
窃窃私语,2021-10-27 20:26:09,,5星,271,因为看过钢琴家，所以即便知道这部片子的基调本身没那么沉重反而十分诙谐，我也觉得他能带着儿子活到最后十分的神奇。然而结局的那几声枪声却又让我不可置信，我所以为的巧合、算计、主角光环统统消失了，他在那一刻不再是神通广大、浪漫幽默的父亲、丈夫，而只是一个苦苦挣扎却没能见到黎明的犹太人。
littletwo,2007-11-10 11:38:01,,5星,665,早安！公主！
谢谢你们的鱼,2020-01-03 22:35:19,,3星,75,被男主角密集的台词逼逼得脑壳疼，不管你们喜不喜欢，感不感动，我不喜欢，也不感动，一个假的要死的故事，配上前后脱节的结构，看的人昏昏欲睡。
