用户名,评论时间,IP属地,评论分数,有用数量,短评内容
白石春子,2024-05-19 19:48:28,美国,3星,104,3.5 正如开头所点题，这是男性/女性气质在生理、社会、心理层面上的相互动态作用，以及暴力如何与之关联的思考。一個站在暴力顶端的男人抛下一切重新开始成为圣女，又在男性的丈夫身分被唤醒的雄性本能下激起了一个毁灭的漩涡，可是女人身体的她也已无力回天。一切都能消失，只有母职被传承了下来。非常喜欢对这一话题的呈现，但歌舞几乎是用来掩盖难以处理那些最drama最混乱的矛盾（可能也是最重要的情绪和转变）的遮羞布，因而在影像上有些过大于功。
踢迩达,2024-05-20 00:28:59,法国,3星,47,#Cannes2024-16 黑帮大佬想要变性所引发的血案，奇情狗血如墨西哥电视剧，虽然触及了一丁点儿性别议题，但是绝非本片想讨论的重点。不过胜在歌舞出彩，拉丁歌舞节奏激昂，气势十足，有些运镜甚至让人觉得偷师于抖音卡点。结局潦草，有种好东西都展示完了草草收尾之感。
白斬糖,2024-05-24 10:55:09,法国,4星,73,极罕见的，我们看到流动的性别在社会，生理和心理三重意义男女双向上从未有过的探索。毒枭变成圣母，再成为护子的“生父养母”，最终也断送于占有欲膨胀的自大中。欧迪亚极娴熟和璀璨地将爱意，野心，暴力，慈悲，和占有欲都集中在主人公的性向流动中，繁杂的议题串联在一个柔软鲜活的人类身上。很可惜的是，作为歌舞片，歌舞段落却是本片最大的弱点，多数时间沦为处理复杂情绪时逃避，顾左右而言他的策略。
Sid,2024-05-19 06:56:17,法国,4星,63,"在现场看到爆哭。喜欢的理由仅仅是，非刻板地表现跨性别女性的生活，也高亮了顺女和跨女之间的联结。在这里，身份不再是标签，它超越的是所谓生理主义霸权之下的“生命经验”，她们之间存在的不是医生口中是否被制度承认的差异，而是父权社会下对女性身份共同的挑战。除此之外，性别过渡后的身体即使自由，但也充满负担——在隐秘中生存，杀死从前的自己。也许最终的残酷仍有""bury your gay""的嫌疑，但这般“戏剧性”是顺直人群从不敢直视的片段，可能酷儿在这般世界终不可能是“大团圆”吧。"
HarperDie,2024-05-19 03:43:26,法国,5星,57,雅克·欧迪亚对犯罪枪战题材炉火纯青的技巧，与墨西哥黑帮、LGBTQ、唱跳歌舞完美邂逅，叙事节奏极尽丝滑。很多导演单单使用其中某一种元素，就可能处理得混乱不堪，而欧迪亚则将全部高度融合，无论从类型片还是作者导演角度都张力十足。影片对女性遭遇的探讨进入另一个维度，变性后所要面对的两性世界不平会更加严重。佐伊·索尔达纳西语英语唱跳火力全开，充满银幕魅力的女演员。
方氏修远甫,2024-05-19 17:21:27,法国,4星,52,77cannes#12在戛纳前半程主竞赛电影中，观感奇佳，又不显得刻意做作。社会议题，歌好听，几场舞蹈编排的非常华丽，开场真的让人精神一振。剧作上略微太戏剧化，无伤大雅。几处歌舞与现实的衔接做的都很自然，干净。
Gold5Unicon,2024-05-19 07:38:28,法国,4星,31,法国导演找美国演员(还有一位完全不知道的西班牙trans)上演一出墨西哥歌舞片，变性谋杀伦理…要素太多了，在经过前几日不痛不痒的观影之后，今天终于在雅克的这部新片里过了把心潮澎湃的瘾！（以及西语歌真的太适合歌舞片了，比英语带劲许多）（再以及这片子居然是SAINT LAURENT参与制作的，Zoe穿的都很好看）
同志亦凡人中文站,2024-11-30 03:43:55,新西兰,3星,29,让我想到吕克·贝松的“狗神”，顺直导演拍跨性别题材，总是带着奇情的眼光和缺乏基本的共情，因为不了解的永远不了解。华丽的歌舞形式反而锐化了剧情的狗血和荒诞，就像在看一段曝光过度的胶片。
艇仔粥罐头,2025-01-06 21:57:04,北京,3星,17,撇去悬浮歌舞，故事还挺适合TVB翻拍的！毒枭林保怡为自保找了女律师佘诗曼介绍去变性摇身成为慈善家邓萃雯，中途毒枭老婆胡定欣带着孩子杀回来，与邓萃雯新宠杨怡形成四人稳定关系！没想到胡定欣情夫陈豪加入打乱阵脚，陷入你争我夺孩子的戏码，最终毒枭夫妇死亡！为了再狗血点可以加入更多黑变白的故事线。
耐观影-Xavier,2024-05-20 01:09:16,法国,1星,57,与其浪费我两小时看你们那么难听的唱跳，不如让我去追《浪姐》和《歌手》
南悠一,2024-05-19 17:48:27,法国,3星,30,融合多种类型元素的歌舞片，音乐唱腔都是激昂的、强节奏的，基本遵循当代歌舞片创作范式。夸张、惊悚的情节，再加上是部西语片，很容易想到阿莫多瓦。但演唱场面调度过于普通，像是一般的演唱会影像，从视听上几乎没有亮点可言。故事更是缺少内在的意涵和张力，它表面是激烈的，骨子里却很保守。2.5
Ocap,2025-01-28 14:15:41,广东,未评分,6,在投机和诚恳并存的驳杂中，成功缔造了一部光谱般的电影。《某种物质》《艾米莉亚·佩雷斯》《阿诺拉》某种程度上都很“短剧”。它们都不太在乎叙事的可信了，它们只为相信比喻和假定的人舞蹈。
